Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2018-01-02,22.125,21.5,22.475,21.5,22.475,12000,263850.0,2
2018-09-18,20.65,20.65,20.65,19.5,19.5,12000,240900.0,2
2018-09-19,19.5,20.5,20.9,20.15,20.75,54000,1113000.0,9
2018-09-21,20.75,20.5,20.5,20.5,20.5,6000,123000.0,1
2018-09-24,20.5,20.725,20.8,20.5,20.5,48000,991200.0,8
2018-09-25,20.5,19.25,20.5,19.25,20.5,12000,238500.0,2
2018-09-26,20.5,20.75,20.75,20.75,20.75,6000,124500.0,1
2018-09-27,20.75,20.25,20.25,20.25,20.25,6000,121500.0,1
2018-09-28,20.25,20.5,20.5,20.5,20.5,6000,123000.0,1
2018-10-03,20.5,20.45,20.45,20.45,20.45,6000,122700.0,1
2018-10-05,20.45,20.25,20.25,19.75,19.75,12000,240000.0,2
2018-10-08,19.75,19.125,19.625,19.125,19.625,12000,232500.0,2
2018-10-11,19.625,19.25,19.25,19.25,19.25,6000,115500.0,1
2018-10-16,19.25,20.4,20.4,20.4,20.4,6000,122400.0,1
2018-10-22,20.4,19.9,19.9,19.9,19.9,6000,119400.0,1
2018-10-25,19.9,19.3,19.3,19.3,19.3,6000,115800.0,1
2018-10-26,19.3,18.4,18.4,18.4,18.4,6000,110400.0,1
2018-10-29,18.4,19.7,19.7,19.7,19.7,6000,118200.0,1
2018-10-30,19.7,18.325,18.325,18.325,18.325,6000,109950.0,1
2018-10-31,18.325,19.0,19.0,17.825,17.825,12000,220950.0,2
2018-11-01,17.825,19.25,19.25,19.25,19.25,12000,231000.0,2
2018-11-02,19.25,18.3,18.3,18.3,18.3,6000,109800.0,1
2018-11-07,18.3,19.1,19.25,19.1,19.175,12000,230100.0,2
2018-11-09,19.175,19.05,19.05,19.05,19.05,6000,114300.0,1
2018-11-12,19.05,19.0,19.05,19.0,19.05,12000,228300.0,2
2018-11-13,19.05,19.05,19.4,19.05,19.05,24000,459300.0,4
2018-11-14,19.05,19.25,19.3,19.25,19.3,24000,462600.0,4
2018-11-15,19.3,19.5,19.5,19.5,19.5,6000,117000.0,1
2018-11-16,19.5,18.25,18.25,18.25,18.25,6000,109500.0,1
2018-11-20,18.25,19.475,19.9,19.475,19.9,12000,236250.0,2
2018-11-21,19.9,19.3,20.0,19.3,19.825,24000,472650.0,4
2018-11-22,19.825,20.0,20.5,20.0,20.5,12000,243000.0,2
2018-11-26,20.5,20.25,20.5,20.0,20.25,18000,364500.0,3
2018-11-27,20.25,20.25,20.5,20.25,20.375,12000,244500.0,2
2018-11-28,20.375,20.025,20.975,20.025,20.95,24000,494550.0,4
2018-11-29,20.95,18.0,21.1,18.0,21.1,42000,866100.0,5
2018-11-30,21.1,21.1,21.3,21.025,21.275,30000,634350.0,4
2018-12-03,21.275,21.1,21.75,21.1,21.75,18000,387300.0,3
2018-12-04,21.75,21.625,22.0,21.625,22.0,18000,391500.0,3
2018-12-05,22.0,21.4,22.05,21.25,22.05,24000,516450.0,4
2018-12-06,22.05,21.3,21.3,21.0,21.0,18000,381300.0,3
2018-12-07,21.0,20.9,22.2,20.9,22.2,12000,258600.0,2
2018-12-11,22.2,21.025,21.025,21.025,21.025,6000,126150.0,1
2018-12-17,21.025,21.0,22.25,21.0,22.25,12000,259500.0,2
2018-12-19,22.25,22.25,22.25,22.25,22.25,6000,133500.0,1
2018-12-20,22.25,21.625,21.75,21.625,21.675,12000,260250.0,2
2018-12-24,21.675,21.025,21.025,21.025,21.025,6000,126150.0,1
2018-12-26,21.025,21.025,22.375,21.025,22.375,12000,260400.0,2
2018-12-27,22.375,21.175,22.3,21.175,22.3,12000,260850.0,2
2018-12-28,22.3,21.15,22.5,21.15,21.975,18000,395700.0,3
2018-12-31,21.975,21.0,22.125,21.0,22.125,36000,775650.0,6
2019-01-01,22.125,22.025,22.125,21.875,22.125,24000,528150.0,4
2019-01-02,22.125,21.5,22.475,21.5,22.475,12000,263850.0,2
2019-01-03,22.475,21.5,22.0,21.5,22.0,18000,393000.0,3
2019-01-04,22.0,21.75,22.375,21.75,22.375,24000,530250.0,4
2019-01-07,22.375,21.5,22.475,21.5,22.475,18000,398700.0,3
2019-01-09,22.475,21.275,22.0,21.275,22.0,12000,259650.0,2
2019-01-10,22.0,21.5,22.125,21.5,22.125,18000,390900.0,3
2019-01-11,22.125,21.5,22.25,21.5,21.7,48000,1038300.0,6
2019-01-14,21.7,21.425,22.375,21.425,22.375,18000,391350.0,2
2019-01-17,22.375,22.4,22.4,20.75,20.75,18000,383400.0,3
2019-01-18,20.75,21.125,21.125,21.125,21.125,24000,507000.0,1
2019-01-21,21.125,21.05,21.375,21.05,21.125,24000,507150.0,2
2019-01-22,21.125,21.0,21.0,21.0,21.0,6000,126000.0,1
2019-01-23,21.0,21.0,21.0,21.0,21.0,6000,126000.0,1
2019-01-24,21.0,22.25,22.25,22.25,22.25,6000,133500.0,1
2019-01-25,22.25,21.65,22.35,21.65,22.325,24000,528000.0,4
2019-01-28,22.325,20.9,22.325,20.9,21.6,18000,384750.0,3
2019-01-29,21.6,22.325,22.325,22.325,22.325,6000,133950.0,1
2019-01-30,22.325,20.9,22.325,20.9,22.325,12000,259350.0,2
2019-01-31,22.325,22.25,22.25,22.25,22.25,6000,133500.0,1
2019-02-01,22.25,22.2,22.2,22.2,22.2,6000,133200.0,1
2019-02-04,22.2,22.0,22.0,22.0,22.0,6000,132000.0,1
2019-02-05,22.0,21.25,22.225,21.25,22.225,12000,260850.0,2
2019-02-06,22.225,22.725,22.725,21.5,21.5,12000,265350.0,2
2019-02-07,21.5,21.4,22.225,21.4,21.875,30000,656100.0,5
2019-02-08,21.875,22.4,22.4,22.4,22.4,6000,134400.0,1
2019-02-11,22.4,21.3,22.375,21.275,22.175,24000,521700.0,4
2019-02-12,22.175,21.35,21.5,21.325,21.5,18000,385050.0,3
2019-02-13,21.5,21.5,21.5,21.5,21.5,6000,129000.0,1
2019-02-14,21.5,21.275,21.5,21.275,21.5,12000,256650.0,2
2019-02-15,21.5,21.5,22.0,21.5,22.0,18000,391500.0,3
2019-02-18,22.0,22.3,22.3,22.3,22.3,6000,133800.0,1
2019-02-19,22.3,22.725,22.725,22.725,22.725,6000,136350.0,1
2019-02-20,22.725,21.5,22.2,21.5,22.2,12000,262200.0,2
2019-02-21,22.2,21.3,21.3,21.3,21.3,6000,127800.0,1
2019-02-22,21.3,20.625,21.5,20.625,21.05,12000,252750.0,2
2019-02-25,21.05,20.525,20.525,20.525,20.525,6000,123150.0,1
2019-02-26,20.525,21.95,21.95,21.95,21.95,6000,131700.0,1
2019-02-27,21.95,21.975,21.975,21.975,21.975,6000,131850.0,1
2019-02-28,21.975,21.875,21.875,21.875,21.875,6000,131250.0,1
2019-03-01,21.875,20.525,20.525,20.525,20.525,6000,123150.0,1
2019-03-05,20.525,20.525,20.525,20.525,20.525,6000,123150.0,1
2019-03-06,20.525,21.975,21.975,21.975,21.975,6000,131850.0,1
2019-03-07,21.975,21.025,21.025,21.025,21.025,6000,126150.0,1
2019-03-08,21.025,22.0,22.0,22.0,22.0,6000,132000.0,1
2019-03-11,22.0,21.0,21.0,21.0,21.0,6000,126000.0,1
2019-03-12,21.0,22.0,22.5,22.0,22.5,12000,267000.0,2
2019-03-13,22.5,20.75,21.95,20.75,21.95,18000,387750.0,3
2019-03-14,21.95,21.975,21.975,21.975,21.975,6000,131850.0,1
2019-03-15,21.975,20.525,20.75,20.525,20.75,12000,247650.0,2
2019-03-18,20.75,21.25,21.75,21.25,21.75,18000,387000.0,3
2019-03-19,21.75,20.525,20.75,20.525,20.75,12000,247650.0,2
2019-03-20,20.75,22.475,23.0,22.0,22.975,24000,542700.0,4
2019-03-22,22.975,21.8,23.2,21.8,23.2,12000,270000.0,2
2019-03-25,23.2,21.025,21.025,21.025,21.025,6000,126150.0,1
2019-03-26,21.025,22.0,23.25,22.0,23.25,24000,541500.0,4
2019-03-27,23.25,23.45,23.45,23.45,23.45,6000,140700.0,1
2019-03-28,23.45,21.5,23.475,21.5,23.475,18000,404850.0,3
2019-03-29,23.475,23.95,23.95,23.95,23.95,6000,143700.0,1
2019-04-01,23.95,23.9,23.9,23.9,23.9,6000,143400.0,1
2019-04-02,23.9,24.0,24.0,23.025,23.025,12000,282150.0,2
2019-04-03,23.025,23.25,23.25,23.25,23.25,6000,139500.0,1
2019-04-04,23.25,24.25,24.25,23.5,23.5,12000,286500.0,2
2019-04-05,23.5,23.5,23.5,23.5,23.5,6000,141000.0,1
2019-04-08,23.5,23.5,23.5,23.5,23.5,6000,141000.0,1
2019-04-09,23.5,23.0,23.0,23.0,23.0,6000,138000.0,1
2019-04-10,23.0,22.0,22.0,22.0,22.0,6000,132000.0,1
2019-04-11,22.0,22.0,24.5,22.0,24.5,24000,553500.0,4
2019-04-12,24.5,24.0,25.1,24.0,25.1,12000,294600.0,2
2019-04-15,25.1,24.5,25.125,24.275,24.7,18000,443400.0,3
2019-04-16,24.7,25.0,25.75,23.0,24.9,42000,1015050.0,7
2019-04-18,24.9,24.0,24.0,23.025,23.025,24000,564300.0,4
