Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-07-10,43.48333333333333,43.666666666666664,46.63333333333333,39.13333333333333,39.13333333333333,2212080,88284892.55,1620
2023-07-11,39.13333333333333,40.0,43.03333333333333,37.0,43.03333333333333,1397373,57349088.95,1716
2023-07-12,43.03333333333333,44.33333333333333,45.18333333333334,40.88333333333333,40.9,1302783,56161884.65,2638
2023-07-13,40.9,40.33333333333333,41.15,38.86666666666666,38.86666666666666,131769,5256828.15,557
2023-07-14,38.86666666666666,39.63333333333333,39.63333333333333,36.93333333333333,36.93333333333333,172332,6392089.6,341
2023-07-17,36.93333333333333,35.666666666666664,37.599999999999994,35.099999999999994,35.099999999999994,238149,8617961.05,1266
2023-07-18,35.099999999999994,33.666666666666664,34.516666666666666,33.349999999999994,33.349999999999994,96045,3212618.8,329
2023-07-19,33.349999999999994,33.349999999999994,35.016666666666666,31.68333333333333,34.46666666666667,230163,7611654.2,866
2023-07-20,34.46666666666667,35.5,36.18333333333333,34.56666666666666,36.18333333333333,107064,3851182.75,424
2023-07-21,36.18333333333333,37.5,37.983333333333334,36.86666666666666,37.983333333333334,85812,3255397.85,169
2023-07-24,37.983333333333334,39.25,39.666666666666664,37.4,38.8,53742,2092464.05,407
2023-07-25,38.8,37.65,40.733333333333334,36.9,40.733333333333334,165579,6617367.5,469
2023-07-26,40.733333333333334,42.58333333333333,42.766666666666666,39.666666666666664,42.73333333333333,165672,7018051.95,610
2023-07-27,42.73333333333333,43.64999999999999,44.86666666666666,41.0,43.03333333333333,69387,3007537.0,648
2023-07-28,43.03333333333333,43.3,45.1,43.0,44.05,58908,2598381.4,703
2023-07-31,44.05,44.06666666666666,45.06666666666666,43.0,43.71666666666667,18174,806080.8,418
2023-08-01,43.71666666666667,44.96666666666667,44.96666666666667,42.18333333333333,43.05,16461,716513.35,318
2023-08-02,43.05,43.0,44.14999999999999,40.916666666666664,41.15,18777,795206.05,358
2023-08-03,41.15,41.68333333333333,43.199999999999996,41.666666666666664,42.85,19266,827344.45,186
2023-08-04,42.85,44.98333333333333,44.98333333333333,40.71666666666667,40.71666666666667,229992,9413352.6,572
2023-08-07,40.71666666666667,41.63333333333333,42.75,38.68333333333333,38.68333333333333,925791,36023337.45,1207
2023-08-08,38.68333333333333,36.8,40.61666666666666,36.75,40.349999999999994,1059822,40559610.05,1275
2023-08-09,40.349999999999994,40.599999999999994,42.36666666666666,39.0,41.599999999999994,302967,12801288.5,770
2023-08-10,41.599999999999994,41.36666666666666,41.36666666666666,39.666666666666664,39.983333333333334,83268,3350645.5,472
2023-08-11,39.983333333333334,38.5,41.96666666666667,38.5,41.916666666666664,189360,7877013.9,755
2023-08-14,41.916666666666664,41.983333333333334,44.0,40.916666666666664,43.98333333333333,250854,11003519.2,628
2023-08-16,43.98333333333333,46.166666666666664,46.166666666666664,43.98333333333333,46.1,615537,28362812.6,1009
2023-08-17,46.1,46.33333333333333,48.39999999999999,46.33333333333333,48.36666666666666,408357,19726933.2,1070
2023-08-18,48.36666666666666,50.56666666666666,50.78333333333333,49.71666666666667,50.75,358575,18164485.6,1996
2023-08-21,50.75,53.28333333333333,53.28333333333333,48.86666666666666,53.28333333333333,474801,25144742.1,1146
2023-08-22,53.28333333333333,53.666666666666664,53.666666666666664,50.61666666666666,50.61666666666666,341436,17561750.5,995
2023-08-23,50.61666666666666,50.6,50.6,48.08333333333333,48.08333333333333,80295,3869815.05,474
2023-08-24,48.08333333333333,47.0,49.0,45.68333333333334,46.166666666666664,34002,1593095.15,213
2023-08-25,46.166666666666664,46.166666666666664,48.46666666666667,44.39999999999999,48.03333333333333,30183,1439508.5,168
2023-08-28,48.03333333333333,49.33333333333333,50.43333333333334,46.016666666666666,50.25,86514,4328379.55,179
2023-08-29,50.25,50.33333333333333,52.75,48.666666666666664,52.55,91800,4793050.3,270
2023-08-30,52.55,54.63333333333333,54.666666666666664,52.55,53.53333333333333,138399,7388107.25,183
2023-08-31,53.53333333333333,53.83333333333333,54.266666666666666,51.23333333333333,52.916666666666664,31470,1654497.8,147
2023-09-01,52.916666666666664,53.666666666666664,55.33333333333333,51.46666666666667,54.39999999999999,20187,1088334.05,76
2023-09-04,54.39999999999999,55.0,55.0,52.18333333333334,53.28333333333333,97533,5196822.2,198
2023-09-05,53.28333333333333,53.0,53.64999999999999,50.61666666666666,52.08333333333333,46119,2376149.25,193
2023-09-06,52.08333333333333,52.08333333333333,54.68333333333334,50.0,54.68333333333334,336873,18227584.0,795
2023-09-07,54.68333333333334,57.416666666666664,57.416666666666664,56.98333333333333,57.416666666666664,583206,33472912.5,1409
2023-09-08,57.416666666666664,60.03333333333333,60.28333333333333,59.33333333333333,60.28333333333333,436005,26271126.75,1192
2023-09-11,60.28333333333333,63.0,63.166666666666664,57.266666666666666,61.5,209103,12448829.4,918
2023-09-12,61.5,61.86666666666666,62.33333333333333,58.43333333333334,58.43333333333334,50565,2997634.45,287
2023-09-13,58.43333333333334,57.93333333333334,57.93333333333334,55.516666666666666,55.516666666666666,21558,1198400.4,168
2023-09-14,55.516666666666666,53.0,57.93333333333334,53.0,56.6,61974,3426585.9,262
2023-09-15,56.6,56.6,59.3,54.516666666666666,58.64999999999999,106086,6132224.8,517
2023-09-18,58.64999999999999,59.28333333333333,59.28333333333333,56.43333333333334,56.96666666666667,17601,1014919.65,158
2023-09-20,56.96666666666667,59.33333333333333,59.33333333333333,54.18333333333334,57.3,35610,1996824.35,176
