Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,151.4125,151.725,153.75,149.0125,152.9875,9848,1497992.5,254
2017-01-03,152.9875,154.2375,154.75,151.4875,153.775,14136,2160815.95,382
2017-01-04,153.775,153.4375,155.0,153.4375,154.0,12912,1988261.0,171
2017-01-05,154.0,154.4875,156.6375,154.1375,156.3,26096,4060831.8,415
2017-01-06,156.3,155.2625,156.9,154.2375,156.4125,16132,2516114.85,219
2017-01-09,156.4125,155.3,156.5625,151.5,153.8625,13564,2080029.95,211
2017-01-10,153.8625,153.9875,156.25,152.85,155.0125,7340,1133732.35,156
2017-01-11,155.0125,153.9,157.0,153.7625,155.075,13268,2060795.4,257
2017-01-12,155.075,154.5,157.5,152.5,155.75,64788,10077093.1,748
2017-01-13,155.75,157.4125,157.4125,154.525,155.0125,7596,1177751.35,171
2017-01-16,155.0125,152.775,156.4875,152.775,155.8875,10776,1675507.6,156
2017-01-17,155.8875,157.5,157.5,154.5375,156.35,22408,3494605.5,331
2017-01-18,156.35,155.9375,157.25,154.2625,156.625,20432,3180077.9,256
2017-01-19,156.625,155.725,156.5,154.75,155.0875,21288,3307337.9,430
2017-01-20,155.0875,153.7625,155.95,153.75,155.175,22032,3413228.8,234
2017-01-23,155.175,155.0125,155.0125,152.2875,154.2875,8072,1238169.9,158
2017-01-24,154.2875,154.375,155.8375,153.7,155.0125,13712,2122542.55,113
2017-01-25,155.0125,154.25,155.425,154.25,155.0125,17640,2733485.5,196
2017-01-27,155.0125,154.55,155.25,153.525,154.85,14796,2285285.0,371
2017-01-30,154.85,155.25,156.25,153.25,155.25,23460,3624301.0,201
2017-01-31,155.25,154.0125,155.25,153.75,154.8625,33800,5231269.55,261
2017-02-01,154.8625,153.75,155.0,150.9125,154.975,56888,8788638.1,393
2017-02-02,154.975,154.2,154.875,150.1625,153.7375,42804,6552670.5,811
2017-02-03,153.7375,153.9,154.6875,152.15,154.1375,26576,4087202.4,215
2017-02-06,154.1375,155.0,162.5,152.25,158.3125,65884,10402184.7,1119
2017-02-07,158.3125,159.5,161.25,156.25,157.025,57848,9171529.85,399
2017-02-08,157.025,158.4875,159.475,154.75,156.7375,67384,10654046.95,778
2017-02-09,156.7375,155.0,155.0,152.5,154.225,44376,6828747.95,446
2017-02-10,154.225,155.1125,156.1625,153.425,154.925,74300,11520533.7,922
2017-02-13,154.925,155.325,155.325,152.675,154.075,48032,7377758.25,425
2017-02-14,154.075,153.4,153.4,150.5,152.7125,39952,6092848.75,479
2017-02-15,152.7125,153.0125,153.0125,151.0,151.5125,34832,5278492.45,281
2017-02-16,151.5125,152.1875,153.25,151.475,152.9625,31732,4843118.5,316
2017-02-17,152.9625,152.7625,154.6875,151.2375,153.675,40528,6184728.3,483
2017-02-20,153.675,154.8375,155.8625,151.775,153.8875,18016,2773474.3,361
2017-02-21,153.8875,154.8125,155.7625,152.0,153.75,27276,4178322.35,510
2017-02-22,153.75,153.4125,153.9375,151.0375,152.875,48732,7419691.15,506
2017-02-23,152.875,153.0875,154.925,151.75,152.525,37388,5715034.0,414
2017-02-27,152.525,154.9375,154.975,152.0,152.25,8352,1275891.95,467
2017-02-28,152.25,152.2625,152.75,148.75,150.0875,33612,5068230.1,474
2017-03-01,150.0875,150.1,151.225,147.5,147.7125,25568,3805275.75,524
2017-03-02,147.7125,149.2,149.9625,146.5,147.65,16048,2376637.65,288
2017-03-03,147.65,146.3375,148.4375,142.075,145.5,21800,3185988.55,354
2017-03-06,145.5,147.85,147.8625,145.225,145.9,16960,2487878.85,539
2017-03-07,145.9,149.7375,149.7375,144.05,144.6875,28056,4099205.25,787
2017-03-08,144.6875,143.025,147.5,143.0,145.1125,35340,5118353.05,1041
2017-03-09,145.1125,143.8875,146.95,143.8875,145.175,48424,7029653.55,676
2017-03-10,145.175,147.5,147.5,144.0125,144.975,30936,4486447.15,639
2017-03-14,144.975,146.25,146.9375,141.5,143.9125,90792,13038606.85,748
2017-03-15,143.9125,143.7625,145.0125,141.375,144.2,265016,37829173.55,864
2017-03-16,144.2,145.4,148.5,145.0,145.85,53892,7899123.85,649
2017-03-17,145.85,147.9875,148.0,144.5875,145.175,34948,5095401.15,569
2017-03-20,145.175,145.425,146.25,143.75,144.5375,35104,5080464.35,1362
2017-03-21,144.5375,144.5,145.0,142.5,143.025,23940,3450577.15,323
2017-03-22,143.025,143.0,143.9875,141.25,141.7875,29244,4157483.05,443
2017-03-23,141.7875,140.9,143.7375,140.8875,142.7,12828,1834562.0,468
2017-03-24,142.7,144.9,144.9,141.5,142.2125,25244,3586097.85,331
2017-03-27,142.2125,144.925,145.9875,142.5,142.825,16112,2322566.85,453
2017-03-28,142.825,142.1125,147.75,141.7125,146.75,54028,7843038.8,601
2017-03-29,146.75,146.0125,147.9875,143.925,144.1875,159592,23019260.7,516
2017-03-30,144.1875,148.75,148.75,142.5,142.6875,21332,3080720.25,495
2017-03-31,142.6875,142.5,146.25,142.5,143.975,22488,3249549.25,689
2017-04-03,143.975,143.5375,147.25,143.5375,146.2625,25076,3651858.0,501
2017-04-05,146.2625,146.25,146.25,131.25,144.8875,51028,7345713.6,944
2017-04-06,144.8875,145.4,145.4,142.1625,142.6625,62540,8945889.4,541
2017-04-07,142.6625,146.475,146.475,142.5,142.7,24300,3483514.9,498
2017-04-10,142.7,142.7125,144.8875,142.5,143.3,15452,2214554.85,604
2017-04-11,143.3,143.25,144.75,142.25,142.525,23580,3370082.4,598
2017-04-12,142.525,144.7,144.7,141.0,142.7375,34460,4907221.55,560
2017-04-13,142.7375,142.95,143.7375,141.7,142.4625,21940,3128016.9,259
2017-04-17,142.4625,142.75,149.75,140.9,148.6625,101136,14855844.45,1254
2017-04-18,148.6625,150.9125,151.0,145.25,146.6125,46352,6910452.7,824
2017-04-19,146.6125,147.5,147.5,145.0,146.0625,17824,2605227.25,351
2017-04-20,146.0625,146.0,147.2,143.4,145.6625,11004,1600279.2,147
2017-04-21,145.6625,146.25,149.75,144.575,146.7125,52396,7689771.35,828
2017-04-24,146.7125,150.0,150.0,145.275,146.6375,26560,3922532.25,689
2017-04-25,146.6375,146.75,150.0,144.75,145.8375,37308,5471646.55,583
2017-04-26,145.8375,145.625,146.7125,143.8875,144.4125,41508,6035312.45,851
2017-04-27,144.4125,146.9,148.725,145.1625,146.35,27376,4017939.7,553
2017-04-28,146.35,149.7375,149.7375,137.85,142.0375,163792,23112025.0,1924
2017-05-02,142.0375,141.25,143.6125,139.1375,141.075,43588,6158856.65,719
2017-05-03,141.075,143.5,143.5,137.65,138.475,56880,7910807.0,1147
2017-05-04,138.475,140.9875,140.9875,136.25,136.725,44688,6161555.5,950
2017-05-05,136.725,136.025,136.8125,131.5125,132.3375,53624,7163222.85,818
2017-05-08,132.3375,133.5,135.0,131.8875,133.125,14756,1973045.05,472
2017-05-09,133.125,134.75,134.75,133.1375,133.675,26888,3598648.4,216
2017-05-10,133.675,134.75,135.5,133.0,133.4125,23612,3165391.4,318
2017-05-11,133.4125,135.9375,135.9375,132.5,132.9,40436,5396432.05,501
2017-05-12,132.9,134.5,134.5,132.6875,133.7125,14160,1889518.5,229
2017-05-15,133.7125,134.75,134.75,132.5,133.025,30756,4113414.75,763
2017-05-16,133.025,132.775,134.0,132.775,133.2875,23776,3175100.15,542
2017-05-17,133.2875,133.75,134.0,132.55,132.9375,20036,2671503.9,523
2017-05-18,132.9375,131.5125,134.975,129.1,132.525,33568,4471021.7,1368
2017-05-19,132.525,131.05,133.9375,131.05,131.775,11300,1492444.95,177
2017-05-22,131.775,132.5,134.7,131.025,131.7875,36888,4875383.1,490
2017-05-23,131.7875,131.75,134.725,128.2625,129.5875,41008,5365907.85,940
2017-05-24,129.5875,132.5,132.5,111.95,124.025,67760,8382919.05,1682
2017-05-25,124.025,122.775,125.3625,120.0,120.6,52912,6456561.75,1307
