Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-03-24,45.0,54.0,54.0,51.35,53.85,2376000,126371700.0,724
2017-03-27,53.85,55.55,64.6,55.5,64.6,1209000,71570400.0,307
2017-03-28,64.6,66.3,77.5,66.3,77.5,336000,25135800.0,109
2017-03-29,77.5,80.0,85.25,80.0,83.6,504000,42241050.0,168
2017-03-30,83.6,88.95,89.0,75.25,75.25,591000,45684000.0,189
2017-03-31,75.25,72.0,72.0,67.75,67.75,198000,13460550.0,63
2017-04-03,67.75,61.0,74.0,61.0,72.8,270000,19187250.0,77
2017-04-05,72.8,73.0,73.0,69.9,70.95,63000,4481250.0,12
2017-04-06,70.95,70.1,71.9,68.35,68.65,36000,2532450.0,12
2017-04-07,68.65,67.8,72.0,67.8,68.9,36000,2497350.0,12
2017-04-10,68.9,67.9,70.0,67.25,69.9,48000,3291900.0,15
2017-04-11,69.9,63.55,70.1,63.55,68.25,33000,2262900.0,11
2017-04-12,68.25,68.0,69.3,65.5,67.95,36000,2406900.0,12
2017-04-13,67.95,69.0,69.0,65.3,66.3,21000,1403250.0,7
2017-04-17,66.3,66.1,67.1,65.0,66.8,42000,2778150.0,14
2017-04-18,66.8,67.0,67.0,65.6,65.6,18000,1190550.0,6
2017-04-19,65.6,65.0,65.0,63.7,63.8,24000,1545300.0,8
2017-04-20,63.8,67.0,67.0,65.0,65.0,18000,1191600.0,6
2017-04-21,65.0,64.5,66.0,64.0,65.75,90000,5898300.0,19
2017-04-24,65.75,65.5,66.9,65.5,66.0,12000,793200.0,4
2017-04-25,66.0,66.0,69.0,66.0,68.7,51000,3426600.0,15
2017-04-26,68.7,69.9,70.5,68.3,69.0,33000,2291550.0,11
2017-04-27,69.0,68.5,68.5,68.5,68.5,9000,616500.0,3
2017-04-28,68.5,67.25,73.5,67.25,70.65,84000,5770800.0,13
2017-05-02,70.65,70.8,71.95,70.7,71.8,27000,1922550.0,9
2017-05-03,71.8,71.0,77.95,64.65,77.35,108000,7702650.0,25
2017-05-04,77.35,79.5,84.8,78.2,83.45,75000,6135750.0,25
2017-05-05,83.45,85.0,91.0,83.0,89.2,126000,11019900.0,42
2017-05-08,89.2,91.2,93.65,88.05,93.65,129000,11892150.0,31
2017-05-09,93.65,96.6,96.95,94.8,96.25,51000,4898250.0,17
2017-05-10,96.25,96.65,96.65,91.45,91.45,117000,10846800.0,39
2017-05-11,91.45,91.45,92.0,86.9,92.0,30000,2681400.0,10
2017-05-12,92.0,92.0,94.0,91.0,93.4,33000,3052500.0,11
2017-05-15,93.4,93.25,96.0,93.25,96.0,9000,855450.0,3
2017-05-16,96.0,96.0,96.0,93.2,95.0,18000,1699350.0,6
2017-05-17,95.0,93.25,93.3,93.25,93.3,6000,559650.0,2
2017-05-18,93.3,90.0,95.5,90.0,94.5,84000,7754700.0,14
2017-05-19,94.5,93.0,94.4,90.5,93.7,78000,7149750.0,11
2017-05-22,93.7,96.85,96.9,94.15,94.3,21000,2005350.0,7
2017-05-23,94.3,93.5,98.65,93.5,98.55,105000,9993750.0,20
2017-05-24,98.55,100.0,101.8,97.75,101.45,96000,9512850.0,18
2017-05-25,101.45,101.0,106.5,101.0,106.5,78000,8089650.0,19
2017-05-26,106.5,111.75,111.8,110.0,111.8,51000,5680200.0,17
2017-05-29,111.8,117.35,117.35,117.35,117.35,33000,3872550.0,11
2017-05-30,117.35,123.2,123.2,123.2,123.2,9000,1108800.0,3
2017-05-31,123.2,129.35,129.35,129.35,129.35,12000,1552200.0,4
2017-06-01,129.35,135.8,135.8,123.4,128.0,168000,21871500.0,56
2017-06-02,128.0,125.0,128.65,122.5,124.4,48000,5998650.0,16
2017-06-05,124.4,124.0,130.6,124.0,130.35,33000,4237950.0,11
2017-06-06,130.35,136.5,136.85,135.0,136.85,30000,4089900.0,10
2017-06-07,136.85,143.0,143.65,143.0,143.65,24000,3444450.0,8
