Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-12-29,33.1,34.01,34.29,33.57,34.19,149003,5091360.0,229
2021-12-30,34.19,34.5,34.5,34.0,34.22,139767,4792262.27,288
2021-12-31,34.22,35.0,36.5,34.22,34.69,350317,12175004.35,400
2022-01-03,34.69,34.69,36.5,34.69,35.05,676332,23903701.49,938
2022-01-04,35.05,36.0,41.0,34.8,35.07,232636,8162506.84,570
2022-01-05,35.07,34.5,35.95,34.5,34.97,290865,10152699.56,385
2022-01-06,34.97,39.98,39.98,34.0,34.84,200226,6920067.25,583
2022-01-07,34.84,35.1,35.39,34.95,35.06,127415,4476981.94,370
2022-01-10,35.06,35.48,35.48,35.11,35.37,168288,5930769.44,411
2022-01-11,35.37,35.44,35.98,35.05,35.21,466568,16472531.62,484
2022-01-12,35.21,39.5,39.5,35.2,35.3,329834,11635837.87,388
2022-01-13,35.3,35.48,39.9,35.21,35.89,625818,22614921.05,815
2022-01-14,35.89,35.95,36.6,35.05,35.37,825449,29325597.2,700
2022-01-17,35.37,36.98,36.98,35.55,36.2,257541,9309655.28,509
2022-01-18,36.2,36.2,36.79,35.81,35.85,187624,6750340.43,531
2022-01-19,35.85,35.85,35.85,34.85,35.32,419220,14777505.25,910
2022-01-20,35.32,35.9,35.9,35.15,35.56,149652,5327418.16,411
2022-01-21,35.56,36.0,36.2,34.85,35.15,194359,6876483.37,655
2022-01-24,35.15,35.1,35.24,33.25,33.76,359168,12227285.84,1705
2022-01-25,33.76,33.7,34.5,32.8,33.88,228550,7708215.53,906
2022-01-27,33.88,33.88,34.1,32.9,33.37,314126,10451963.81,989
2022-01-28,33.37,33.6,35.0,33.2,33.61,437293,14949331.34,755
2022-01-31,33.61,34.68,34.98,33.61,33.94,119272,4076986.86,478
2022-02-01,33.94,35.68,35.68,33.58,33.78,356163,12081521.34,535
2022-02-02,33.78,35.68,35.68,33.85,34.52,242445,8349202.07,370
2022-02-03,34.52,34.52,34.89,34.17,34.38,72662,2498143.18,300
2022-02-04,34.38,34.52,35.48,33.8,34.1,228659,7825777.14,293
2022-02-07,34.1,34.1,34.9,33.45,33.63,255910,8649475.31,642
2022-02-08,33.63,34.19,34.19,33.15,33.41,156277,5231995.07,523
2022-02-09,33.41,33.8,34.15,33.49,33.88,68115,2300612.68,297
2022-02-10,33.88,34.15,34.5,33.6,34.27,596997,20247725.26,515
2022-02-11,34.27,34.15,34.15,33.26,33.4,248352,8352827.11,589
2022-02-14,33.4,33.0,33.51,31.81,32.07,1205260,39757399.17,1372
2022-02-15,32.07,33.25,33.48,31.23,32.53,344528,11056643.04,715
2022-02-16,32.53,33.25,33.8,32.45,32.68,237515,7839186.68,414
2022-02-17,32.68,32.8,33.3,32.68,32.86,143402,4710866.75,279
2022-02-18,32.86,33.2,33.2,32.29,32.31,91269,2973058.5,436
2022-02-21,32.31,35.17,35.17,31.6,31.93,130330,4169047.07,498
2022-02-22,31.93,31.75,31.97,30.95,31.48,334613,10484068.75,907
2022-02-23,31.48,31.8,32.6,31.49,32.05,248468,7956183.84,442
2022-02-24,32.05,32.69,32.69,30.0,30.54,580989,17884940.01,1734
2022-02-25,30.54,30.55,31.8,30.55,31.31,130425,4081819.81,501
2022-02-28,31.31,33.98,34.0,31.1,31.66,196131,6170672.51,494
2022-03-02,31.66,31.66,33.38,31.66,32.27,151909,4887074.07,572
2022-03-03,32.27,32.8,32.99,32.27,32.47,154044,5022155.3,414
2022-03-04,32.47,34.5,34.5,31.8,31.99,167153,5370611.42,620
2022-03-07,31.99,32.0,32.2,30.74,31.16,572919,17949034.91,989
2022-03-08,31.16,31.16,31.95,31.16,31.8,317047,10049695.75,434
2022-03-09,31.8,31.8,32.98,31.8,32.67,180839,5854958.18,433
2022-03-10,32.67,33.17,37.8,32.55,32.95,146033,4825777.14,451
2022-03-11,32.95,33.45,33.45,32.9,33.14,125634,4156975.73,334
2022-03-14,33.14,34.9,34.9,33.0,33.41,219995,7330185.8,474
2022-03-15,33.41,33.7,33.7,33.05,33.36,135007,4510958.45,439
2022-03-16,33.36,35.3,35.3,33.39,33.69,212165,7123728.9,303
2022-03-17,33.69,34.59,34.59,33.6,34.0,220699,7495713.82,411
2022-03-21,34.0,34.0,34.4,34.0,34.28,227994,7811178.5,535
2022-03-22,34.28,35.2,35.2,34.0,34.48,332076,11367899.71,705
2022-03-23,34.48,34.48,34.8,34.2,34.51,310970,10723572.16,598
2022-03-24,34.51,34.6,34.79,34.4,34.72,156753,5420329.6,400
2022-03-25,34.72,34.72,34.9,34.52,34.78,172745,5998592.96,469
2022-03-28,34.78,34.9,34.99,34.5,34.73,216197,7493838.54,546
2022-03-29,34.73,34.99,34.99,34.65,34.84,226318,7883949.43,522
2022-03-30,34.84,34.99,35.24,34.81,35.03,554080,19413352.23,416
2022-03-31,35.03,35.7,35.7,35.0,35.48,194585,6900771.86,517
2022-04-01,35.48,35.48,36.2,35.2,35.94,854308,30543371.71,734
