Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,68.45,68.4,72.9,68.0,71.95,59644,4225047.05,491
2017-01-03,71.95,71.1,74.6,71.1,73.45,33312,2454384.2,532
2017-01-04,73.45,74.9,74.9,72.3,73.9,23031,1698960.25,384
2017-01-05,73.9,72.75,75.9,72.75,74.55,22986,1715101.45,376
2017-01-06,74.55,75.0,75.5,72.75,73.75,5821,431270.35,163
2017-01-09,73.75,76.25,78.0,73.0,73.15,19043,1409809.9,206
2017-01-10,73.15,73.0,74.8,73.0,73.15,28331,2088327.95,234
2017-01-11,73.15,73.3,74.0,71.0,72.1,25331,1831588.7,291
2017-01-12,72.1,71.0,72.95,69.75,72.2,30432,2180508.75,370
2017-01-13,72.2,71.2,73.0,71.2,71.5,14765,1067730.35,208
2017-01-16,71.5,73.0,73.0,71.25,71.55,10439,748978.0,164
2017-01-17,71.55,70.8,72.8,70.8,72.1,9893,713341.1,170
2017-01-18,72.1,72.8,73.65,72.0,72.6,19225,1397433.75,208
2017-01-19,72.6,72.25,73.25,72.15,72.7,11833,860386.85,152
2017-01-20,72.7,72.55,73.45,71.3,71.5,34771,2509925.65,219
2017-01-23,71.5,70.75,73.7,70.75,72.5,16368,1187393.45,226
2017-01-24,72.5,72.9,73.8,72.0,72.9,27045,1968284.5,187
2017-01-25,72.9,74.0,74.3,73.5,73.95,28297,2087533.25,206
2017-01-27,73.95,74.0,77.0,71.1,74.0,127602,9507922.0,3305
2017-01-30,74.0,74.0,74.45,71.8,72.4,32130,2354263.4,417
2017-01-31,72.4,74.0,74.0,72.0,72.25,17952,1305476.3,260
2017-02-01,72.25,72.3,74.0,70.2,73.85,49737,3648175.3,345
2017-02-02,73.85,74.0,74.6,72.25,73.6,44438,3274104.0,405
2017-02-03,73.6,73.6,74.15,72.0,72.35,46485,3387917.95,494
2017-02-06,72.35,72.5,73.4,71.95,72.4,34009,2478853.2,321
2017-02-07,72.4,72.0,74.25,71.5,71.85,21726,1571830.15,291
2017-02-08,71.85,72.0,73.75,72.0,72.45,75072,5470975.0,411
2017-02-09,72.45,73.0,73.4,70.2,70.7,84981,6130782.55,702
2017-02-10,70.7,71.0,72.4,71.0,71.65,20106,1440238.6,256
2017-02-13,71.65,71.2,72.25,70.6,70.85,12637,900604.5,210
2017-02-14,70.85,71.2,71.5,70.2,70.5,8188,578199.6,120
2017-02-15,70.5,71.75,71.75,68.55,69.8,46466,3244473.25,343
2017-02-16,69.8,69.0,71.8,68.05,70.4,10776,757258.0,166
2017-02-17,70.4,70.05,72.5,68.6,69.4,33257,2344532.9,320
2017-02-20,69.4,71.2,71.6,69.25,69.8,16408,1150937.45,254
2017-02-21,69.8,69.8,69.9,67.2,68.7,47037,3222378.0,548
2017-02-22,68.7,68.0,70.5,68.0,69.85,52654,3641089.35,494
2017-02-23,69.85,70.0,71.5,69.5,70.55,73846,5195852.75,453
2017-02-27,70.55,70.6,71.0,69.55,69.7,20540,1436106.55,202
2017-02-28,69.7,69.8,70.85,69.0,69.6,31454,2194715.85,208
2017-03-01,69.6,69.65,72.6,69.0,71.35,54479,3835632.55,389
2017-03-02,71.35,71.1,73.25,70.15,70.55,59221,4251831.4,599
2017-03-03,70.55,70.15,71.75,70.15,71.1,11707,831139.3,189
2017-03-06,71.1,70.55,71.95,70.55,71.05,23261,1658379.8,348
2017-03-07,71.05,70.5,72.0,70.5,71.35,15444,1102790.0,232
2017-03-08,71.35,71.75,71.75,70.25,70.45,28784,2037284.25,212
2017-03-09,70.45,70.0,71.25,70.0,70.15,12941,910321.4,163
