Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-02-08,230.0,227.0,271.25,227.0,268.25,135533461,33969294098.3,999545
2022-02-09,268.25,273.65,321.9,272.0,321.9,70655011,21339800306.6,679615
2022-02-10,321.9,356.7,386.25,345.0,386.25,56509643,20995663814.0,652171
2022-02-11,386.25,408.7,419.9,351.25,381.0,88580117,34756977051.25,1323583
2022-02-14,381.0,364.2,398.9,352.1,376.3,43047644,16416700732.4,593400
2022-02-15,376.3,394.7,405.0,378.8,383.85,17777133,6897021085.75,248768
2022-02-16,383.85,390.0,392.95,375.2,377.05,11831948,4520761490.55,174654
2022-02-17,377.05,382.0,382.9,356.35,359.8,10520787,3867386122.5,198630
2022-02-18,359.8,352.6,370.0,351.15,354.3,10072444,3632624482.5,176590
2022-02-21,354.3,351.9,356.6,325.2,327.6,14932711,5032669113.95,234568
2022-02-22,327.6,308.6,323.6,305.0,314.3,13158494,4161743028.95,202671
2022-02-23,314.3,326.0,345.7,323.0,345.05,9030118,3061643606.65,111006
2022-02-24,345.05,324.1,365.4,322.15,332.95,27347337,9404206554.4,410661
2022-02-25,332.95,358.65,366.2,350.5,366.1,18895946,6820118046.75,229984
2022-02-28,366.1,367.1,395.9,367.05,379.35,23433903,8979842339.6,321208
2022-03-02,379.35,381.45,393.0,376.1,382.3,13334439,5135580669.7,168058
2022-03-03,382.3,392.0,395.0,378.0,380.25,8165851,3142166603.45,108130
2022-03-04,380.25,376.25,378.95,359.1,360.8,8905308,3270917150.6,136875
2022-03-07,360.8,346.0,351.0,337.25,340.8,9228324,3165278417.55,164051
2022-03-08,340.8,347.0,357.8,338.3,342.8,9620159,3326173133.9,134453
2022-03-09,342.8,347.6,351.55,339.25,340.4,8115674,2785757743.5,130011
2022-03-10,340.4,350.0,354.0,342.05,343.4,6619860,2292782624.95,84711
2022-03-11,343.4,343.9,358.8,338.0,344.2,10801113,3767061329.8,120406
2022-03-14,344.2,345.55,347.35,340.3,341.1,3889380,1331760086.0,56417
2022-03-15,341.1,343.5,355.0,338.45,340.25,8759343,3036429753.5,118884
2022-03-16,340.25,350.0,351.95,342.1,346.25,4512997,1561634435.9,55375
2022-03-17,346.25,350.0,380.85,348.1,379.8,31782591,11800097343.7,311864
2022-03-21,379.8,390.0,398.75,382.3,391.25,19955446,7814331986.3,250112
