Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-01-06,43.43,44.0,51.0,42.2,42.7,14781,634887.59,177
2023-01-09,42.7,42.71,43.2,42.2,42.65,6829,290236.59,71
2023-01-10,42.65,43.2,43.2,41.75,41.97,6049,254633.08,127
2023-01-11,41.97,41.91,42.19,41.81,42.17,663,27875.35,27
2023-01-12,42.17,42.2,42.3,41.81,42.22,870,36611.86,48
2023-01-13,42.22,41.9,42.29,41.74,42.2,1585,66524.42,62
2023-01-16,42.2,42.2,42.5,42.15,42.2,441,18651.75,47
2023-01-17,42.2,42.35,42.4,41.82,42.31,2598,108707.5,21
2023-01-18,42.31,42.31,42.45,42.31,42.36,29,1228.74,12
2023-01-19,42.36,42.35,42.5,42.1,42.32,1056,44678.33,47
2023-01-20,42.32,42.4,42.55,42.4,42.43,159,6747.55,19
2023-01-23,42.43,42.6,42.9,42.6,42.9,827,35471.0,45
2023-01-24,42.9,44.18,44.18,42.45,42.64,437,18690.7,28
2023-01-25,42.64,42.6,42.6,41.5,41.74,4037,168824.88,89
2023-01-27,41.74,41.5,41.5,40.25,40.55,8976,365016.51,191
2023-01-30,40.55,40.8,40.98,39.29,40.2,16132,648650.32,339
2023-01-31,40.2,40.36,40.94,40.36,40.87,3690,150277.85,74
2023-02-01,40.87,41.0,41.75,40.7,41.26,4890,201235.03,199
2023-02-02,41.26,41.21,41.21,40.01,40.38,7186,289754.83,116
2023-02-03,40.38,40.4,46.04,40.4,41.66,2939,121352.35,161
2023-02-06,41.66,41.6,41.66,41.1,41.19,3201,132342.8,175
2023-02-07,41.19,41.2,41.58,41.2,41.24,3002,123903.08,98
2023-02-08,41.24,41.24,41.9,41.24,41.54,3570,148684.36,62
2023-02-09,41.54,42.8,42.8,41.1,41.37,804,33192.8,62
2023-02-10,41.37,41.4,41.5,41.4,41.5,22,912.44,12
2023-02-13,41.5,41.5,41.7,41.2,41.4,332,13735.51,43
2023-02-14,41.4,41.4,41.47,41.15,41.4,1033,42739.33,54
2023-02-15,41.4,41.48,41.68,41.3,41.42,2371,98293.1,92
2023-02-16,41.42,41.6,41.8,41.5,41.51,1371,57062.79,43
2023-02-17,41.51,41.54,41.7,40.94,41.23,7833,322976.99,96
2023-02-20,41.23,41.2,41.2,40.8,40.83,3357,137479.93,84
2023-02-21,40.83,40.8,40.95,40.6,40.7,844,34379.27,35
2023-02-22,40.7,40.7,40.7,40.0,40.07,5616,225689.86,120
2023-02-23,40.07,40.0,40.0,39.72,39.84,426,16999.61,30
2023-02-24,39.84,40.0,40.2,39.95,39.95,56,2241.55,22
2023-02-27,39.95,39.95,40.45,39.95,40.36,296,11840.83,26
2023-02-28,40.36,40.35,40.4,40.05,40.14,771,30988.28,39
2023-03-01,40.14,40.26,41.52,40.26,40.89,5777,233607.87,108
2023-03-02,40.89,40.74,40.75,40.4,40.68,3872,157182.0,62
2023-03-03,40.68,40.8,41.25,40.8,41.25,1914,78596.43,50
2023-03-06,41.25,41.25,41.74,41.25,41.34,2700,111427.83,48
2023-03-08,41.34,41.2,41.45,41.15,41.38,1760,72657.13,72
