Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-10-08,67.14,65.21,65.97,64.8,65.8,8137,532269.65,52
2024-10-09,65.8,66.43,67.31,66.0,66.18,7675,511048.22,80
2024-10-10,66.18,66.52,66.95,66.0,66.1,2338,155808.45,37
2024-10-11,66.1,67.76,67.76,65.79,66.04,2551,168225.08,41
2024-10-14,66.04,66.4,66.73,66.0,66.28,2323,154074.64,46
2024-10-15,66.28,66.52,66.63,66.07,66.11,11095,737941.59,40
2024-10-16,66.11,66.26,66.51,66.03,66.1,615,40625.76,15
2024-10-17,66.1,66.55,66.56,65.82,65.9,863,56942.07,31
2024-10-18,65.9,65.85,66.98,65.29,66.75,1126,74625.95,19
2024-10-21,66.75,67.22,67.22,65.93,65.96,994,66056.05,28
2024-10-22,65.96,65.05,65.05,63.11,63.44,4174,266607.52,62
2024-10-23,63.44,66.29,66.29,62.3,63.58,1309,82814.14,37
2024-10-24,63.58,63.5,64.68,63.43,64.43,1194,76683.65,21
2024-10-25,64.43,63.68,63.95,61.98,62.93,7616,478445.41,85
2024-10-28,62.93,64.1,65.42,63.78,65.09,373954,24388403.37,553
2024-10-29,65.09,65.58,67.62,65.15,67.55,6055,400679.3,48
2024-10-30,67.55,67.55,68.0,67.17,67.35,114196,7761468.48,183
2024-10-31,67.35,67.49,67.79,66.86,67.1,3849,259030.91,26
2024-11-01,67.1,67.23,68.33,67.17,67.77,7771,526077.31,44
2024-11-04,67.77,67.64,67.64,66.18,67.51,2686,178547.92,31
2024-11-05,67.51,67.89,69.0,67.53,68.8,285447,19505475.5,417
2024-11-06,68.8,69.25,69.89,68.98,69.74,1435880,100082403.97,1547
2024-11-07,69.74,69.75,71.7,69.49,70.14,44584,3122450.65,152
2024-11-08,70.14,69.42,69.68,68.2,68.41,5019,344933.38,98
2024-11-11,68.41,68.44,69.25,67.95,68.76,26472,1802269.87,64
2024-11-12,68.76,68.99,69.0,67.16,67.36,10372,707648.37,41
2024-11-13,67.36,67.05,67.47,65.22,65.26,504275,33247026.35,565
2024-11-14,65.26,65.41,65.51,64.85,64.85,983,64115.98,19
2024-11-18,64.85,65.0,65.39,63.88,65.39,1397,90241.74,33
2024-11-19,65.39,66.16,66.46,64.75,64.92,2313,151825.41,26
2024-11-21,64.92,63.84,63.84,61.53,63.25,87039,5463689.06,300
2024-11-22,63.25,64.1,65.41,64.1,64.89,1167,75871.35,24
2024-11-25,64.89,66.45,68.19,66.45,67.68,9104,616774.32,52
2024-11-26,67.68,67.71,68.13,67.5,67.77,9308,631388.69,49
2024-11-27,67.77,67.77,68.13,67.47,67.71,10431,705818.48,48
2024-11-28,67.71,68.18,68.85,67.95,68.44,6477,443460.25,40
2024-11-29,68.44,68.45,68.84,67.35,68.16,2230440,152332267.9,117
2024-12-02,68.16,68.96,68.96,67.53,67.94,4356,295299.45,53
2024-12-03,67.94,68.9,69.82,68.9,69.63,16546,1149563.64,86
2024-12-04,69.63,69.8,71.65,69.8,71.31,20282,1435204.23,102
2024-12-05,71.31,71.42,71.55,70.67,71.06,33586,2388366.07,93
2024-12-06,71.06,71.31,72.97,70.71,71.58,8074,580554.39,66
2024-12-09,71.58,71.42,71.68,70.92,71.17,4218,300424.78,45
2024-12-10,71.17,71.18,71.65,71.09,71.5,14547,1038632.86,92
2024-12-11,71.5,71.87,72.07,70.72,70.96,7141,507811.49,82
2024-12-12,70.96,74.11,74.11,70.16,70.23,3426,241008.27,58
2024-12-13,70.23,70.23,70.25,68.33,69.96,6768,468031.85,81
2024-12-16,69.96,70.05,70.91,70.05,70.44,1235,87135.39,40
2024-12-17,70.44,71.56,71.56,68.6,69.3,9977,692991.22,72
2024-12-18,69.3,68.94,68.94,67.9,68.11,10466,714286.41,103
2024-12-19,68.11,68.11,68.11,66.56,67.46,12240,820355.37,92
2024-12-20,67.46,67.46,67.46,65.66,65.82,12394,821994.04,90
2024-12-23,65.82,65.82,66.62,65.54,66.5,2162,143567.68,31
2024-12-24,66.5,66.47,66.65,65.95,66.14,1134,75061.36,26
2024-12-26,66.14,66.26,66.92,66.0,66.39,5325,354082.52,58
2024-12-27,66.39,66.54,66.98,65.61,65.83,134265,8926453.18,183
2024-12-30,65.83,67.15,67.15,64.79,64.89,7892,515766.17,101
2024-12-31,64.89,64.89,65.42,64.81,65.41,1509,98213.97,26
2025-01-01,65.41,65.3,65.71,64.96,65.51,592,38759.9,34
2025-01-02,65.51,65.51,66.08,64.6,66.06,1761,114595.37,48
2025-01-03,66.06,66.32,67.12,66.05,66.25,2136,142478.64,48
2025-01-06,66.25,66.25,66.25,63.38,63.57,31203,1992226.49,229
2025-01-07,63.57,63.82,64.29,63.73,63.87,9377,599450.88,60
2025-01-08,63.87,63.87,63.87,62.73,63.38,4323,273026.65,70
2025-01-09,63.38,64.97,65.4,62.42,62.56,5095,319495.82,85
2025-01-10,62.56,62.53,62.53,60.75,60.81,909938,55653731.86,430
2025-01-13,60.81,60.81,60.81,58.63,58.93,10381,620023.1,123
2025-01-14,58.93,60.3,61.68,59.98,61.41,9231,561946.5,81
2025-01-15,61.41,61.5,62.0,61.12,61.46,2726,167471.95,53
2025-01-16,61.46,62.95,63.74,62.89,63.2,9990,631403.21,50
2025-01-17,63.2,62.8,63.08,62.58,62.89,3170,198991.37,37
2025-01-20,62.89,62.89,64.73,62.89,64.15,1942,124621.4,34
2025-01-21,64.15,63.99,64.17,62.96,63.02,3800,240645.68,78
2025-01-22,63.02,62.82,62.83,61.25,62.43,3521,219655.38,69
2025-01-23,62.43,62.43,62.71,62.17,62.33,1330,83004.67,22
2025-01-24,62.33,61.76,62.47,61.4,61.45,2270,139709.95,26
2025-01-27,61.45,61.2,61.8,60.82,61.05,6749,412455.43,56
2025-01-28,61.05,61.86,62.43,61.11,62.11,5459,337168.08,38
2025-01-29,62.11,62.31,62.56,62.17,62.48,1669,104161.15,35
2025-01-30,62.48,62.64,62.87,62.21,62.31,2083,130179.41,28
2025-01-31,62.31,62.26,63.29,61.89,63.23,5958,374236.5,46
2025-02-03,62.23,61.5,61.5,60.87,61.21,2056,125939.33,62
2025-02-04,61.21,62.52,62.69,61.96,62.68,1684,105360.48,26
2025-02-05,62.68,63.41,63.78,63.14,63.2,3792,240747.45,36
2025-02-06,63.2,63.1,63.34,62.66,62.78,945,59448.59,15
2025-02-07,62.78,62.44,62.91,61.71,61.98,5615,349306.47,38
2025-02-10,61.98,61.98,61.98,61.07,61.23,2370,145331.59,55
2025-02-11,61.23,61.14,61.28,59.76,60.07,16047,963450.01,50
2025-02-12,60.07,59.6,60.8,58.75,60.57,3239,192619.49,34
2025-02-13,60.57,60.55,60.82,59.9,59.91,7636,460806.41,53
2025-02-14,59.91,59.9,59.9,58.13,58.71,135151,7915709.96,104
2025-02-17,58.71,58.13,59.03,57.76,58.91,2158,126415.67,41
2025-02-18,58.91,58.6,58.73,58.14,58.72,2882,167940.43,35
2025-02-19,58.72,58.72,59.69,58.72,59.46,7886,467746.7,41
2025-02-20,59.46,59.44,60.8,59.44,60.56,5142,310964.64,31
2025-02-21,60.56,60.69,60.83,59.54,59.65,1428,85406.7,32
2025-02-24,59.65,59.21,59.61,58.88,59.5,16976,1004885.36,35
2025-02-25,59.5,59.5,59.63,58.72,58.77,1933,114085.03,52
2025-02-27,58.77,58.85,59.06,57.99,58.13,1704,99369.08,47
2025-02-28,58.13,57.21,57.31,55.99,56.42,7990,451680.93,84
2025-03-03,56.42,56.21,56.44,55.29,56.35,5161,289183.3,41
2025-03-04,56.35,55.8,57.48,55.68,57.07,27538,1552779.28,33
2025-03-05,57.07,57.74,58.97,57.74,58.95,6652,388695.19,48
2025-03-06,58.95,59.24,59.49,59.18,59.28,2979,176503.83,20
2025-03-07,59.28,59.1,59.51,59.0,59.22,2230,132134.92,30
2025-03-10,59.22,59.2,59.3,58.12,58.47,20123,1181891.47,59
2025-03-11,58.47,58.0,58.35,57.59,58.14,2026,117441.78,24
2025-03-12,58.14,58.54,58.54,57.3,57.57,4768,274849.96,33
2025-03-13,57.57,57.57,58.23,57.57,57.76,2181,126154.93,19
2025-03-17,57.76,57.83,57.83,57.28,57.57,2486,143021.25,30
2025-03-18,57.57,57.57,58.94,57.57,58.81,12205,714569.8,21
2025-03-19,58.81,59.5,60.12,59.5,60.0,12712,761412.2,33
