Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,1159.5,1180.0,1188.0,1136.0,1155.7,13219,15319959.3,1168
2017-01-03,1155.7,1155.0,1171.0,1145.0,1156.2,3205,3710430.35,365
2017-01-04,1156.2,1155.6,1168.0,1145.0,1148.7,2877,3325671.55,377
2017-01-05,1148.7,1155.95,1158.95,1137.0,1145.55,4106,4703860.45,416
2017-01-06,1145.55,1138.1,1143.0,1120.0,1123.6,4204,4756771.1,731
2017-01-09,1123.6,1123.7,1152.0,1120.0,1145.7,3008,3428023.7,332
2017-01-10,1145.7,1153.9,1158.0,1136.0,1145.3,2706,3103686.25,491
2017-01-11,1145.3,1150.05,1190.05,1140.2,1165.95,10689,12557403.15,1261
2017-01-12,1165.95,1175.75,1175.75,1150.2,1155.25,1756,2041557.05,405
2017-01-13,1155.25,1159.35,1159.35,1135.0,1139.65,2946,3355618.6,290
2017-01-16,1139.65,1140.0,1149.95,1130.05,1136.25,4097,4659953.25,519
2017-01-17,1136.25,1126.55,1159.95,1126.55,1146.05,4721,5412587.7,580
2017-01-18,1146.05,1154.95,1154.95,1127.0,1135.45,3562,4061010.65,668
2017-01-19,1135.45,1131.5,1154.95,1131.3,1135.25,5228,5944847.55,989
2017-01-20,1135.25,1141.05,1159.0,1131.2,1152.1,8581,9821340.4,1126
2017-01-23,1152.1,1149.95,1165.0,1136.0,1155.8,8740,10041350.3,1094
2017-01-24,1155.8,1146.4,1199.0,1146.0,1185.2,29100,34306068.8,1928
2017-01-25,1185.2,1187.95,1300.0,1168.0,1255.2,63894,79149829.15,3731
2017-01-27,1255.2,1261.0,1313.0,1241.1,1290.7,58299,74521874.25,3931
2017-01-30,1290.7,1285.3,1348.0,1275.25,1331.45,69385,91359391.5,3643
2017-01-31,1331.45,1331.45,1339.0,1292.0,1306.0,15498,20395409.2,1437
2017-02-01,1306.0,1299.85,1319.5,1272.1,1290.6,17807,23054533.1,1982
2017-02-02,1290.6,1262.0,1269.0,1230.0,1248.45,35781,44756562.85,1947
2017-02-03,1248.45,1242.1,1253.0,1206.8,1211.65,223122,271148286.9,1974
2017-02-06,1211.65,1211.65,1221.05,1182.0,1189.9,14488,17471745.15,1259
2017-02-07,1189.9,1194.95,1205.0,1166.0,1171.9,6193,7330554.65,896
2017-02-08,1171.9,1187.85,1187.9,1140.0,1142.35,56884,65338058.95,1290
2017-02-09,1142.35,1133.05,1157.85,1133.0,1151.7,4919,5658453.0,667
2017-02-10,1151.7,1162.0,1162.0,1136.7,1153.75,14207,16333211.5,1205
2017-02-13,1153.75,1157.9,1196.8,1146.35,1172.25,13402,15758577.3,1835
2017-02-14,1172.25,1179.0,1179.0,1139.6,1144.5,4681,5401238.8,540
2017-02-15,1144.5,1146.15,1199.0,1121.6,1188.5,22039,25884386.1,2665
2017-02-16,1188.5,1195.0,1209.8,1170.15,1203.9,10294,12321862.9,1195
2017-02-17,1203.9,1193.7,1205.05,1180.1,1184.7,2729,3244326.8,420
