Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-03-24,76.7,80.0,86.0,77.99,84.43,140657,11713867.57,2842
2025-03-25,84.43,85.8,86.7,81.99,84.4,70490,6005667.2,1241
2025-03-26,84.4,84.4,84.99,80.0,80.43,43816,3572776.28,1093
2025-03-27,80.43,79.89,83.08,75.05,77.15,138279,11007049.22,2475
2025-03-28,77.15,78.89,80.95,75.11,76.33,49772,3877895.63,1140
2025-04-01,76.33,78.97,80.0,76.99,78.36,35883,2824027.58,1079
2025-04-02,78.36,79.54,81.99,78.01,81.43,38321,3085987.98,984
2025-04-03,81.43,80.0,81.59,79.1,81.07,21690,1740967.98,718
2025-04-04,81.07,79.85,80.65,76.83,77.81,22296,1742651.74,857
2025-04-07,77.81,77.49,77.49,69.84,72.76,49842,3598126.85,1480
2025-04-08,72.76,73.14,77.0,73.14,75.73,24263,1833592.47,1131
2025-04-09,75.73,76.48,77.84,73.5,76.62,21799,1649021.53,845
2025-04-11,76.62,77.3,80.18,76.0,76.93,36691,2875797.69,1521
2025-04-15,76.93,80.33,80.33,78.27,78.93,22113,1751048.18,852
2025-04-16,78.93,78.93,80.89,78.93,79.62,15651,1249444.82,693
2025-04-17,79.62,79.99,82.0,79.53,81.09,30565,2482460.66,1567
2025-04-21,81.09,81.2,85.29,81.0,83.42,41877,3498026.42,1375
2025-04-22,83.42,83.42,85.09,82.22,82.75,21042,1754732.52,937
2025-04-23,82.75,84.4,84.46,81.23,81.88,18943,1565142.0,680
2025-04-24,81.88,82.08,82.39,79.3,80.92,23001,1865898.88,636
2025-04-25,80.92,80.02,80.96,72.81,75.66,88672,6781030.66,2574
2025-04-28,75.66,76.02,77.3,74.78,75.98,24955,1899579.84,737
2025-04-29,75.98,76.12,76.89,76.12,76.32,9008,689884.47,398
2025-04-30,76.32,76.75,76.75,74.0,74.65,15027,1131323.57,485
2025-05-02,74.65,74.73,76.0,74.0,74.64,19299,1442989.08,847
2025-05-05,74.64,74.75,76.94,74.25,75.75,21010,1595972.65,452
2025-05-06,75.75,75.75,77.25,74.4,75.33,14177,1075130.5,626
2025-05-07,75.33,75.0,90.39,73.03,90.39,322219,28043274.73,1643
2025-05-08,90.39,94.8,107.4,93.0,100.21,2942959,298929612.83,37755
2025-05-09,100.21,97.0,102.5,95.0,100.56,515921,50943000.08,10511
2025-05-12,100.56,103.09,116.45,103.09,109.03,1151193,127262797.66,18180
2025-05-13,109.03,108.2,110.4,103.45,106.62,323314,34628468.62,5092
2025-05-14,106.62,106.95,109.0,102.1,103.47,222626,23476695.72,4355
2025-05-15,103.47,103.99,109.0,103.35,106.26,174846,18587426.11,3921
2025-05-16,106.26,107.95,107.95,103.5,103.95,115633,12140361.4,3695
2025-05-19,103.95,105.9,114.34,104.06,110.93,603283,67718936.16,6763
2025-05-20,110.93,113.0,113.0,108.0,108.78,164444,18188323.39,3408
2025-05-21,108.78,108.5,108.5,100.41,104.76,233241,24179323.73,3950
2025-05-22,104.76,102.0,104.5,102.0,103.36,33500,3447898.84,2140
2025-05-23,103.36,107.79,107.79,101.0,102.16,47130,4899404.34,1023
2025-05-26,102.16,104.9,106.0,99.69,102.44,40133,4117890.52,1443
2025-05-27,102.44,102.44,103.7,99.0,102.6,48719,4925411.47,455
2025-05-28,102.6,102.6,103.0,100.5,101.22,37527,3813024.61,1716
2025-05-29,101.22,100.5,103.9,100.5,102.52,44197,4528709.22,431
2025-05-30,102.52,102.95,103.5,101.0,103.28,38509,3935897.38,336
2025-06-02,103.28,103.35,107.0,102.77,104.97,66599,6997619.67,532
2025-06-03,104.97,105.9,106.79,103.3,103.76,28162,2955530.28,365
2025-06-04,103.76,104.35,105.0,101.51,104.33,39561,4088066.87,358
2025-06-05,104.33,103.81,106.59,103.0,104.11,28286,2948578.53,211
2025-06-06,104.11,105.9,106.19,101.2,102.98,37546,3863740.47,444
2025-06-09,102.98,104.78,104.78,101.5,102.84,28925,2959781.77,302
2025-06-10,102.84,102.84,103.89,101.0,102.0,25146,2566938.59,342
2025-06-11,102.0,101.47,103.5,101.0,102.89,36808,3758815.1,282
2025-06-12,102.89,102.99,103.95,99.1,100.39,32643,3307242.49,366
2025-06-13,100.39,98.23,101.0,96.55,99.59,23115,2291872.56,320
2025-06-16,99.59,99.0,101.8,98.5,99.58,41947,4196914.28,274
2025-06-17,99.58,101.39,102.48,100.0,101.72,28726,2918112.23,275
2025-06-18,101.72,102.0,102.95,100.0,101.36,15984,1614164.75,182
2025-06-19,101.36,101.7,106.0,100.2,103.81,64975,6650070.81,414
2025-06-20,103.81,103.79,103.79,100.51,102.62,33218,3399709.69,291
2025-06-23,102.62,103.48,103.48,98.61,101.04,27977,2824865.36,276
2025-06-24,101.04,101.49,103.45,100.5,100.63,22844,2317264.3,242
2025-06-25,100.63,100.7,102.8,100.7,101.71,30961,3160416.84,216
2025-06-26,101.71,101.11,102.8,101.11,102.3,11455,1170480.31,170
2025-06-27,102.3,103.8,103.8,100.05,102.04,31814,3227511.4,291
2025-06-30,102.04,102.8,106.0,100.7,105.36,87773,9095885.81,641
2025-07-01,105.36,105.0,110.62,104.0,110.62,102428,11123867.03,657
2025-07-02,110.62,114.0,114.0,107.4,113.43,192525,21535211.46,1310
2025-07-03,113.43,113.43,113.43,109.22,110.8,55228,6122807.91,813
2025-07-04,110.8,108.01,110.98,107.55,107.86,34347,3730011.3,454
2025-07-07,107.86,107.86,109.1,105.8,106.79,25653,2736775.09,280
2025-07-08,106.79,109.5,109.5,104.1,105.76,17974,1904181.82,180
2025-07-09,105.76,105.99,106.79,103.0,105.14,16360,1724203.02,208
2025-07-10,105.14,106.79,106.79,101.0,104.78,27588,2857278.78,295
2025-07-11,104.78,104.0,104.99,101.3,104.42,16914,1749285.62,205
2025-07-14,104.42,103.05,103.95,101.1,102.68,36022,3670177.27,313
2025-07-15,102.68,101.3,103.71,101.3,102.28,11468,1173007.5,160
2025-07-16,102.28,102.99,103.9,101.3,103.15,13680,1403594.85,182
2025-07-17,103.15,103.0,104.5,102.0,103.4,49215,5061407.52,259
2025-07-18,103.4,101.45,108.57,101.45,108.41,97654,10437555.51,746
2025-07-21,108.41,110.0,110.0,105.5,109.17,58099,6305049.84,538
2025-07-22,109.17,108.5,109.95,106.57,108.11,29786,3205642.85,326
2025-07-23,108.11,106.02,108.83,106.02,107.47,23197,2486805.44,202
2025-07-24,107.47,106.01,109.0,106.01,107.18,17277,1860159.58,193
