Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-02-06,135.0,305.0,366.0,303.1,366.0,49965562,16873384840.2,359358
2024-02-07,366.0,397.95,423.7,357.05,363.95,15744091,6181540782.7,211667
2024-02-08,363.95,350.0,359.0,322.45,339.4,6307054,2154035419.45,130520
2024-02-09,339.4,342.5,355.45,335.25,344.35,1948328,670802350.9,61124
2024-02-12,344.35,350.95,351.0,325.15,336.0,3931970,1335879586.95,91912
2024-02-13,336.0,330.95,330.95,302.0,309.3,2004515,633624458.05,63764
2024-02-14,309.3,302.05,342.7,300.0,326.0,2674558,871919573.25,60826
2024-02-15,326.0,327.8,333.9,316.8,319.85,1818042,589804301.85,33163
2024-02-16,319.85,322.8,379.45,318.05,364.25,9069121,3289052485.55,174739
2024-02-19,364.25,359.05,399.6,356.4,389.95,4905999,1899377764.15,150331
2024-02-20,389.95,389.95,418.35,386.55,399.45,5680784,2296785334.65,139175
2024-02-21,399.45,400.95,407.0,378.0,387.3,2467308,968118237.35,74258
2024-02-22,387.3,391.9,397.0,374.2,390.85,1129674,434994262.3,34414
2024-02-23,390.85,392.1,403.65,385.0,388.65,933565,367810282.85,22095
2024-02-26,388.65,388.5,406.9,377.55,388.7,2363686,930205126.2,55636
2024-02-27,388.7,390.0,404.45,386.0,387.4,2274839,894469603.35,37600
2024-02-28,387.4,390.35,399.55,356.1,372.1,2731822,1053113277.8,57827
2024-02-29,372.1,373.2,380.95,366.05,369.55,442802,165045012.05,18539
2024-03-01,369.55,374.8,388.6,373.25,379.95,2105364,800524585.9,51202
2024-03-04,380.15,383.3,388.35,362.25,365.8,695383,259311333.7,30542
2024-03-05,365.8,366.95,367.4,343.55,345.05,1924966,672744589.9,54617
2024-03-06,345.05,345.1,348.95,320.0,328.1,6024863,1989275539.8,115664
2024-03-07,328.1,334.95,336.7,318.15,321.35,999250,325844973.75,23763
2024-03-11,321.35,323.8,324.5,306.05,309.25,2222881,692016580.5,42679
2024-03-12,309.25,309.8,313.5,290.2,295.35,1857550,559824298.95,42804
2024-03-13,295.35,296.3,313.4,266.7,280.2,1752178,518725137.35,68967
2024-03-14,280.2,274.95,336.2,272.0,317.2,3605159,1137959440.6,74708
2024-03-15,317.2,319.7,333.8,312.75,325.5,1729852,561400224.1,47929
2024-03-18,325.5,327.8,332.95,313.0,316.65,1830692,583168651.85,28265
2024-03-19,316.65,317.3,321.9,303.45,310.15,2159117,673801341.7,40779
2024-03-20,310.15,312.1,318.65,305.05,313.45,2166925,675335420.85,43792
2024-03-21,313.45,318.6,324.25,314.4,317.9,544139,173366539.1,15413
2024-03-22,317.9,318.4,326.7,310.3,315.3,2803891,891303441.3,48884
2024-03-26,315.3,317.0,324.7,309.05,312.75,806155,255025457.2,30763
2024-03-27,312.75,315.0,321.9,306.5,308.05,2718895,850310964.05,49042
2024-03-28,308.05,311.0,323.55,306.7,310.0,2455581,768591098.3,44736
2024-04-01,310.0,316.5,332.0,314.35,320.8,1473020,475963377.05,43719
2024-04-02,320.8,321.8,327.0,316.5,324.6,712464,230143017.9,20429
2024-04-03,324.6,324.0,330.85,321.6,326.9,1140009,371266650.5,52898
2024-04-04,326.9,332.0,337.0,323.1,326.65,968516,318765404.4,35267
2024-04-05,326.65,327.2,332.4,324.15,327.2,682936,223836998.2,26593
2024-04-08,327.2,329.75,343.3,326.6,333.1,1321025,440903469.8,37167
2024-04-09,333.1,337.7,337.7,321.55,326.1,455995,149733860.1,26287
2024-04-10,326.1,328.4,329.5,322.6,325.35,486089,158361564.85,11483
2024-04-12,325.35,325.15,326.05,316.85,319.85,443711,142334115.95,15144
2024-04-15,319.85,306.6,320.35,304.0,308.35,659780,204256888.6,17328
2024-04-16,308.35,305.65,314.4,304.8,308.3,667474,206363636.8,18424
2024-04-18,308.3,310.0,313.75,301.0,302.3,508484,155673572.4,11859
2024-04-19,302.3,301.0,301.0,291.0,298.6,276822,82511115.6,11285
2024-04-22,298.6,302.7,308.0,299.95,302.85,303895,91880531.8,11078
2024-04-23,302.85,306.0,306.0,301.5,302.15,195694,59299192.75,5596
2024-04-24,302.15,306.0,306.95,297.85,298.65,363459,109838064.15,7867
2024-04-25,298.65,301.3,305.85,297.1,299.5,289995,87196735.4,8009
2024-04-26,299.5,302.55,304.0,297.0,299.0,224301,67347543.2,7980
2024-04-29,299.0,301.5,308.6,298.05,306.0,408032,124109965.35,10974
2024-04-30,306.0,307.65,307.65,301.0,302.55,227827,68947988.35,8139
2024-05-02,302.55,303.0,312.0,299.3,305.6,764619,233195217.9,21601
2024-05-03,305.6,306.9,307.8,298.05,299.9,380308,114250847.05,8192
2024-05-06,299.9,301.9,303.1,291.35,293.75,362991,107685235.45,12115
2024-05-07,293.75,294.3,295.45,279.0,283.35,922911,261595021.15,17152
2024-05-08,283.35,283.35,286.75,280.1,281.7,190272,53909219.35,9950
2024-05-09,281.7,282.5,283.75,267.5,268.6,572318,155929047.65,25014
2024-05-10,268.6,270.0,274.8,262.55,271.3,332612,89160332.85,16106
2024-05-13,271.3,272.5,275.95,260.25,265.85,493162,131371607.65,17326
2024-05-14,265.85,260.1,273.4,259.1,267.45,770240,205755100.25,20593
2024-05-15,267.45,267.55,289.45,267.0,280.8,752573,211048996.35,26534
2024-05-16,280.8,285.2,288.45,280.05,281.45,381060,107750193.3,10914
2024-05-17,281.45,282.8,282.8,277.2,278.15,203799,56866586.9,6769
2024-05-21,277.55,277.0,280.2,268.0,274.95,194754,53960884.6,8393
2024-05-22,274.95,275.95,279.0,274.15,274.95,141434,39080776.85,7091
2024-05-23,274.95,274.95,278.0,273.0,275.0,158885,43651024.15,8428
2024-05-24,275.0,276.3,276.45,268.1,269.7,168398,45852483.95,7793
2024-05-27,269.7,270.3,273.85,262.15,262.85,323176,85840596.1,11260
2024-05-28,262.85,262.85,265.25,255.0,255.55,291656,75605733.9,10445
2024-05-29,255.55,255.8,258.85,252.0,253.0,330126,84471658.5,7686
2024-05-30,253.0,255.4,256.65,244.8,245.75,346296,85984487.7,12674
2024-05-31,245.75,248.65,258.95,243.95,246.0,346323,86268834.6,13718
2024-06-03,246.0,280.0,280.0,251.1,253.2,402334,103690096.4,13031
2024-06-04,253.2,253.2,253.7,221.25,234.05,682821,160384705.4,23979
2024-06-05,234.05,240.0,244.95,223.55,242.2,369541,87291393.0,14899
2024-06-06,242.2,244.8,251.7,243.85,250.7,189590,47210980.25,11947
2024-06-07,250.7,252.65,258.5,249.45,256.7,219106,55636396.85,8624
2024-06-10,256.7,256.95,260.0,254.06,256.32,235804,60520329.65,8458
2024-06-11,256.32,254.25,270.0,254.0,262.7,390577,103169586.93,13995
2024-06-12,262.7,265.65,267.77,260.15,265.28,290968,77054476.92,9778
2024-06-13,265.28,268.59,271.0,263.56,268.81,327744,87841964.91,9029
2024-06-14,268.81,270.0,272.0,263.3,264.54,189165,50325733.39,7243
2024-06-18,264.54,273.5,291.0,272.0,283.02,2112555,603596203.36,53871
2024-06-19,283.02,285.2,290.8,276.1,278.94,1045828,295193443.3,28207
2024-06-20,278.94,276.05,281.55,271.0,271.97,296722,81098077.09,11482
2024-06-21,271.97,272.05,276.8,265.82,269.51,384740,104279091.51,19836
2024-06-24,269.51,269.45,269.45,263.1,267.03,162362,43212310.32,9607
2024-06-25,267.03,267.5,270.37,256.8,259.07,216398,56900379.04,11741
2024-06-26,259.07,261.0,265.52,254.25,255.99,1519737,389493325.42,14061
2024-06-27,255.99,257.2,259.92,249.0,253.15,354598,89735271.99,14325
2024-06-28,253.15,255.15,255.85,249.0,251.59,315429,79110439.6,13566
2024-07-01,251.59,251.5,259.1,251.4,253.65,534249,135719180.35,11745
2024-07-02,253.65,259.1,259.1,250.1,251.45,560688,141615531.35,14492
2024-07-03,251.45,252.55,254.0,250.0,252.15,346226,87161230.45,9467
2024-07-04,252.15,255.25,256.9,249.6,250.5,327893,82420745.95,12030
2024-07-05,250.5,250.0,251.45,244.75,245.55,597085,147524601.0,17015
