Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,2.6,2.6,2.7,2.6,2.65,1134590,3019005.6,862
2017-01-03,2.65,2.7,2.75,2.65,2.7,1227538,3307863.25,366
2017-01-04,2.7,2.7,2.75,2.65,2.7,1321973,3564219.9,570
2017-01-05,2.7,2.7,2.75,2.65,2.7,1341316,3618403.75,562
2017-01-06,2.7,2.7,2.75,2.65,2.7,1122847,3046097.25,939
2017-01-09,2.7,2.7,2.7,2.65,2.65,459518,1232899.65,221
2017-01-10,2.65,2.7,2.75,2.55,2.6,5423921,14346268.1,1892
2017-01-11,2.6,2.65,2.65,2.5,2.5,3906819,9850279.95,1599
2017-01-12,2.5,2.45,2.45,2.4,2.4,1595507,3833285.55,373
2017-01-13,2.4,2.3,2.4,2.3,2.3,4653531,10705721.3,514
2017-01-16,2.3,2.25,2.3,2.2,2.25,2556653,5715657.8,711
2017-01-17,2.25,2.25,2.35,2.25,2.35,1974263,4628962.65,591
2017-01-18,2.35,2.45,2.45,2.45,2.45,1584017,3880841.65,329
2017-01-19,2.45,2.55,2.55,2.55,2.55,109807,280007.85,64
2017-01-20,2.55,2.65,2.65,2.65,2.65,410758,1088508.7,149
2017-01-23,2.65,2.7,2.7,2.55,2.55,1620249,4168129.05,1084
2017-01-24,2.55,2.5,2.65,2.45,2.55,3583231,9088141.5,1565
2017-01-25,2.55,2.55,2.55,2.45,2.45,1382640,3404203.0,736
2017-01-27,2.45,2.4,2.55,2.35,2.45,2964960,7211950.75,1436
2017-01-30,2.45,2.5,2.55,2.4,2.45,1580957,3908218.95,670
2017-01-31,2.45,2.45,2.45,2.4,2.45,678232,1647514.55,436
2017-02-01,2.45,2.45,2.55,2.4,2.5,1864750,4621006.25,941
2017-02-02,2.5,2.5,2.55,2.45,2.5,1203025,3000713.75,478
2017-02-03,2.5,2.5,2.55,2.45,2.5,1104159,2760338.1,675
2017-02-06,2.5,2.45,2.5,2.4,2.4,1364092,3291566.9,481
2017-02-07,2.4,2.25,2.35,2.2,2.3,4104224,9356357.45,1067
2017-02-08,2.3,2.25,2.5,2.25,2.45,2860969,7022836.0,1612
2017-02-09,2.45,2.5,2.55,2.3,2.4,2769416,6733601.6,846
2017-02-10,2.4,2.35,2.4,2.3,2.35,1707413,3984328.45,594
2017-02-13,2.35,2.35,2.4,2.3,2.35,1465504,3427193.85,456
2017-02-14,2.35,2.35,2.4,2.25,2.25,1048789,2397731.5,499
2017-02-15,2.25,2.3,2.3,2.2,2.2,1362531,3043647.7,536
2017-02-16,2.2,2.25,2.25,2.05,2.15,3169282,6795929.4,867
2017-02-17,2.15,2.2,2.25,2.1,2.1,1883769,4047111.15,625
2017-02-20,2.1,2.1,2.1,2.0,2.05,2569425,5264568.95,914
2017-02-21,2.05,2.05,2.05,1.95,1.95,2256810,4477928.05,737
2017-02-22,1.95,2.0,2.0,1.85,1.85,4192288,7918471.2,1221
2017-02-23,1.85,1.85,1.85,1.7,1.75,5537584,9730188.3,1515
2017-02-27,1.75,1.7,1.9,1.7,1.9,3467324,6500716.6,863
2017-02-28,1.9,2.05,2.05,2.0,2.05,693511,1421678.25,183
