Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-08-08,401.0,419.0,424.8,383.25,386.75,14377496,5875141063.7,253685
2024-08-09,386.75,398.0,399.9,389.05,397.05,2584165,1021594017.55,61668
2024-08-12,397.05,398.0,400.75,389.05,390.3,1195723,470247742.3,33045
2024-08-13,390.3,390.0,394.0,379.3,381.15,999278,386281992.65,34510
2024-08-14,381.15,382.95,385.0,368.2,372.25,909917,339439496.4,32876
2024-08-16,372.25,380.0,397.4,373.1,392.8,1464796,568439531.55,34334
2024-08-19,392.8,398.0,402.5,391.05,393.9,1265384,499420765.2,23335
2024-08-20,393.9,394.0,396.0,386.0,389.1,699752,273569883.65,20521
2024-08-21,389.1,390.0,397.6,386.2,390.85,604419,237116618.05,17162
2024-08-22,390.85,391.0,409.7,389.75,397.3,1806007,726078558.35,40652
2024-08-23,397.3,401.4,406.1,396.5,400.95,911770,365869908.9,27686
2024-08-26,400.95,404.85,404.9,391.1,393.8,728742,290118404.85,19686
2024-08-27,393.8,408.5,421.5,400.1,404.25,3682889,1509500703.3,71749
2024-08-28,404.25,408.05,409.95,396.0,396.85,788103,316781185.4,18810
2024-08-29,396.85,400.95,401.4,387.15,389.15,825213,324946572.55,23134
2024-08-30,389.15,392.75,403.7,390.1,394.05,864163,341973861.8,18009
2024-09-02,394.05,400.0,402.0,391.7,392.9,557247,220326004.2,10877
2024-09-03,392.9,393.4,393.95,383.4,387.85,558055,215728336.05,18342
2024-09-04,387.85,382.3,394.2,382.3,390.9,528786,205804525.3,14150
2024-09-05,390.9,390.0,391.5,381.8,386.0,511565,197538192.75,21348
2024-09-06,386.0,386.95,388.85,377.25,381.4,700386,266629026.3,31284
2024-09-09,381.4,379.45,379.6,368.5,369.45,527229,195437200.6,17460
2024-09-10,369.45,374.0,380.45,367.9,370.45,573384,214112347.65,12861
2024-09-11,370.45,373.0,382.0,370.8,375.05,605551,227613053.85,10227
2024-09-12,375.05,378.95,384.0,374.5,380.45,592066,224697214.75,7721
2024-09-13,380.45,384.0,387.5,380.55,384.75,348843,133933024.75,13660
2024-09-16,384.75,385.0,386.0,376.6,381.75,469766,178854686.35,11008
2024-09-17,381.75,381.65,381.65,374.5,377.2,251178,94696864.95,8527
2024-09-18,377.2,399.0,399.6,387.5,390.9,2517765,993772207.8,42472
2024-09-19,390.9,390.9,393.15,375.0,379.55,490009,186834598.65,12396
2024-09-20,379.55,381.65,385.2,377.0,379.95,362503,137759747.2,7868
2024-09-23,379.95,384.0,396.9,381.65,392.25,635474,247768460.2,13843
2024-09-24,392.25,394.55,395.0,383.5,388.7,586214,227800862.8,11451
2024-09-25,388.7,391.0,394.7,382.3,387.9,354650,137034334.7,9942
2024-09-26,387.9,388.0,388.0,382.7,384.75,268268,103289750.2,6403
2024-09-27,384.75,385.95,387.0,380.0,380.35,232288,88775785.35,10649
2024-09-30,380.35,380.9,382.0,375.05,376.3,174821,65981280.1,6092
2024-10-01,376.3,376.2,388.8,375.1,385.75,510742,196019619.3,14892
2024-10-03,385.75,379.0,394.6,378.0,390.15,756935,294040690.45,29791
2024-10-04,390.15,390.2,397.0,381.8,388.0,561640,219714816.3,18449
2024-10-07,388.0,392.0,392.9,372.1,382.65,376254,142926009.9,15379
2024-10-08,382.65,382.55,385.7,371.1,383.85,268661,101939856.55,8596
2024-10-09,383.85,385.0,391.25,382.0,383.35,212982,82214437.9,7467
2024-10-10,383.35,383.6,392.0,381.4,390.1,574533,223385872.5,12409
2024-10-11,390.1,390.15,394.6,377.0,379.85,342356,132090555.85,8583
2024-10-14,379.85,380.95,384.2,376.0,381.8,213350,80874628.35,7126
2024-10-15,381.8,381.9,383.7,376.6,378.4,131809,49867900.4,6225
2024-10-16,378.4,383.0,385.45,377.3,378.1,379344,144383592.75,23012
2024-10-17,378.1,379.7,387.0,375.0,376.6,193210,72894072.45,6654
2024-10-18,376.6,374.25,380.8,369.0,379.4,205118,77409515.7,4385
2024-10-21,379.4,379.95,381.6,372.5,373.2,117748,44112792.95,3783
