Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,135.9,134.0,147.0,132.1,144.2,95511,13322126.2,1492
2017-01-03,144.2,149.9,173.0,149.85,163.05,153426,24531587.55,4738
2017-01-04,163.05,168.0,170.0,162.2,164.75,53333,8876492.3,1844
2017-01-05,164.75,166.0,167.0,158.2,160.0,62626,10099813.2,1618
2017-01-06,160.0,162.0,165.95,157.0,163.25,74787,12041872.45,2053
2017-01-09,163.25,168.0,173.0,164.0,167.05,84572,14303362.4,1711
2017-01-10,167.05,171.6,171.6,166.0,169.35,67526,11432181.05,1288
2017-01-11,169.35,169.4,172.0,167.0,168.0,30167,5101134.6,828
2017-01-12,168.0,169.0,169.75,164.0,164.7,14182,2365296.65,493
2017-01-13,164.7,167.95,185.85,164.75,183.75,347282,62369116.0,7729
2017-01-16,183.75,188.9,203.8,180.0,198.1,475368,92680816.3,10622
2017-01-17,198.1,199.9,205.9,194.05,199.15,257833,51933924.9,7479
2017-01-18,199.15,200.75,200.75,192.25,195.5,98219,19230397.9,2569
2017-01-19,195.5,196.0,198.75,186.0,188.9,56842,10896593.05,1750
2017-01-20,188.9,189.6,189.6,176.0,177.4,63392,11486399.9,1640
2017-01-23,177.4,176.5,184.0,173.9,179.6,36124,6487809.0,965
2017-01-24,179.6,180.35,184.0,175.4,176.6,33978,6029334.35,1020
2017-01-25,176.6,177.25,178.0,172.5,173.85,33976,5938873.5,725
2017-01-27,173.85,174.95,176.95,168.55,169.45,52219,8942852.7,1299
2017-01-30,169.45,169.9,179.5,169.35,171.0,76747,13371688.95,1477
2017-01-31,171.0,170.85,171.95,163.0,165.75,43931,7298776.6,933
2017-02-01,165.75,166.4,169.0,162.6,167.85,28639,4801232.25,822
2017-02-02,167.85,167.0,172.0,166.95,167.45,50384,8501479.15,816
2017-02-03,167.45,166.55,170.0,161.5,168.8,41452,6937839.45,1102
2017-02-06,168.8,168.1,175.0,166.0,173.3,121836,20912710.45,1266
2017-02-07,173.3,175.4,183.5,172.9,181.25,89346,15920649.4,1793
2017-02-08,181.25,182.45,189.75,180.1,184.0,78889,14630218.55,1820
2017-02-09,184.0,182.25,188.0,179.4,183.95,47878,8768905.9,974
2017-02-10,183.95,182.9,189.0,177.1,181.35,64737,11771628.0,1492
2017-02-13,181.35,182.9,184.4,171.05,173.65,24840,4387620.05,639
2017-02-14,173.65,175.45,175.45,167.1,168.1,29437,4999156.85,790
2017-02-15,168.1,163.8,168.05,158.9,164.55,101476,16495775.75,1541
2017-02-16,164.55,166.85,173.75,161.55,168.7,45733,7693223.05,3040
2017-02-17,168.7,171.35,171.9,166.5,168.4,40113,6776429.05,1024
2017-02-20,168.4,167.95,175.0,167.15,170.4,27692,4765726.85,642
2017-02-21,170.4,172.65,181.75,170.05,179.25,121071,21432535.5,2506
2017-02-22,179.25,184.8,196.0,181.05,193.15,441206,84658856.75,8256
2017-02-23,193.15,196.95,198.75,185.6,187.55,165447,31711175.55,3171
2017-02-27,187.55,187.55,194.9,185.5,186.55,67873,12808408.6,1541
2017-02-28,186.55,188.0,189.0,179.05,180.2,36785,6714948.35,1030
2017-03-01,180.2,184.0,188.1,178.9,186.15,357376,65600957.3,2729
2017-03-02,186.15,186.95,190.0,178.05,179.45,282859,52484309.6,2721
2017-03-03,179.45,180.0,183.4,178.0,180.5,190149,34275385.6,3488
2017-03-06,180.5,181.05,182.7,175.85,178.35,307045,55267518.7,3074
2017-03-07,178.35,180.05,180.4,177.55,178.35,143947,25835696.8,3904
2017-03-08,178.35,179.5,179.95,172.55,173.6,76493,13424421.1,3408
2017-03-09,173.6,173.4,177.0,172.85,173.75,92651,16118009.7,1744
2017-03-10,173.75,175.0,176.15,168.3,168.95,40283,6879800.4,971
2017-03-14,168.95,174.0,177.6,167.5,169.65,40820,6972204.5,888
2017-03-15,169.65,170.0,175.1,168.05,171.35,64768,11089282.55,1668
2017-03-16,171.35,172.05,176.0,171.1,172.3,76015,13186641.85,1508
2017-03-17,172.3,174.3,177.7,172.0,175.85,78938,13849935.4,1034
2017-03-20,175.85,177.0,183.8,171.5,172.05,30438,5306287.15,1139
2017-03-21,172.05,171.1,173.7,167.5,168.35,26584,4514004.3,570
2017-03-22,168.35,168.35,173.0,164.15,165.55,36849,6144203.65,613
2017-03-23,165.55,169.8,169.8,164.0,166.1,47316,7855512.7,1911
2017-03-24,166.1,167.8,169.6,164.0,164.55,34474,5699819.55,627
2017-03-27,164.55,166.0,166.85,159.0,163.55,207020,33765896.3,1139
2017-03-28,163.55,165.4,165.4,161.95,163.75,515620,84035226.65,1432
2017-03-29,163.75,166.25,168.9,164.2,165.4,142571,23661743.05,3938
2017-03-30,165.4,167.95,168.9,164.6,165.5,88615,14871908.85,1833
2017-03-31,165.5,166.95,173.75,161.5,171.65,362548,60237966.55,4689
