Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,904.6,905.7,907.25,897.6,900.3,177081,159634309.6,13853
2017-01-03,900.3,901.35,901.35,891.9,898.3,201444,180688782.4,14629
2017-01-04,898.3,899.5,904.9,892.0,897.65,334806,300951056.35,20898
2017-01-05,897.65,898.1,902.95,896.9,898.65,302955,272482523.75,5882
2017-01-06,898.65,898.1,903.95,896.3,899.15,499446,449087051.15,20468
2017-01-09,899.15,900.2,901.0,890.05,893.55,88165,78741360.8,7299
2017-01-10,893.55,891.0,894.85,882.0,891.9,511398,455426383.5,8848
2017-01-11,891.9,893.0,898.8,886.2,895.0,275325,245175336.4,17307
2017-01-12,895.0,898.0,898.0,884.05,890.65,247058,219710745.35,16561
2017-01-13,890.65,892.0,903.9,892.0,899.35,212269,190641122.35,20069
2017-01-16,899.35,897.65,913.95,895.55,911.0,192296,174210718.7,18179
2017-01-17,911.0,912.0,915.95,905.3,912.45,136565,124382840.2,7743
2017-01-18,912.45,912.45,924.0,907.25,915.35,278780,255641255.0,10559
2017-01-19,915.35,917.0,919.95,906.55,908.15,113383,103261404.45,8139
2017-01-20,908.15,910.2,910.2,900.65,902.35,180791,163463261.45,15594
2017-01-23,902.35,902.5,910.85,895.6,903.55,91835,83048947.55,11168
2017-01-24,903.55,904.6,906.3,895.05,898.8,234915,211372978.95,22783
2017-01-25,898.8,900.6,903.45,892.1,897.45,354684,318186741.1,35342
2017-01-27,897.45,900.0,914.7,875.85,878.9,864410,769313370.75,30170
2017-01-30,878.9,864.55,887.2,861.3,885.65,802119,703925284.4,34411
2017-01-31,885.65,882.0,895.0,880.0,887.65,316931,282102889.5,15238
2017-02-01,887.65,887.0,897.9,885.4,894.5,217014,193542122.15,10134
2017-02-02,894.5,890.0,910.6,885.7,905.65,452707,406908841.6,24567
2017-02-03,905.65,906.0,908.55,898.3,902.7,591471,532787108.55,16797
2017-02-06,902.7,902.0,914.4,889.0,892.85,455516,408138284.25,16239
2017-02-07,892.85,897.0,902.0,889.8,893.15,933995,837451617.85,13037
2017-02-08,893.15,896.1,897.0,880.5,884.35,401889,356239277.45,31395
2017-02-09,884.35,887.0,891.0,879.6,884.2,389055,343740853.25,11172
2017-02-10,884.2,891.9,898.5,885.6,890.9,322347,287308575.8,10621
2017-02-13,890.9,891.0,895.0,886.25,889.55,212907,189357865.6,9649
2017-02-14,889.55,894.5,894.5,880.0,881.8,237461,209474116.15,14206
2017-02-15,881.8,883.7,884.65,878.0,883.15,216902,191392710.2,10401
2017-02-16,883.15,885.0,912.25,879.95,907.35,5167839,4631495715.2,13781
2017-02-17,907.35,910.0,923.95,901.1,911.5,501750,458912701.85,20073
2017-02-20,911.5,904.6,928.8,904.6,923.1,595321,548323294.25,27820
2017-02-21,923.1,924.0,927.3,910.3,913.55,406933,373574727.95,21666
2017-02-22,913.55,913.0,913.0,895.1,899.85,241649,218359623.7,33893
2017-02-23,899.85,901.15,902.95,886.15,893.2,641831,574332958.55,46717
2017-02-27,893.2,895.1,901.7,887.25,889.85,394352,352551997.0,24400
2017-02-28,889.85,890.0,915.95,890.0,900.25,561745,506563999.35,30701
2017-03-01,900.25,900.5,900.95,888.6,897.3,496112,443163977.15,11876
2017-03-02,897.3,896.9,906.3,890.05,892.2,426378,381491602.7,9750
2017-03-03,892.2,892.9,914.0,889.55,910.35,308640,279633480.45,15051
2017-03-06,910.35,909.0,915.65,905.9,909.75,108270,98443717.35,4491
2017-03-07,909.75,911.5,929.0,907.3,927.3,634523,584195753.9,17928
2017-03-08,927.3,933.1,940.0,928.55,933.75,574423,536997420.6,16094
2017-03-09,933.75,938.0,947.6,927.3,944.4,495105,464943075.55,14298
2017-03-10,944.4,945.1,948.8,936.6,946.1,200127,188795815.85,5484
2017-03-14,946.1,950.0,964.8,948.05,953.1,581162,557043161.0,14845
2017-03-15,953.1,959.95,961.45,949.05,956.7,239642,228748653.7,7077
2017-03-16,956.7,965.0,981.8,964.4,978.7,650499,633511959.75,19346
2017-03-17,978.7,980.0,995.8,977.5,988.9,615074,607321154.1,14242
2017-03-20,988.9,990.0,993.0,978.25,981.5,326820,322699822.65,14722
2017-03-21,981.5,981.55,993.0,978.8,980.65,753702,739699855.2,13619
2017-03-22,980.65,975.0,984.7,971.25,980.15,433198,424397799.8,20678
2017-03-23,980.15,981.25,989.45,980.0,981.6,200423,196982164.85,9177
2017-03-24,981.6,982.7,986.1,976.0,979.9,138160,135489161.85,15098
2017-03-27,979.9,989.4,989.4,979.15,983.1,208728,205190661.9,5383
2017-03-28,983.1,984.25,990.0,980.1,987.55,101786,100272237.15,5253
2017-03-29,987.55,995.0,998.05,986.75,991.2,381954,379302978.8,20756
2017-03-30,991.2,993.0,1016.8,990.95,1008.1,533544,536977896.85,27618
2017-03-31,1008.1,1010.0,1011.95,990.95,995.5,653621,653154412.65,16715
2017-04-03,995.5,997.6,1011.45,995.6,1006.6,579938,584222488.2,11376
2017-04-05,1006.6,1007.75,1028.0,999.15,1002.7,615910,623617234.75,21607
2017-04-06,1002.7,1003.9,1010.7,1001.3,1006.15,151046,152122339.5,7738
2017-04-07,1006.15,1014.4,1021.75,1003.2,1011.25,381504,387401938.3,20877
2017-04-10,1011.25,997.15,1030.45,997.15,1015.25,363009,370113987.5,16824
2017-04-11,1015.25,1009.0,1024.9,1008.1,1021.05,272397,277667845.7,18353
2017-04-12,1021.05,1019.9,1027.0,1011.6,1022.15,553293,565989407.65,20472
2017-04-13,1022.15,1022.0,1026.4,1010.3,1015.35,325891,331686775.05,6790
2017-04-17,1015.35,1012.3,1013.85,998.0,1002.65,128164,128673086.1,4723
2017-04-18,1002.65,1005.0,1009.25,988.05,990.4,144622,144011396.7,8089
2017-04-19,990.4,990.25,992.85,980.0,989.05,263447,260430653.3,4604
2017-04-20,989.05,985.0,1008.8,985.0,1006.5,468861,466756730.4,19001
2017-04-21,1006.5,1008.0,1044.35,1007.0,1032.95,967995,989611894.6,34300
2017-04-24,1032.95,1037.5,1045.0,1025.5,1036.35,228892,236895097.35,11506
2017-04-25,1036.35,1026.0,1045.15,1016.8,1040.7,241957,249553263.15,5727
2017-04-26,1040.7,1041.85,1047.25,1025.0,1040.45,244362,254374685.35,8201
2017-04-27,1040.45,1035.0,1047.8,1031.3,1035.4,126187,131233999.65,5587
2017-04-28,1035.4,1036.55,1044.0,1029.95,1035.75,96981,100708559.9,5598
2017-05-02,1035.75,1025.75,1036.9,994.0,1033.45,726316,744678074.15,13380
2017-05-03,1033.45,1036.5,1039.0,1028.0,1037.3,103206,106615083.65,8537
2017-05-04,1037.3,1033.0,1049.0,1031.05,1041.9,428114,446273823.9,17204
2017-05-05,1041.9,1044.8,1045.9,1008.65,1012.95,230131,234956436.8,18619
2017-05-08,1012.95,1016.0,1020.95,980.7,986.15,186500,186082684.3,15227
2017-05-09,986.15,996.8,1010.0,982.1,1005.75,295545,296194376.85,11032
2017-05-10,1005.75,1008.0,1032.45,1004.85,1019.45,242587,247370364.2,8679
2017-05-11,1019.45,1017.0,1026.0,1006.5,1009.65,155938,158720167.4,8356
2017-05-12,1009.65,1012.0,1020.7,1007.0,1014.1,202159,204936569.95,6981
2017-05-15,1014.1,1014.0,1029.95,978.0,994.35,916348,912928999.35,30748
2017-05-16,994.35,969.85,985.0,966.75,976.6,1007946,983378102.95,18348
2017-05-17,976.6,977.0,980.1,971.2,976.5,852062,831034320.8,12841
2017-05-18,976.5,987.0,995.35,975.95,980.0,394384,387685124.8,12289
2017-05-19,980.0,1018.0,1044.95,1009.55,1016.4,1211956,1240325078.0,37461
2017-05-22,1016.4,1025.0,1031.8,1000.5,1003.6,156396,158643204.9,6558
2017-05-23,1003.6,1008.5,1010.95,985.0,987.1,153100,152134637.55,7680
2017-05-24,987.1,988.75,1010.3,983.9,989.9,342061,341510359.5,10726
2017-05-25,989.9,997.0,999.0,975.05,980.05,277423,272445074.0,6012
2017-05-26,980.05,988.2,1004.35,980.35,1000.6,129610,129269699.6,7471
2017-05-29,1000.6,1001.0,1029.5,996.6,1019.5,253817,258384301.65,11039
2017-05-30,1019.5,1018.55,1030.0,1010.0,1012.45,125770,128113270.45,4375
2017-05-31,1012.45,1011.95,1019.5,1009.7,1014.55,106165,107722366.75,5097
2017-06-01,1014.55,1015.7,1049.85,1013.25,1036.3,481801,499156604.5,12314
2017-06-02,1036.3,1044.0,1045.0,1022.0,1025.95,388157,400655718.25,10267
2017-06-05,1025.95,1026.9,1036.05,1018.35,1020.75,179843,184639015.7,12287
2017-06-06,1020.75,1022.0,1033.55,1009.15,1027.05,183345,187886229.0,7335
2017-06-07,1027.05,1030.05,1069.1,1028.6,1066.1,739714,782417877.55,25234
2017-06-08,1066.1,1067.0,1084.9,1063.0,1076.35,516562,555458032.25,11173
2017-06-09,1076.35,1067.3,1081.6,1066.5,1076.25,157585,169417357.7,4452
2017-06-12,1076.25,1074.8,1087.0,1065.65,1081.05,222753,240355572.7,10758
2017-06-13,1081.05,1081.05,1084.0,1066.7,1070.3,165468,177365058.55,7939
2017-06-14,1070.3,1076.9,1076.9,1069.0,1072.9,138612,148580359.85,9019
2017-06-15,1072.9,1069.5,1081.95,1069.5,1078.75,361186,389228202.95,8599
2017-06-16,1078.75,1081.9,1101.0,1070.9,1094.75,458594,497428978.15,12523
2017-06-19,1094.75,1104.85,1109.9,1091.6,1098.95,485797,535034522.5,11857
2017-06-20,1098.95,1107.0,1107.0,1078.55,1081.75,179117,195162298.25,6482
2017-06-21,1081.75,1081.0,1109.0,1074.0,1101.95,226130,247425915.05,8652
2017-06-22,1101.95,1106.7,1110.0,1096.0,1103.1,310482,342354305.85,6879
2017-06-23,1103.1,1109.0,1123.7,1103.8,1111.3,488517,542950174.25,14925
2017-06-27,1111.3,1101.0,1113.05,1086.5,1093.8,218396,239071787.55,6720
2017-06-28,1093.8,1097.45,1097.45,1071.0,1088.45,433219,469913163.15,18370
2017-06-29,1088.45,1094.0,1097.65,1082.05,1087.15,257238,280366306.25,8798
2017-06-30,1087.15,1088.5,1114.7,1080.0,1110.85,282459,310806272.1,13388
2017-07-03,1110.85,1116.0,1138.9,1115.0,1133.4,220496,248502281.0,9438
2017-07-04,1133.4,1128.0,1132.85,1112.0,1119.35,205133,229969473.7,7221
2017-07-05,1119.35,1120.0,1124.0,1110.95,1113.6,223084,248744811.25,7259
2017-07-06,1113.6,1114.0,1114.8,1103.45,1106.05,253109,280570405.8,8105
2017-07-07,1106.05,1105.0,1106.05,1083.1,1088.7,1134865,1234530110.6,18578
2017-07-10,1088.7,1090.0,1103.7,1055.1,1094.4,72426,79217669.2,2002
2017-07-11,1094.4,1096.95,1101.0,1077.0,1079.05,475038,514622138.7,13457
2017-07-12,1079.05,1066.0,1084.5,1066.0,1077.1,564837,608521387.55,14700
2017-07-13,1077.1,1082.0,1087.35,1072.5,1074.9,452191,487367523.5,17157
2017-07-14,1074.9,1076.0,1077.05,1065.0,1069.4,201973,216217564.55,8382
2017-07-17,1069.4,1069.4,1075.6,1059.3,1070.8,140311,149638250.2,9030
2017-07-18,1070.8,1070.0,1079.8,1062.0,1073.2,271165,290826918.0,14111
2017-07-19,1073.2,1069.0,1076.45,1067.65,1071.35,220772,236579620.3,7404
2017-07-20,1071.35,1072.0,1074.45,1061.5,1062.9,229385,244813733.7,4293
2017-07-21,1062.9,1065.0,1074.0,1060.2,1069.2,364066,389166982.4,9232
2017-07-24,1069.2,1072.0,1072.0,1061.5,1069.9,309930,330800386.2,5684
2017-07-25,1069.9,1070.0,1073.95,1064.45,1066.8,239411,255998916.15,5977
2017-07-26,1066.8,1062.5,1071.65,1060.05,1065.7,214637,228623991.1,5234
2017-07-27,1065.7,1070.0,1084.4,1062.6,1077.65,860688,922297604.0,16258
2017-07-28,1077.65,1075.55,1082.95,1063.2,1070.75,104614,112017050.4,5086
2017-07-31,1070.75,1075.0,1087.0,1071.05,1079.55,188132,202965396.9,6488
2017-08-01,1079.55,1080.0,1085.95,1067.4,1069.75,119519,127987141.85,6205
2017-08-02,1069.75,1077.95,1077.95,1030.0,1039.25,421149,439194895.95,13460
2017-08-03,1039.25,1038.85,1098.9,1027.5,1083.3,1577611,1699864417.1,39001
2017-08-04,1083.3,1070.0,1085.4,1067.8,1073.5,569676,614206163.95,19448
2017-08-07,1073.5,1079.0,1079.0,1066.0,1071.85,119734,128529280.4,4023
2017-08-08,1071.85,1080.0,1080.0,1059.3,1066.85,163103,174336199.7,7499
2017-08-09,1066.85,1070.0,1070.0,1046.55,1056.75,215316,227194132.95,8476
2017-08-10,1056.75,1054.0,1056.95,1036.0,1054.65,186856,196392972.9,6386
2017-08-11,1054.65,1038.65,1059.0,1038.65,1047.25,124920,130651794.4,9051
2017-08-14,1047.25,1046.4,1063.0,1040.0,1047.1,110435,116434484.15,6186
2017-08-16,1047.1,1056.0,1070.85,1047.95,1066.8,158759,168727431.55,6647
2017-08-17,1066.8,1068.0,1068.0,1055.1,1059.65,95935,101806509.45,7548
2017-08-18,1059.65,1055.0,1077.5,1051.0,1074.2,1041386,1118017567.55,9480
2017-08-21,1074.2,1065.1,1098.0,1065.1,1080.45,278475,302766828.5,11444
2017-08-22,1080.45,1091.0,1096.0,1079.2,1084.75,317112,344877393.6,14110
2017-08-23,1084.75,1085.1,1093.5,1082.65,1087.15,140835,153060705.4,5433
2017-08-24,1087.15,1085.0,1098.0,1084.95,1093.75,290514,317590049.4,11910
2017-08-28,1093.75,1095.0,1108.4,1087.5,1100.25,440426,484720210.4,17802
2017-08-29,1100.25,1101.0,1101.55,1086.6,1096.8,130593,142989477.35,6236
2017-08-30,1096.8,1098.35,1114.8,1093.6,1105.2,180346,199443944.0,7063
2017-08-31,1105.2,1106.0,1119.0,1102.55,1112.55,246673,274215076.45,15789
2017-09-01,1112.55,1115.0,1133.0,1113.0,1124.25,381082,428940287.05,14453
2017-09-04,1124.25,1120.0,1126.95,1105.0,1112.05,253049,281922647.1,7223
2017-09-05,1112.05,1112.05,1120.3,1105.25,1109.6,109897,122341072.35,7766
2017-09-06,1109.6,1105.5,1120.0,1105.5,1115.9,188337,209331108.65,4745
2017-09-07,1115.9,1113.0,1153.0,1113.0,1145.9,458818,522290577.75,14921
2017-09-08,1145.9,1145.0,1165.45,1134.35,1159.0,525066,606368523.75,31144
