Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-11-02,70.48,71.45,74.45,71.16,71.42,4190,300344.11,87
2021-11-03,71.42,71.8,72.0,71.1,71.11,7272,517960.7,65
2021-11-04,71.11,82.0,82.0,71.51,71.54,2071,156696.99,68
2021-11-08,71.54,71.54,73.0,71.5,72.15,29658,2139316.66,83
2021-11-09,72.15,72.15,75.28,72.15,72.15,1463,105922.53,83
2021-11-10,72.15,72.4,74.31,72.0,72.56,1913,138782.87,81
2021-11-11,72.56,71.51,73.5,71.51,72.15,4617,333453.33,84
2021-11-12,72.15,74.31,74.31,72.51,73.23,1617,118064.72,71
2021-11-15,73.23,73.6,73.94,73.31,73.82,1991,146609.11,68
2021-11-16,73.82,76.68,76.68,73.6,74.08,1000,73959.15,49
2021-11-17,74.08,74.08,74.65,73.9,74.54,2432,181082.45,41
2021-11-18,74.54,74.8,74.99,73.1,73.45,18496,1356884.71,110
2021-11-22,73.45,76.0,76.0,71.71,72.12,1382,100548.88,85
2021-11-23,72.12,73.0,73.89,71.81,72.83,67722,4923213.41,79
2021-11-24,72.83,58.05,74.2,58.05,72.36,7071,513215.97,76
2021-11-25,72.36,76.0,76.0,71.15,72.34,1756,126746.79,89
2021-11-26,72.34,71.33,72.1,70.61,71.34,10062,713919.14,86
2021-11-29,71.34,75.93,75.93,68.36,70.58,8339,592198.21,182
2021-11-30,70.58,74.3,74.3,70.1,70.73,260,18498.1,97
2021-12-01,70.73,73.94,73.94,57.01,70.1,2463,159096.7,65
2021-12-02,70.1,69.0,72.5,68.9,70.75,686,48458.26,87
2021-12-03,70.75,72.5,72.5,69.62,71.15,350,24909.66,99
2021-12-06,71.15,70.6,72.05,69.55,70.07,760,53454.79,78
2021-12-07,70.07,70.4,70.4,68.9,69.21,2550,175852.81,101
2021-12-08,69.21,73.0,73.0,68.92,70.1,753,52760.22,120
2021-12-09,70.1,70.6,71.5,70.16,70.75,343,24300.02,82
2021-12-10,70.75,73.4,73.4,69.99,71.17,647,45982.94,77
2021-12-13,71.17,71.17,72.95,70.0,71.51,2256,161271.96,96
2021-12-14,71.51,72.5,72.5,69.23,70.44,3178,221814.17,87
2021-12-15,70.44,70.99,70.99,70.05,70.05,594,41707.01,56
2021-12-16,70.05,76.0,76.0,70.06,70.34,320,22514.05,66
2021-12-17,70.34,73.85,73.85,68.7,69.11,306,21178.84,82
2021-12-20,69.11,69.9,70.34,67.01,67.43,1054,71381.67,77
2021-12-21,67.43,70.0,70.0,67.0,68.07,794,54257.81,92
2021-12-22,68.07,72.5,72.5,67.11,68.54,654,44902.24,100
2021-12-23,68.54,68.8,72.0,67.6,69.14,2173,151489.95,133
2021-12-24,69.14,73.85,81.95,67.6,68.68,1012,70557.03,126
2021-12-27,68.68,82.25,82.25,67.0,68.93,831,58568.68,125
2021-12-28,68.93,72.0,72.0,66.65,69.1,483,33542.3,60
2021-12-29,69.1,82.2,82.2,68.7,69.74,505,35736.51,83
2021-12-30,69.74,70.0,71.5,69.35,69.47,552,38619.42,101
2021-12-31,69.47,70.0,71.0,68.45,70.56,210,14735.96,97
2022-01-03,70.56,74.3,74.3,69.56,71.15,1357,96072.21,99
2022-01-04,71.15,73.0,73.0,70.29,70.55,183,12981.59,78
2022-01-05,70.55,73.0,73.0,70.07,71.61,1493,106893.59,83
2022-01-06,71.61,71.8,72.6,70.0,71.22,894,63484.49,61
2022-01-07,71.22,74.0,74.0,71.0,72.4,1054,75954.0,80
2022-01-10,72.4,73.5,82.25,71.06,72.6,12976,950129.31,338
2022-01-11,72.6,72.45,74.2,71.85,72.55,3354,243075.99,76
2022-01-12,72.55,73.1,73.6,71.95,72.18,862,62520.5,46
2022-01-13,72.18,72.6,73.3,70.95,72.62,406,29263.35,60
