Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,41.8,42.25,42.3,41.55,41.8,148754,6244545.8,767
2017-01-03,41.8,41.8,42.5,41.5,42.0,195693,8242327.75,844
2017-01-04,42.0,42.0,42.25,41.45,41.55,120810,5052847.25,755
2017-01-05,41.55,41.8,42.45,41.8,42.05,210331,8862897.45,1076
2017-01-06,42.05,42.05,42.8,41.8,41.9,243270,10278946.7,1415
2017-01-09,41.9,42.35,42.35,41.5,41.65,143065,5991005.15,704
2017-01-10,41.65,42.25,42.35,41.75,42.0,227822,9575544.5,961
2017-01-11,42.0,42.1,43.7,42.05,43.15,473078,20310490.45,2078
2017-01-12,43.15,43.35,43.35,42.6,42.75,256595,11013694.65,1489
2017-01-13,42.75,42.7,43.2,42.55,42.85,171738,7356214.1,2643
2017-01-16,42.85,43.1,43.3,42.6,42.95,123884,5323545.35,722
2017-01-17,42.95,43.0,43.5,42.7,42.9,206111,8868683.35,1099
2017-01-18,42.9,43.05,43.25,42.6,42.75,219334,9406631.85,993
2017-01-19,42.75,42.65,43.2,42.2,42.75,103025,4408567.15,873
2017-01-20,42.75,42.95,42.95,42.05,42.2,135419,5743298.55,1040
2017-01-23,42.2,42.3,42.55,42.05,42.4,117034,4951966.5,763
2017-01-24,42.4,42.4,42.7,42.1,42.45,98012,4153609.55,672
2017-01-25,42.45,42.5,43.3,42.25,43.15,214061,9172144.1,854
2017-01-27,43.15,43.5,44.45,42.85,43.75,479132,21065525.4,2290
2017-01-30,43.75,43.25,44.9,43.25,44.2,419451,18542454.95,2207
2017-01-31,44.2,43.9,44.5,43.0,43.15,240644,10443550.7,1272
2017-02-01,43.15,43.9,44.4,43.25,44.1,273093,11969949.45,1281
2017-02-02,44.1,43.9,49.85,43.2,47.95,4396226,208520426.3,15238
2017-02-03,47.95,47.5,50.9,47.25,49.95,2679303,132115386.6,10003
2017-02-06,49.95,50.7,50.9,48.2,49.0,1349659,66749858.6,5066
2017-02-07,49.0,48.8,56.05,48.6,52.6,3960897,210744281.15,19643
2017-02-08,52.6,53.0,53.7,51.4,53.15,1257086,66395882.85,4807
2017-02-09,53.15,53.3,54.0,50.55,51.35,1321038,68478036.0,4728
2017-02-10,51.35,51.55,53.7,50.45,51.25,1171087,61302959.5,4825
2017-02-13,51.25,51.5,52.35,49.25,49.8,831922,42045987.15,3621
2017-02-14,49.8,50.0,50.0,47.65,48.25,1036794,50124641.45,6257
2017-02-15,48.25,48.35,48.35,46.4,46.65,671911,31740234.6,3316
2017-02-16,46.65,46.75,47.6,46.3,46.7,1195265,56267614.9,3490
2017-02-17,46.7,47.05,47.75,46.0,46.25,526522,24600801.1,1995
2017-02-20,46.25,46.25,48.1,46.15,47.5,782611,36932662.25,3417
2017-02-21,47.5,47.95,49.4,47.55,48.6,653194,31779907.4,2848
2017-02-22,48.6,48.45,49.0,46.85,47.0,535313,25646792.0,2224
2017-02-23,47.0,47.1,48.0,46.55,46.95,644408,30373973.25,1834
2017-02-27,46.95,46.9,47.35,46.0,46.3,563697,26314035.45,2201
2017-02-28,46.3,46.6,47.45,46.05,46.95,1046554,48903961.1,2151
2017-03-01,46.95,47.05,49.3,47.05,48.6,1348582,65267032.4,4574
2017-03-02,48.6,48.6,49.1,47.05,47.6,702418,33705832.75,2758
2017-03-03,47.6,47.3,47.65,46.85,47.1,260206,12282518.7,1146
2017-03-06,47.1,47.1,47.9,47.0,47.3,267033,12648789.4,1007
2017-03-07,47.3,47.6,47.6,47.1,47.3,240567,11384796.7,759
2017-03-08,47.3,47.3,47.5,46.35,46.8,356430,16736187.75,3029
2017-03-09,46.8,46.65,46.95,46.2,46.5,427274,19940610.45,2218
2017-03-10,46.5,46.6,47.0,46.35,46.45,214012,9985662.35,983
2017-03-14,46.45,47.6,47.95,46.55,46.95,429936,20215251.35,1413
2017-03-15,46.95,47.0,48.15,46.5,47.45,892415,42268294.3,3068
2017-03-16,47.45,48.0,49.2,47.6,48.65,859535,41695404.45,3209
2017-03-17,48.65,48.6,48.95,47.15,47.4,544022,25899744.7,2497
2017-03-20,47.4,47.5,48.15,47.35,47.8,439247,20975577.25,2333
2017-03-21,47.8,47.7,48.35,47.1,47.3,412150,19608388.25,2204
2017-03-22,47.3,47.2,47.5,46.7,46.8,279764,13171354.6,1256
2017-03-23,46.8,47.2,47.2,46.6,46.8,163852,7689090.0,969
2017-03-24,46.8,46.95,49.25,46.8,48.25,1387853,67163559.85,5561
2017-03-27,48.25,48.5,49.65,48.4,49.1,807011,39578679.6,3911
2017-03-28,49.1,49.25,49.65,48.45,48.85,418553,20568828.15,1741
2017-03-29,48.85,48.85,51.4,48.7,51.1,1960982,99440987.7,6599
2017-03-30,51.1,51.0,51.9,50.9,51.55,896482,46177412.05,4228
2017-03-31,51.55,51.9,53.4,50.7,52.65,1182105,61701425.1,3692
2017-04-03,52.65,52.65,55.4,52.2,54.9,1804402,98224368.0,6900
2017-04-05,54.9,55.0,56.35,54.0,55.45,1166743,64496095.2,4611
2017-04-06,55.45,55.2,55.2,52.85,53.1,945153,50819287.0,3953
2017-04-07,53.1,53.0,58.7,52.35,54.65,2623421,146012970.4,9890
2017-04-10,54.65,55.0,59.6,55.0,59.1,2750317,158875522.15,12361
2017-04-11,59.1,59.0,59.9,57.4,58.9,1425997,83685187.3,5532
2017-04-12,58.9,59.2,59.2,56.05,56.8,774393,44204950.05,3517
2017-04-13,56.8,56.8,58.0,54.45,54.75,1232886,68915998.75,5406
2017-04-17,54.75,55.4,55.4,53.55,54.1,380092,20600817.85,1619
2017-04-18,54.1,54.4,57.0,54.1,54.65,933416,52007045.45,3733
2017-04-19,54.65,54.75,55.45,53.7,54.6,463992,25351953.9,2059
2017-04-20,54.6,54.4,56.4,54.4,55.15,630370,34897625.55,2133
2017-04-21,55.15,55.3,55.8,53.3,53.75,699228,37934795.3,2603
2017-04-24,53.75,54.6,55.9,54.05,55.3,865076,47686423.4,2849
2017-04-25,55.3,55.35,57.5,55.35,56.2,1254253,70788114.7,4352
2017-04-26,56.2,56.7,58.0,55.15,56.35,1088879,62016974.7,4191
2017-04-27,56.35,56.6,57.0,55.65,56.3,386466,21737621.3,1769
2017-04-28,56.3,56.4,59.25,56.3,58.7,2518615,147607214.45,6316
2017-05-02,58.7,59.35,62.0,59.05,60.25,3124907,188902923.5,11726
2017-05-03,60.25,60.7,63.3,60.6,61.35,2316263,142987255.7,8754
2017-05-04,61.35,62.2,63.3,61.9,62.45,1490818,93197279.35,5592
2017-05-05,62.45,63.0,64.75,59.45,60.6,2665584,166430278.85,10189
2017-05-08,60.6,60.6,62.35,60.6,61.95,807372,49916292.8,3021
2017-05-09,61.95,62.25,62.8,61.05,61.95,921557,57090916.7,4656
2017-05-10,61.95,62.25,62.6,59.9,60.2,892211,54780190.1,3533
2017-05-11,60.2,60.5,61.8,60.5,60.7,648881,39588765.5,2587
2017-05-12,60.7,61.1,61.2,58.05,58.35,677805,40187928.1,3013
2017-05-15,58.35,58.85,60.8,57.25,57.65,630806,36857373.05,2611
2017-05-16,57.65,58.35,59.7,57.55,59.35,657125,38732620.4,2625
2017-05-17,59.35,59.6,60.45,59.1,59.45,468431,27977405.15,2163
2017-05-18,59.45,58.75,59.05,57.0,57.85,487178,28374335.25,2055
2017-05-19,57.85,58.05,58.7,55.95,56.35,551576,31535019.95,2177
2017-05-22,56.35,58.0,58.0,52.6,53.15,1063746,58377800.05,4523
2017-05-23,53.15,53.45,53.85,50.3,50.7,1021433,52541459.0,4733
2017-05-24,50.7,51.7,51.95,48.7,49.3,667697,33443008.35,2974
2017-05-25,49.3,49.3,50.8,49.3,50.5,547372,27406367.05,2196
2017-05-26,50.5,51.1,52.45,50.5,52.0,533882,27521637.4,2854
2017-05-29,52.0,52.4,53.0,50.65,51.15,770151,40144168.25,3095
2017-05-30,51.15,51.0,51.3,49.8,50.05,576789,28950371.35,2110
2017-05-31,50.05,50.4,50.95,49.5,49.95,426566,21357628.55,2125
2017-06-01,49.95,50.25,50.6,49.65,50.35,372939,18721813.85,2034
2017-06-02,50.35,50.8,52.0,50.05,51.7,547983,28176230.8,2824
2017-06-05,51.7,52.0,52.3,51.05,51.55,277779,14405405.05,2154
2017-06-06,51.55,51.45,52.0,50.15,50.35,276539,14107879.55,1693
2017-06-07,50.35,50.95,51.8,50.3,51.35,326113,16598568.05,2801
2017-06-08,51.35,51.9,52.3,51.1,51.9,329533,17001960.15,3309
2017-06-09,51.9,52.0,52.25,50.65,52.0,280067,14509663.1,1429
2017-06-12,52.0,52.0,52.45,50.65,51.15,292400,15063205.8,2266
2017-06-13,51.15,51.15,51.8,50.7,50.8,241965,12409767.45,1306
2017-06-14,50.8,51.35,52.95,50.15,52.6,989669,51328728.85,3960
2017-06-15,52.6,52.6,52.8,51.8,51.85,409389,21300411.45,1751
2017-06-16,51.85,51.65,54.9,51.65,54.35,1089844,58331337.55,8477
2017-06-19,54.35,54.35,54.95,53.05,53.5,425390,22970489.05,3991
2017-06-20,53.5,54.5,56.8,52.8,55.75,922403,50748345.6,4963
2017-06-21,55.75,55.5,55.75,54.5,55.1,437867,24160740.05,3991
2017-06-22,55.1,55.4,55.85,52.25,52.8,510829,27661969.1,3193
2017-06-23,52.8,52.65,53.3,51.6,52.05,409434,21348188.8,2596
2017-06-27,52.05,51.9,52.0,49.3,50.45,532913,26729987.95,3412
2017-06-28,50.45,50.45,51.9,49.4,50.65,292134,14767423.9,1901
2017-06-29,50.65,51.6,51.7,49.5,49.85,434924,21922390.45,3586
2017-06-30,49.85,50.35,50.35,49.45,49.7,319592,15940611.55,1565
2017-07-03,49.7,50.5,51.0,49.1,50.25,277343,13917630.25,1777
2017-07-04,50.25,50.45,51.3,50.3,50.65,180540,9149678.15,1171
2017-07-05,50.65,50.6,51.25,50.15,50.9,174580,8856196.05,998
2017-07-06,50.9,50.7,52.4,50.7,51.95,463244,24066746.55,3228
2017-07-07,51.95,52.0,52.5,51.8,52.2,248832,12985224.25,1753
2017-07-10,52.2,50.0,53.0,50.0,52.6,93857,4939661.65,652
2017-07-11,52.6,52.1,52.9,50.9,51.1,239147,12419453.75,1388
2017-07-12,51.1,51.5,52.8,51.25,52.4,255077,13260900.75,3848
2017-07-13,52.4,52.9,53.0,52.0,52.4,249983,13126406.35,3331
2017-07-14,52.4,52.4,55.9,51.5,54.0,747784,40130736.55,3597
2017-07-17,54.0,54.4,54.7,52.85,53.25,304882,16304495.5,2144
2017-07-18,53.25,53.0,54.1,52.4,52.65,280455,14908898.95,1688
2017-07-19,52.65,52.9,53.1,52.2,52.65,178358,9408122.1,1240
2017-07-20,52.65,52.45,52.7,51.2,51.5,175259,9110667.45,1166
2017-07-21,51.5,51.55,51.85,51.05,51.25,159696,8207666.45,915
2017-07-24,51.25,51.25,52.45,51.25,51.65,209332,10854748.9,1062
2017-07-25,51.65,51.6,52.2,51.1,51.9,229077,11846908.15,1261
2017-07-26,51.9,52.0,52.5,51.2,51.45,216262,11188543.0,1221
2017-07-27,51.45,51.55,52.15,51.05,51.25,249351,12882010.75,1267
2017-07-28,51.25,51.25,51.65,50.9,51.0,133653,6836023.5,925
2017-07-31,51.0,50.5,51.75,50.05,50.65,448235,22703055.15,1734
2017-08-01,50.65,50.6,51.0,50.0,50.15,337570,16996052.5,944
2017-08-02,50.15,50.2,50.9,49.6,49.95,240556,12092841.85,1364
2017-08-03,49.95,50.05,50.15,48.0,48.9,281740,13881003.7,1875
2017-08-04,48.9,49.25,49.6,48.7,48.9,135543,6652479.4,1016
2017-08-07,48.9,49.3,49.4,48.4,48.7,177926,8685573.25,975
2017-08-08,48.7,48.6,50.5,48.3,48.55,418955,20538857.75,1887
2017-08-09,48.55,48.5,50.5,48.35,50.25,358964,17824519.65,2002
2017-08-10,50.25,50.0,50.15,45.6,46.4,641574,31128323.4,2338
2017-08-11,46.4,45.9,47.45,45.0,46.65,323836,15057228.2,1925
2017-08-14,46.65,46.6,46.7,44.75,45.95,393257,18037575.55,3308
2017-08-16,45.95,46.0,46.45,43.1,45.95,302775,13731768.45,1713
2017-08-17,45.95,45.5,46.9,45.5,46.4,235480,10928814.45,1215
2017-08-18,46.4,46.05,46.25,45.3,45.55,133815,6110536.8,1007
2017-08-21,45.55,45.55,46.1,44.9,45.15,130792,5939737.3,1264
2017-08-22,45.15,45.15,45.4,44.1,44.45,135755,6053411.9,1112
2017-08-23,44.45,44.6,45.8,44.6,45.45,197297,8958986.0,1261
2017-08-24,45.45,46.0,46.8,45.2,46.55,230582,10611505.45,1312
2017-08-28,46.55,47.0,47.0,46.25,46.55,121889,5673697.3,862
2017-08-29,46.55,46.4,46.45,44.4,45.1,174223,7916877.1,1239
2017-08-30,45.1,45.2,45.8,45.1,45.2,101489,4617859.0,693
2017-08-31,45.2,45.25,45.65,44.5,44.7,265810,11952631.4,2020
2017-09-01,44.7,44.8,45.45,44.5,44.9,180592,8136194.95,1357
2017-09-04,44.9,45.0,45.25,44.2,44.3,148478,6630028.05,1254
2017-09-05,44.3,44.7,44.9,44.0,44.4,285505,12691434.85,1082
2017-09-06,44.4,44.4,44.7,44.0,44.1,114856,5079865.45,840
2017-09-07,44.1,44.15,44.9,44.15,44.75,181226,8071556.4,1948
2017-09-08,44.75,44.35,44.9,44.0,44.2,160019,7091846.6,1397
2017-09-11,44.2,45.5,45.5,44.05,44.25,174875,7762539.8,1717
2017-09-12,44.25,44.1,45.25,44.1,45.1,457839,20607121.8,3833
2017-09-13,45.1,45.2,45.75,44.7,45.45,186097,8475249.75,1438
2017-09-14,45.45,45.05,46.2,45.05,45.35,132678,6050094.55,2220
2017-09-15,45.35,45.25,46.1,43.9,44.25,664324,29661454.45,7041
2017-09-18,44.25,44.4,45.2,44.1,44.2,263425,11729113.65,1779
2017-09-19,44.2,44.1,44.3,43.55,43.75,247695,10866973.25,1762
2017-09-20,43.75,43.7,44.7,43.35,44.25,371250,16289100.35,2575
2017-09-21,44.25,43.8,44.3,43.25,43.35,219590,9555135.75,1584
2017-09-22,43.35,43.2,43.45,42.55,42.8,364030,15685027.75,2540
2017-09-25,42.8,42.95,42.95,41.1,41.5,213282,8873031.7,2405
2017-09-26,41.5,41.5,41.7,40.95,41.1,176487,7265860.7,2087
2017-09-27,41.1,41.15,41.5,40.0,40.15,254431,10302525.05,2229
2017-09-28,40.15,40.4,40.4,39.5,40.1,177450,7103563.7,3044
2017-09-29,40.1,39.8,40.6,39.8,40.0,152418,6126611.65,1122
2017-10-03,40.0,40.3,40.4,37.7,38.85,263151,10372989.95,1824
2017-10-04,38.85,39.0,39.55,38.75,39.05,323471,12639070.85,1477
2017-10-05,39.05,38.9,39.85,38.9,39.65,173757,6866136.6,1804
2017-10-06,39.65,39.95,41.35,39.95,40.65,279920,11346923.3,1566
2017-10-09,40.65,41.05,41.1,40.2,40.3,168785,6846147.85,1210
2017-10-10,40.3,40.65,40.7,40.05,40.6,164348,6648884.35,1013
2017-10-11,40.6,40.8,40.9,39.65,39.85,172822,6944213.75,1082
2017-10-12,39.85,40.1,40.1,39.3,39.4,150483,5952602.55,1229
2017-10-13,39.4,39.45,40.25,39.4,39.75,245010,9761677.55,1773
2017-10-16,39.75,40.2,40.5,39.5,39.6,194657,7740422.0,2276
2017-10-17,39.6,39.65,40.0,39.1,39.25,161379,6375822.1,1617
2017-10-18,39.25,39.5,39.5,39.0,39.05,102105,4004695.2,764
2017-10-19,39.05,39.9,39.9,38.9,39.2,90937,3563345.85,576
2017-10-23,39.2,39.5,39.5,38.0,38.15,435200,16712899.55,2368
2017-10-24,38.15,38.15,39.9,38.15,39.2,904225,35309774.2,3413
2017-10-25,39.2,43.1,47.0,43.1,47.0,3841751,177155363.45,11558
2017-10-26,47.0,50.5,52.25,47.25,48.2,4560295,227349628.4,16945
2017-10-27,48.2,48.0,48.2,44.8,44.95,1195391,54444279.8,5584
2017-10-30,44.95,45.05,47.25,44.95,46.35,775114,35995401.5,4517
2017-10-31,46.35,46.7,46.7,45.05,45.3,360315,16431695.5,1976
2017-11-01,45.3,45.4,46.75,45.4,46.55,710469,32971165.7,4346
2017-11-02,46.55,46.75,47.8,45.8,46.3,537856,25181493.2,2907
2017-11-03,46.3,46.5,51.5,45.85,47.55,1206653,58140113.65,7140
2017-11-06,47.55,47.9,48.6,46.55,47.8,516922,24659530.8,2236
2017-11-07,47.8,47.55,48.5,46.3,46.7,345931,16387671.0,2371
