Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,3.65,3.5,3.5,3.5,3.5,200,700.0,1
2017-01-03,3.5,3.65,3.65,3.5,3.5,271,989.0,2
2017-01-06,3.5,3.65,3.65,3.65,3.65,5000,18250.0,3
2017-01-10,3.65,3.5,3.5,3.5,3.5,1000,3500.0,4
2017-01-11,3.5,3.65,3.65,3.5,3.5,501,1828.5,3
2017-01-12,3.5,3.65,3.65,3.55,3.55,501,1828.55,3
2017-01-16,3.55,3.4,3.4,3.4,3.4,1,3.4,1
2017-01-17,3.4,3.55,3.55,3.25,3.25,3002,10656.5,3
2017-01-19,3.25,3.4,3.4,3.3,3.3,2001,6803.3,3
2017-01-20,3.3,3.45,3.45,3.25,3.25,2316,7990.0,5
2017-01-24,3.25,3.4,3.4,3.4,3.4,7338,24949.2,1
2017-01-25,3.4,3.55,3.55,3.3,3.3,631,2239.8,2
2017-01-30,3.3,3.45,3.45,3.2,3.2,1001,3453.2,2
2017-01-31,3.2,3.35,3.35,3.35,3.35,5100,17085.0,3
2017-02-01,3.35,3.5,3.5,3.25,3.25,1001,3503.25,2
2017-02-03,3.25,3.4,3.4,3.4,3.4,2000,6800.0,1
2017-02-07,3.4,3.45,3.45,3.45,3.45,10000,34500.0,11
2017-02-08,3.45,3.6,3.6,3.6,3.6,950,3420.0,2
2017-02-09,3.6,3.75,3.75,3.75,3.75,1500,5625.0,2
2017-02-13,3.75,3.9,3.9,3.9,3.9,1000,3900.0,2
2017-02-17,3.9,4.05,4.05,4.05,4.05,1,4.05,1
2017-02-22,4.05,3.85,3.85,3.85,3.85,1000,3850.0,2
2017-03-01,3.85,3.7,3.7,3.7,3.7,701,2593.7,4
2017-03-02,3.7,3.8,3.8,3.8,3.8,1,3.8,1
2017-03-06,3.8,3.65,3.95,3.65,3.95,2100,7695.0,4
2017-03-07,3.95,3.8,3.9,3.8,3.9,1001,3803.9,2
2017-03-08,3.9,3.75,3.75,3.75,3.75,1000,3750.0,2
2017-03-10,3.75,3.9,3.9,3.9,3.9,305,1189.5,3
2017-03-14,3.9,3.9,3.9,3.75,3.75,1540,5790.0,6
2017-03-15,3.75,3.6,3.6,3.6,3.6,125,450.0,1
2017-03-16,3.6,3.7,3.7,3.7,3.7,500,1850.0,2
2017-03-17,3.7,3.55,3.55,3.55,3.55,1,3.55,1
2017-03-22,3.55,3.45,3.45,3.45,3.45,430,1483.5,2
2017-03-23,3.45,3.3,3.5,3.3,3.5,2653,8936.85,11
