Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2018-01-02,386.8,382.0,393.85,381.1,384.2,56469,21951362.85,3025
2018-08-23,422.0,390.0,426.9,385.0,422.05,11600387,4784287942.2,180015
2018-08-24,422.05,418.0,420.0,401.75,406.8,785983,321571562.85,17414
2018-08-27,406.8,406.0,406.0,395.0,400.25,411202,164276767.65,13072
2018-08-28,400.25,397.1,408.0,395.0,395.8,370390,148552387.9,22228
2018-08-29,395.8,395.8,400.0,389.0,392.75,212493,84361720.15,14034
2018-08-30,392.75,388.0,392.0,373.1,380.35,296385,113684052.35,10080
2018-08-31,380.35,380.1,389.0,375.95,384.95,256303,97775258.4,29129
2018-09-03,384.95,386.5,387.85,380.3,381.1,80770,30839611.75,2634
2018-09-04,381.1,378.05,382.0,375.05,380.3,162888,61722816.9,7007
2018-09-05,380.3,378.0,380.0,373.4,376.1,183808,68987049.1,2602
2018-09-06,376.1,375.0,395.0,375.0,382.65,106322,41121309.05,4806
2018-09-07,382.65,385.0,388.65,384.0,385.25,144584,55708163.2,5950
2018-09-10,385.25,383.0,383.0,375.3,376.1,83141,31378914.2,4354
2018-09-11,376.1,376.15,380.9,376.0,378.1,79912,30225378.1,6261
2018-09-12,378.1,378.0,378.2,360.45,371.65,135269,50230945.65,7203
2018-09-14,371.65,369.1,373.55,366.0,367.65,53753,19800742.6,4796
2018-09-17,367.65,367.65,367.65,358.45,360.15,293017,106602564.4,7176
2018-09-18,360.15,359.15,362.0,356.0,357.45,64000,22953543.55,1917
2018-09-19,357.45,358.0,359.75,342.0,351.45,152301,54284225.65,3819
2018-09-21,351.45,348.0,355.95,294.85,332.7,159380,53479008.35,5292
2018-09-24,332.7,325.0,331.0,271.05,292.45,615181,185643485.85,14649
2018-09-25,292.45,281.75,297.6,258.65,276.55,254102,70103164.7,9689
2018-09-26,276.55,279.6,331.85,279.6,326.1,447494,139708349.35,20498
2018-09-27,326.1,324.7,327.9,295.0,301.2,204139,62023875.75,10337
