Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-01-15,262.55,265.0,266.0,258.05,259.95,53535,14058652.5,2163
2025-01-16,259.95,271.2,286.4,266.0,282.1,192657,53309644.7,7258
2025-01-17,282.1,283.0,289.0,279.0,282.2,123360,35001479.2,6261
2025-01-20,282.2,285.0,304.0,280.2,299.8,235219,69546181.75,7600
2025-01-21,299.8,299.0,302.65,280.05,281.4,109643,31491941.4,7294
2025-01-22,281.4,281.4,283.95,272.2,273.8,115157,31854907.05,6860
2025-01-23,273.8,273.0,278.45,252.2,259.9,286827,74988568.35,13039
2025-01-24,259.9,261.0,265.0,255.65,261.15,99627,25989768.15,6471
2025-01-27,261.15,264.0,264.0,242.0,249.55,206055,51328441.65,9039
2025-01-28,249.55,252.0,271.7,249.35,267.35,152263,39606341.15,8778
2025-01-29,267.35,267.35,289.8,265.05,287.1,191213,53538276.75,7443
2025-01-30,287.1,287.0,297.85,282.65,287.8,145592,42309166.35,5943
2025-01-31,287.8,288.85,289.0,280.95,282.1,51047,14532596.4,3464
2025-02-03,281.4,280.0,280.0,266.0,267.75,65695,17854582.15,2369
2025-02-04,267.75,268.0,274.9,263.35,272.15,58974,15910421.05,1728
2025-02-05,272.15,274.45,275.0,269.8,271.0,40940,11126086.7,1729
2025-02-06,271.0,273.7,277.2,268.8,274.7,43981,12016696.4,2051
2025-02-07,274.7,277.95,278.8,267.0,269.2,28413,7719448.05,1537
2025-02-10,269.2,271.2,273.95,261.1,267.75,60063,16040145.3,1971
2025-02-11,267.75,271.0,274.9,253.1,258.9,120341,31486286.45,4305
2025-02-12,258.9,260.15,260.25,242.8,252.45,140845,35205500.2,3543
2025-02-13,252.45,252.0,259.3,240.9,243.6,122176,30413719.4,4091
2025-02-14,243.6,244.6,250.65,236.15,237.85,137450,33331281.75,5736
2025-02-17,237.85,239.0,241.4,219.95,223.55,194568,43962428.9,8339
2025-02-18,223.55,225.55,229.5,216.2,221.1,127982,28307954.35,4647
2025-02-19,221.1,221.1,265.0,221.1,259.4,410019,103571365.8,9542
2025-02-20,259.4,253.85,273.45,251.15,266.3,164466,43649481.45,6411
2025-02-21,266.3,262.3,268.75,257.4,262.7,72595,19067698.25,3131
2025-02-24,262.7,265.0,265.0,251.55,253.45,77126,19728279.8,3282
2025-02-25,253.45,252.0,258.8,241.95,243.05,103593,25767357.4,3331
2025-02-27,243.05,247.85,247.85,231.0,234.4,83158,19691216.35,3581
2025-02-28,234.4,228.65,233.6,222.4,226.05,218320,49494729.95,5132
2025-03-03,226.05,228.02,233.38,214.0,217.65,143503,31652632.2,5283
2025-03-04,217.65,218.75,227.0,212.55,219.2,194700,43205820.16,4784
2025-03-05,219.2,219.0,235.0,218.82,231.62,148173,34000889.05,5017
2025-03-06,231.62,232.8,240.39,228.56,238.92,164672,38741653.84,6861
2025-03-07,238.92,242.0,257.0,238.3,250.98,271770,68008365.67,6735
2025-03-10,250.98,252.89,252.89,237.01,239.45,156236,38241819.84,4733
2025-03-11,239.45,234.5,241.5,226.0,231.42,121237,28462372.6,3462
2025-03-12,231.42,233.0,239.0,227.6,228.95,103524,23990019.85,3479
2025-03-13,228.95,230.0,235.01,222.0,225.15,154783,35313152.03,4496
2025-03-17,225.15,228.99,229.58,220.0,221.54,109795,24597680.54,3056
2025-03-18,221.54,225.01,230.32,219.87,226.79,230493,51989010.2,6744
2025-03-19,226.79,227.2,238.0,227.2,234.73,192288,45160227.77,4159
2025-03-20,234.73,237.28,262.0,236.06,246.21,493580,124103799.8,22201
2025-03-21,246.21,248.7,256.2,243.87,253.24,164715,41552696.57,7509
2025-03-24,253.24,256.7,264.5,253.85,261.2,193231,50165430.64,8334
2025-03-25,261.2,265.0,266.35,250.99,254.67,331137,84997188.38,15761
2025-03-26,254.67,255.0,276.0,255.0,259.82,688480,179045052.68,26142
2025-03-27,259.82,261.7,262.8,253.01,256.44,321488,82685426.8,16151
2025-03-28,256.44,257.0,265.07,251.0,255.85,190995,48922034.73,6255
2025-04-01,255.85,259.0,265.0,252.0,263.15,150350,39213116.25,7361
2025-04-02,263.15,263.65,269.85,258.7,266.8,80529,21297506.0,4723
2025-04-03,266.8,262.8,280.15,261.0,276.5,153081,41965475.9,7823
2025-04-04,276.5,274.95,277.9,260.8,266.25,196861,52995370.9,7598
2025-04-07,266.25,240.0,250.0,236.6,247.05,165164,40227795.1,8678
2025-04-08,247.05,257.0,257.0,238.45,253.75,211283,52326810.15,9635
2025-04-09,253.75,250.0,254.6,244.0,252.35,131057,32810372.35,6619
2025-04-11,252.35,264.95,264.95,256.3,262.1,75635,19662008.0,5223
2025-04-15,262.1,269.0,289.8,264.0,287.6,293358,82723200.25,12825
2025-04-16,287.6,288.0,293.0,281.25,288.25,146159,41883204.5,8119
2025-04-17,288.25,292.0,298.0,285.1,293.05,112470,32723838.3,7080
2025-04-21,293.05,295.9,295.9,288.45,290.0,60983,17723423.5,3959
2025-04-22,290.0,290.0,307.45,286.55,294.5,231336,68690260.3,11872
2025-04-23,294.5,297.4,302.15,287.95,294.35,99449,29216605.7,6640
2025-04-24,294.35,291.4,301.95,289.2,290.95,90220,26586675.7,6930
2025-04-25,290.95,292.0,293.05,268.3,271.75,278220,76824822.95,15539
2025-04-28,271.75,271.75,276.45,267.6,272.2,50933,13891727.05,4276
2025-04-29,272.2,271.75,276.35,260.95,262.5,126370,33660702.2,9707
2025-04-30,262.5,260.25,263.9,251.35,254.7,51272,13218641.85,3861
2025-05-02,254.7,254.7,260.75,252.1,253.85,52800,13535521.65,4431
2025-05-05,253.85,258.95,265.0,256.25,258.05,45691,11792610.7,3035
2025-05-06,258.05,260.1,260.35,245.6,247.0,85872,21562057.95,4630
2025-05-07,247.0,242.7,255.0,242.0,250.2,66538,16472842.95,5329
2025-05-08,250.2,250.25,261.2,248.5,250.45,56482,14426485.7,4037
2025-05-09,250.45,246.7,251.7,239.8,249.05,79367,19446395.8,5448
2025-05-12,249.05,256.5,270.6,256.5,266.85,112749,30035537.7,5425
2025-05-13,266.85,270.85,276.0,264.1,274.25,89912,24445865.0,3878
2025-05-14,274.25,277.4,291.0,273.75,287.55,151801,42924908.0,6762
2025-05-15,287.55,291.85,316.0,289.7,312.45,540015,164810210.3,23211
2025-05-16,312.45,299.0,301.0,273.7,276.3,838845,233886654.65,34664
2025-05-19,276.3,276.3,279.7,267.2,268.25,255997,69347318.05,11229
2025-05-20,268.25,269.95,269.95,261.65,264.15,160508,42708154.65,5788
2025-05-21,264.15,261.6,268.05,260.2,264.8,179013,47048843.1,10072
2025-05-22,264.8,266.85,272.95,261.85,270.8,154570,41073557.2,7007
2025-05-23,270.8,271.7,273.3,266.6,268.55,96340,25991501.4,5139
2025-05-26,268.55,269.85,273.0,265.05,265.85,113266,30376602.7,3781
2025-05-27,265.85,266.0,268.45,262.5,266.95,64850,17238360.5,3331
