Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-01-10,1347.5,102.0,108.7,98.4,98.4,361064,36753638.25,1756
2024-01-11,98.4,93.5,93.5,93.5,93.5,24499,2290656.5,272
2024-01-12,93.5,88.85,88.85,88.85,88.85,9307,826926.95,223
2024-01-15,88.85,84.4,84.4,84.4,84.4,11938,1007567.2,287
2024-01-16,84.4,80.2,80.2,80.2,80.2,7594,609038.8,221
2024-01-17,80.2,76.2,76.2,76.2,76.2,6811,518998.2,228
2024-01-18,76.2,72.4,72.4,72.4,72.4,6386,462346.4,215
2024-01-19,72.4,68.8,68.8,68.8,68.8,28007,1926881.6,339
2024-01-23,72.1,68.5,71.7,68.5,68.5,658978,45292777.15,2696
2024-01-24,68.5,62.5,67.0,56.05,62.5,3514358,212590708.4,43716
2024-01-25,62.5,63.7,64.8,61.2,62.15,965504,60834477.65,15133
2024-01-29,62.15,63.0,63.65,60.3,61.75,578291,35833106.1,5542
2024-01-30,61.75,62.4,62.4,58.7,58.7,244901,14764480.65,2156
2024-01-31,58.7,58.0,61.6,55.8,61.6,637288,37888878.3,4664
2024-02-01,61.6,64.65,64.65,62.8,62.9,292035,18626723.05,3378
2024-02-02,62.9,64.4,66.0,62.35,64.7,386052,24943317.15,2540
2024-02-05,64.7,66.4,66.4,62.0,62.4,246708,15717882.3,2714
2024-02-06,62.4,62.2,62.7,59.3,59.5,242627,14580882.25,2885
2024-02-07,59.5,59.55,62.45,58.15,62.0,239280,14587084.45,1925
2024-02-08,62.0,63.0,63.4,59.3,59.75,199293,12243408.25,3036
2024-02-09,59.75,60.5,60.5,56.8,56.95,363387,20839208.5,1204
2024-02-12,56.95,56.8,56.8,54.1,54.1,136319,7436836.4,902
2024-02-13,54.1,52.55,53.8,51.4,52.35,151520,7864297.15,2380
2024-02-14,52.35,49.8,54.75,49.8,53.25,198047,10294002.1,2280
2024-02-15,53.25,51.8,54.6,51.8,53.85,168002,9023025.0,1554
2024-02-16,53.85,53.55,56.5,53.55,56.5,263806,14798693.75,1708
2024-02-19,56.5,57.8,58.5,55.0,55.4,163003,9276269.45,1320
2024-02-20,55.4,55.5,56.95,53.25,53.9,120007,6594858.85,1286
2024-02-21,53.9,54.7,54.85,51.2,51.35,228787,11984397.15,1817
2024-02-22,51.35,51.0,51.8,50.3,50.65,128437,6547388.25,1269
2024-02-23,50.65,50.95,51.4,48.35,49.05,162733,8116333.1,1578
2024-02-26,49.05,49.65,50.45,48.65,50.1,108568,5399871.75,912
2024-02-27,50.1,50.25,51.5,49.0,49.6,139194,7049173.35,980
2024-02-28,49.6,49.0,50.5,48.65,49.2,97494,4843974.4,1212
2024-02-29,49.2,49.2,49.6,48.4,48.55,58504,2853256.2,701
2024-03-01,48.55,49.0,49.5,46.15,46.75,351151,16382911.65,1933
2024-03-04,46.25,46.65,46.65,43.95,43.95,282254,12532476.2,1325
2024-03-05,43.95,43.8,43.8,41.75,41.75,258946,10889318.05,1501
2024-03-06,41.75,40.95,41.7,39.7,40.45,212118,8494106.0,1595
2024-03-07,40.45,40.1,42.45,40.1,42.45,309897,13088316.7,1688
2024-03-11,42.45,42.45,42.5,40.35,40.35,80574,3302307.75,1062
2024-03-12,40.35,39.05,40.3,38.35,38.35,118309,4567035.7,740
2024-03-13,38.35,38.3,38.3,36.45,36.45,221158,8148471.0,847
2024-03-14,36.45,34.7,37.95,34.7,37.0,120101,4416614.2,821
