Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,2.4,2.4,2.55,2.3,2.5,31954,79128.3,48
2017-01-03,2.5,2.45,2.5,2.35,2.4,21965,52871.4,39
2017-01-04,2.4,2.45,2.5,2.45,2.45,12336,30424.75,26
2017-01-05,2.45,2.45,2.5,2.4,2.5,2055,5082.1,8
2017-01-06,2.5,2.4,2.55,2.4,2.4,16272,40859.15,42
2017-01-09,2.4,2.45,2.55,2.4,2.45,24540,60486.05,47
2017-01-10,2.45,2.45,2.5,2.35,2.5,9542,22945.45,36
2017-01-11,2.5,2.45,2.7,2.4,2.55,41987,106934.3,75
2017-01-12,2.55,2.5,2.65,2.5,2.6,18468,47811.9,35
2017-01-13,2.6,2.5,2.8,2.5,2.75,36772,99503.65,33
2017-01-16,2.75,2.75,2.95,2.5,2.95,71436,199261.9,72
2017-01-17,2.95,2.9,3.15,2.85,3.1,93988,286241.7,118
2017-01-18,3.1,3.1,3.4,3.1,3.15,217184,700774.7,146
2017-01-19,3.15,3.2,3.25,3.0,3.0,88759,271952.7,70
2017-01-20,3.0,3.0,3.0,2.85,2.85,39098,112079.3,51
2017-01-23,2.85,2.85,2.95,2.75,2.9,100140,284429.15,72
2017-01-24,2.9,3.0,3.0,2.8,2.8,62437,177657.35,32
2017-01-25,2.8,2.8,2.9,2.7,2.7,127806,349593.4,79
2017-01-27,2.7,2.75,2.75,2.6,2.65,12361,32771.25,26
2017-01-30,2.65,2.75,2.75,2.55,2.65,50803,131339.1,38
2017-01-31,2.65,2.55,2.65,2.55,2.6,22909,58830.35,26
2017-02-01,2.6,2.55,2.65,2.5,2.6,9586,24488.65,29
2017-02-02,2.6,2.6,2.65,2.5,2.5,52233,132767.05,55
2017-02-03,2.5,2.5,2.6,2.5,2.6,25524,65489.55,48
2017-02-06,2.6,2.65,2.7,2.6,2.7,97900,262191.05,81
2017-02-07,2.7,2.7,2.8,2.65,2.65,31148,84852.35,38
2017-02-08,2.65,2.7,2.75,2.65,2.75,46484,127043.5,47
2017-02-09,2.75,2.75,2.85,2.65,2.85,19929,54706.35,26
2017-02-10,2.85,2.8,2.9,2.75,2.85,15742,44726.15,28
2017-02-13,2.85,2.9,2.9,2.75,2.75,23929,67426.75,23
2017-02-14,2.75,2.75,2.8,2.75,2.8,46958,131134.5,39
2017-02-15,2.8,2.75,2.8,2.75,2.8,9460,26184.0,9
2017-02-16,2.8,2.7,2.7,2.7,2.7,1600,4320.0,4
2017-02-17,2.7,2.7,2.7,2.65,2.65,10032,26662.35,13
2017-02-20,2.65,2.65,2.75,2.6,2.7,31564,84619.05,32
2017-02-21,2.7,2.6,2.65,2.6,2.65,7351,19470.15,12
2017-02-22,2.65,2.65,2.75,2.65,2.75,7207,19520.8,20
2017-02-23,2.75,2.7,2.75,2.65,2.75,7265,19449.25,17
2017-02-27,2.75,2.75,2.8,2.65,2.65,24032,64383.9,29
2017-02-28,2.65,2.6,2.75,2.6,2.65,9492,24931.5,20
2017-03-01,2.65,2.65,2.7,2.55,2.65,11082,29258.6,19
2017-03-02,2.65,2.65,2.65,2.55,2.55,15300,39460.1,33
2017-03-03,2.55,2.55,2.6,2.5,2.55,22067,56561.7,46
2017-03-06,2.55,2.55,2.6,2.45,2.55,61791,152941.65,50
2017-03-07,2.55,2.55,2.55,2.45,2.45,37495,92672.75,29
2017-03-08,2.45,2.35,2.5,2.35,2.4,11212,27249.3,30
2017-03-09,2.4,2.4,2.5,2.4,2.45,15910,38939.5,11
2017-03-10,2.45,2.5,2.55,2.35,2.5,17171,41810.3,22
2017-03-14,2.5,2.5,2.5,2.4,2.4,7045,17021.1,18
2017-03-15,2.4,2.45,2.5,2.3,2.35,29000,67866.15,31
2017-03-16,2.35,2.35,2.4,2.25,2.25,104649,238819.3,67
2017-03-17,2.25,2.35,2.35,2.2,2.3,38747,87495.4,43
2017-03-20,2.3,2.3,2.3,2.2,2.3,28223,64541.6,40
2017-03-21,2.3,2.25,2.35,2.2,2.2,26498,60203.6,40
2017-03-22,2.2,2.25,2.25,2.2,2.2,37880,83931.0,32
2017-03-23,2.2,2.2,2.3,2.2,2.25,34794,78434.7,30
2017-03-24,2.25,2.2,2.35,2.2,2.3,29127,67298.4,25
2017-03-27,2.3,2.35,2.35,2.2,2.2,44167,97478.1,56
2017-03-28,2.2,2.3,2.3,2.1,2.1,180640,392304.0,70
2017-03-29,2.1,2.1,2.2,2.05,2.15,37772,79770.9,40
2017-03-30,2.15,2.15,2.2,2.15,2.15,16505,35773.2,18
2017-03-31,2.15,2.25,2.25,2.15,2.15,3840,8363.0,11
2017-04-03,2.15,2.25,2.25,2.2,2.25,21038,47273.0,15
2017-04-05,2.25,2.3,2.35,2.25,2.35,35591,83503.85,35
2017-04-06,2.35,2.35,2.45,2.35,2.4,61626,150414.65,45
2017-04-07,2.4,2.45,2.5,2.35,2.4,52575,130228.75,30
2017-04-10,2.4,2.25,2.45,2.25,2.35,33226,78646.1,39
2017-04-11,2.35,2.2,2.4,2.2,2.3,33372,76662.55,42
2017-04-12,2.3,2.4,2.5,2.35,2.5,76121,187528.05,46
2017-04-13,2.5,2.65,2.65,2.4,2.45,30860,75996.0,22
2017-04-17,2.45,2.45,2.5,2.4,2.4,22743,55166.95,20
2017-04-18,2.4,2.45,2.45,2.4,2.4,24248,59016.35,15
2017-04-19,2.4,2.45,2.45,2.3,2.35,26124,61476.5,20
2017-04-20,2.35,2.35,2.45,2.3,2.45,25975,62597.95,21
2017-04-21,2.45,2.35,2.5,2.35,2.45,81358,198234.2,43
2017-04-24,2.45,2.45,2.5,2.35,2.4,59437,144974.55,40
2017-04-25,2.4,2.4,2.4,2.4,2.4,34106,81854.4,19
2017-04-26,2.4,2.4,2.5,2.4,2.4,15715,38473.75,20
2017-04-27,2.4,2.5,2.5,2.3,2.35,7067,16631.3,14
2017-04-28,2.35,2.4,2.45,2.35,2.4,13565,32520.25,12
2017-05-02,2.4,2.6,2.6,2.35,2.35,9542,22846.2,17
2017-05-03,2.35,2.35,2.35,2.35,2.35,3760,8836.0,6
2017-05-04,2.35,2.3,2.5,2.3,2.45,28309,69067.55,27
2017-05-05,2.45,2.4,2.5,2.4,2.45,48169,119176.7,23
