Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2020-07-29,1000.23,1002.5,1003.79,1000.28,1001.95,20394,20464151.99,109
2020-07-30,1001.95,1001.55,1003.98,1001.55,1003.75,137483,137995505.86,195
2020-07-31,1003.75,1002.0,1101.0,1002.0,1003.0,17436,17554365.13,179
2020-08-03,1003.0,1004.0,1004.0,1002.0,1002.79,2781,2788972.48,85
2020-08-04,1002.79,1002.5,1003.0,1002.0,1002.96,8294,8316274.83,131
2020-08-05,1002.96,1003.0,1003.98,1001.8,1003.36,19667,19727775.19,121
2020-08-06,1003.36,1002.0,1003.25,1001.9,1002.59,39041,39157074.36,130
2020-08-07,1002.59,1002.0,1003.4,1001.62,1003.37,10650,10683313.41,105
2020-08-10,1003.37,1005.0,1005.0,1002.8,1003.54,2030,2037498.38,64
2020-08-11,1003.54,1003.1,1003.89,1003.0,1003.63,5479,5498483.02,111
2020-08-12,1003.63,1003.0,1003.79,1003.0,1003.0,8171,8195939.91,125
2020-08-13,1003.0,1003.0,1003.94,1000.52,1000.56,1859,1861909.05,150
2020-08-14,1000.56,1000.0,1001.9,999.31,1001.34,15293,15314684.51,85
2020-08-17,1001.34,1001.0,1001.95,1000.0,1000.99,4390,4394193.86,81
2020-08-18,1000.99,1001.0,1001.0,998.76,999.15,19579,19576121.6,86
2020-08-19,999.15,999.15,999.19,996.35,998.47,2715,2709700.4,105
2020-08-20,998.47,998.47,998.47,995.6,997.11,1364,1359625.13,61
2020-08-21,997.11,1000.0,1000.0,996.01,996.47,2886,2877199.47,92
2020-08-24,996.47,1000.0,1000.0,991.51,992.9,2889,2870934.04,132
2020-08-25,992.9,1000.0,1000.0,990.1,992.57,4541,4502698.43,94
2020-08-26,992.57,992.9,995.19,992.15,994.89,9342,9287218.87,76
2020-08-27,994.89,991.03,995.5,991.0,994.43,15915,15808299.06,72
2020-08-28,994.43,995.0,995.0,991.25,991.99,17173,17035562.79,105
2020-08-31,991.99,992.0,992.0,988.0,989.79,14822,14674791.75,160
2020-09-01,989.79,991.5,996.99,991.5,995.51,9384,9336088.67,55
2020-09-02,995.51,997.75,1000.74,997.5,1000.52,8916,8916555.68,71
2020-09-03,1000.52,1000.0,1002.53,1000.0,1001.02,3517,3521403.28,96
2020-09-04,1001.02,1000.5,1051.0,1000.5,1001.62,95380,96063096.84,382
2020-09-07,1001.62,1001.62,1002.79,1001.56,1002.33,3415,3422021.35,67
2020-09-08,1002.33,1000.0,1002.0,998.0,998.57,27961,27960298.01,98
2020-09-09,998.57,996.5,999.74,996.25,997.89,4114,4107325.81,51
2020-09-10,997.89,997.0,998.89,996.5,996.89,18516,18465609.86,76
2020-09-11,996.89,996.75,997.0,994.51,996.3,711,707913.01,47
2020-09-14,996.3,996.0,1002.0,995.0,997.26,2232,2225225.82,54
2020-09-15,997.26,996.6,998.0,993.6,994.01,8853,8814624.82,66
2020-09-16,994.01,994.01,994.01,992.0,993.45,2073,2058961.94,56
2020-09-17,993.45,992.12,994.81,992.12,994.68,1622,1613029.73,27
2020-09-18,994.68,992.3,995.24,992.2,994.49,10482,10425720.59,72
2020-09-21,994.49,1001.95,1001.95,992.05,994.16,9335,9271868.29,80
2020-09-22,994.16,992.5,993.99,992.0,992.7,1248,1238611.52,56
2020-09-23,992.7,992.0,994.5,992.0,994.42,2436,2419575.68,82
2020-09-24,994.42,992.05,994.4,992.05,993.79,2611,2593455.15,58
2020-09-25,993.79,990.0,999.0,990.0,994.1,25566,25429077.58,53
2020-09-28,994.1,993.05,995.3,993.0,993.79,12570,12506769.01,48
