Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-11-13,36.07,35.99,40.0,35.99,36.23,67624,2477790.77,142
2025-11-14,36.23,37.37,37.37,36.11,36.19,7915,287296.1,111
2025-11-17,36.19,36.43,36.5,36.33,36.48,15048,548594.06,108
2025-11-18,36.48,36.59,36.59,36.15,36.25,57201,2078105.01,85
2025-11-19,36.25,36.23,36.26,36.05,36.15,999539,36154786.65,156
2025-11-20,36.15,36.02,36.4,36.02,36.22,8981,326350.78,85
2025-11-21,36.22,36.17,36.2,35.84,35.88,368543,13278064.39,137
2025-11-24,35.88,35.95,35.95,35.45,35.49,10453,373008.43,137
2025-11-25,35.49,35.49,35.55,35.32,35.39,6213,220158.12,86
2025-11-26,35.39,35.49,36.03,35.49,36.01,18911,679979.1,51
2025-11-27,36.01,36.11,36.11,35.69,35.79,789478,28242706.87,139
2025-11-28,35.79,35.67,35.73,35.57,35.6,14286,508835.92,98
2025-12-01,35.6,36.49,36.49,35.5,35.6,28704,1022659.39,126
2025-12-02,35.6,35.78,35.78,35.39,35.41,17441,619547.95,151
2025-12-03,35.41,35.46,35.51,35.07,35.17,14660,516000.31,132
2025-12-04,35.17,35.09,35.25,34.96,35.02,12507,438663.4,180
2025-12-05,35.02,35.0,36.0,34.86,34.96,93791,3279903.65,155
2025-12-08,34.96,35.66,35.66,34.36,34.48,55722,1932279.24,242
2025-12-09,34.48,35.34,35.34,34.03,34.69,313181,10874316.87,121
2025-12-10,34.69,34.79,34.96,34.59,34.66,19584,682561.23,105
2025-12-11,34.66,35.33,35.33,34.48,34.75,13607,471230.88,91
2025-12-12,34.75,35.45,35.45,34.89,35.05,28559,1000265.82,112
2025-12-15,35.05,35.22,35.22,34.75,35.07,71927,2519791.27,143
2025-12-16,35.07,35.94,35.94,34.7,34.82,31842,1107801.88,149
2025-12-17,34.82,34.83,34.93,34.7,34.78,12602,438373.44,99
2025-12-18,34.78,34.68,34.68,34.35,34.51,95682,3301001.17,224
2025-12-19,34.51,34.58,34.86,34.5,34.83,172078,5974558.41,128
2025-12-22,34.83,35.71,36.5,34.91,35.12,91095,3195375.44,175
2025-12-23,35.12,35.13,35.35,35.03,35.25,84455,2979396.43,176
2025-12-24,35.25,35.42,35.5,35.11,35.13,275283,9725860.03,206
2025-12-26,35.13,35.82,35.82,35.02,35.04,5120919,180449925.09,376
2025-12-29,35.04,35.91,35.91,34.82,34.98,852049,29843748.15,572
2025-12-30,34.98,35.15,35.15,34.75,34.95,985621,34448168.38,414
2025-12-31,34.95,34.89,35.47,34.89,35.32,6208507,219566934.71,658
