Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,6.4,6.65,6.7,6.55,6.65,10730,71337.7,23
2017-01-03,6.65,6.85,6.85,6.5,6.75,22512,151764.4,13
2017-01-04,6.75,6.55,6.7,6.5,6.5,43852,286582.55,29
2017-01-05,6.5,6.6,6.7,6.6,6.7,5047,33623.2,13
2017-01-06,6.7,6.7,6.8,6.6,6.7,20948,139746.4,23
2017-01-09,6.7,6.45,6.8,6.45,6.75,12530,84709.5,22
2017-01-10,6.75,6.8,6.8,6.6,6.75,5382,36438.0,17
2017-01-11,6.75,6.75,6.8,6.7,6.75,20988,142366.25,29
2017-01-12,6.75,6.75,6.75,6.45,6.65,12094,79617.7,28
2017-01-13,6.65,6.45,6.65,6.35,6.45,23967,154578.45,40
2017-01-16,6.45,6.75,6.75,6.45,6.6,3966,26029.0,7
2017-01-17,6.6,6.7,6.85,6.45,6.75,17843,118939.6,39
2017-01-18,6.75,6.5,6.9,6.5,6.7,7479,49263.65,24
2017-01-19,6.7,6.45,6.95,6.45,6.9,7975,54103.3,17
2017-01-20,6.9,6.6,6.7,6.6,6.6,4423,29267.1,18
2017-01-23,6.6,6.8,6.8,6.55,6.55,5484,36486.5,14
2017-01-24,6.55,6.5,6.7,6.35,6.5,23029,149286.4,37
2017-01-25,6.5,6.5,6.7,6.4,6.4,8505,55410.05,19
2017-01-27,6.4,6.25,6.5,6.1,6.35,21716,137153.05,35
2017-01-30,6.35,6.4,6.65,6.2,6.25,22878,146318.2,39
2017-01-31,6.25,6.1,6.25,5.95,6.1,49642,298491.95,62
2017-02-01,6.1,6.0,6.25,6.0,6.15,12125,73857.3,28
2017-02-02,6.15,6.3,6.45,6.15,6.3,16206,101352.3,33
2017-02-03,6.3,6.5,6.5,6.1,6.25,10087,62249.4,25
2017-02-06,6.25,6.45,6.45,6.0,6.05,39005,239000.6,43
2017-02-07,6.05,6.0,6.4,5.85,6.1,15554,94763.65,44
2017-02-08,6.1,6.25,6.3,6.0,6.05,13235,82055.05,51
2017-02-09,6.05,6.3,6.45,6.15,6.4,16936,107372.55,49
