Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,564.15,574.0,575.0,565.0,572.75,23194,13256064.75,648
2017-01-03,572.75,575.0,585.0,571.025,579.075,24632,14268383.95,1091
2017-01-04,579.075,575.0,590.0,572.975,586.4,35756,20728832.6,1084
2017-01-05,586.4,580.0,592.2,572.775,578.175,15766,9177473.8,1647
2017-01-06,578.175,581.85,584.925,575.05,578.975,10964,6370488.15,1014
2017-01-09,578.975,575.0,584.5,575.0,579.35,9604,5563237.1,616
2017-01-10,579.35,575.025,586.0,575.0,577.875,6386,3699849.2,747
2017-01-11,577.875,582.25,592.0,578.5,584.1,8824,5169126.15,909
2017-01-12,584.1,581.0,608.925,578.525,601.225,28766,17020042.0,2038
2017-01-13,601.225,619.25,619.275,584.6,599.1,21836,13028733.8,1531
2017-01-16,599.1,590.525,607.5,585.0,601.625,7632,4556583.05,470
2017-01-17,601.625,596.5,609.475,586.0,589.925,8376,4976335.45,478
2017-01-18,589.925,590.0,595.5,586.5,588.6,7868,4647457.25,391
2017-01-19,588.6,586.5,604.5,586.1,596.675,13648,8147739.15,544
2017-01-20,596.675,587.65,599.1,566.5,571.275,15144,8809995.05,1078
2017-01-23,571.275,570.0,572.2,542.525,549.675,16826,9387310.55,1010
2017-01-24,549.675,549.5,563.9,546.425,552.9,11950,6622981.85,601
2017-01-25,552.9,555.15,555.15,548.0,551.85,9738,5366441.25,388
2017-01-27,551.85,553.375,564.5,551.85,561.475,20612,11552748.95,963
2017-01-30,561.475,561.475,561.475,540.1,544.35,18046,9916248.95,902
2017-01-31,544.35,548.85,548.85,528.375,533.4,21676,11626168.85,1243
2017-02-01,533.4,531.5,554.0,530.5,543.825,30748,16630527.85,1217
2017-02-02,543.825,543.375,552.45,535.025,538.125,24274,13260042.25,1329
2017-02-03,538.125,540.0,547.5,527.0,531.25,18444,9888472.95,1016
2017-02-06,531.25,544.0,544.9,531.5,540.075,21442,11560541.35,555
2017-02-07,540.075,540.0,545.0,536.0,537.65,7126,3844099.2,430
2017-02-08,537.65,539.875,544.0,535.025,536.25,6632,3569557.6,415
2017-02-09,536.25,542.0,547.475,532.675,536.575,8152,4395638.45,451
2017-02-10,536.575,543.5,557.45,526.9,553.375,39900,21725996.3,1571
2017-02-13,553.375,561.4,561.4,519.7,521.725,54942,29154423.95,2157
2017-02-14,521.725,517.5,517.5,490.0,493.325,59802,29724726.9,2185
2017-02-15,493.325,490.575,507.2,475.0,478.125,33498,16221860.4,2452
2017-02-16,478.125,482.0,487.0,470.05,482.45,17434,8392268.35,1184
2017-02-17,482.45,482.5,491.725,472.775,476.25,23148,11106612.85,904
2017-02-20,476.25,475.025,483.375,474.25,477.2,8776,4203806.95,428
2017-02-21,477.2,480.725,504.4,480.0,493.525,35776,17530422.45,1258
2017-02-22,493.525,493.775,512.325,485.25,491.125,41078,20310729.65,2454
2017-02-23,491.125,488.0,498.725,483.475,490.025,110320,54385073.3,1925
2017-02-27,490.025,490.0,497.375,485.35,488.425,35448,17429512.5,1745
2017-02-28,488.425,485.375,494.35,466.6,469.175,186046,90327042.3,2258
2017-03-01,469.175,477.425,477.425,467.5,469.225,36958,17438435.3,1255
2017-03-02,469.225,477.5,477.5,461.375,463.075,32986,15507488.2,967
2017-03-03,463.075,463.4,464.475,452.6,454.475,34052,15560887.8,1080
2017-03-06,454.475,456.475,459.7,442.55,444.65,40318,18095214.4,1214
2017-03-07,444.65,445.0,447.475,433.625,437.55,42440,18584905.4,1872
2017-03-08,437.55,441.5,441.9,427.5,428.9,57430,24770010.6,1654
2017-03-09,428.9,427.45,431.475,422.0,423.175,94584,40174200.2,1980
2017-03-10,423.175,429.45,429.45,420.0,423.325,51108,21719205.4,988
2017-03-14,423.325,434.9,434.9,423.0,424.7,147660,62853599.4,3546
2017-03-15,424.7,429.4,435.0,424.5,428.725,288500,123865040.0,3122
2017-03-16,428.725,434.975,434.975,426.25,427.85,160636,68975114.4,2184
2017-03-17,427.85,427.85,433.975,425.5,426.875,101646,43500640.05,1575
2017-03-20,426.875,431.45,431.9,427.525,429.425,84946,36521211.8,1092
2017-03-21,429.425,432.45,433.975,427.525,432.375,72838,31407045.35,1373
2017-03-22,432.375,431.5,431.5,424.0,425.425,69556,29767391.45,1458
2017-03-23,425.425,427.5,431.0,424.5,425.025,76070,32478820.85,2059
2017-03-24,425.025,428.3,428.95,424.025,424.925,88552,37657674.3,1383
2017-03-27,424.925,455.0,457.0,435.6,437.05,585646,259217315.8,12039
2017-03-28,437.05,442.2,443.175,434.875,438.525,195916,85959648.95,4781
2017-03-29,438.525,442.5,449.0,438.75,446.375,226038,100394768.45,3480
2017-03-30,446.375,446.5,467.4,446.5,465.225,361372,165467977.5,6562
2017-03-31,465.225,467.5,487.5,467.05,481.825,301662,144293323.5,6090
2017-04-03,481.825,488.5,506.7,484.45,502.975,288152,143270410.45,5099
2017-04-05,502.975,510.5,539.8,510.5,536.025,261378,137558078.8,7027
2017-04-06,536.025,540.0,542.0,507.1,515.675,195914,102607168.0,5321
2017-04-07,515.675,514.1,535.0,500.5,510.5,205814,106937839.8,5073
2017-04-10,510.5,515.0,524.75,505.025,507.325,83682,42985814.6,1725
2017-04-11,507.325,514.0,514.0,497.5,499.725,104610,52757645.25,2425
2017-04-12,499.725,503.45,515.1,488.825,512.325,131702,66526332.0,3223
2017-04-13,512.325,515.5,528.0,512.525,521.325,175160,91425269.6,3833
2017-04-17,521.325,516.325,521.0,510.0,510.25,69556,35641145.15,1840
2017-04-18,510.25,510.275,522.5,505.0,508.775,97024,49864935.7,1943
2017-04-19,508.775,513.5,515.0,503.35,506.725,47902,24434252.95,1451
2017-04-20,506.725,514.35,519.0,508.35,513.425,92728,47662132.15,1889
2017-04-21,513.425,517.425,521.5,508.425,514.5,72730,37431301.95,1916
2017-04-24,514.5,515.05,519.0,510.025,514.925,40874,21057537.1,1060
