Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,250.9,247.0,253.65,247.0,250.6,28774,7255027.15,833
2017-01-03,250.6,248.0,253.9,248.0,253.3,51076,12922062.6,559
2017-01-04,253.3,248.35,259.0,248.35,258.0,121951,31392345.6,2083
2017-01-05,258.0,259.1,261.5,254.45,255.75,134734,34825366.3,1549
2017-01-06,255.75,255.95,262.0,248.6,250.75,439733,110371678.35,4386
2017-01-09,250.75,253.45,258.7,250.75,255.55,130712,33131063.9,2111
2017-01-10,255.55,259.0,259.0,254.1,255.05,48869,12505169.85,1177
2017-01-11,255.05,251.4,257.5,251.4,254.8,48480,12357600.45,1155
2017-01-12,254.8,256.85,258.7,253.55,256.9,32630,8385944.45,707
2017-01-13,256.9,258.95,262.0,256.25,257.65,176111,45469984.8,9861
2017-01-16,257.65,257.65,260.95,253.0,254.45,71083,18143868.05,1396
2017-01-17,254.45,258.95,259.0,254.05,257.15,200157,51394910.6,3474
2017-01-18,257.15,259.95,259.95,256.5,258.9,44300,11438585.0,807
2017-01-19,258.9,257.8,262.0,257.5,260.5,374141,97005978.55,2984
2017-01-20,260.5,257.4,261.05,257.4,258.4,139987,36320824.85,1013
2017-01-23,258.4,261.5,264.0,257.55,263.4,253940,66467591.05,4714
2017-01-24,263.4,264.4,264.4,257.05,260.1,127003,33013829.35,2047
2017-01-25,260.1,260.55,261.85,257.35,258.4,116892,30329082.45,1843
2017-01-27,258.4,259.15,260.45,256.0,258.65,60050,15497166.85,1103
2017-01-30,258.65,258.65,260.45,255.0,259.2,88909,23004589.6,1270
2017-01-31,259.2,258.75,258.75,244.35,250.45,924331,233503578.15,13391
2017-02-01,250.45,248.8,252.8,244.55,251.9,247373,61624062.4,4614
2017-02-02,251.9,251.05,257.9,250.95,256.5,133257,34085710.0,1844
2017-02-03,256.5,256.25,258.35,252.0,255.5,61239,15638062.5,1304
2017-02-06,255.5,256.75,257.0,253.55,255.2,99067,25269437.3,980
2017-02-07,255.2,255.0,255.9,253.35,254.35,674778,171912995.05,1445
2017-02-08,254.35,254.95,255.25,250.55,252.5,95275,24067970.55,888
2017-02-09,252.5,252.85,256.2,250.7,255.25,283378,72023028.55,811
2017-02-10,255.25,255.0,258.0,253.05,257.0,360776,92030541.55,1102
2017-02-13,257.0,255.0,259.45,254.05,255.8,50234,12860741.1,746
2017-02-14,255.8,256.0,258.5,255.4,256.55,24692,6346181.7,2076
2017-02-15,256.55,258.45,258.7,254.9,256.25,40014,10285167.05,2052
2017-02-16,256.25,256.0,260.85,256.0,260.25,57441,14884669.65,860
2017-02-17,260.25,255.0,262.0,255.0,258.0,23999,6191423.4,638
2017-02-20,258.0,258.0,260.95,257.0,258.55,16776,4342624.0,350
2017-02-21,258.55,260.95,264.0,258.8,260.75,46168,12078452.0,948
2017-02-22,260.75,258.0,264.95,256.4,257.25,88898,23227673.15,1204
2017-02-23,257.25,260.05,263.0,256.7,260.15,56347,14637990.5,1609
2017-02-27,260.15,261.0,263.9,256.35,259.45,39992,10424947.05,1438
2017-02-28,259.45,264.5,264.5,256.85,258.65,56801,14645809.4,662
2017-03-01,258.65,258.95,261.1,257.3,260.6,127527,33128528.95,1345
2017-03-02,260.6,262.1,267.05,257.35,261.0,499638,131615091.65,4761
2017-03-03,261.0,263.0,266.0,260.5,265.2,257235,67821392.1,2160
2017-03-06,265.2,268.95,269.0,253.55,265.05,1130143,297827038.95,4268
2017-03-07,265.05,268.4,268.9,264.1,266.55,238253,63344710.75,4529
2017-03-08,266.55,266.5,266.5,262.5,263.25,109449,28858426.15,2681
2017-03-09,263.25,265.0,265.05,261.6,262.65,28261,7446742.75,570
2017-03-10,262.65,260.6,266.0,260.6,262.1,439812,115411139.5,1178
