Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-10-07,129.0,84.0,93.0,81.17,83.7,28034318,2452600616.77,119268
2025-10-08,83.7,83.0,88.15,82.28,83.71,6919424,594180929.91,45234
2025-10-09,83.71,84.41,85.43,82.28,82.75,1918021,161008441.13,13542
2025-10-10,82.75,83.08,84.2,81.0,81.81,1348956,111697427.1,10654
2025-10-13,81.81,81.5,81.81,78.0,78.51,1844768,145866778.6,15806
2025-10-14,78.51,79.1,79.32,73.42,74.11,2149069,162214816.82,18769
2025-10-15,74.11,74.11,75.64,73.6,74.89,1302150,97333569.97,9466
2025-10-16,74.89,75.5,76.32,74.83,75.24,731658,55270384.23,6276
2025-10-17,75.24,75.75,75.75,71.0,71.51,1066430,77956250.84,8869
2025-10-20,71.51,72.3,74.0,70.17,73.67,1478993,106942158.47,11338
2025-10-21,73.67,74.3,74.89,74.0,74.6,193869,14440983.24,2125
2025-10-23,74.6,76.0,76.0,73.9,74.65,563328,41960793.27,5517
2025-10-24,74.65,74.55,75.1,73.55,74.53,356550,26486022.28,3723
2025-10-27,74.53,75.3,80.55,74.24,79.59,3217463,252822104.35,22419
2025-10-28,79.59,79.0,79.38,76.65,77.11,903707,69945629.98,9655
2025-10-29,77.11,78.3,78.34,75.76,76.2,616972,47167486.0,5623
2025-10-30,76.2,76.58,76.58,75.0,75.17,402032,30329863.41,3575
2025-10-31,75.17,75.3,75.54,74.23,74.43,283850,21191945.12,3340
2025-11-03,74.43,74.41,74.41,72.2,73.37,566201,41658014.84,4697
2025-11-04,73.37,74.0,74.1,72.49,72.74,473177,34627910.44,3307
2025-11-06,72.74,73.0,73.2,68.8,69.23,1458584,102862550.83,11354
2025-11-07,69.23,69.59,70.12,68.06,69.52,617239,42571317.76,5510
2025-11-10,69.52,71.0,71.1,69.2,69.7,301936,21040465.46,3235
2025-11-11,69.7,69.89,73.0,69.05,71.72,819173,58235181.58,8363
2025-11-12,71.72,72.0,72.8,71.01,72.54,331691,23901549.15,3653
2025-11-13,72.54,72.5,74.3,71.75,73.69,555815,40770372.13,5982
2025-11-14,73.69,73.51,74.1,72.28,73.74,266261,19525283.85,2965
2025-11-17,73.74,70.3,72.1,70.29,70.65,457889,32534209.6,5179
2025-11-18,70.65,70.99,71.3,69.57,70.83,327101,23067128.63,3513
2025-11-19,70.83,70.95,70.95,67.5,68.12,519549,35868143.39,5340
2025-11-20,68.12,68.12,69.36,67.73,68.02,311207,21308273.42,3163
2025-11-21,68.02,68.41,69.1,67.1,67.66,231245,15736616.46,2840
2025-11-24,67.66,67.98,68.34,66.5,66.69,256324,17188287.89,3297
2025-11-25,66.69,66.92,67.53,66.36,66.79,176218,11785086.89,2217
2025-11-26,66.79,66.99,67.64,66.7,66.97,155527,10437731.49,2312
2025-11-27,66.97,67.1,67.63,66.55,66.72,127758,8562037.48,1792
2025-11-28,66.72,67.0,67.01,65.65,65.74,241002,15962010.72,2745
2025-12-01,65.74,66.61,67.0,63.65,64.2,348404,22658969.26,3360
2025-12-02,64.2,64.0,64.2,63.1,63.53,237754,15102708.71,2671
2025-12-03,63.53,63.2,63.98,60.0,60.76,461250,28443342.69,6667
2025-12-04,60.76,60.76,62.68,59.15,61.09,490165,29958932.58,5564
2025-12-05,61.09,61.09,61.39,59.0,59.78,312916,18685769.63,3951
2025-12-08,59.78,59.0,60.03,57.0,57.38,367979,21400312.71,4236
2025-12-09,57.38,57.0,59.95,56.24,59.37,415816,24237176.86,4231
2025-12-10,59.37,59.6,60.39,58.25,58.44,204480,12115985.02,2563
2025-12-11,58.44,58.65,59.67,57.73,59.19,148003,8678359.57,1973
2025-12-12,59.19,59.2,61.5,59.2,60.29,272240,16460456.15,2996
2025-12-15,60.29,60.29,62.25,58.2,61.66,274321,16732608.64,3233
2025-12-16,61.66,61.9,61.9,59.83,60.06,133784,8103776.35,2028
2025-12-17,60.06,59.76,59.9,58.05,58.32,229817,13505761.96,2563
2025-12-18,58.32,58.49,61.0,58.02,58.59,138478,8129045.96,1817
2025-12-19,58.59,59.0,60.48,58.51,59.98,203886,12096843.27,2610
2025-12-22,59.98,59.99,61.46,59.99,60.31,160049,9696555.79,1845
2025-12-23,60.31,61.0,62.1,59.05,61.77,248097,15234638.19,2508
2025-12-24,61.77,61.45,63.74,60.0,62.0,427298,26620110.21,3918
2025-12-26,62.0,62.02,62.99,60.85,61.0,147024,9030676.2,1765
2025-12-29,61.0,60.79,60.87,59.0,59.65,179257,10703916.31,2445
2025-12-30,59.65,59.81,59.96,58.0,58.67,392449,23251099.56,2222
2025-12-31,58.67,58.1,62.26,58.1,61.55,761969,46633325.38,4913
