Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,6.3,6.45,6.45,6.4,6.45,1217,7838.8,5
2017-01-03,6.45,6.05,7.0,6.05,6.7,2073,14245.4,9
2017-01-04,6.7,6.7,6.7,6.7,6.7,1000,6700.0,2
2017-01-05,6.7,6.7,6.95,6.7,6.95,521,3620.7,4
2017-01-06,6.95,7.35,7.35,6.6,6.75,656,4362.15,6
2017-01-09,6.75,6.95,7.0,6.95,6.95,2,13.95,2
2017-01-10,6.95,6.4,6.9,6.4,6.65,4075,27010.2,17
2017-01-11,6.65,6.55,7.2,6.55,7.0,2260,15894.9,10
2017-01-12,7.0,6.75,7.5,6.7,7.2,8554,61170.35,22
2017-01-13,7.2,7.25,7.75,7.2,7.2,1828,13204.5,8
2017-01-16,7.2,6.7,7.85,6.7,6.95,1649,11580.55,13
2017-01-17,6.95,6.7,7.6,6.7,7.0,1904,13478.9,13
2017-01-18,7.0,7.5,7.7,7.1,7.6,4824,36253.5,21
2017-01-19,7.6,7.65,7.65,7.05,7.05,6410,46550.3,21
2017-01-20,7.05,7.4,7.4,7.35,7.35,1283,9440.2,7
2017-01-23,7.35,7.0,7.5,7.0,7.05,230,1632.35,7
2017-01-24,7.05,7.3,7.3,7.0,7.05,975,6853.55,9
2017-01-25,7.05,6.9,7.1,6.9,7.05,4509,31813.7,22
2017-01-27,7.05,7.15,7.5,7.15,7.45,2811,20349.9,10
2017-01-30,7.45,7.4,7.4,7.0,7.0,384,2728.0,2
2017-01-31,7.0,7.0,7.25,6.95,7.25,2367,17035.3,13
2017-02-01,7.25,7.5,7.5,7.1,7.35,3100,22745.0,14
2017-02-02,7.35,7.0,7.2,6.9,7.0,3205,22380.2,16
2017-02-03,7.0,7.2,7.2,6.9,7.15,703,4969.1,9
2017-02-06,7.15,7.4,7.85,6.9,7.85,26398,203461.45,70
2017-02-07,7.85,9.4,9.4,6.4,9.4,65747,584134.55,186
2017-02-08,9.4,9.95,10.9,9.1,9.45,173682,1774715.5,617
2017-02-09,9.45,10.0,10.0,8.25,8.75,36476,319959.25,180
2017-02-10,8.75,8.95,9.75,8.1,8.4,16196,137987.25,68
2017-02-13,8.4,8.2,8.3,7.6,7.9,16910,134935.2,92
2017-02-14,7.9,7.6,8.2,7.15,8.0,15921,123173.35,58
2017-02-15,8.0,7.75,8.0,7.65,7.9,14356,112020.45,37
