Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-12-19,206.76,213.0,213.0,213.0,213.0,1,213.0,1
2022-12-20,213.0,208.0,208.0,206.5,207.0,412,85195.71,11
2022-12-21,207.0,207.0,207.0,207.0,207.0,5,1035.0,1
2022-12-23,207.0,207.0,207.0,206.55,206.55,2,413.55,2
2022-12-26,206.55,206.5,207.0,206.5,207.0,2,413.5,2
2022-12-27,207.0,207.0,207.0,207.0,207.0,2,414.0,1
2022-12-28,207.0,207.25,207.25,206.75,206.75,32,6624.0,7
2022-12-29,206.75,207.0,207.0,207.0,207.0,20,4140.0,2
2022-12-30,207.0,207.0,207.25,206.5,207.0,75197,15528278.9,14
2023-01-02,207.0,206.99,206.99,206.99,206.99,11,2276.89,2
2023-01-03,206.99,207.0,207.0,207.0,207.0,105,21735.0,2
2023-01-04,207.0,206.95,206.95,206.95,206.95,4,827.8,3
2023-01-05,206.95,207.25,207.25,206.85,207.14,4842,1002966.1,5
2023-01-06,207.14,206.9,206.9,206.9,206.9,21,4344.9,2
2023-01-09,206.9,206.8,206.8,206.42,206.42,4,826.06,4
2023-01-10,206.42,207.0,207.15,207.0,207.15,2,414.15,2
2023-01-11,207.15,207.15,207.15,207.0,207.0,56,11592.15,2
2023-01-12,207.0,207.3,207.3,207.3,207.3,1,207.3,1
2023-01-20,207.3,207.85,207.85,207.85,207.85,2,415.7,1
2023-01-23,207.85,207.4,207.4,207.0,207.4,4,829.2,3
2023-01-24,207.4,207.4,207.4,207.1,207.1,6,1242.9,2
2023-01-25,207.1,207.6,207.6,207.15,207.6,23,4771.2,8
2023-01-27,207.6,207.5,207.5,207.5,207.5,4,830.0,2
2023-01-31,207.5,207.0,207.35,206.9,206.9,26,5383.7,14
2023-02-01,206.9,207.75,207.99,207.25,207.25,808,167659.98,7
2023-02-02,207.25,208.7,209.0,208.4,208.4,29,6058.49,11
2023-02-03,208.4,208.21,208.8,208.21,208.25,50,10424.01,17
2023-02-06,208.25,208.25,208.74,208.25,208.66,326,68023.25,14
2023-02-07,208.66,208.5,208.6,208.25,208.6,676,140858.6,28
2023-02-08,208.6,208.25,208.75,208.25,208.6,1001,208808.4,3
2023-02-09,208.6,208.21,208.3,208.02,208.02,14,2915.02,7
2023-02-10,208.02,208.01,208.25,208.01,208.01,14,2913.1,6
2023-02-14,208.01,207.81,208.0,207.8,208.0,18,3741.14,7
2023-02-15,208.0,208.0,208.4,208.0,208.4,4,833.2,4
2023-02-16,208.4,208.4,208.4,208.0,208.0,2,416.4,2
2023-02-17,208.0,208.0,208.4,208.0,208.0,23,4786.4,13
2023-02-20,208.0,208.0,208.0,208.0,208.0,4,832.0,4
2023-02-21,208.0,208.25,208.25,208.0,208.0,60,12493.75,3
2023-02-22,208.0,208.25,208.25,207.81,207.81,3,623.96,3
2023-02-23,207.81,207.61,208.0,207.61,207.61,7,1454.05,3
2023-02-24,207.61,207.8,207.8,207.8,207.8,16,3324.8,1
2023-02-27,207.8,207.8,207.8,207.61,207.61,52,10795.91,4
2023-02-28,207.61,207.8,207.8,207.4,207.4,6,1246.0,5
2023-03-01,207.4,207.8,207.8,207.8,207.8,25,5195.0,1
2023-03-03,207.8,207.8,208.2,207.7,207.95,60,12478.5,9
