Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-04-10,23.77,24.15,24.2,24.15,24.2,14,338.17,5
2023-04-11,24.2,24.4,24.4,24.4,24.4,1,24.4,1
2023-04-12,24.4,24.5,28.74,24.01,28.61,199,5294.66,69
2023-04-13,28.61,28.74,28.74,23.98,24.2,8749,217509.98,133
2023-04-17,24.2,24.81,24.81,23.9,24.12,230064,5529524.3,28
2023-04-18,24.12,23.52,24.25,23.03,24.03,8173,194404.49,23
2023-04-19,24.03,24.63,24.63,23.85,23.95,823,19629.73,8
2023-04-20,23.95,24.01,24.01,23.85,23.89,503,11997.06,8
2023-04-21,23.89,24.02,24.25,24.02,24.02,453,10964.32,10
2023-04-25,24.02,24.29,24.29,24.0,24.02,533,12807.35,8
2023-04-26,24.02,24.03,24.03,24.03,24.03,723,17373.69,3
2023-04-27,24.03,24.04,24.04,24.04,24.04,200,4808.0,1
2023-04-28,24.04,24.05,24.05,24.05,24.05,250,6012.5,1
2023-05-02,24.05,24.65,29.0,19.33,24.3,461,11235.54,29
2023-05-03,24.3,24.4,24.4,24.11,24.11,368,8873.05,8
2023-05-09,24.11,24.11,24.5,24.11,24.5,43,1038.29,4
2023-05-10,24.5,24.21,24.21,24.21,24.21,40,968.4,5
2023-05-12,24.21,24.5,24.5,24.5,24.5,1,24.5,1
2023-05-17,24.5,24.5,24.5,24.5,24.5,2,49.0,2
2023-05-19,24.5,24.5,24.5,24.5,24.5,4,98.0,2
2023-05-22,24.5,24.6,25.5,24.5,24.79,182,4559.01,22
2023-05-23,24.79,24.6,24.63,24.4,24.63,65,1600.46,8
2023-05-24,24.63,24.6,24.62,24.27,24.6,89,2172.39,6
2023-05-25,24.6,24.6,24.6,24.6,24.6,12,295.2,8
2023-05-26,24.6,24.6,24.6,24.3,24.3,1001,24474.6,5
2023-05-29,24.3,24.6,24.64,24.6,24.6,9,221.56,7
2023-05-30,24.6,24.25,24.25,24.25,24.25,40,970.0,1
2023-05-31,24.25,24.3,24.5,24.25,24.36,818,19956.22,9
2023-06-02,24.36,24.01,24.64,24.01,24.64,228,5535.01,8
2023-06-05,24.64,24.32,24.69,24.32,24.64,55,1351.86,7
2023-06-07,24.64,24.3,24.69,24.3,24.36,7,172.11,3
2023-06-08,24.36,24.69,24.69,24.37,24.37,242,5942.98,5
2023-06-09,24.37,24.65,24.65,24.32,24.65,4355,105992.8,7
2023-06-13,24.65,24.65,24.65,24.3,24.47,531,12974.7,6
2023-06-14,24.47,24.65,24.65,24.65,24.65,15,369.75,3
2023-06-15,24.65,24.65,24.65,24.35,24.35,9,219.45,4
2023-06-19,24.35,24.65,24.65,24.65,24.65,66,1626.9,3
2023-06-20,24.65,24.31,24.65,24.3,24.65,156,3798.05,4
2023-06-21,24.65,24.3,24.65,24.3,24.65,22,535.29,3
2023-06-27,24.65,24.6,24.6,24.6,24.6,20,492.0,1
2023-06-28,24.6,24.6,24.6,24.3,24.3,3,73.3,3
2023-06-30,24.3,24.7,24.7,24.5,24.6,55,1353.5,2
2023-07-03,24.6,24.45,24.45,24.37,24.37,250010,6092745.7,3
2023-07-04,24.37,24.65,24.65,24.31,24.47,5110,125948.35,11
2023-07-05,24.47,24.65,24.65,24.6,24.65,671,16538.9,6
2023-07-06,24.65,24.65,24.65,24.34,24.65,260251,6334712.65,7
2023-07-07,24.65,24.55,24.56,24.25,24.38,2055,50122.06,11
2023-07-10,24.38,24.59,24.59,24.59,24.59,1,24.59,1
2023-07-12,24.59,24.59,24.7,24.43,24.7,250265,6114042.55,10
2023-07-14,24.7,24.7,25.3,24.3,24.7,392,9668.52,67
2023-07-17,24.7,24.5,24.7,24.3,24.5,339,8363.9,15
2023-07-19,24.5,24.75,24.75,24.31,24.31,12,295.68,6
2023-07-20,24.31,24.75,24.75,24.75,24.75,514,12721.5,14
2023-07-21,24.75,24.75,24.75,24.75,24.75,10,247.5,1
2023-07-24,24.75,24.25,24.75,24.25,24.75,89,2198.5,9
2023-07-25,24.75,24.69,24.69,24.69,24.69,50,1234.5,1
2023-07-26,24.69,24.6,24.6,24.6,24.6,100,2460.0,2
2023-07-28,24.6,24.75,24.75,24.55,24.55,159,3910.25,6
2023-07-31,24.55,24.4,29.0,24.25,24.55,250133,6065868.16,15
2023-08-01,24.55,24.79,24.79,24.79,24.79,46,1140.34,3
2023-08-02,24.79,25.0,25.0,24.55,24.55,14,347.5,5
2023-08-03,24.55,24.75,24.75,24.35,24.35,8,197.25,6
2023-08-04,24.35,24.6,24.8,24.21,24.22,102,2470.83,5
2023-08-07,24.22,24.75,24.8,24.25,24.44,20209,498391.27,12
2023-08-08,24.44,25.05,25.05,24.41,24.68,102,2495.63,7
2023-08-09,24.68,24.75,24.75,24.25,24.25,547,13475.25,20
2023-08-10,24.25,24.85,24.9,24.25,24.26,282,6851.45,20
2023-08-11,24.26,25.29,25.29,24.21,24.31,93,2261.53,10
2023-08-16,24.31,25.13,25.13,24.4,24.99,16,399.54,13
2023-08-17,24.99,24.37,24.37,24.37,24.37,19,463.03,4
2023-08-21,24.37,25.08,25.6,24.75,24.75,178,4433.65,19
2023-08-23,24.75,24.75,24.75,24.25,24.75,107,2646.75,3
2023-08-25,24.75,24.8,24.8,24.59,24.59,200982,4963256.95,5
2023-08-29,24.59,24.3,24.9,24.3,24.9,7,173.7,5
2023-08-30,24.9,24.9,24.9,24.9,24.9,3,74.7,2
2023-09-04,24.9,24.9,24.9,24.9,24.9,13,323.7,2
2023-09-05,24.9,24.9,24.9,24.3,24.9,8,198.3,4
2023-09-07,24.9,24.3,24.98,24.3,24.87,11,273.45,5
2023-09-08,24.87,24.9,25.3,24.85,25.22,128,3195.65,20
2023-09-11,25.22,25.0,25.22,24.41,24.7,853,21064.84,12
2023-09-12,24.7,24.9,24.9,24.41,24.6,343,8480.41,10
2023-09-13,24.6,24.4,25.1,24.4,25.1,55019,1373844.65,19
2023-09-15,25.1,25.1,25.1,24.3,25.1,534,13220.43,11
2023-09-20,25.1,25.1,25.1,24.3,25.1,4,99.6,4
2023-09-21,25.1,25.2,25.2,25.1,25.1,209,5246.7,8
2023-09-22,25.1,25.1,25.8,24.55,24.84,7700,193453.68,33
2023-09-25,24.84,25.1,25.3,24.61,24.8,20211,506235.1,11
2023-09-27,24.8,25.4,25.4,25.3,25.3,278,7047.9,12
2023-09-28,25.3,25.5,25.5,24.87,25.5,24,611.07,11
2023-09-29,25.5,25.3,25.5,24.7,24.71,2851,71345.5,10
2023-10-03,24.71,25.4,25.4,24.71,25.4,18,456.43,11
2023-10-04,25.4,25.3,25.3,24.51,24.57,30,743.81,4
2023-10-05,24.57,25.18,25.18,25.18,25.18,2,50.36,1
2023-10-09,25.18,24.08,25.4,24.08,24.72,1616,39454.47,20
2023-10-10,24.72,24.72,24.72,24.11,24.11,3010,73747.58,13
2023-10-12,24.11,24.7,25.4,24.51,25.39,310,7872.25,10
2023-10-13,25.39,24.76,25.39,24.7,25.39,204,5054.71,7
2023-10-16,25.39,25.39,25.39,25.0,25.3,499,12475.99,7
2023-10-17,25.3,25.3,25.4,24.11,25.25,1083,26221.87,19
2023-10-18,25.25,25.25,25.25,25.25,25.25,1,25.25,1
2023-10-19,25.25,24.25,25.29,24.0,24.5,584,14153.67,27
2023-10-20,24.5,25.11,25.3,24.5,24.97,757,18883.76,8
2023-10-23,24.97,25.3,25.3,24.97,24.97,134,3389.87,9
2023-10-25,24.97,25.0,25.0,25.0,25.0,64,1600.0,5
2023-10-26,25.0,24.38,25.25,24.38,25.25,2,49.63,2
2023-10-27,25.25,25.3,25.3,25.3,25.3,133,3364.9,5
2023-10-30,25.3,24.32,25.0,24.32,25.0,56,1399.3,8
2023-10-31,25.0,24.99,24.99,24.3,24.64,42,1045.79,7
2023-11-02,24.64,25.0,25.0,25.0,25.0,108,2700.0,4
2023-11-03,25.0,25.13,25.19,25.13,25.17,21,528.45,6
2023-11-06,25.17,24.55,25.1,24.55,25.1,105,2634.95,5
2023-11-07,25.1,24.55,24.99,24.55,24.99,40,995.1,3
2023-11-10,24.99,25.3,25.3,25.3,25.3,59,1492.7,9
2023-11-13,25.29,24.5,25.28,24.25,25.25,27716,672480.92,13
2023-11-15,25.25,25.24,25.24,24.31,25.18,1714,42304.55,12
2023-11-16,25.18,25.4,25.4,24.39,24.98,1488,36329.32,6
2023-11-17,24.98,24.98,25.34,24.3,24.3,1030,26060.95,9
2023-11-20,24.3,25.34,25.34,24.31,24.31,487,12056.19,4
2023-11-21,24.31,25.23,25.23,24.32,24.48,354,8741.25,41
2023-11-22,24.48,24.6,25.2,24.33,25.09,5129,128453.33,51
2023-11-23,25.09,25.09,25.09,24.26,24.6,3852,96375.71,21
2023-11-24,24.6,24.7,25.12,24.6,25.11,1737,42914.31,12
2023-11-28,25.11,25.12,25.29,24.26,24.4,1445,35662.8,23
2023-11-29,24.4,24.4,25.25,24.4,24.42,389,9672.47,12
2023-11-30,24.42,25.03,25.39,24.26,24.76,171,4246.87,11
2023-12-01,24.76,24.76,24.76,24.76,24.76,30,742.8,2
2023-12-04,24.76,24.76,25.19,24.25,25.16,281,7020.51,12
2023-12-05,25.16,25.15,25.15,24.5,25.13,500,12378.53,8
2023-12-06,25.13,25.13,25.13,24.33,24.33,255,6402.63,12
2023-12-07,24.33,25.3,25.3,25.3,25.3,15,379.5,2
2023-12-08,25.3,25.28,25.29,25.28,25.28,5003,126525.21,4
2023-12-11,25.28,25.28,25.39,24.39,25.29,6931,170995.99,32
2023-12-12,25.29,25.35,25.35,25.34,25.34,332,8415.85,5
2023-12-14,25.34,25.34,25.34,24.41,25.3,1269,31177.98,14
2023-12-15,25.3,25.43,25.6,25.24,25.26,3739,95023.42,55
2023-12-18,25.26,25.24,25.28,24.73,25.07,5576,138553.41,36
2023-12-19,25.07,25.07,25.75,24.71,25.13,6534,163657.91,37
2023-12-20,25.13,25.28,25.28,25.28,25.28,129,3261.12,5
2023-12-21,25.28,25.28,25.28,24.7,24.99,378,9482.92,22
2023-12-22,24.99,25.4,25.61,24.9,25.26,1325,33499.49,24
2023-12-26,25.26,25.7,25.7,24.8,25.27,185,4690.2,25
2023-12-27,25.27,25.27,25.27,24.62,24.63,130,3248.76,11
2023-12-28,24.63,24.63,25.3,24.63,25.23,4366,109558.13,51
2023-12-29,25.23,25.3,25.3,24.81,25.29,800,20237.12,20
2024-01-01,25.29,25.29,25.3,24.81,25.29,6,150.8,5
2024-01-02,25.29,25.74,25.74,24.62,24.96,2464,61709.47,51
2024-01-03,24.96,25.14,25.28,24.97,25.16,78,1969.04,18
2024-01-04,25.16,25.16,25.3,25.11,25.24,1398,35319.67,25
2024-01-05,25.24,24.8,25.24,24.62,24.92,80,1994.82,12
2024-01-08,24.92,25.02,25.3,24.5,25.23,11174,281524.69,44
2024-01-09,25.23,24.8,25.7,24.69,25.29,9639,242395.03,91
2024-01-10,25.29,24.81,25.59,24.81,25.32,4446,111880.37,35
2024-01-11,25.32,25.2,25.29,24.62,25.18,2993,74620.63,38
2024-01-12,25.18,25.2,25.29,25.08,25.19,1697,42750.87,36
2024-01-15,25.19,25.29,25.29,25.01,25.02,337,8499.79,22
2024-01-16,25.02,25.02,25.29,25.02,25.28,911,22935.97,28
2024-01-17,25.28,25.28,25.29,24.64,24.67,1565,39337.4,24
2024-01-18,24.67,25.19,25.25,24.71,25.25,37,932.67,8
2024-01-23,25.23,25.3,25.3,24.63,24.67,1472,37068.33,29
2024-01-24,24.67,24.72,25.28,24.72,24.74,244,6054.06,14
2024-01-25,24.74,25.2,25.3,25.2,25.29,75,1896.8,6
2024-01-29,25.29,25.2,26.6,25.2,25.3,4460,114966.53,36
2024-01-30,25.3,25.3,25.3,24.6,25.29,622,15669.44,29
2024-01-31,25.29,25.3,25.3,24.67,25.02,388,9761.48,20
2024-02-01,25.02,25.02,26.89,24.75,26.19,2501,63538.69,43
2024-02-02,26.19,25.3,25.95,25.3,25.91,2871,74355.67,51
2024-02-05,25.91,25.95,25.95,24.83,25.79,827,20995.87,60
2024-02-06,25.79,25.79,29.8,24.91,25.59,1572,40159.19,48
2024-02-07,25.59,25.7,25.95,24.76,25.93,1747,44516.2,46
2024-02-08,25.93,25.79,25.79,25.79,25.79,11,283.69,3
2024-02-09,25.79,26.43,27.1,25.79,25.89,2483,64531.93,80
2024-02-12,25.89,26.0,26.0,24.5,25.9,936,23980.58,37
2024-02-13,25.9,25.95,25.95,24.89,25.9,154,3991.42,24
2024-02-14,25.9,25.9,25.95,24.9,25.89,250,6470.45,29
2024-02-15,25.89,25.8,25.95,25.11,25.9,1365,35330.88,26
2024-02-16,25.9,25.8,25.9,25.03,25.89,115,2966.12,17
2024-02-19,25.89,25.89,25.89,25.11,25.88,4444,114780.78,32
2024-02-20,25.88,25.88,26.15,24.7,25.77,7691,196197.48,66
2024-02-21,25.77,25.77,25.87,25.0,25.7,757,19345.35,25
2024-02-22,25.7,25.8,26.01,25.02,25.53,1603,40900.26,60
2024-02-23,25.53,25.53,25.79,25.11,25.26,491,12640.54,15
2024-02-26,25.26,25.79,25.79,25.27,25.75,508,13089.72,24
2024-02-27,25.75,25.75,25.75,25.28,25.55,492,12498.73,18
2024-02-28,25.55,25.55,25.89,25.36,25.89,144,3685.56,14
2024-02-29,25.89,26.14,26.14,25.27,25.98,201,5203.63,29
2024-03-01,25.98,25.8,25.97,25.26,25.44,665,16978.27,16
2024-03-04,25.91,25.01,26.25,25.01,25.82,1042,26841.21,52
