Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-08-17,88.6,128.45,134.85,128.45,134.85,931,125308.55,42
2017-08-18,134.85,141.55,141.55,141.55,141.55,263,37227.65,27
2017-08-21,141.55,148.6,148.6,148.6,148.6,85,12631.0,16
2017-08-22,148.6,156.0,156.0,156.0,156.0,151,23556.0,9
2017-08-23,156.0,163.8,163.8,163.8,163.8,550,90090.0,20
2017-08-24,163.8,171.95,171.95,171.95,171.95,160,27512.0,19
2017-08-28,171.95,180.5,180.5,180.5,180.5,35,6317.5,6
2017-08-29,180.5,180.0,189.5,180.0,189.5,100,18807.5,14
2017-08-30,189.5,198.95,198.95,198.95,198.95,130,25863.5,14
2017-08-31,198.95,208.85,208.85,208.85,208.85,415,86672.75,19
2017-09-01,208.85,229.7,229.7,229.7,229.7,1164,267370.8,29
2017-09-04,229.7,252.65,252.65,252.65,252.65,295,74531.75,29
2017-09-05,252.65,277.9,277.9,277.9,277.9,402,111715.8,24
2017-09-06,277.9,291.75,291.75,291.75,291.75,2647,772262.25,50
2017-09-07,291.75,306.3,306.3,306.3,306.3,682,208896.6,45
2017-09-08,306.3,321.6,321.6,321.6,321.6,360,115776.0,27
2017-09-11,321.6,337.65,337.65,337.65,337.65,1051,354870.15,29
2017-09-12,337.65,354.5,354.5,354.5,354.5,459,162715.5,24
2017-09-13,354.5,372.2,372.2,372.2,372.2,2273,846010.6,35
2017-09-14,372.2,390.8,390.8,390.8,390.8,4720,1844576.0,67
2017-09-15,390.8,410.3,410.3,410.3,410.3,27215,11166314.5,316
2017-09-18,410.3,430.8,430.8,419.95,430.8,38697,16610316.05,610
2017-09-19,430.8,452.3,452.3,436.05,452.3,14819,6688992.5,239
2017-09-20,452.3,474.9,474.9,460.0,474.9,10685,5052956.05,181
2017-09-21,474.9,498.6,498.6,470.0,498.6,53673,26583942.6,831
2017-09-22,498.6,519.05,523.5,505.0,523.5,40743,21246185.7,782
2017-09-25,523.5,549.0,549.65,508.1,511.0,43744,23306568.8,1554
2017-09-26,511.0,500.1,513.0,485.45,490.05,27279,13361167.25,882
2017-09-27,490.05,472.0,500.0,466.05,470.25,21802,10385266.2,541
2017-09-28,470.25,465.0,480.0,447.05,470.9,2723,1270556.2,129
2017-09-29,470.9,470.0,470.0,450.3,460.0,3962,1820504.5,139
2017-10-03,460.0,452.0,470.0,445.0,455.0,4212,1916049.4,122
2017-10-04,455.0,435.0,477.7,435.0,472.25,4373,2005482.55,169
2017-10-05,472.25,455.0,495.85,455.0,495.85,8633,4272337.35,86
2017-10-06,495.85,520.6,520.6,504.2,509.1,9152,4725501.3,213
2017-10-09,509.1,530.0,530.0,486.0,491.5,5218,2594736.05,141
2017-10-10,491.5,510.0,510.0,480.0,490.0,3173,1546448.2,107
2017-10-11,490.0,480.0,494.95,465.5,467.7,2766,1313504.65,108
2017-10-12,467.7,446.05,484.0,446.05,465.65,1020,479159.5,58
2017-10-13,465.65,475.0,480.0,460.0,474.95,721,335888.6,49
2017-10-16,474.95,470.0,480.0,455.15,467.8,1951,910292.15,72
2017-10-17,467.8,451.25,480.0,451.05,474.0,2698,1273672.25,66
2017-10-18,474.0,471.0,488.0,455.1,483.8,2510,1160468.15,39
2017-10-19,483.8,475.0,486.5,463.0,470.85,244,115445.4,34
2017-10-23,470.85,460.0,470.0,457.0,462.95,1171,539066.0,56
2017-10-24,462.95,463.0,463.0,450.15,462.0,754,342386.65,57
2017-10-25,462.0,455.0,460.95,450.1,450.1,887,400758.05,41
2017-10-26,450.1,427.6,469.95,427.6,446.15,967,421044.05,44
2017-10-27,446.15,457.5,457.5,423.85,442.55,1146,500842.15,88
2017-10-30,442.55,445.0,445.0,420.45,434.6,2069,882135.45,106
2017-10-31,434.6,420.5,436.95,413.0,416.9,2277,963956.4,80
2017-11-01,416.9,421.0,425.0,410.0,413.05,2492,1039432.2,97
2017-11-02,413.05,415.5,433.7,413.5,433.7,1477,628066.55,68
2017-11-03,433.7,426.0,450.0,426.0,446.9,1158,506706.9,68
2017-11-06,446.9,430.0,450.0,430.0,437.9,518,226100.0,36
2017-11-07,437.9,437.0,443.0,430.0,433.0,1780,773087.0,72
2017-11-08,433.0,430.0,445.0,424.4,432.0,935,403529.2,56
2017-11-09,432.0,430.0,453.6,430.0,453.45,10245,4624061.0,79
2017-11-10,453.45,431.5,453.0,431.5,444.0,8210,3672445.5,129
2017-11-13,444.0,432.0,440.0,432.0,434.05,176,76385.0,17
2017-11-14,434.05,425.0,449.0,425.0,446.45,1551,682741.2,52
2017-11-15,446.45,465.0,465.0,424.15,429.4,1937,832709.5,52
2017-11-16,429.4,411.05,440.0,411.05,429.95,1987,852880.45,58
2017-11-17,429.95,430.05,434.95,425.0,429.8,1212,521147.25,47
2017-11-20,429.8,421.0,435.0,421.0,429.0,2271,975501.0,66
2017-11-21,429.0,425.0,450.0,415.0,432.0,636,278021.9,61
2017-11-22,432.0,449.6,449.6,415.4,427.35,390,167272.45,32
2017-11-23,427.35,425.5,435.0,422.35,428.1,262,112719.5,25
2017-11-24,428.1,425.5,440.0,425.0,437.75,931,403571.4,62
2017-11-27,437.75,439.0,439.0,427.0,429.8,1172,504818.4,41
2017-11-28,429.8,427.5,430.95,422.0,430.0,501,213409.75,32
2017-11-29,430.0,427.5,440.0,420.05,423.0,1013,435565.9,49
2017-11-30,423.0,420.5,440.0,416.5,428.35,739,315345.65,41
2017-12-01,428.35,421.05,435.0,421.05,426.0,415,178525.9,30
2017-12-04,426.0,440.0,444.9,426.0,432.85,2384,1036269.55,59
2017-12-05,432.85,435.0,435.0,427.0,432.7,1249,539414.0,34
2017-12-06,432.7,432.0,454.3,426.05,429.25,3181,1387940.05,54
2017-12-07,429.25,426.1,435.0,426.1,428.7,1071,460621.2,47
2017-12-08,428.7,444.95,444.95,425.0,426.5,2035,875416.7,70
2017-12-11,426.5,425.5,440.0,405.6,429.6,1384,597024.75,50
2017-12-12,429.6,420.0,435.0,408.5,428.45,8656,3630158.3,146
2017-12-13,428.45,417.2,429.5,416.0,421.15,786,329410.55,54
2017-12-14,421.15,415.4,419.9,379.2,405.85,30357,12080335.9,557
2017-12-15,405.85,405.85,426.7,390.0,399.45,4588,1829632.95,171
2017-12-18,399.45,387.0,403.9,387.0,390.65,1865,739572.7,62
2017-12-19,390.65,395.0,410.0,395.0,400.0,1757,705853.1,64
2017-12-20,400.0,400.1,412.0,398.0,405.8,1608,647634.65,61
2017-12-21,405.8,390.2,434.0,390.2,423.75,1743,724948.4,109
2017-12-22,423.75,423.75,445.0,410.0,434.05,9907,4204622.9,265
2017-12-26,434.05,457.0,457.0,421.0,429.4,4966,2139428.7,129
2017-12-27,429.4,429.4,438.0,425.0,427.1,3490,1500959.25,58
2017-12-28,427.1,430.0,434.8,395.55,427.05,3381,1445902.95,73
2017-12-29,427.05,434.8,435.0,420.0,420.2,1885,803182.75,53
2018-01-01,420.2,455.0,455.0,405.55,425.85,2823,1209746.85,97
2018-01-02,484.75,484.8,581.7,479.0,581.7,73424,41316220.25,3199
2018-01-03,428.9,417.5,430.0,411.0,429.9,1147,492165.0,66
2018-01-04,429.9,429.9,430.0,421.0,429.95,437,187014.6,23
