Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-12-27,850.0,1000.0,1087.4,961.25,1030.8,14161658,14411316944.15,430089
2023-12-28,1030.8,1016.0,1057.55,1004.0,1019.1,1884637,1942847199.15,88903
2023-12-29,1019.1,1024.95,1041.3,976.75,1029.25,845242,862391599.25,46812
2024-01-01,1029.25,1029.25,1039.7,1006.95,1029.7,421088,431599571.2,23395
2024-01-02,1029.7,1028.0,1032.35,1002.95,1007.05,234307,237002391.8,15297
2024-01-03,1007.05,1006.0,1024.3,997.55,1015.85,251757,254691834.7,17778
2024-01-04,1015.85,1021.0,1030.0,1008.0,1015.85,247094,250954333.7,24206
2024-01-05,1015.85,1020.0,1029.75,997.1,1000.5,432820,437385430.1,30155
2024-01-08,1000.5,1000.45,1005.0,976.4,1000.15,353820,352580085.35,23551
2024-01-09,1000.15,1002.15,1008.0,975.0,977.45,141132,139133856.9,15664
2024-01-10,977.45,974.7,979.0,956.25,966.85,184253,177690007.75,17714
2024-01-11,966.85,967.75,987.0,953.0,956.6,136483,132092352.2,15010
2024-01-12,956.6,960.2,974.2,952.0,954.75,100166,96356229.6,10509
2024-01-15,954.75,957.05,964.4,945.2,950.9,215059,204452422.7,20917
2024-01-16,950.9,951.0,957.0,934.5,946.6,110776,105022105.8,11797
2024-01-17,946.6,936.95,990.0,934.5,963.85,283378,273050504.35,23615
2024-01-18,963.85,964.0,969.0,936.3,959.95,91091,86911261.95,10708
2024-01-19,959.95,969.95,970.9,947.7,951.3,114917,109486954.05,9026
2024-01-23,941.1,945.05,953.65,928.4,934.55,173390,162343633.45,17777
2024-01-24,934.55,932.8,953.45,917.75,945.95,279815,261872191.8,12021
2024-01-25,945.95,946.0,973.95,941.75,969.5,130720,125916393.3,16718
2024-01-29,969.5,972.0,977.8,950.25,959.85,126414,121188856.2,12250
2024-01-30,959.85,959.9,983.0,948.0,979.15,131408,127658443.85,12239
2024-01-31,979.15,979.0,1018.0,973.85,989.75,184423,183610111.8,18470
2024-02-01,989.75,1000.0,1003.95,973.1,980.15,80153,79298873.6,10551
2024-02-02,980.15,985.05,1002.0,975.1,981.05,298850,293521482.45,6269
2024-02-05,981.05,984.0,992.45,950.0,958.85,136964,132120678.7,15021
2024-02-06,958.85,960.0,972.0,930.0,963.9,140753,134784171.85,9164
2024-02-07,963.9,970.0,1019.0,970.0,1005.1,199913,200299650.8,15251
2024-02-08,1005.1,1022.0,1035.0,984.1,1023.15,235053,238716033.75,18510
2024-02-09,1023.15,1025.0,1025.0,990.15,1006.5,156007,157024677.55,22867
2024-02-12,1006.5,1019.0,1052.95,974.65,993.5,310644,315260859.75,19393
2024-02-13,993.5,985.0,994.45,942.7,962.85,124485,121061242.6,10694
2024-02-14,962.85,940.05,987.95,940.0,983.0,56023,54166388.25,5900
2024-02-15,983.0,990.65,998.6,950.0,965.0,70425,68737674.15,8189
2024-02-16,965.0,980.0,992.9,958.15,970.9,323228,315132168.35,22987
2024-02-19,970.9,982.0,983.7,961.45,968.25,69167,67193542.05,7214
2024-02-20,968.25,968.5,974.45,960.05,962.85,61902,59766668.85,11624
2024-02-21,962.85,969.0,971.0,940.4,942.25,81939,77914207.1,5747
2024-02-22,942.25,950.0,964.8,935.0,960.95,68091,64871535.95,4581
2024-02-23,960.95,964.0,969.95,952.0,957.6,35824,34332890.2,3906
2024-02-26,957.6,962.0,970.35,950.0,952.7,52270,50277996.45,4488
2024-02-27,952.7,954.8,956.0,935.45,937.95,42417,39991399.35,3779
2024-02-28,937.95,940.0,945.95,904.25,923.3,119125,110416498.95,7852
2024-02-29,923.3,921.25,937.0,914.0,928.2,66082,61111475.95,3621
2024-03-01,928.2,953.0,992.0,943.1,975.85,232319,226517339.15,13882
2024-03-04,985.5,985.5,992.0,960.6,963.35,57228,55709485.0,4339
2024-03-05,963.35,969.0,969.0,933.8,936.2,47538,44977732.75,4162
2024-03-06,936.2,943.9,943.9,898.95,926.95,111824,102270974.6,10286
2024-03-07,926.95,944.65,944.7,920.05,928.0,77529,72016512.3,9594
2024-03-11,928.0,927.95,930.0,888.0,890.3,109467,98684426.5,8607
2024-03-12,890.3,894.9,899.9,855.0,879.8,135759,118504652.35,10502
2024-03-13,879.8,880.0,894.2,824.0,835.65,297265,250227330.3,14219
2024-03-14,835.65,835.65,853.6,815.0,826.45,231672,191586708.6,17878
2024-03-15,826.45,826.45,840.0,822.75,832.0,71487,59450231.6,5147
2024-03-18,832.0,838.9,838.9,813.2,815.25,65976,54066804.3,6838
2024-03-19,815.25,814.0,830.4,813.7,825.75,47047,38776249.2,4545
2024-03-20,825.75,833.9,849.4,825.75,843.15,47924,40175997.1,4385
2024-03-21,843.15,852.0,887.4,851.15,867.55,141703,122843135.3,8131
2024-03-22,867.55,874.7,897.1,860.0,887.75,80061,70405638.25,5052
