Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-08-31,1000.0,1000.01,1000.01,999.99,1000.01,15206,15205851.03,12
2023-09-01,1000.01,1000.02,1000.02,999.99,999.99,35460,35459656.4,14
2023-09-04,999.99,1000.01,1000.01,999.99,1000.01,11529,11528895.31,10
2023-09-05,1000.01,1000.01,1000.01,999.99,1000.01,2011,2011020.01,10
2023-09-06,1000.01,1000.01,1000.01,1000.0,1000.0,129,129001.26,4
2023-09-07,1000.0,1000.01,1000.01,999.99,1000.01,1760,1760008.6,14
2023-09-08,1000.01,1000.01,1000.01,1000.01,1000.01,11,11000.11,2
2023-09-11,1000.01,1000.01,1000.01,999.99,1000.01,450,449996.06,10
2023-09-12,1000.01,1000.0,1000.01,999.99,1000.01,966,965995.7,9
2023-09-13,1000.01,1000.01,1000.01,999.99,1000.01,50039,50038503.24,15
2023-09-14,1000.01,999.99,1000.0,999.99,999.99,162,161998.68,5
2023-09-15,999.99,1000.0,1000.01,1000.0,1000.0,222,222001.48,9
2023-09-18,1000.0,1000.0,1000.01,1000.0,1000.0,1618,1618015.94,14
2023-09-20,1000.0,1000.0,1000.0,999.99,999.99,550,549994.92,3
2023-09-21,999.99,1000.01,1000.01,999.99,1000.01,3505,3505033.72,10
2023-09-22,1000.01,1000.01,1000.01,999.99,999.99,9536,9536093.86,9
2023-09-25,999.99,999.99,1000.01,999.99,1000.01,671,670995.37,12
2023-09-26,1000.01,1000.01,1000.01,999.99,1000.0,1346,1346006.39,11
2023-09-27,1000.0,999.99,1000.01,999.99,999.99,846,845991.76,8
2023-09-28,999.99,999.99,1000.01,999.99,1000.0,1118,1118001.64,15
2023-09-29,1000.0,1000.01,1000.01,999.99,1000.0,166,166001.3,7
2023-10-03,1000.0,999.99,1000.0,999.99,999.99,167,166998.43,5
2023-10-04,999.99,999.99,1000.01,999.99,1000.01,250626,250623502.61,55
2023-10-05,1000.01,1000.0,1000.01,999.99,1000.0,1434,1434013.24,7
2023-10-06,1000.0,1000.01,1000.01,999.99,1000.01,2786,2786024.61,19
2023-10-09,1000.01,999.99,1000.01,999.99,1000.01,1375,1374991.32,13
2023-10-10,1000.01,999.99,1000.01,999.99,1000.0,1681,1680987.91,13
2023-10-11,1000.0,1000.0,1000.01,999.99,999.99,2929,2928971.84,14
2023-10-12,999.99,1000.0,1000.0,1000.0,1000.0,62,62000.0,6
2023-10-13,1000.0,1000.0,1000.01,999.99,1000.0,596,596000.55,12
2023-10-16,1000.0,999.99,1000.0,999.99,999.99,629,628993.87,9
2023-10-17,999.99,999.99,1000.01,999.99,1000.01,186,185998.44,6
2023-10-18,1000.01,999.99,1000.0,999.99,999.99,2091,2090979.16,8
2023-10-19,999.99,1000.01,1000.01,999.99,1000.0,639,639000.79,14
2023-10-20,1000.0,1000.01,1000.01,999.99,1000.01,219,219002.06,11
2023-10-23,1000.01,1000.01,1000.01,999.99,999.99,343,342999.84,10
2023-10-25,999.99,999.99,1000.01,999.99,1000.0,8863,8863002.09,17
2023-10-26,1000.0,999.99,1000.01,999.99,999.99,6979,6979060.09,9
2023-10-27,999.99,1000.01,1000.01,1000.01,1000.01,200,200002.0,2
2023-10-30,1000.01,1000.02,1000.02,999.99,1000.0,1720,1720016.09,15
2023-10-31,1000.0,1000.01,1000.01,999.99,999.99,199,198998.63,10
2023-11-01,999.99,999.99,1000.01,999.99,1000.01,416,416002.41,11
2023-11-02,1000.01,999.99,1000.01,999.99,1000.0,1761,1761007.92,10
2023-11-03,1000.0,999.99,1000.0,999.99,1000.0,253,252999.48,4
2023-11-06,1000.0,1000.01,1000.01,999.99,1000.01,1936,1936018.69,12
2023-11-07,1000.01,1000.0,1000.0,999.99,999.99,442,441995.95,4
2023-11-08,999.99,1000.01,1000.01,999.99,999.99,807,806992.01,3
2023-11-09,999.99,999.99,1000.0,999.99,999.99,2099,2098981.41,8
2023-11-10,999.99,1000.0,1000.01,999.99,999.99,1413,1412997.77,18
2023-11-13,1007.5,1000.01,1000.01,1000.01,1000.01,145,145001.45,2
2023-11-15,1000.01,1000.0,1000.01,999.99,999.99,4663,4663043.99,14
2023-11-16,999.99,999.99,999.99,999.99,999.99,11,10999.89,2
2023-11-17,999.99,999.99,1000.01,999.99,1000.0,197,196999.45,8
2023-11-20,1000.0,1000.0,1000.01,1000.0,1000.01,1500,1500014.9,3
2023-11-21,1000.01,999.99,1000.01,999.99,1000.0,3858,3857961.86,19
2023-11-22,1000.0,1000.01,1000.01,999.99,999.99,5373,5373040.7,13
2023-11-23,999.99,999.99,1000.01,999.99,1000.0,2813,2813021.7,19
2023-11-24,1000.0,999.99,1000.01,999.99,1000.01,2928,2927982.48,9
2023-11-28,1000.01,999.99,1000.01,999.99,1000.0,300,299999.1,8
2023-11-29,1000.0,1000.0,1000.01,999.99,1000.0,2921,2921023.97,8
2023-11-30,1000.0,1000.01,1000.01,999.99,1000.0,134,134000.12,54
2023-12-01,1000.0,1000.0,1000.01,1000.0,1000.0,1953,1953011.93,37
2023-12-04,1000.0,1000.0,1000.01,1000.0,1000.0,1012,1012008.58,46
2023-12-05,1000.0,1000.0,1000.01,999.99,1000.0,2397827,2397826997.33,334
2023-12-06,1000.0,999.99,1000.01,999.99,999.99,1065,1064993.99,46
2023-12-07,999.99,1000.01,1000.01,999.99,1000.01,868,867993.09,13
2023-12-08,1000.01,999.5,1000.01,999.49,1000.0,1288,1287970.04,82
2023-12-11,1000.0,1020.0,1020.0,999.99,1000.0,1639,1639012.04,72
2023-12-12,1000.0,999.99,1000.01,999.99,999.99,1503427,1503426971.63,243
2023-12-13,999.99,999.99,1000.01,999.99,1000.0,32632,32632008.1,66
2023-12-14,1000.0,1000.01,1000.01,999.99,999.99,12640,12639999.19,64
2023-12-15,999.99,1000.0,1000.01,999.99,1000.0,75771,75771156.43,71
2023-12-18,1000.0,1000.0,1000.01,999.99,1000.01,505,505001.17,17
2023-12-19,1000.01,1000.0,1000.01,999.99,1000.0,80473,80472997.08,90
2023-12-20,1000.0,1000.01,1000.01,999.99,1000.0,7638,7637930.84,43
2023-12-21,1000.0,1000.01,1000.01,999.99,999.99,156,155999.76,4
2023-12-22,999.99,980.0,1000.01,980.0,999.99,669,668974.32,11
2023-12-26,999.99,999.99,1000.01,999.99,999.99,1879,1878990.63,22
2023-12-27,999.99,999.99,999.99,999.99,999.99,500,499995.0,1
2023-12-28,999.99,1000.01,1000.01,999.99,1000.01,5191,5191051.59,57
2023-12-29,1000.01,1000.0,1000.01,999.99,1000.0,2923,2923005.02,30
2024-01-01,1000.0,1000.0,1000.01,999.99,1000.01,317,317002.97,10
2024-01-02,1000.01,1000.0,1000.01,999.99,1000.0,865,864998.64,62
2024-01-03,1000.0,1000.01,1000.01,999.99,1000.0,5588,5588046.04,46
2024-01-04,1000.0,999.99,1000.01,999.99,1000.01,208989,208989004.83,54
2024-01-05,1000.01,1000.01,1000.01,999.99,1000.01,19814,19814192.3,62
2024-01-08,1000.01,999.99,1000.01,999.99,1000.0,5978,5977992.18,50
2024-01-09,1000.0,1000.0,1000.01,999.99,1000.01,8088,8087990.0,50
2024-01-10,1000.01,1000.0,1000.01,999.99,999.99,775,774997.41,47
2024-01-11,999.99,1000.01,1000.01,999.99,1000.0,6212,6212059.87,25
2024-01-12,1000.0,999.99,1000.01,999.99,999.99,131,131001.24,9
2024-01-15,999.99,999.99,1000.01,999.99,1000.0,1122,1121990.6,7
2024-01-16,1000.0,1000.0,1000.01,999.99,1000.01,1615,1614998.35,4
2024-01-17,1000.01,999.99,1000.01,999.99,1000.0,838,837997.84,14
2024-01-18,1000.0,999.99,1000.01,999.99,1000.01,3258,3257969.41,8
2024-01-19,1000.01,1000.01,1000.01,999.99,1000.01,211,211001.09,6
2024-01-23,1000.01,1000.01,1000.01,999.99,1000.01,1290,1290012.82,4
2024-01-24,1000.01,1000.01,1000.01,999.99,1000.0,2200,2200021.0,6
2024-01-25,1000.0,999.99,1000.01,999.99,1000.01,2057,2057020.55,10
2024-01-29,1000.01,999.99,1000.01,999.99,1000.01,1815,1814982.15,6
2024-01-30,1000.01,999.99,1000.01,999.99,999.99,6192,6192022.42,11
2024-01-31,999.99,999.99,1000.01,999.99,999.99,977,976990.29,9
2024-02-01,999.99,999.99,1000.01,999.99,1000.01,610,610004.56,7
2024-02-02,1000.01,999.5,1000.01,997.5,1000.01,1394,1391348.02,46
2024-02-05,1000.01,1000.01,1000.01,999.99,999.99,1565,1565005.39,10
2024-02-06,999.99,1000.0,1000.01,999.99,1000.01,457,456997.15,11
2024-02-07,1000.01,1000.0,1000.01,999.99,1000.0,1375,1375008.46,14
2024-02-08,1000.0,1000.0,1000.01,999.99,999.99,832,832004.32,18
2024-02-09,999.99,1000.0,1000.01,1000.0,1000.0,1205,1205010.17,12
2024-02-12,1000.0,1000.0,1000.0,999.99,1000.0,331,330999.12,11
2024-02-13,1000.0,999.99,1000.01,999.99,999.99,1626,1626004.83,17
2024-02-14,999.99,1000.01,1000.01,1000.0,1000.01,226,226001.93,30
2024-02-15,1000.01,1000.01,1000.01,999.99,1000.0,2396,2395994.01,18
2024-02-19,1000.0,1000.0,1000.01,1000.0,1000.01,1836,1836018.35,4
2024-02-20,1000.01,1000.01,1000.01,1000.0,1000.0,1330,1330010.0,9
2024-02-21,1000.0,999.99,1000.01,999.99,1000.0,20205,20204799.85,13
2024-02-22,1000.0,1000.0,1000.01,999.99,999.99,6712,6711941.7,21
2024-02-23,999.99,1000.01,1000.01,1000.0,1000.0,575,575005.45,6
2024-02-26,1000.0,999.99,1000.01,999.99,1000.0,1073,1073009.44,6
2024-02-27,1000.0,1000.0,1000.01,1000.0,1000.0,1824,1824012.66,15
