Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,263.8,260.05,268.75,260.05,264.95,14184,3766178.7,215
2017-01-03,264.95,267.5,271.65,262.8,264.3,10926,2898381.75,359
2017-01-04,264.3,261.8,267.05,261.0,262.075,19490,5147465.55,261
2017-01-05,262.075,263.575,266.975,263.55,263.8,12256,3246334.7,113
2017-01-06,263.8,263.575,265.0,258.875,260.475,14162,3700016.25,408
2017-01-09,260.475,263.25,263.35,260.0,261.075,2852,745663.5,137
2017-01-10,261.075,262.0,269.5,261.125,265.425,5988,1585856.95,238
2017-01-11,265.425,262.5,271.5,262.5,265.675,10506,2812144.35,231
2017-01-12,265.675,266.025,266.025,261.0,262.9,6100,1605356.05,213
2017-01-13,262.9,265.025,265.025,261.5,262.3,6748,1773373.2,140
2017-01-16,262.3,265.1,270.475,261.5,262.95,15866,4169654.45,333
2017-01-17,262.95,264.975,265.0,260.0,260.6,9038,2359052.7,242
2017-01-18,260.6,262.5,272.2,261.5,263.825,15436,4113461.8,349
2017-01-19,263.825,263.65,272.5,263.0,270.625,16884,4551260.1,342
2017-01-20,270.625,269.5,273.0,266.3,268.6,20238,5440790.3,241
2017-01-23,268.6,264.15,269.0,263.05,265.75,21896,5816661.75,310
2017-01-24,265.75,264.525,269.0,264.525,268.325,2790,745582.45,57
2017-01-25,268.325,269.0,269.0,263.35,266.15,15950,4234943.0,271
2017-01-27,266.15,269.0,270.95,265.75,266.675,5640,1510236.2,425
2017-01-30,266.675,268.5,279.35,268.5,274.325,59082,16188807.15,732
2017-01-31,274.325,274.2,275.975,268.1,269.675,13132,3548441.7,441
2017-02-01,269.675,267.85,274.5,265.0,271.075,27750,7468300.8,326
2017-02-02,271.075,270.775,283.7,267.6,281.85,30014,8334102.95,948
2017-02-03,281.85,283.875,284.0,277.825,278.95,18992,5341036.0,505
2017-02-06,278.95,285.0,292.0,280.5,288.975,35424,10143024.6,811
2017-02-07,288.975,290.05,300.0,290.05,295.575,93912,27882651.15,1519
2017-02-08,295.575,302.5,302.55,297.15,299.7,119580,35877216.6,1650
2017-02-09,299.7,314.0,318.725,302.5,302.975,409524,127592253.6,8574
2017-02-10,302.975,305.0,308.975,302.4,303.675,58138,17728305.45,1544
2017-02-13,303.675,308.5,310.95,303.0,305.45,44402,13640020.7,1647
2017-02-14,305.45,307.475,307.475,295.0,297.825,44452,13301926.75,1921
2017-02-15,297.825,295.325,302.425,288.15,293.075,45952,13505841.25,1263
2017-02-16,293.075,292.5,302.375,289.0,290.875,59116,17363673.85,3568
2017-02-17,290.875,298.475,310.0,292.475,306.775,75642,22907746.15,2151
2017-02-20,306.775,315.0,315.5,308.0,309.325,284312,88596923.55,4591
2017-02-21,309.325,311.35,312.5,307.5,308.2,87308,27024436.05,1941
2017-02-22,308.2,308.5,311.975,300.5,302.65,60928,18653708.25,1912
2017-02-23,302.65,304.5,311.5,304.5,307.625,36940,11393007.6,1349
2017-02-27,307.625,310.0,311.975,306.35,309.55,23048,7140055.55,990
2017-02-28,309.55,310.725,311.0,304.15,305.425,27430,8432386.4,865
2017-03-01,305.425,310.95,310.95,304.0,308.875,38976,12019666.95,1439
2017-03-02,308.875,310.5,310.5,294.5,296.325,71784,21773322.4,2583
2017-03-03,296.325,293.35,309.7,293.35,306.85,39366,11945517.5,1873
2017-03-06,306.85,309.95,312.05,306.0,307.875,50258,15533929.1,2421
2017-03-07,307.875,311.95,311.95,304.0,306.025,35008,10738614.45,1279
2017-03-08,306.025,305.5,307.5,299.95,302.1,22426,6793895.95,928
2017-03-09,302.1,303.45,307.5,301.5,304.275,13092,4004801.35,606
2017-03-10,304.275,304.45,307.45,303.3,305.575,21344,6522557.4,529
2017-03-14,305.575,312.5,312.5,300.0,301.225,25096,7636578.0,1001
2017-03-15,301.225,305.0,305.0,295.75,298.925,33796,10178589.1,1038
2017-03-16,298.925,298.925,304.4,298.025,302.475,30962,9334199.3,1098
2017-03-17,302.475,304.5,307.4,298.05,300.35,44846,13565242.35,1013
2017-03-20,300.35,301.0,301.975,295.0,299.375,19124,5707318.65,492
2017-03-21,299.375,296.8,300.025,295.05,297.025,17198,5101937.3,437
2017-03-22,297.025,295.5,296.725,292.0,295.675,8700,2561699.6,348
2017-03-23,295.675,299.025,302.45,296.0,301.125,19666,5890703.75,1096
2017-03-24,301.125,301.55,303.5,298.05,299.6,15702,4722055.1,556
2017-03-27,299.6,297.3,297.5,292.0,293.3,26428,7791119.9,691
2017-03-28,293.3,294.5,296.5,290.0,291.3,34028,9966123.1,784
2017-03-29,291.3,294.5,294.975,286.3,287.125,50646,14629294.55,1861
2017-03-30,287.125,294.0,294.0,288.575,292.125,23356,6816052.1,951
2017-03-31,292.125,293.95,295.525,290.6,291.4,15762,4602268.1,662
2017-04-03,291.4,295.0,299.75,291.425,295.7,29950,8826514.25,897
2017-04-05,295.7,296.0,302.45,295.0,296.925,31580,9411338.25,971
2017-04-06,296.925,295.0,295.0,291.475,292.5,113404,33177154.15,1114
2017-04-07,292.5,295.0,296.2,292.5,292.975,11592,3407739.85,446
2017-04-10,292.975,293.525,299.225,289.0,289.9,34396,10033272.4,880
2017-04-11,289.9,295.0,299.25,289.275,289.6,19682,5724201.5,569
2017-04-12,289.6,289.75,293.975,287.6,289.475,19678,5707730.85,494
2017-04-13,289.475,296.5,296.5,286.675,287.425,19272,5555358.85,431
2017-04-17,287.425,287.475,292.7,279.2,280.725,49072,13870524.6,827
2017-04-18,280.725,282.45,285.925,279.75,280.225,31446,8910598.75,474
2017-04-19,280.225,279.55,282.475,276.5,278.925,14042,3917694.9,301
2017-04-20,278.925,280.75,286.475,279.0,282.525,11792,3331858.2,344
2017-04-21,282.525,283.4,283.4,276.525,280.375,36006,10055736.25,927
2017-04-24,280.375,280.0,280.975,269.8,275.025,83068,22842248.1,1724
2017-04-25,275.025,275.075,280.0,274.175,275.175,40522,11210711.8,2194
2017-04-26,275.175,282.5,282.5,270.025,272.85,33580,9223291.45,788
2017-04-27,272.85,274.1,278.0,273.0,275.825,9430,2593665.3,484
2017-04-28,275.825,275.95,285.95,275.025,277.05,19312,5390344.45,1013
2017-05-02,277.05,276.625,283.475,275.5,276.7,18070,5044075.7,762
2017-05-03,276.7,280.0,280.5,275.0,277.4,20502,5688746.7,817
2017-05-04,277.4,277.8,282.5,276.0,278.725,46058,12883274.85,925
2017-05-05,278.725,278.475,278.5,271.75,274.325,23624,6501326.1,777
2017-05-08,274.325,274.0,277.0,267.55,269.85,77948,21125436.9,923
2017-05-09,269.85,272.0,277.35,270.05,274.05,22622,6179055.5,800
2017-05-10,274.05,275.0,279.0,272.55,274.2,24616,6775242.7,723
2017-05-11,274.2,274.4,276.0,267.375,267.875,46662,12626225.7,859
2017-05-12,267.875,270.5,272.0,264.325,264.875,62148,16572457.9,1859
2017-05-15,264.875,266.275,267.8,255.6,259.425,62064,16205249.0,2336
2017-05-16,259.425,259.425,263.5,256.0,258.0,79588,20570413.25,1633
2017-05-17,258.0,258.025,260.3,253.5,256.625,36676,9387320.55,1089
2017-05-18,256.625,255.0,272.45,255.0,264.1,90046,23882381.05,2885
2017-05-19,264.1,265.0,266.4,260.0,262.65,23888,6262396.45,823
2017-05-22,262.65,261.025,268.95,260.0,265.575,43354,11522077.6,952
2017-05-23,265.575,268.5,268.5,252.5,265.25,83558,21604398.1,2960
2017-05-24,265.25,265.45,267.475,259.7,260.925,42412,11192915.15,943
2017-05-25,260.925,261.05,267.0,258.85,265.25,31570,8355349.1,927
2017-05-26,265.25,266.5,269.5,263.525,267.25,24170,6435842.2,767
2017-05-29,267.25,268.0,270.0,262.45,262.725,38202,10093727.5,633
