Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-12-27,55.5,14.1,14.8,14.1,14.8,109456,1588227.6,280
2022-12-28,14.8,15.5,15.5,15.2,15.5,384762,5962493.3,539
2022-12-29,15.5,16.25,16.25,16.0,16.2,839889,13635036.9,1014
2022-12-30,16.2,16.5,16.6,15.4,15.4,959769,14822711.7,715
2023-01-02,15.4,14.65,16.15,14.65,14.95,650377,9628475.1,819
2023-01-03,14.95,14.3,14.65,14.25,14.25,189050,2700968.85,496
2023-01-04,14.25,13.65,13.95,13.55,13.7,350785,4771089.5,769
2023-01-05,13.7,13.3,14.35,13.15,14.35,140208,2002131.9,355
2023-01-06,14.35,15.05,15.05,14.75,15.05,311470,4686092.9,413
2023-01-09,15.05,14.9,15.5,14.55,15.3,286214,4279801.85,600
2023-01-10,15.3,15.7,18.35,15.0,18.35,3872673,69372062.45,4832
2023-01-11,18.35,19.35,22.0,19.35,21.95,6763977,146911796.15,10293
2023-01-12,21.95,23.0,23.8,21.1,22.25,3264693,73754964.3,9061
2023-01-13,22.25,22.6,22.6,20.2,20.4,1238376,26109053.7,3850
2023-01-16,20.4,20.5,22.4,19.25,22.4,2219664,48645319.55,4169
2023-01-17,22.4,22.9,24.6,22.8,24.6,2573856,62971983.65,3614
2023-01-18,24.6,25.8,27.05,22.6,23.5,5525508,141900893.15,11784
2023-01-19,23.5,24.35,24.6,22.15,22.7,1545861,35856660.95,5140
2023-01-20,22.7,23.15,23.75,21.25,21.4,1542211,34514140.1,4020
2023-01-23,21.4,21.85,22.95,19.75,20.6,3008882,63491500.9,6253
2023-01-24,20.6,20.6,21.2,18.55,18.8,1625095,31903387.75,4308
2023-01-25,18.8,19.0,19.5,17.9,17.9,1408842,25900104.85,2805
2023-01-27,17.9,17.7,17.9,17.0,17.0,638192,10892226.4,1006
2023-01-30,17.0,16.5,16.5,16.15,16.15,433410,7022032.45,664
