Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-08-23,51.02,51.4,61.22,51.4,61.22,2097,125325.8,185
2022-08-24,61.22,55.0,60.26,50.15,50.38,399497,20214928.97,557
2022-08-25,50.38,56.8,57.3,49.75,55.67,136478,7565807.44,948
2022-08-26,55.67,57.34,57.34,51.03,52.07,28890,1511413.51,262
2022-08-29,52.07,51.6,52.1,50.53,51.72,1065,55086.56,50
2022-08-30,51.72,51.72,52.9,51.72,52.03,1756,91685.26,39
2022-09-01,52.03,52.6,52.85,51.01,51.97,1368,71210.89,47
2022-09-02,51.97,51.97,52.15,51.66,51.93,1712,88777.4,27
2022-09-05,51.93,51.6,53.48,51.3,52.04,1844,96012.79,33
2022-09-06,52.04,52.2,52.71,52.2,52.56,2901,152272.07,25
2022-09-07,52.56,53.98,53.98,52.41,52.68,3318,174567.34,29
2022-09-08,52.68,52.9,53.31,52.8,53.2,2281,121172.27,36
2022-09-09,53.2,53.5,53.69,52.9,53.11,613,32524.0,54
2022-09-12,53.11,53.2,53.78,53.2,53.53,5073,270889.17,51
2022-09-13,53.53,53.69,53.98,53.69,53.81,3157,169787.92,26
2022-09-14,53.81,53.77,54.05,53.75,53.81,633,34052.35,22
2022-09-15,53.81,53.7,54.38,53.7,54.12,891,48181.42,26
2022-09-16,54.12,54.0,54.0,52.71,52.95,2424,128675.16,72
2022-09-19,52.95,52.95,53.13,52.03,52.72,2301,121894.44,42
2022-09-20,52.72,53.0,53.5,53.0,53.38,1180,62905.39,36
2022-09-21,53.38,53.3,53.3,52.45,52.72,1245,65970.45,24
2022-09-22,52.72,52.7,52.7,52.11,52.49,302,15787.61,31
2022-09-23,52.49,52.49,52.49,50.96,51.07,1515,77851.42,70
2022-09-26,51.07,51.07,51.31,50.0,50.11,63848,3211308.7,96
2022-09-27,50.11,50.5,50.5,49.46,49.72,3867,193113.92,69
2022-09-28,49.72,49.11,50.2,49.11,49.81,148,7356.41,19
2022-09-29,49.81,51.81,51.81,49.41,49.69,8329,416911.27,56
2022-09-30,49.69,49.49,50.9,49.01,50.57,10395,517436.77,64
2022-10-03,50.57,50.64,50.85,49.91,49.96,74598,3762786.75,76
2022-10-04,49.96,50.4,51.09,50.4,50.89,1592,80903.89,38
2022-10-06,50.89,51.0,51.64,51.0,51.06,2961,151366.26,32
2022-10-07,51.06,51.0,51.49,50.8,51.49,492,25260.15,21
2022-10-10,51.49,51.4,51.4,50.65,51.17,288,14695.76,18
2022-10-11,51.17,51.0,51.0,50.0,50.3,6199,311907.81,39
2022-10-12,50.3,50.5,50.8,50.1,50.59,360,18139.22,19
2022-10-13,50.59,50.38,50.47,50.1,50.11,151060,7586177.32,30
2022-10-14,50.11,51.98,54.58,49.99,49.99,9297,469589.41,173
2022-10-17,49.99,50.0,50.7,49.8,50.65,709,35881.56,29
2022-10-18,50.65,52.16,52.16,50.67,50.82,491,24981.37,38
2022-10-19,50.82,51.0,51.69,50.99,51.0,136,6950.27,30
2022-10-20,51.0,50.94,51.55,50.94,51.26,151,7729.53,14
2022-10-21,51.26,51.3,51.99,51.01,51.28,85,4380.53,24
2022-10-24,51.28,52.78,52.78,51.2,51.6,218,11258.3,21
2022-10-25,51.6,51.6,52.0,51.38,51.45,2092,108476.97,27
2022-10-27,51.45,52.05,52.78,50.83,52.03,2855,147528.31,31
2022-10-28,52.03,52.98,52.98,52.17,52.58,11524,605050.5,29
2022-10-31,52.58,52.4,53.5,52.03,53.13,12444,658108.52,47
2022-11-01,53.13,54.48,54.48,52.53,53.58,12429,665385.73,50
2022-11-02,53.58,54.2,54.2,53.29,53.43,8253,440450.57,29
2022-11-03,53.43,53.2,53.7,52.92,53.48,1879,100547.54,34
2022-11-04,53.48,53.75,54.79,52.8,53.8,250,13448.76,39
2022-11-07,53.8,53.8,54.25,53.56,53.85,902,48528.17,45
2022-11-09,53.85,54.0,54.25,53.36,53.44,1636,88238.15,41
2022-11-10,53.44,53.6,54.3,53.06,53.34,358,19151.25,26
2022-11-11,53.34,53.58,53.89,53.41,53.41,3170,169351.84,26
2022-11-14,53.41,54.98,54.98,53.5,53.81,175,9433.09,21
2022-11-15,53.81,54.0,54.09,53.63,53.82,706,38041.79,17
2022-11-16,53.82,54.0,54.1,53.6,53.6,2837,152465.8,23
2022-11-17,53.6,54.0,54.1,53.61,53.69,4212,226378.87,15
2022-11-18,53.69,53.99,53.99,53.31,53.36,2125,113515.97,29
2022-11-21,53.36,53.6,53.65,53.2,53.59,512,27409.1,20
2022-11-22,53.59,54.5,54.5,53.3,53.74,454,24383.4,26
2022-11-23,53.74,54.79,54.79,53.5,53.78,379,20375.3,20
2022-11-24,53.78,53.62,54.1,53.62,54.09,5216,282104.79,19
2022-11-25,54.09,55.21,55.47,53.33,54.67,6034,329056.17,91
2022-11-28,54.67,54.95,55.2,54.75,55.04,1574,86519.63,28
2022-11-29,55.04,56.0,56.0,54.8,55.03,2805,154652.15,57
2022-11-30,55.03,54.78,55.88,54.71,55.46,3255,179543.73,53
2022-12-01,55.46,55.5,56.0,55.47,55.61,6622,369207.97,42
2022-12-02,55.61,55.74,55.95,55.53,55.95,5563,310549.3,61
2022-12-05,55.95,59.7,59.7,55.03,55.71,5225,290675.78,79
2022-12-06,55.71,55.61,55.61,55.21,55.32,1095,60736.96,27
2022-12-07,55.32,55.5,55.92,55.34,55.38,6322,351274.54,75
2022-12-08,55.38,55.5,55.74,55.5,55.6,1685,93710.25,29
2022-12-09,55.6,55.8,56.01,54.9,55.32,4049,224675.81,55
2022-12-12,55.32,55.21,55.39,54.81,55.12,1512,83301.54,41
2022-12-13,55.12,55.3,55.69,55.1,55.66,1140,63329.28,27
2022-12-14,55.66,56.98,56.98,55.75,55.96,3930,219737.83,46
2022-12-15,55.96,55.8,55.89,55.21,55.41,241,13388.13,37
2022-12-16,55.41,55.6,56.2,54.61,54.79,5202,287649.81,85
2022-12-19,54.79,54.83,58.71,54.6,57.18,1952,107734.64,42
2022-12-20,57.18,57.0,57.0,54.6,55.12,4114,225566.04,84
2022-12-21,55.12,55.88,55.88,54.2,54.4,7625,417382.18,81
2022-12-22,54.4,53.82,54.41,53.6,53.74,4590,248206.84,120
2022-12-23,53.74,54.0,54.19,52.49,52.53,6484,343896.02,76
2022-12-26,52.53,52.75,53.6,52.56,53.58,2155,114785.46,35
2022-12-27,53.58,53.9,53.99,53.11,53.8,15823,848137.14,50
2022-12-28,53.8,53.07,53.99,53.07,53.52,2756,147738.91,32
2022-12-29,53.52,53.6,54.0,53.4,53.94,385,20682.73,23
2022-12-30,53.94,53.8,54.14,53.5,53.96,11126,600241.69,45
2023-01-02,53.96,53.86,54.19,53.86,54.03,810,43755.82,31
2023-01-03,54.03,54.0,54.09,53.61,54.05,5820,314757.89,32
2023-01-04,54.05,54.19,54.19,53.21,53.36,3937,210729.14,78
2023-01-05,53.36,53.0,53.77,53.0,53.74,1792,95873.97,44
2023-01-06,53.74,54.78,54.78,53.4,53.64,346,18577.03,36
2023-01-09,53.64,53.8,54.29,53.8,54.29,1114,60324.03,36
2023-01-10,54.29,54.01,55.4,53.35,53.67,1919,103168.09,62
2023-01-11,53.67,53.06,53.6,53.01,53.38,2635,140280.44,53
2023-01-12,53.38,53.0,53.44,53.0,53.24,1414,75266.42,27
2023-01-13,53.24,53.0,53.34,52.8,53.34,585,31086.2,49
2023-01-16,53.34,54.41,54.41,53.05,53.15,678,36051.06,43
2023-01-17,53.15,53.15,53.8,52.7,53.7,2188,117231.15,50
2023-01-18,53.7,53.7,54.1,53.41,54.09,4391,236238.3,39
2023-01-19,54.09,54.01,54.01,53.66,53.74,1910,102723.37,47
2023-01-20,53.74,53.97,53.97,53.31,53.5,474,25422.15,28
2023-01-23,53.5,53.8,53.8,53.24,53.46,165,8830.83,20
