Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,3.3,3.25,3.3,3.25,3.3,914,2971.3,2
2017-01-03,3.3,3.45,3.45,3.45,3.45,800,2760.0,3
2017-01-09,3.45,3.3,3.3,3.3,3.3,755,2491.5,4
2017-01-10,3.3,3.15,3.2,3.15,3.15,1306,4163.9,4
2017-01-11,3.15,3.3,3.3,3.3,3.3,2000,6600.0,4
2017-01-12,3.3,3.45,3.45,3.45,3.45,4,13.8,1
2017-01-16,3.45,3.3,3.3,3.3,3.3,1010,3333.0,2
2017-01-17,3.3,3.15,3.15,3.15,3.15,500,1575.0,1
2017-01-18,3.15,3.0,3.3,3.0,3.3,105,345.0,3
2017-01-19,3.3,3.45,3.45,3.45,3.45,25,86.25,1
2017-01-20,3.45,3.4,3.6,3.4,3.6,714,2507.6,2
2017-01-23,3.6,3.75,3.75,3.75,3.75,75,281.25,2
2017-01-24,3.75,3.7,3.9,3.6,3.9,12564,47845.8,15
2017-01-25,3.9,3.9,4.05,3.9,3.95,1684,6747.75,9
2017-01-27,3.95,3.85,4.1,3.8,3.8,341,1312.85,4
2017-01-30,3.8,3.8,3.95,3.8,3.95,625,2390.0,2
2017-01-31,3.95,3.8,4.1,3.8,4.1,540,2071.5,2
2017-02-01,4.1,4.15,4.3,4.0,4.0,1508,6360.0,6
2017-02-02,4.0,3.8,4.2,3.8,3.8,1401,5331.6,10
2017-02-03,3.8,3.8,3.8,3.8,3.8,1,3.8,1
2017-02-06,3.8,3.8,3.8,3.8,3.8,37,140.6,2
2017-02-08,3.8,3.95,3.95,3.95,3.95,2,7.9,2
2017-02-09,3.95,3.95,3.95,3.95,3.95,8,31.6,1
2017-02-10,3.95,3.9,3.9,3.9,3.9,126,491.4,6
2017-02-13,3.9,3.9,3.9,3.9,3.9,600,2340.0,2
2017-02-15,3.9,3.9,3.9,3.9,3.9,30,117.0,1
2017-02-17,3.9,3.9,3.9,3.9,3.9,12,46.8,3
2017-02-22,3.9,3.75,3.8,3.75,3.8,1000,3767.95,3
2017-02-27,3.8,3.65,3.65,3.65,3.65,1,3.65,1
2017-03-01,3.65,3.5,3.5,3.5,3.5,1510,5285.0,3
2017-03-03,3.5,3.35,3.65,3.35,3.35,2002,6707.3,5
2017-03-06,3.35,3.3,3.3,3.3,3.3,7,23.1,2
2017-03-14,3.3,3.3,3.3,3.3,3.3,30,99.0,1
2017-03-29,3.3,3.15,3.15,3.15,3.15,99,311.85,1
2017-03-30,3.15,3.0,3.0,3.0,3.0,7901,23703.0,1
2017-04-03,3.0,2.85,2.85,2.85,2.85,524,1493.4,3
2017-04-05,2.85,2.85,2.85,2.75,2.75,2834,8053.4,11
2017-04-06,2.75,2.65,2.65,2.65,2.65,863,2286.95,3
2017-04-11,2.65,2.55,2.55,2.55,2.55,541,1379.55,3
2017-04-12,2.55,2.45,2.65,2.45,2.65,216,540.8,4
2017-04-13,2.65,2.75,2.75,2.75,2.75,2023,5563.25,4
2017-04-17,2.75,2.65,2.7,2.65,2.65,8051,21360.15,12
2017-04-18,2.65,2.65,2.75,2.65,2.75,997,2652.85,2
2017-04-19,2.75,2.85,2.85,2.85,2.85,143,407.55,1
2017-04-20,2.85,2.95,2.95,2.9,2.9,603,1766.2,6
2017-04-21,2.9,3.0,3.0,3.0,3.0,2448,7344.0,5
2017-04-24,3.0,3.15,3.15,3.15,3.15,125,393.75,2
2017-04-25,3.15,3.3,3.3,3.3,3.3,10612,35019.6,4
2017-04-26,3.3,3.3,3.3,3.3,3.3,20,66.0,1
2017-04-27,3.3,3.3,3.3,3.3,3.3,450,1485.0,2
2017-04-28,3.3,3.2,3.3,3.2,3.3,50,162.5,2
2017-05-02,3.3,3.15,3.15,3.15,3.15,1525,4803.75,3
2017-05-03,3.15,3.15,3.15,3.15,3.15,42,132.3,2
2017-05-08,3.15,3.3,3.3,3.3,3.3,500,1650.0,1
2017-05-11,3.3,3.45,3.45,3.45,3.45,200,690.0,1
2017-05-15,3.45,3.3,3.3,3.3,3.3,466,1537.8,3
2017-05-16,3.3,3.2,3.2,3.2,3.2,568,1817.6,4
2017-05-17,3.2,3.1,3.2,3.1,3.2,5398,17142.5,3
2017-05-19,3.2,3.05,3.05,3.05,3.05,1676,5111.8,2
2017-06-22,3.05,2.9,2.9,2.9,2.9,1568,4547.2,4
2017-06-23,2.9,2.9,2.9,2.9,2.9,100,290.0,1
2017-06-27,2.9,2.8,2.8,2.8,2.8,2349,6577.2,2
2017-07-12,2.8,2.8,2.8,2.8,2.8,103,288.4,3
2017-07-18,2.8,2.8,2.8,2.8,2.8,50,140.0,1
2017-08-04,2.8,2.8,2.8,2.7,2.7,97,262.9,3
2017-08-08,2.7,2.6,2.6,2.6,2.6,1,2.6,1
2017-08-10,2.6,2.5,2.5,2.5,2.5,3513,8782.5,7
2017-08-16,2.5,2.6,2.6,2.6,2.6,100,260.0,1
2017-08-17,2.6,2.5,2.5,2.5,2.5,10000,25000.0,2
2017-08-21,2.5,2.4,2.4,2.4,2.4,3650,8760.0,4
2017-08-24,2.4,2.3,2.3,2.3,2.3,325,747.5,3
2017-09-11,2.3,2.2,2.3,2.2,2.3,200,458.4,2
2017-09-12,2.3,2.2,2.2,2.2,2.2,10,22.0,1
2017-09-21,2.2,2.2,2.2,2.2,2.2,200,440.0,2
2017-10-05,2.2,2.3,2.3,2.3,2.3,530,1219.0,3
2017-10-25,2.3,2.2,2.2,2.2,2.2,202,444.4,2
2017-10-26,2.2,2.1,2.1,2.1,2.1,7,14.7,1
2017-10-27,2.1,2.0,2.05,2.0,2.05,116,236.85,3
2017-10-30,2.05,2.0,2.0,2.0,2.0,127,254.0,2
2017-10-31,2.0,2.1,2.1,2.1,2.1,101,212.1,2
2017-11-02,2.1,2.2,2.2,2.2,2.2,300,660.0,2
2017-11-08,2.2,2.3,2.3,2.3,2.3,260,598.0,3
2017-11-09,2.3,2.4,2.4,2.4,2.4,5,12.0,1
2017-11-10,2.4,2.5,2.5,2.5,2.5,115,287.5,3
2017-11-14,2.5,2.6,2.6,2.6,2.6,3000,7800.0,3
2017-11-15,2.6,2.5,2.5,2.5,2.5,10000,25000.0,20
2017-11-16,2.5,2.5,2.5,2.5,2.5,30,75.0,1
2017-11-24,2.5,2.4,2.4,2.4,2.4,350,840.0,1
2017-11-27,2.4,2.4,2.4,2.35,2.35,4705,11106.75,4
2017-12-22,2.35,2.25,2.25,2.25,2.25,100,225.0,1
2018-04-11,2.25,2.15,2.15,2.15,2.15,172,369.8,1
2018-04-13,2.15,2.05,2.05,2.05,2.05,400,820.0,6
2018-04-17,2.05,2.15,2.15,2.15,2.15,524,1126.6,4
2018-04-23,2.15,2.25,2.25,2.25,2.25,326,733.5,4
2018-05-07,2.25,2.25,2.25,2.25,2.25,7,15.75,1
2018-05-24,2.25,2.15,2.15,2.15,2.15,2001,4302.15,3
2018-06-07,2.15,2.05,2.05,2.05,2.05,2250,4612.5,2
2018-06-15,2.05,2.05,2.05,2.0,2.05,1477,2954.4,18
2018-07-20,2.05,2.05,2.05,2.05,2.05,5,10.25,1
2018-07-30,2.05,2.0,2.0,2.0,2.0,86,172.0,2
2018-07-31,2.0,2.0,2.0,2.0,2.0,100,200.0,2
2018-08-03,2.0,2.0,2.0,2.0,2.0,30,60.0,1
2018-08-07,2.0,2.0,2.0,2.0,2.0,6,12.0,2
2018-08-09,2.0,2.0,2.0,2.0,2.0,6,12.0,2
2018-08-10,2.0,2.0,2.0,2.0,2.0,6,12.0,2
2018-08-13,2.0,2.0,2.0,2.0,2.0,1456,2912.0,6
2018-08-14,2.0,2.0,2.0,2.0,2.0,7,14.0,3
2018-08-16,2.0,2.0,2.0,2.0,2.0,1,2.0,1
2018-08-17,2.0,2.0,2.0,2.0,2.0,16,32.0,3
2018-08-20,2.0,2.0,2.0,2.0,2.0,256,512.0,5
2018-08-21,2.0,2.0,2.0,2.0,2.0,326,652.0,10
2018-08-23,2.0,2.0,2.0,2.0,2.0,6,12.0,2
2018-08-24,2.0,2.0,2.0,2.0,2.0,6,12.0,2
2018-08-27,2.0,2.0,2.0,2.0,2.0,6,12.0,2
2018-08-28,2.0,2.0,2.0,2.0,2.0,6,12.0,2
2018-08-29,2.0,2.0,2.0,2.0,2.0,6,12.0,2
2018-08-30,2.0,2.0,2.0,2.0,2.0,6,12.0,3
2018-08-31,2.0,2.0,2.0,2.0,2.0,200,400.0,1
2018-09-03,2.0,2.0,2.0,2.0,2.0,6,12.0,2
2018-09-04,2.0,2.0,2.0,2.0,2.0,6,12.0,2
