Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,266.525,267.5,269.85,263.3,264.775,78420,20843719.4,1820
2017-01-03,264.775,265.475,267.5,264.5,265.125,40052,10663975.8,1211
2017-01-04,265.125,266.725,279.5,264.0,274.65,400626,110252021.2,8778
2017-01-05,274.65,277.05,282.4,272.5,274.225,128064,35329045.2,3098
2017-01-06,274.225,274.7,278.95,270.025,272.325,78170,21420120.1,3191
2017-01-09,272.325,270.5,275.85,267.5,269.575,78160,21132274.8,1902
2017-01-10,269.575,268.525,271.2,266.0,267.35,61110,16406819.8,1257
2017-01-11,267.35,267.375,287.0,267.375,278.325,996708,279614793.65,10262
2017-01-12,278.325,277.5,277.5,271.5,273.7,117692,32202351.8,2727
2017-01-13,273.7,273.5,276.525,272.975,274.55,54090,14857522.6,1414
2017-01-16,274.55,274.55,274.95,269.9,270.675,86720,23530741.8,2359
2017-01-17,270.675,270.0,274.85,270.0,273.05,42004,11431096.5,2963
2017-01-18,273.05,272.5,277.0,271.5,274.9,54418,14895817.6,1328
2017-01-19,274.9,275.925,282.5,274.5,279.875,91596,25480022.7,1581
2017-01-20,279.875,277.55,282.5,275.0,279.375,76146,21292320.0,1901
2017-01-23,279.375,279.225,279.5,274.0,275.825,81570,22586052.9,1518
2017-01-24,275.825,275.7,277.0,273.1,275.475,36288,9978031.3,1424
2017-01-25,275.475,278.0,278.0,269.0,269.9,127350,34526246.8,2439
2017-01-27,269.9,271.575,273.925,267.525,268.2,235160,63369831.25,5761
2017-01-30,268.2,274.0,274.0,265.75,267.525,164344,44233462.7,2418
2017-01-31,267.525,272.4,272.4,265.775,267.4,140752,37632328.65,2003
2017-02-01,267.4,265.575,269.95,261.3,266.7,134906,35822725.8,3741
2017-02-02,266.7,267.55,271.95,264.325,266.75,216838,58034105.85,4486
2017-02-03,266.75,266.8,268.95,263.475,264.875,225646,59879449.85,4305
2017-02-06,264.875,266.975,267.0,260.0,263.0,313988,83015229.6,3937
2017-02-07,263.0,264.0,268.0,261.575,262.9,224102,59395647.65,4071
2017-02-08,262.9,264.6,264.85,260.5,261.55,117760,30927722.6,2334
2017-02-09,261.55,262.775,265.5,261.025,263.975,125604,33160200.65,1538
2017-02-10,263.975,265.375,271.5,257.55,259.65,1794498,476148722.05,19167
2017-02-13,259.65,261.95,263.975,259.5,261.6,783828,205201118.05,3886
2017-02-14,261.6,262.25,263.5,260.0,261.15,86066,22531596.75,1340
2017-02-15,261.15,262.0,262.325,259.0,260.2,140404,36669836.4,2399
2017-02-16,260.2,258.1,262.45,257.025,261.625,83458,21721087.5,2641
2017-02-17,261.625,262.0,266.0,260.75,264.65,361180,95529395.5,3656
2017-02-20,264.65,264.5,277.5,263.5,274.8,848152,228872686.85,11114
2017-02-21,274.8,277.0,279.45,275.5,276.85,546028,151815191.3,3294
2017-02-22,276.85,278.9,281.45,268.225,270.45,1063078,292979133.7,7222
2017-02-23,270.45,273.0,273.0,269.0,270.375,113210,30627735.2,1545
2017-02-27,270.375,272.75,287.0,270.0,281.75,589452,165314989.4,7597
2017-02-28,281.75,283.95,284.4,275.5,276.85,168528,47093642.3,4300
2017-03-01,276.85,276.95,280.0,275.0,277.025,268818,74485691.1,2035
2017-03-02,277.025,277.5,278.9,269.05,271.625,145632,40086853.75,2235
2017-03-03,271.625,270.825,278.5,270.525,275.25,181922,50280073.95,2881
2017-03-06,275.25,276.975,278.5,272.5,276.25,97264,26758870.8,1475
2017-03-07,276.25,277.425,277.425,273.55,274.6,77622,21368547.8,1082
2017-03-08,274.6,275.5,277.15,274.0,275.3,92280,25398951.65,970
2017-03-09,275.3,274.3,276.65,272.5,274.75,73362,20140048.25,959
2017-03-10,274.75,275.925,276.5,271.5,272.35,54686,14953132.45,640
2017-03-14,272.35,276.0,282.95,272.5,281.975,1176156,322039891.75,3059
2017-03-15,281.975,284.0,284.4,275.275,276.125,140796,39445179.2,3839
2017-03-16,276.125,279.5,280.975,274.0,274.925,130450,36081510.85,5264
2017-03-17,274.925,275.0,276.325,272.4,273.95,223758,61305017.4,5813
2017-03-20,273.95,275.875,276.875,272.0,272.425,125880,34377336.95,2452
2017-03-21,272.425,272.5,277.525,271.5,276.175,252162,69355710.65,4801
2017-03-22,276.175,273.0,279.0,272.5,277.5,94962,26176840.35,2435
2017-03-23,277.5,278.75,289.75,273.275,286.15,549266,156806061.4,8750
