Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,8.6,8.55,8.8,8.5,8.8,10588,92339.4,54
2017-01-03,8.8,8.8,9.15,8.8,9.05,35961,322119.35,109
2017-01-04,9.05,9.0,9.25,8.9,9.25,16014,146381.55,55
2017-01-05,9.25,9.05,10.7,9.05,10.1,242935,2462070.7,638
2017-01-06,10.1,10.05,10.2,9.4,9.5,119839,1173510.8,281
2017-01-09,9.5,9.7,10.0,9.5,9.8,28186,273899.7,87
2017-01-10,9.8,9.65,10.1,9.65,10.05,52365,519568.15,128
2017-01-11,10.05,10.2,10.7,9.9,10.0,425040,4387860.05,967
2017-01-12,10.0,10.1,10.1,9.75,9.85,110378,1098217.4,154
2017-01-13,9.85,9.8,9.85,9.65,9.7,44815,435755.4,104
2017-01-16,9.7,9.9,10.1,9.6,9.8,23415,231235.8,66
2017-01-17,9.8,9.8,9.95,9.8,9.8,25434,252167.8,40
2017-01-18,9.8,9.8,9.95,9.75,9.9,20474,202876.05,82
2017-01-19,9.9,9.7,10.25,9.7,10.05,73834,739494.85,245
2017-01-20,10.05,10.0,10.45,9.85,9.95,57179,578877.2,167
2017-01-23,9.95,10.2,10.35,9.85,10.3,75523,770119.75,166
2017-01-24,10.3,10.35,10.85,10.3,10.7,210110,2244581.1,567
2017-01-25,10.7,10.8,12.8,10.8,12.8,1104277,13772931.0,1476
2017-01-27,12.8,13.0,13.05,11.7,11.9,1146568,14276668.7,3011
2017-01-30,11.9,11.9,13.3,11.5,13.0,522973,6554116.35,1923
2017-01-31,13.0,12.75,13.95,12.75,13.3,631676,8470794.6,2190
2017-02-01,13.3,13.3,13.75,13.1,13.25,193739,2588323.2,598
2017-02-02,13.25,13.15,13.4,11.05,12.25,330408,4091412.55,872
2017-02-03,12.25,12.35,12.95,11.9,12.3,197992,2466050.3,500
2017-02-06,12.3,12.6,13.8,12.3,13.6,648050,8656294.85,2265
2017-02-07,13.6,13.8,14.7,13.05,14.15,706067,9928531.5,1740
2017-02-08,14.15,14.15,14.75,13.75,13.95,238473,3396503.35,638
2017-02-09,13.95,14.1,14.35,13.5,13.75,267099,3712118.05,806
2017-02-10,13.75,13.5,13.95,12.8,13.05,233972,3093547.3,753
2017-02-13,13.05,13.1,13.35,12.1,12.4,223332,2822257.85,601
2017-02-14,12.4,12.45,12.65,11.5,12.0,118388,1421091.6,525
2017-02-15,12.0,11.85,12.5,11.2,11.4,156247,1794765.8,465
2017-02-16,11.4,11.7,11.7,11.1,11.35,96689,1089589.4,261
2017-02-17,11.35,11.4,12.2,11.2,11.95,123581,1451194.75,447
2017-02-20,11.95,11.95,12.45,11.9,12.3,166290,2038878.65,479
2017-02-21,12.3,13.0,14.75,13.0,14.75,3273884,47447877.1,6044
2017-02-22,14.75,14.75,14.85,13.75,13.85,728946,10299599.75,1871
2017-02-23,13.85,13.55,14.0,12.9,13.1,218662,2905902.95,726
2017-02-27,13.1,13.1,13.1,12.65,12.75,130064,1664391.4,452
2017-02-28,12.75,13.15,13.35,12.75,13.1,105699,1374630.2,310
2017-03-01,13.1,13.15,13.75,12.85,13.55,228317,3067886.7,661
2017-03-02,13.55,13.75,13.8,12.65,12.8,152851,2020790.2,460
2017-03-03,12.8,12.85,13.05,12.5,12.95,106449,1373127.7,335
2017-03-06,12.95,13.8,14.75,13.6,13.75,800134,11175588.95,1978
2017-03-07,13.75,13.95,13.95,13.05,13.2,102305,1356055.35,332
2017-03-08,13.2,12.8,13.6,12.8,12.95,82937,1084985.25,210
2017-03-09,12.95,13.05,13.1,12.7,12.8,56346,725446.65,189
2017-03-10,12.8,12.9,13.15,12.55,12.75,74461,958660.1,211
2017-03-14,12.75,13.1,13.1,12.75,12.8,54735,706451.65,195
2017-03-15,12.8,12.85,13.0,12.5,12.6,88375,1123014.1,224
2017-03-16,12.6,12.6,12.85,12.55,12.6,83680,1063025.35,223
2017-03-17,12.6,12.7,12.85,12.2,12.3,103867,1294109.25,300
2017-03-20,12.3,12.25,12.8,12.2,12.35,84875,1055071.9,212
2017-03-21,12.35,12.35,12.5,12.2,12.3,34433,423554.8,159
2017-03-22,12.3,12.2,12.25,11.85,11.95,38051,457218.85,208
2017-03-23,11.95,11.95,12.4,11.95,12.3,26976,329532.75,115
2017-03-24,12.3,12.45,12.9,12.1,12.2,79101,978864.45,292
2017-03-27,12.2,12.1,12.5,12.1,12.2,49231,607393.8,123
2017-03-28,12.2,12.95,13.05,12.4,12.55,258895,3285074.35,593
2017-03-29,12.55,12.85,12.9,12.45,12.45,61916,777857.55,114
2017-03-30,12.45,12.5,12.7,12.3,12.5,83971,1048364.8,198
2017-03-31,12.5,12.4,12.65,12.35,12.5,65924,824265.85,130
2017-04-03,12.5,12.4,12.8,12.4,12.65,50312,641463.55,136
2017-04-05,12.65,12.75,13.5,12.55,13.35,151948,2007671.3,407
