Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-09-25,299.0,284.95,298.35,274.05,281.85,8220100,2352026538.5,133475
2025-09-26,281.85,280.0,292.6,274.0,277.15,1748977,499455985.05,41888
2025-09-29,277.15,280.0,290.0,280.0,285.6,1103541,315622842.15,36489
2025-09-30,285.6,290.0,301.95,273.65,279.0,1373906,398016947.65,26364
2025-10-01,279.0,276.1,286.8,276.1,284.15,439757,124062263.45,9097
2025-10-03,284.15,282.3,295.95,282.3,294.25,783870,229138774.7,18049
2025-10-06,294.25,295.5,300.0,284.0,289.7,734030,213850519.7,16770
2025-10-07,289.7,292.0,305.45,282.2,285.05,2771969,821977179.75,40030
2025-10-08,285.05,287.95,300.0,284.45,295.75,1011194,296396986.7,16946
2025-10-09,295.75,294.75,300.9,289.0,292.25,501785,148007802.25,11415
2025-10-10,292.25,292.3,303.6,292.3,297.95,1266762,378317360.85,19383
2025-10-13,297.95,295.0,302.0,290.0,300.3,627040,185950529.05,11697
2025-10-14,300.3,300.05,304.75,285.0,286.5,946361,277838303.1,14522
2025-10-15,286.5,287.95,292.35,283.6,289.1,497814,143731153.3,12102
2025-10-16,289.1,293.0,295.4,282.55,284.35,415068,120322199.5,8412
2025-10-17,284.35,272.1,281.6,269.45,275.95,674877,186385420.95,24345
2025-10-20,275.95,278.6,282.0,272.35,274.1,622825,172762305.0,17386
2025-10-21,274.1,274.1,278.35,274.0,275.2,37671,10396572.3,1593
2025-10-23,275.2,274.05,277.0,268.0,269.0,382596,104059225.45,10487
2025-10-24,269.0,272.5,272.5,257.0,260.1,224451,59077988.4,8680
2025-10-27,260.1,258.85,263.6,250.7,251.85,586181,149746395.25,15824
2025-10-28,251.85,255.0,261.5,252.3,259.55,681589,176620442.3,22562
2025-10-29,259.55,259.1,269.8,257.0,268.3,529867,140728527.95,15304
2025-10-30,268.3,270.0,289.9,266.4,287.15,815851,229323588.05,24132
2025-10-31,287.15,287.15,291.2,282.5,285.95,268106,77097997.75,6492
2025-11-03,285.95,284.0,286.6,279.0,282.4,219934,62200290.8,6289
2025-11-04,282.4,280.2,285.25,278.0,281.45,186001,52562151.95,3853
2025-11-06,281.45,277.5,290.1,274.65,286.4,399742,113236661.95,8873
2025-11-07,286.4,285.55,296.65,282.4,294.3,507090,147456278.3,17567
2025-11-10,294.3,298.75,298.75,288.0,290.85,477282,138950179.85,27561
2025-11-11,290.85,296.05,301.0,290.0,296.8,702147,208782535.85,13633
2025-11-12,296.8,307.95,329.2,303.1,319.85,5283530,1675068769.2,97998
2025-11-13,319.85,320.0,333.8,316.3,326.8,1426239,467410688.3,29768
2025-11-14,326.8,321.0,324.35,309.65,312.4,571128,180950057.45,20743
2025-11-17,312.4,310.1,324.1,305.7,322.95,794956,251475137.4,18427
2025-11-18,322.95,322.0,331.75,313.2,322.4,725864,234211411.3,20529
2025-11-19,322.4,324.0,329.8,317.0,323.6,417989,134711458.05,10123
2025-11-20,323.6,325.0,340.0,310.85,318.9,1479644,483333198.35,25509
2025-11-21,318.9,318.9,320.4,306.45,312.0,354788,111874341.5,8008
2025-11-24,312.0,310.95,315.8,292.0,299.35,590212,177648727.3,12429
2025-11-25,299.35,301.7,313.0,301.45,307.8,235828,72525060.65,5030
2025-11-26,307.8,308.0,317.0,308.0,311.15,219264,68509391.55,4092
2025-11-27,311.15,311.15,313.75,303.1,305.75,226058,69744701.25,4766
2025-11-28,305.75,304.0,305.7,298.2,300.7,402970,121832195.8,5149
2025-12-01,300.7,303.0,308.25,293.0,298.05,341776,102372003.25,7705
2025-12-02,298.05,297.0,298.3,289.6,293.55,366999,107391637.5,8481
2025-12-03,293.55,293.5,296.2,284.8,288.4,479597,139685506.6,19302
2025-12-04,288.4,286.15,294.0,286.15,291.8,227477,66426743.55,13355
2025-12-05,291.8,293.8,305.0,292.1,300.65,473235,141297368.5,9385
2025-12-08,300.65,296.75,298.15,281.4,283.95,431851,124859815.3,11048
2025-12-09,283.95,284.0,293.2,272.9,289.75,292379,82596963.05,7674
2025-12-10,289.75,289.75,291.75,278.8,284.5,162676,46727429.4,3597
2025-12-11,284.5,284.5,290.25,277.6,288.45,171433,48829642.4,5832
2025-12-12,288.45,286.3,293.85,283.15,285.05,110735,31935199.3,4503
2025-12-15,285.05,283.8,290.55,281.1,288.85,78249,22320027.6,2854
2025-12-16,288.85,288.05,294.15,280.0,292.85,111321,32446882.2,3217
2025-12-17,292.85,292.85,295.0,282.4,283.95,157756,45347788.2,3422
2025-12-18,283.95,283.95,283.95,267.6,269.25,222016,60673072.8,5449
2025-12-19,269.25,271.95,274.75,266.45,269.1,117127,31608371.7,3343
2025-12-22,269.1,269.95,278.55,269.4,276.8,94759,26116302.7,3123
2025-12-23,276.8,275.0,279.15,265.55,276.15,75818,20949012.4,3218
2025-12-24,276.15,275.0,280.75,272.3,277.85,133772,37014561.2,4939
2025-12-26,277.85,275.2,275.95,269.8,272.7,72586,19782597.75,2559
2025-12-29,272.7,270.0,271.0,264.05,265.8,67148,17939796.9,3238
2025-12-30,265.8,265.0,268.0,260.4,263.85,33706,8874056.1,1767
2025-12-31,263.85,263.85,285.5,263.85,280.35,302738,83687189.85,12305
