Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,119.3,117.05,123.05,117.05,122.45,4375,530560.85,97
2017-01-03,122.45,123.5,123.5,119.1,121.5,2374,290731.2,49
2017-01-04,121.5,124.45,124.45,119.05,120.3,7969,966491.35,168
2017-01-05,120.3,122.75,125.0,121.05,124.65,7598,942148.65,172
2017-01-06,124.65,124.95,125.0,121.6,122.95,11574,1428060.15,342
2017-01-09,122.95,120.1,124.0,120.1,122.75,1466,179622.15,46
2017-01-10,122.75,121.1,125.0,121.05,124.15,3697,457663.65,97
2017-01-11,124.15,122.25,129.6,122.25,127.2,5814,740492.7,117
2017-01-12,127.2,128.0,128.0,124.2,124.85,3834,481127.0,144
2017-01-13,124.85,124.0,126.5,121.55,125.15,7999,994458.65,130
2017-01-16,125.15,126.9,126.9,123.95,126.1,2073,261175.3,72
2017-01-17,126.1,125.3,129.0,125.25,127.0,4052,515381.6,107
2017-01-18,127.0,126.05,128.9,125.3,127.05,2305,294791.2,48
2017-01-19,127.05,127.05,128.5,125.3,127.4,2216,281574.1,78
2017-01-20,127.4,126.1,128.4,126.0,126.1,7974,1008030.05,143
2017-01-23,126.1,125.0,127.9,125.0,126.5,2002,253350.25,38
2017-01-24,126.5,128.0,128.2,126.05,127.25,4852,617559.05,48
2017-01-25,127.25,125.95,131.5,125.95,129.45,12801,1660844.65,220
2017-01-27,129.45,130.95,140.2,130.1,136.6,23832,3230036.0,393
2017-01-30,136.6,138.8,141.8,134.0,135.8,13382,1840194.95,231
2017-01-31,135.8,135.0,138.7,126.0,128.7,6967,912196.4,200
2017-02-01,128.7,129.3,129.95,125.5,127.3,12365,1582923.15,209
2017-02-02,127.3,128.0,132.45,126.6,128.55,7550,979907.1,170
2017-02-03,128.55,128.0,134.65,128.0,132.35,7129,929141.9,144
2017-02-06,132.35,131.0,137.6,131.0,133.85,8247,1114890.05,210
2017-02-07,133.85,136.0,137.4,129.3,130.35,22883,3048934.25,313
2017-02-08,130.35,129.0,132.0,129.0,129.75,2726,354914.1,78
2017-02-09,129.75,131.0,131.0,127.5,127.7,3381,436596.65,74
2017-02-10,127.7,128.05,128.55,120.75,125.85,18812,2358280.8,320
2017-02-13,125.85,125.1,126.7,123.1,123.45,5176,644489.9,84
2017-02-14,123.45,127.3,127.3,121.3,123.55,2782,343955.55,73
2017-02-15,123.55,124.9,127.0,122.55,122.65,7342,916947.25,88
2017-02-16,122.65,121.75,128.8,121.0,127.25,9019,1129201.8,123
2017-02-17,127.25,126.0,129.0,124.0,124.6,4853,609340.4,87
2017-02-20,124.6,124.05,127.0,124.05,126.6,3191,401684.05,64
2017-02-21,126.6,125.15,128.6,124.5,125.2,5247,662280.1,111
2017-02-22,125.2,125.0,128.85,123.3,124.05,5541,693596.05,72
2017-02-23,124.05,123.0,124.75,121.0,123.3,4685,573883.4,116
2017-02-27,123.3,122.0,126.0,121.6,124.05,4985,622663.05,118
2017-02-28,124.05,123.0,142.3,122.6,134.6,137277,18791020.1,3318
2017-03-01,134.6,134.1,161.5,133.3,160.05,510669,80046419.15,7074
2017-03-02,160.05,160.05,164.0,149.65,152.05,148138,22906017.7,3585
2017-03-03,152.05,149.0,156.9,147.0,155.75,44556,6811725.75,798
2017-03-06,155.75,153.1,158.65,153.1,154.4,18357,2850803.2,275
2017-03-07,154.4,155.0,158.0,150.2,153.55,20041,3084876.35,266
2017-03-08,153.55,152.0,159.8,152.0,155.85,23724,3704378.4,670
2017-03-09,155.85,152.7,157.25,151.0,153.95,55356,8578555.85,514
2017-03-10,153.95,155.0,159.8,155.0,155.15,14453,2254927.95,409
2017-03-14,155.15,159.0,159.0,151.5,155.0,10695,1647542.7,188
2017-03-15,155.0,153.05,156.25,153.05,154.7,7643,1185219.35,128
2017-03-16,154.7,158.9,159.2,154.5,155.0,13174,2056063.7,306
2017-03-17,155.0,154.0,157.0,153.5,154.8,9487,1468937.95,284
2017-03-20,154.8,154.6,158.5,151.0,154.5,6279,972066.9,155
2017-03-21,154.5,154.0,156.8,152.1,154.1,7426,1145575.75,140
2017-03-22,154.1,153.0,155.35,150.05,151.95,9866,1502122.0,293
2017-03-23,151.95,152.5,153.15,150.1,150.45,4795,727796.9,188
2017-03-24,150.45,151.95,172.0,149.25,167.1,120028,20119120.85,3661
