Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,66.25,66.75,68.4,66.2,67.7,409961,27621610.6,2632
2017-01-03,67.7,68.0,69.6,67.2,68.45,523289,35910841.0,3614
2017-01-04,68.45,68.5,70.7,68.2,70.1,823777,57371352.65,4766
2017-01-05,70.1,70.95,71.2,69.1,70.05,339223,23871400.7,2869
2017-01-06,70.05,70.7,71.8,69.0,69.55,563495,39634908.9,3744
2017-01-09,69.55,70.0,71.25,69.2,69.7,365264,25574888.25,2843
2017-01-10,69.7,69.7,71.0,68.85,69.4,363767,25345946.1,2266
2017-01-11,69.4,69.8,72.9,69.75,71.4,1438814,103023238.2,6033
2017-01-12,71.4,72.05,72.4,71.1,71.6,846035,60739288.3,5514
2017-01-13,71.6,71.8,72.1,70.1,70.75,444453,31548163.2,3396
2017-01-16,70.75,70.75,71.9,70.1,71.15,379802,27010975.3,2813
2017-01-17,71.15,71.2,74.25,70.05,73.7,1433067,104493311.05,7108
2017-01-18,73.7,74.45,74.7,72.55,73.05,949028,70030221.65,8191
2017-01-19,73.05,73.0,74.3,73.0,73.3,552050,40607260.7,3828
2017-01-20,73.3,73.3,73.3,70.2,70.85,602423,42918852.45,2863
2017-01-23,70.85,71.0,73.3,70.3,72.6,756574,54675973.45,3670
2017-01-24,72.6,73.1,73.6,70.75,71.4,923607,66135941.25,4728
2017-01-25,71.4,72.0,72.95,71.4,72.2,573056,41459764.55,3462
2017-01-27,72.2,72.5,72.9,71.5,71.9,406977,29450238.25,2431
2017-01-30,71.9,71.7,72.3,70.3,70.55,308862,21941415.4,2363
2017-01-31,70.55,70.3,71.45,68.15,68.6,619055,42679869.75,5052
2017-02-01,68.6,68.85,76.2,67.75,74.85,2455184,179523655.4,15017
2017-02-02,74.85,74.45,76.6,74.15,75.35,1868220,140710947.55,10984
2017-02-03,75.35,75.1,77.1,74.9,75.35,906454,68761338.1,5659
2017-02-06,75.35,76.0,77.9,75.0,75.5,1333745,102215762.2,9229
2017-02-07,75.5,75.35,77.1,74.95,75.35,729332,55292057.6,4880
2017-02-08,75.35,75.4,77.0,74.1,75.6,986544,74949164.3,7222
2017-02-09,75.6,77.0,77.9,74.05,74.7,1348720,102587512.7,6547
2017-02-10,74.7,75.35,76.3,74.8,75.5,554693,41899323.1,3918
2017-02-13,75.5,76.5,76.7,75.1,76.1,981143,74408061.5,5953
2017-02-14,76.1,76.25,79.3,75.3,78.15,1319466,102026071.15,5370
2017-02-15,78.15,78.85,78.9,75.4,77.0,936346,72134668.7,6290
2017-02-16,77.0,77.0,82.25,76.35,81.5,3411792,272711635.2,16093
2017-02-17,81.5,81.7,85.5,80.55,82.7,1688820,140280378.2,8798
2017-02-20,82.7,82.95,85.2,82.05,84.65,1351797,113367446.65,5955
2017-02-21,84.65,85.35,86.4,84.15,85.85,1276987,108863470.95,8917
2017-02-22,85.85,86.0,86.2,83.35,84.75,887128,75165856.9,4315
2017-02-23,84.75,84.75,85.2,83.4,84.25,659227,55573438.25,3245
2017-02-27,84.25,85.5,87.8,84.5,85.45,1889748,162308169.15,13665
2017-02-28,85.45,85.85,86.0,84.55,84.85,812179,69141138.85,5378
2017-03-01,84.85,84.55,85.5,83.8,84.3,540676,45790593.3,4227
2017-03-02,84.3,85.15,85.15,81.5,82.8,741565,61783016.0,5018
2017-03-03,82.8,82.25,82.75,81.25,81.85,596103,48754933.5,2682
2017-03-06,81.85,83.0,83.7,81.6,82.4,544156,44919127.45,3662
2017-03-07,82.4,82.5,82.7,81.45,81.7,247770,20318445.55,2215
2017-03-08,81.7,82.25,82.3,79.5,80.1,395125,31866294.9,2764
2017-03-09,80.1,80.0,82.9,79.15,80.7,601752,48775265.7,5551
2017-03-10,80.7,79.55,82.95,79.55,79.95,521155,42296733.15,3311
2017-03-14,79.95,82.95,84.3,81.85,83.35,985737,81737673.85,8582
2017-03-15,83.35,83.75,87.4,83.0,85.05,1442308,122931395.55,9717
2017-03-16,85.05,85.6,87.2,84.9,85.95,612533,52710430.3,4269
2017-03-17,85.95,85.95,87.7,83.35,84.55,800870,68621725.7,7061
2017-03-20,84.55,84.8,85.2,81.0,81.95,566506,46672314.35,4999
2017-03-21,81.95,82.05,83.25,79.3,80.6,889219,71935009.55,5899
2017-03-22,80.6,79.85,80.75,78.2,79.85,309116,24681809.85,2348
2017-03-23,79.85,80.05,82.5,80.05,81.95,330397,26929216.9,2139
2017-03-24,81.95,82.5,83.4,81.95,82.6,469209,38747679.85,3836
2017-03-27,82.6,82.5,82.8,80.35,80.6,294362,23922207.95,1956
2017-03-28,80.6,81.05,86.9,80.6,83.9,1505141,126174346.8,8868
2017-03-29,83.9,84.5,90.0,83.3,89.3,6248357,537902558.8,14170
2017-03-30,89.3,90.25,93.0,89.15,89.8,5638288,512667957.3,18290
2017-03-31,89.8,90.4,90.7,88.1,88.6,900480,80252589.4,5221
2017-04-03,88.6,89.35,91.35,88.3,89.8,1019066,91667788.25,8865
2017-04-05,89.8,90.3,90.45,87.75,89.05,1617442,144210943.5,8917
2017-04-06,89.05,88.75,90.55,88.15,89.95,1376225,123249603.7,9468
2017-04-07,89.95,90.0,94.4,90.0,93.15,3441230,318607151.25,32086
2017-04-10,93.15,94.4,99.7,94.1,98.55,5557768,543537834.7,79015
2017-04-11,98.55,99.75,106.9,98.55,102.0,18670926,1881351387.95,48325
2017-04-12,102.0,102.4,102.5,98.55,101.55,1876893,188755763.8,8759
2017-04-13,101.55,101.5,101.5,98.9,100.1,882356,88266441.0,5657
2017-04-17,100.1,100.0,105.5,96.4,104.35,2322156,237454925.45,11192
2017-04-18,104.35,106.4,107.5,101.15,102.6,2737752,286873156.0,19387
2017-04-19,102.6,102.9,104.65,100.3,104.05,1169988,120338471.5,7769
2017-04-20,104.05,104.5,109.6,103.45,108.85,2239724,239821988.95,11768
2017-04-21,108.85,109.9,109.9,106.15,107.85,1112835,119958548.5,6351
2017-04-24,107.85,106.2,113.5,106.1,112.2,1825038,201092101.45,10207
2017-04-25,112.2,114.4,115.85,112.35,114.8,1925224,219796050.1,10772
2017-04-26,114.8,115.0,120.4,112.3,115.55,8648673,1000316577.35,16571
2017-04-27,115.55,118.0,118.3,113.2,115.2,1622229,186970199.6,15424
2017-04-28,115.2,115.05,116.85,112.85,115.55,1292253,147932500.5,6327
2017-05-02,115.55,116.6,118.1,115.5,117.1,1119640,130789016.2,6271
2017-05-03,117.1,122.0,124.4,120.15,120.85,4112313,500866618.65,21880
2017-05-04,120.85,121.4,122.0,117.2,119.7,1164273,138912904.35,10403
2017-05-05,119.7,120.2,122.0,117.5,118.5,1085864,129738589.35,6125
2017-05-08,118.5,119.55,119.6,117.35,119.1,615863,73108926.25,4615
2017-05-09,119.1,118.7,121.45,118.1,119.8,722712,86818275.35,6124
2017-05-10,119.8,121.0,121.0,118.2,119.5,660631,78940179.55,5323
2017-05-11,119.5,118.95,122.3,118.0,118.3,941555,112957513.1,6335
2017-05-12,118.3,118.2,120.0,117.15,117.95,687422,81083515.25,4782
2017-05-15,117.95,118.15,119.4,117.2,118.2,488399,57638648.3,3305
2017-05-16,118.2,118.1,119.1,117.0,118.3,540400,63813819.5,3779
2017-05-17,118.3,117.9,118.5,116.8,116.95,466862,54903986.95,2597
2017-05-18,116.95,116.0,117.8,114.35,114.9,542864,62910476.6,2432
2017-05-19,114.9,115.05,118.0,115.05,116.75,1689915,197952506.0,5190
2017-05-22,116.75,117.0,119.3,117.0,118.15,634960,75061808.55,5709
2017-05-23,118.15,118.5,118.5,112.05,113.55,1083666,124048013.65,8973
2017-05-24,113.55,113.15,116.35,113.05,115.05,583498,67016290.95,5478
2017-05-25,115.05,116.95,119.95,113.5,117.8,406707,47334378.9,4937
2017-05-26,117.8,119.0,131.8,118.15,129.8,3673528,465920388.6,32986
2017-05-29,129.8,126.4,129.3,124.0,124.95,770335,97485558.7,6261
2017-05-30,124.95,124.9,125.7,122.1,124.35,458915,56821506.7,5143
2017-05-31,124.35,124.2,126.55,121.55,122.9,1859804,232001940.4,7629
2017-06-01,122.9,122.25,123.6,121.8,122.6,311168,38159747.25,3622
2017-06-02,122.6,123.0,129.3,123.0,126.15,748931,94755431.8,5326
2017-06-05,126.15,126.4,127.95,124.5,125.6,445943,56312391.75,4990
2017-06-06,125.6,125.5,125.9,123.0,125.25,343706,42901025.55,5671
2017-06-07,125.25,125.95,130.85,125.85,127.4,4086242,526081927.35,15712
2017-06-08,127.4,128.15,129.25,125.85,128.5,608691,77641682.7,7416
2017-06-09,128.5,128.7,131.0,127.1,127.8,2025135,261901724.95,21271
2017-06-12,127.8,126.05,128.0,125.0,125.25,368289,46485171.6,3018
2017-06-13,125.25,126.4,128.0,125.3,126.15,378014,47935509.4,3244
2017-06-14,126.15,126.15,129.2,125.6,127.85,1652518,211273697.2,9033
2017-06-15,127.85,127.85,129.65,125.75,126.9,773978,98861924.1,7499
2017-06-16,126.9,126.5,127.3,118.1,120.55,2839660,347387737.9,20986
2017-06-19,120.55,120.75,122.4,119.45,121.35,552030,66672831.05,4405
2017-06-20,121.35,121.6,125.0,121.1,124.8,762950,94523611.5,8918
2017-06-21,124.8,124.2,124.2,122.0,122.45,470444,57681006.25,4420
2017-06-22,122.45,125.1,125.9,122.4,122.95,660070,81916710.15,5277
2017-06-23,122.95,123.0,123.5,117.55,120.3,765833,91652749.65,4540
2017-06-27,120.3,120.5,121.4,115.1,115.9,613271,72179699.65,4404
2017-06-28,115.9,114.75,116.95,114.05,115.7,407950,47231505.55,3351
2017-06-29,115.7,116.2,119.0,116.2,116.95,465695,54896819.1,4063
2017-06-30,116.95,116.1,117.95,115.0,117.5,351327,41009332.65,2755
2017-07-03,117.5,117.5,118.4,115.1,115.8,387394,44977997.05,4397
2017-07-04,115.8,116.4,121.5,115.5,120.1,807424,96087190.8,6027
2017-07-05,120.1,121.0,123.0,120.55,121.6,740182,90032161.4,5703
2017-07-06,121.6,121.45,123.65,120.5,122.1,819496,100323388.45,5248
2017-07-07,122.1,121.95,126.0,121.1,124.75,893260,110830429.35,8493
2017-07-10,124.75,125.75,127.0,122.0,125.95,151984,19107654.75,939
2017-07-11,125.95,126.9,126.9,124.65,126.2,664522,83646229.2,6706
2017-07-12,126.2,126.6,128.0,124.7,127.55,908554,115054543.45,9731
2017-07-13,127.55,128.0,128.65,126.0,126.95,552128,70338163.0,5666
2017-07-14,126.95,126.25,127.15,122.5,125.5,408502,50882208.6,3908
2017-07-17,125.5,125.9,127.9,125.65,126.45,670850,85173221.9,8773
2017-07-18,126.45,126.9,128.2,123.6,124.25,533430,67301187.45,4760
2017-07-19,124.25,126.5,127.5,124.55,126.55,457722,57737032.75,3264
2017-07-20,126.55,127.0,130.3,126.0,127.5,1228590,157185288.35,12177
2017-07-21,127.5,127.1,128.95,125.5,128.0,638643,81106317.8,4987
2017-07-24,128.0,128.45,128.45,125.65,127.3,766063,97783728.85,7160
2017-07-25,127.3,129.4,129.7,125.05,126.25,1489413,189659897.8,13322
2017-07-26,126.25,126.0,127.7,124.05,124.5,370676,46532282.85,3751
