Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-08-14,147.0,153.5,154.77,145.05,146.07,105274421,15826571971.37,549732
2025-08-18,146.07,148.0,151.68,143.95,150.02,39208337,5847038361.83,248014
2025-08-19,150.02,150.0,158.2,148.12,156.55,47572618,7384424132.88,291360
2025-08-20,156.55,157.0,159.0,153.25,153.83,14505613,2255941064.44,106182
2025-08-21,153.83,154.0,156.7,151.77,153.98,10842093,1675874842.8,99886
2025-08-22,153.98,153.97,156.75,152.76,153.12,8536051,1317353085.27,128793
2025-08-25,153.12,153.89,155.4,152.92,153.48,5125690,788834108.38,79269
2025-08-26,153.48,153.48,156.74,150.05,150.49,7846500,1195250784.85,76518
2025-08-28,150.49,150.3,151.55,147.06,148.23,8347289,1244593144.14,96364
2025-08-29,148.23,148.4,151.8,147.81,148.43,4448815,667752440.67,143569
2025-09-01,148.43,148.9,152.8,147.97,151.76,6096458,920577780.83,121590
2025-09-02,151.76,152.68,154.8,152.32,153.73,5730595,880548946.71,70497
2025-09-03,153.73,153.7,159.93,153.7,159.17,23333691,3673189682.1,163882
2025-09-04,159.17,161.51,162.15,151.52,152.29,10144348,1583681509.2,72048
2025-09-05,152.29,152.89,152.99,149.48,150.11,4553483,686453276.52,33500
2025-09-08,150.11,150.49,151.14,148.51,149.21,3545942,531534116.51,23937
2025-09-09,149.21,149.95,149.99,148.21,148.54,2583143,384402494.52,26749
2025-09-10,148.54,149.3,149.94,147.8,148.01,2969890,441327474.46,31707
2025-09-11,148.01,148.0,148.4,145.31,145.69,5640167,825811841.18,95621
2025-09-12,145.69,146.29,149.3,145.9,148.72,3893758,574143985.73,38791
2025-09-15,148.72,151.95,153.45,149.71,150.29,5357153,807129906.66,30182
2025-09-16,150.29,151.45,151.65,148.05,148.71,2740161,408372143.38,25083
2025-09-17,148.71,149.44,152.9,147.33,147.77,4924836,730912145.14,43011
2025-09-18,147.77,148.5,151.85,147.5,151.21,5541105,828414339.07,34933
2025-09-19,151.21,151.74,151.74,149.05,149.27,2531658,379738334.66,20126
2025-09-22,149.27,149.51,151.4,149.02,149.44,3324026,498433310.3,33135
2025-09-23,149.44,149.44,150.09,146.7,147.18,2670876,396887480.45,21067
2025-09-24,147.18,147.18,148.38,146.2,146.44,1987230,292529501.61,16573
2025-09-25,146.44,146.49,147.2,143.25,143.85,2668528,387598977.68,25597
2025-09-26,143.85,143.85,144.0,139.79,141.36,3093693,436564004.03,31280
2025-09-29,141.36,141.0,142.76,140.01,140.27,1774082,250709712.12,18389
2025-09-30,140.27,140.75,141.2,137.45,137.89,2064210,286206608.04,37083
2025-10-01,137.89,137.57,139.2,135.9,138.46,3018045,415786752.58,28766
2025-10-03,138.46,138.8,139.4,137.79,138.86,1601643,222140176.42,16390
2025-10-06,138.86,141.1,142.64,139.51,140.86,3324094,468129949.1,35409
2025-10-07,140.86,140.86,141.17,139.26,139.74,1136102,159078306.71,17597
2025-10-08,139.74,139.74,140.95,137.9,138.26,1764496,246055750.2,19458
2025-10-09,138.26,138.51,139.04,137.12,137.98,1331463,184171260.52,14494
2025-10-10,137.98,137.98,143.4,137.6,140.68,3534213,497351483.41,35066
2025-10-13,140.68,139.5,140.78,139.01,139.33,952194,133027617.04,15191
2025-10-14,139.33,138.9,139.57,134.75,135.21,2227068,304330650.11,25293
2025-10-15,135.21,135.26,138.49,134.86,138.05,1220864,167367213.58,16417
2025-10-16,138.05,138.27,139.25,137.07,137.36,691589,95594111.82,9682
