Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-10-03,119.0,143.0,157.3,142.2,157.3,122117170,18405044850.2,259747
2023-10-04,157.3,165.1,168.7,160.4,164.95,55015128,9040229144.0,278152
2023-10-05,164.95,166.5,167.85,159.3,163.8,14856340,2435452867.15,94819
2023-10-06,163.8,165.15,173.35,164.0,171.6,14529445,2458664588.0,87146
2023-10-09,171.6,168.0,169.05,161.2,162.85,8685101,1435851640.95,77946
2023-10-10,162.85,164.0,174.8,163.05,169.75,11096550,1879981308.9,66943
2023-10-11,169.75,171.75,175.8,170.2,172.7,6367753,1103372030.8,50656
2023-10-12,172.7,173.65,174.8,171.2,172.15,3980057,688178097.15,33308
2023-10-13,172.15,170.55,174.65,169.35,170.25,3828930,658593666.9,28893
2023-10-16,170.25,170.9,171.0,165.75,167.85,3230784,542654601.95,26935
2023-10-17,167.85,169.7,177.75,168.3,177.0,11425814,1990614600.15,54494
2023-10-18,177.0,178.9,186.35,173.5,175.1,16767224,3019714165.5,72884
2023-10-19,175.1,175.0,181.55,174.3,178.9,6152869,1099587612.15,36131
2023-10-20,178.9,179.45,181.5,175.35,176.1,3401682,606499408.5,24237
2023-10-23,176.1,177.2,178.45,166.5,167.35,5466657,930036747.85,41466
2023-10-25,167.35,170.0,170.8,162.35,165.65,3701887,617588088.55,29662
2023-10-26,165.65,166.0,173.45,162.05,172.2,5038029,847114260.65,46355
2023-10-27,172.2,174.0,179.95,172.75,176.2,4251314,751901678.85,36442
2023-10-30,176.2,177.4,177.4,168.5,169.75,5625385,960188111.45,66430
2023-10-31,169.75,171.45,172.9,168.0,169.55,2413657,412433290.4,18483
2023-11-01,169.55,170.85,173.5,167.65,168.15,2823188,481877854.2,18778
2023-11-02,168.15,170.5,173.0,169.55,171.75,1766150,302017948.75,15464
2023-11-03,171.75,172.05,174.7,170.2,171.45,2521359,434612551.35,23002
2023-11-06,171.45,179.0,188.55,177.2,188.3,20256529,3769491423.45,67192
2023-11-07,188.3,194.4,207.1,187.35,205.9,23030252,4588851399.4,102866
2023-11-08,205.9,208.4,215.45,201.5,202.35,18757436,3921367814.65,102491
2023-11-09,202.35,202.5,206.5,198.2,199.4,5998279,1215435429.65,39869
2023-11-10,199.4,199.35,206.6,194.85,197.0,7928580,1579418718.05,53044
2023-11-13,203.1,202.95,202.95,199.25,200.4,3623579,727020923.2,25998
2023-11-15,200.4,202.0,202.25,197.15,197.85,2728869,544992952.7,21573
2023-11-16,197.85,198.45,206.65,196.5,202.8,6737642,1368491617.0,43871
2023-11-17,202.8,213.45,220.0,207.75,209.3,16087741,3432246104.1,96880
2023-11-20,209.3,211.0,212.45,205.5,206.55,3768056,788134264.65,31868
2023-11-21,206.55,207.95,209.8,204.05,207.25,3695871,764689513.45,24696
2023-11-22,207.25,207.5,211.95,205.2,208.2,3523114,733267839.6,26227
2023-11-23,208.2,209.4,210.3,204.4,205.9,2434510,505093340.0,23421
2023-11-24,205.9,205.8,207.9,202.55,206.0,3374870,692053489.75,25704
2023-11-28,206.0,206.75,209.4,202.6,208.4,3513501,727226393.8,26477
2023-11-29,208.4,208.9,217.15,207.55,210.75,6690057,1423319211.65,42122
2023-11-30,210.75,215.0,215.4,207.8,210.5,3401542,718075394.45,30177
2023-12-01,210.5,211.85,224.5,211.1,219.85,10488871,2298095291.85,66028
2023-12-04,219.85,227.6,227.6,216.55,217.6,5283493,1167717696.55,38925
2023-12-05,217.6,222.8,234.8,222.0,227.05,11620466,2648586649.9,75606
2023-12-06,227.05,229.5,244.9,229.0,238.95,10704712,2544249610.95,70091
2023-12-07,238.95,241.0,247.5,235.0,236.2,9396753,2255758023.1,60511
2023-12-08,236.2,237.85,240.0,224.8,228.4,7482839,1721166368.55,55830
2023-12-11,228.4,230.0,235.5,229.65,231.15,4621566,1072299895.25,35090
2023-12-12,231.15,232.0,241.25,229.45,237.95,6968428,1650431939.25,44156
2023-12-13,237.95,239.0,242.0,236.0,238.85,3906056,930748983.4,28048
2023-12-14,238.85,241.4,242.4,235.25,236.2,3414212,814247245.8,29762
2023-12-15,236.2,237.7,238.8,230.8,231.6,3399180,797035786.8,25996
2023-12-18,231.6,220.0,235.85,220.0,232.0,7612490,1745849230.55,58052
2023-12-19,232.0,232.9,233.5,223.55,224.8,4194862,955419952.5,43260
2023-12-20,224.8,225.5,229.6,210.0,210.85,6646370,1452785753.65,66492
2023-12-21,210.85,208.0,218.0,205.65,214.3,5087234,1086502012.25,43768
2023-12-22,214.3,216.9,221.65,214.0,220.5,4041864,883372671.85,34672
2023-12-26,220.5,221.3,222.9,219.1,220.9,2093766,462332399.85,20156
2023-12-27,220.9,222.0,223.0,211.25,212.2,4343792,937487616.3,56603
2023-12-28,212.2,214.0,215.1,210.2,210.85,4210099,891625877.4,40941
2023-12-29,210.85,211.25,214.2,208.0,208.3,4144780,870880518.2,36468
2024-01-01,208.3,208.3,212.4,208.3,210.65,4134909,870557701.5,29448
2024-01-02,210.65,210.65,213.45,207.5,210.25,3179497,667650572.1,25506
2024-01-03,210.25,210.25,216.8,209.5,213.65,4654889,992982971.0,33904
2024-01-04,213.65,214.2,216.25,213.4,214.3,2952871,633562764.8,28038
2024-01-05,214.3,215.5,223.6,215.05,218.9,6384087,1402936204.45,45221
2024-01-08,218.9,219.7,219.75,215.15,216.3,2256603,489763475.75,23976
2024-01-09,216.3,217.6,219.4,215.6,217.5,4749897,1035380571.75,29361
2024-01-10,217.5,217.45,218.4,211.7,215.2,3367638,723906517.75,35097
2024-01-11,215.2,216.0,216.3,211.55,212.25,3436557,735351954.1,31503
2024-01-12,212.25,213.1,214.8,210.5,211.0,3362976,715111842.0,34005
2024-01-15,211.0,212.0,213.35,210.35,210.8,2736148,579093307.85,31532
2024-01-16,210.8,211.0,213.55,208.1,212.35,3478621,734242362.6,32647
2024-01-17,212.35,211.0,212.35,207.5,207.95,2893194,606963679.25,29563
2024-01-18,207.95,208.0,210.55,202.0,209.9,3320307,691171176.15,30159
2024-01-19,209.9,211.75,212.9,210.05,211.75,2176755,460284328.8,20644
2024-01-23,214.1,215.2,215.6,204.2,206.05,3079613,645232198.05,34813
2024-01-24,206.05,206.5,213.4,203.65,207.7,2322967,485058109.05,18421
2024-01-25,207.7,208.65,210.9,205.7,206.85,3282843,682511863.35,26065
2024-01-29,206.85,207.5,212.5,205.15,211.85,3889195,817832373.05,40492
2024-01-30,211.85,212.9,217.25,209.55,213.4,4124606,882635533.3,29776
2024-01-31,213.4,213.95,216.0,211.4,215.0,2635827,563422669.65,19996
2024-02-01,215.0,216.5,221.8,215.0,217.75,5379944,1172934434.1,35239
2024-02-02,217.75,219.6,228.0,217.0,224.5,10243059,2280860593.6,57163
2024-02-05,224.5,228.7,231.0,219.7,221.75,8379742,1888189483.45,66192
2024-02-06,221.75,223.75,224.25,218.2,219.3,3135451,693191544.9,28826
2024-02-07,219.3,221.25,221.9,216.75,218.1,3034347,663972759.9,29790
2024-02-08,218.1,218.7,218.75,210.4,211.65,3799484,810401013.5,40207
2024-02-09,211.65,212.2,214.35,205.0,210.25,2682708,561602951.65,35717
2024-02-12,210.25,212.9,216.65,206.6,211.05,4449723,944251002.0,42845
2024-02-13,211.05,211.3,217.9,207.2,216.5,4652109,993257581.2,47440
2024-02-14,216.5,213.9,218.75,211.65,217.4,2696734,583345495.45,30211
2024-02-15,217.4,219.9,225.5,218.8,221.95,4507066,1001841113.35,45439
2024-02-16,221.95,222.9,225.3,216.8,220.65,3055800,672089033.1,37751
2024-02-19,220.65,222.0,237.1,219.55,233.1,16051780,3708035855.15,103242
2024-02-20,233.1,234.75,244.0,234.25,238.85,14350723,3444960493.5,88733
2024-02-21,238.85,240.5,241.95,231.2,233.1,6836575,1619818637.8,48582
2024-02-22,233.1,234.7,244.0,233.25,243.45,6621342,1586987545.85,45436
2024-02-23,243.45,246.25,265.0,243.25,262.45,21602550,5530722514.5,153940
2024-02-26,262.45,268.0,276.2,253.8,255.3,13876894,3669212100.8,101448
2024-02-27,255.3,256.45,259.7,248.0,249.8,4890435,1240387233.1,36964
2024-02-28,249.8,249.8,259.6,244.5,246.9,6804889,1707219347.85,52672
2024-02-29,246.9,249.6,257.6,248.15,256.5,7940738,2011104022.5,62679
2024-03-01,256.5,258.4,263.8,254.95,257.25,5578764,1444281110.35,44628
2024-03-04,260.1,261.4,266.7,256.4,260.55,4714142,1231266174.15,49753
2024-03-05,260.55,260.0,261.2,255.3,256.3,2712737,699363373.65,28804
2024-03-06,256.3,255.0,255.85,247.1,250.6,4290383,1074986378.8,40438
2024-03-07,250.6,252.2,253.7,246.5,250.2,3368434,841515734.25,36733
2024-03-11,250.2,251.7,257.8,247.95,253.2,4319589,1092217600.55,40770
2024-03-12,253.2,254.0,254.7,236.0,237.7,5712630,1391314506.25,49674
2024-03-13,237.7,239.4,241.95,213.95,215.5,9238195,2113643206.1,70398
2024-03-14,215.5,213.5,237.05,211.1,237.05,7319865,1663136558.35,69473
2024-03-15,237.05,238.6,243.05,225.6,231.7,5604650,1298345811.55,52647
2024-03-18,231.7,232.95,249.9,232.55,246.95,7927261,1932004348.6,61512
2024-03-19,246.95,246.95,248.8,239.2,240.8,3344834,811932001.2,31310
2024-03-20,240.8,242.75,244.4,231.75,233.95,3897100,915981416.95,35506
2024-03-21,233.95,241.0,242.6,234.75,236.45,3829864,913102551.8,45567
2024-03-22,236.45,237.0,244.4,236.5,239.05,4311445,1038375872.9,30544
2024-03-26,239.05,242.45,245.7,238.25,239.35,5716285,1377273980.4,30266
2024-03-27,239.35,239.9,250.7,239.9,247.55,8248561,2036159919.1,66512
2024-03-28,247.55,247.55,255.3,244.1,245.35,6766151,1698579411.5,49669
2024-04-01,245.35,245.85,248.95,242.35,247.05,8731852,2151192822.05,29920
2024-04-02,247.05,247.0,253.65,245.35,252.0,4567813,1145171132.15,37921
2024-04-03,252.0,250.0,252.8,247.65,251.1,3640395,912039168.1,30450
2024-04-04,251.1,253.0,257.0,250.0,251.55,5566107,1409181862.75,35820
2024-04-05,251.55,251.55,254.0,248.2,250.75,3003919,753406698.0,25312
2024-04-08,250.75,253.0,254.85,246.0,246.85,4805458,1202461490.1,36413
2024-04-09,246.85,249.25,249.4,238.05,241.7,4659864,1132556068.55,41761
2024-04-10,241.7,241.7,244.4,239.35,242.4,2847235,689531349.6,38256
2024-04-12,242.4,241.3,244.5,239.05,241.05,4068791,984872138.15,51218
2024-04-15,241.05,234.05,238.65,230.55,235.45,3711925,872510608.6,57676
2024-04-16,235.45,233.0,240.45,232.5,237.1,2121453,504830348.1,32213
2024-04-18,237.1,237.2,244.3,236.8,239.65,2934012,708119096.95,27521
2024-04-19,239.65,233.65,240.9,233.05,239.2,3028120,721261788.45,39681
2024-04-22,239.2,242.0,246.2,241.25,242.0,2115960,515161055.55,20475
2024-04-23,242.0,242.95,249.85,241.8,248.15,4163872,1029810886.9,41183
2024-04-24,248.15,249.7,252.9,248.0,249.05,4284475,1073975606.65,36819
2024-04-25,249.05,249.0,254.4,247.85,252.2,2844520,718025263.9,22919
2024-04-26,252.2,253.0,254.25,250.65,252.5,2599585,655895526.0,19810
2024-04-29,252.5,254.45,258.55,244.85,247.05,4331173,1090224098.4,36014
2024-04-30,247.05,249.2,253.2,249.0,250.0,2438924,611911687.5,25271
2024-05-02,250.0,251.6,258.0,248.3,257.3,5348662,1365040799.55,45328
2024-05-03,257.3,260.0,264.0,253.4,258.5,12334925,3205745538.55,78799
2024-05-06,258.5,259.75,260.0,248.2,251.3,5466434,1383392633.5,51652
2024-05-07,251.3,252.0,252.7,240.5,242.8,3163430,776720221.2,37116
2024-05-08,242.8,242.0,249.8,240.8,246.25,2782789,684863051.75,26409
2024-05-09,246.25,246.7,251.8,243.0,244.1,2706746,670864838.1,32932
2024-05-10,244.1,244.25,247.75,240.65,245.45,1657621,406480565.5,27110
2024-05-13,245.45,245.45,250.4,242.6,249.0,3009469,746255855.35,36236
2024-05-14,249.0,250.85,259.95,249.05,259.0,5782890,1480727438.7,53651
2024-05-15,259.0,260.0,265.35,256.55,257.65,4069046,1063169796.8,35176
2024-05-16,257.65,259.8,261.6,255.7,259.05,2592485,672689268.3,23799
2024-05-17,259.05,260.0,275.5,258.05,271.65,12181115,3300443511.2,116956
2024-05-21,275.5,275.0,281.0,268.85,277.35,6053742,1676610208.45,50408
2024-05-22,277.35,278.0,285.45,277.8,278.9,5818023,1638821808.25,45643
2024-05-23,278.9,278.8,285.0,278.05,279.0,3241485,910237139.85,29944
2024-05-24,279.0,280.85,284.85,273.8,275.3,2982317,833548195.7,32344
2024-05-27,275.3,277.0,287.85,277.0,283.2,5986505,1704987042.45,58753
2024-05-28,283.2,284.0,290.45,281.4,287.7,6429736,1841123955.15,70846
2024-05-29,287.7,286.3,299.25,285.2,293.6,8205088,2416587676.85,73135
2024-05-30,293.6,293.6,295.5,278.35,280.45,3610638,1033380349.95,43564
