Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-12-23,56.3625,59.7375,60.75,57.375,57.925,905608,53133157.7,2115
2021-12-24,57.925,58.125,58.9625,56.175,57.2625,202784,11639600.65,1007
2021-12-27,57.2625,57.2625,57.2625,54.25,54.975,369596,20471760.1,2035
2021-12-28,54.975,55.6,55.9875,53.625,54.6,307836,16797441.4,2278
2021-12-29,54.6,54.5,54.5,52.4,53.1125,492832,26219132.55,2832
2021-12-30,53.1125,54.0,54.5,52.625,53.575,170692,9071442.05,1488
2021-12-31,53.575,53.75,54.7625,52.475,52.8625,636948,34243723.45,2073
2022-01-03,52.8625,56.5,56.5,53.0,53.375,570892,31118750.1,4080
2022-01-04,53.375,54.1875,54.625,52.5,54.2375,256368,13802933.05,2122
2022-01-05,54.2375,54.2375,54.75,52.75,53.6125,201132,10900802.15,1566
2022-01-06,53.6125,52.8125,54.175,52.8125,53.8875,76240,4102520.2,779
2022-01-07,53.8875,53.6,63.225,53.6,60.125,3537916,203897154.45,11464
2022-01-10,60.125,62.975,66.2375,61.625,65.075,1366380,87333885.85,8610
2022-01-11,65.075,66.6125,67.375,61.0,62.4375,1646732,106723517.3,10126
2022-01-12,62.4375,63.25,65.5125,62.4375,64.45,993808,64214015.7,6533
2022-01-13,64.45,65.5,66.25,64.55,65.0375,541492,35384636.0,2839
2022-01-14,65.0375,64.0125,66.25,64.0125,65.4375,452728,29720872.1,2379
2022-01-17,65.4375,65.75,66.675,64.025,64.9,306040,19939214.45,2218
2022-01-18,64.9,65.5375,65.55,62.375,62.7375,378088,24032822.9,2539
2022-01-19,62.7375,61.75,64.75,60.3875,63.2375,237660,14668327.95,2584
2022-01-20,63.2375,62.5,63.875,61.925,63.525,254792,16089513.35,2252
2022-01-21,63.525,63.275,65.7625,62.2625,64.4875,706808,45578604.5,4485
2022-01-24,64.4875,63.75,63.75,58.0,60.3375,436728,26605249.1,4602
2022-01-25,60.3375,59.0125,60.75,57.4625,60.65,290728,17126617.35,3250
2022-01-27,60.65,60.75,63.85,60.75,62.025,220684,13651278.45,2334
2022-01-28,62.025,63.5,63.725,58.625,60.8375,417068,25664707.95,3829
2022-01-31,60.8375,61.925,61.925,59.1875,59.725,201084,12121172.1,1915
2022-02-01,59.725,61.5,62.025,60.0875,60.8625,148016,9028217.75,1552
2022-02-02,60.8625,62.25,62.25,59.3625,59.8625,207500,12450590.3,1968
2022-02-03,59.8625,60.9875,61.475,59.7,60.8375,270760,16350107.2,1928
2022-02-04,60.8375,61.975,67.75,60.2,64.475,883520,56583822.95,6615
2022-02-07,64.475,66.75,67.675,63.75,64.275,1000808,66054663.1,5549
2022-02-08,64.275,64.9875,65.075,61.2875,62.3125,317648,19939773.65,3026
2022-02-09,62.3125,64.75,64.75,61.5875,63.3875,170624,10738769.8,1245
2022-02-10,63.3875,63.775,65.35,61.75,62.1375,151180,9502461.1,1732
2022-02-11,62.1375,60.5125,61.825,60.4875,60.625,146916,8947219.6,1799
2022-02-14,60.625,57.5,59.65,56.6375,57.725,179856,10496207.7,2641
2022-02-15,57.725,58.4875,67.425,55.75,61.6625,1003640,61535079.95,7276
2022-02-16,61.6625,61.75,63.975,60.1625,62.8125,328288,20324122.85,3836
2022-02-17,62.8125,64.25,64.25,60.8125,61.7625,97936,6103383.75,1186
2022-02-18,61.7625,61.0,63.8375,61.0,62.5375,676076,42591529.7,3472
2022-02-21,62.5375,62.6375,63.6625,58.3375,59.95,230940,14250638.9,1630
2022-02-22,59.95,59.7125,59.7125,56.2375,57.275,438888,25190326.65,3538
2022-02-23,57.275,58.1375,59.15,55.75,57.3625,2707736,152661556.95,3986
2022-02-24,57.3625,56.5,57.125,50.05,51.525,408516,22011384.95,3852
2022-02-25,51.525,52.7625,55.75,52.7625,54.875,200164,10969580.1,2004
2022-02-28,54.875,55.0,61.0,53.6375,58.075,239636,13523242.4,1337
2022-03-02,58.075,57.875,58.35,56.7125,57.6375,158448,9071973.6,1616
2022-03-03,57.6375,59.075,59.075,56.9375,57.05,110840,6370203.35,1178
2022-03-04,57.05,56.2,56.375,55.25,55.325,97176,5421749.6,1048
2022-03-07,55.325,54.5,54.5375,53.3125,53.9,125780,6778318.55,1095
2022-03-08,53.9,54.6375,56.0875,51.75,53.6375,418616,22669701.2,4500
2022-03-09,53.6375,53.825,56.25,53.05,55.875,269408,14840664.4,3185
2022-03-10,55.875,57.0,57.75,56.125,56.275,155396,8845141.65,1418
2022-03-11,56.275,56.5,57.4875,55.15,55.8875,131256,7396375.5,927
2022-03-14,55.8875,56.725,56.725,54.675,55.3125,195092,10819299.2,1206
2022-03-15,55.3125,55.5,56.0,53.75,54.9125,131460,7241843.35,1179
2022-03-16,54.9125,54.5,56.25,54.5,54.7875,96388,5351406.2,607
2022-03-17,54.7875,55.125,56.1875,54.1875,54.675,224868,12405542.75,1474
2022-03-21,54.675,55.9875,55.9875,53.5,54.1875,222688,12198428.5,1664
2022-03-22,54.1875,53.5125,54.5625,52.9125,53.7375,160820,8643593.7,1517
2022-03-23,53.7375,53.875,54.6,53.1875,53.525,97572,5247391.8,1009
2022-03-24,53.525,53.1125,60.225,53.1125,58.75,1735488,102005554.05,7624
2022-03-25,58.75,58.75,64.0,56.3625,62.575,1994680,121172061.85,8339
2022-03-28,62.575,61.45,62.0,59.5125,60.8875,463400,28047407.2,3119
2022-03-29,60.8875,61.25,62.5,56.5875,57.725,1259136,73916719.7,5204
2022-03-30,57.725,58.6,60.15,56.6375,58.35,231760,13613959.7,1736
2022-03-31,58.35,59.625,59.8,57.5,57.9,162592,9480725.95,1098
2022-04-01,57.9,58.7,59.3125,57.75,59.0125,121316,7126094.5,1128
2022-04-04,59.0125,59.75,61.2375,58.0125,58.5,539284,31835405.2,2280
2022-04-05,58.5,59.15,60.5,58.25,58.9,249516,14774616.75,2133
2022-04-06,58.9,59.0,60.1875,57.75,59.2875,582444,34358102.85,1591
2022-04-07,59.2875,59.525,62.25,58.5,61.5375,456032,27778739.65,3172
2022-04-08,61.5375,61.75,62.2375,59.5,59.8,168612,10155308.1,1559
2022-04-11,59.8,59.975,60.8,58.0,58.675,161792,9592450.7,1467
2022-04-12,58.675,60.0,62.75,57.775,59.875,8133912,485773303.3,12926
