Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,276.1,276.55,281.4,271.0,274.6,29227,8054615.0,1061
2017-01-03,274.6,275.1,280.8,262.1,275.45,36470,10092186.95,1280
2017-01-04,275.45,274.95,308.5,271.5,300.9,565999,170132791.4,14487
2017-01-05,300.9,303.0,311.9,297.5,301.0,266860,81295826.85,6858
2017-01-06,301.0,301.5,303.7,290.05,291.85,69871,20584047.35,2466
2017-01-09,291.85,292.45,302.0,286.3,289.85,47703,14012182.7,1748
2017-01-10,289.85,290.05,303.55,290.05,296.85,95232,28502289.45,2741
2017-01-11,296.85,297.0,299.5,290.8,292.3,28708,8437050.75,1181
2017-01-12,292.3,293.9,294.95,286.0,291.0,30008,8716701.75,970
2017-01-13,291.0,293.8,344.95,286.0,337.25,838730,275970286.55,17522
2017-01-16,337.25,334.7,384.7,330.0,375.8,1951388,720862869.0,44463
2017-01-17,375.8,374.75,378.0,361.35,364.15,263607,96990634.45,7554
2017-01-18,364.15,366.7,401.0,361.5,392.55,1021470,397635898.9,22049
2017-01-19,392.55,390.0,394.0,375.0,379.5,254596,97890699.55,6436
2017-01-20,379.5,380.9,411.0,375.3,384.05,1054203,419344154.75,24892
2017-01-23,384.05,385.0,395.0,376.0,389.2,273870,105638717.55,7160
2017-01-24,389.2,391.3,403.9,385.0,393.55,254670,100583815.5,6618
2017-01-25,393.55,395.0,397.95,388.0,390.1,136181,53383831.65,3730
2017-01-27,390.1,390.05,396.0,381.25,385.85,112066,43506377.85,3402
2017-01-30,385.85,386.0,392.7,376.45,378.05,98834,37785998.5,3145
2017-01-31,378.05,380.0,380.0,356.8,368.8,163495,60048439.05,4504
2017-02-01,368.8,370.0,403.0,365.1,395.5,321616,124085766.1,8647
2017-02-02,395.5,400.0,417.8,391.5,402.25,451989,184461736.1,11912
2017-02-03,402.25,402.0,409.7,393.25,397.05,109791,44146049.8,2933
2017-02-06,397.05,403.8,408.75,397.5,400.1,125326,50477522.3,4157
2017-02-07,400.1,397.1,405.8,383.25,385.35,88728,35091057.8,3109
2017-02-08,385.35,387.85,394.3,371.25,379.5,84329,32446963.65,2792
2017-02-09,379.5,335.2,375.2,335.2,354.8,823642,294636102.4,18192
2017-02-10,354.8,357.0,374.5,355.1,361.05,306793,112363099.6,7854
2017-02-13,361.05,364.3,364.45,351.0,352.75,74350,26510334.2,2085
2017-02-14,352.75,353.5,355.0,335.1,339.8,69132,23882944.2,2352
2017-02-15,339.8,341.0,357.3,328.05,330.1,211890,72483663.8,6402
2017-02-16,330.1,334.55,341.5,332.0,336.45,95819,32250522.5,3349
2017-02-17,336.45,339.45,345.95,336.7,338.0,65947,22437815.4,2114
2017-02-20,338.0,340.45,346.5,337.2,339.15,45368,15494508.6,1635
2017-02-21,339.15,342.3,355.5,340.1,346.2,106232,36942789.15,3401
2017-02-22,346.2,346.25,351.4,335.0,338.95,62593,21580844.0,2788
2017-02-23,338.95,337.8,344.0,333.0,334.95,61985,20996098.8,2023
2017-02-27,334.95,334.55,338.7,332.0,332.85,57800,19358229.1,1564
2017-02-28,332.85,334.0,338.0,330.2,331.85,30777,10274793.2,809
2017-03-01,331.85,333.85,338.0,328.1,330.05,45080,15054852.05,1429
2017-03-02,330.05,330.0,334.7,317.1,319.5,77327,25293512.8,2275
2017-03-03,319.5,318.7,323.0,312.7,314.9,48951,15580061.3,1475
2017-03-06,314.9,315.0,326.0,314.95,318.4,49485,15851192.95,1659
2017-03-07,318.4,318.55,321.8,311.55,313.4,52680,16602793.6,1909
2017-03-08,313.4,315.3,315.3,306.0,308.1,51745,16026337.05,1558
2017-03-09,308.1,307.85,343.65,307.4,329.4,653231,218515319.45,18084
2017-03-10,329.4,333.0,338.4,325.15,327.55,145909,48483216.55,3838
2017-03-14,327.55,335.0,342.6,330.25,336.5,159785,53657941.05,4017
2017-03-15,336.5,337.5,341.95,330.5,332.7,69838,23536362.45,2773
2017-03-16,332.7,335.8,335.8,321.6,323.2,66611,21764999.45,2065
2017-03-17,323.2,325.4,341.7,324.0,334.65,157295,52924519.3,3749
2017-03-20,334.65,336.6,341.3,332.2,332.7,44866,15095694.35,1697
2017-03-21,332.7,333.0,336.9,325.0,326.45,30214,9974826.2,1034
2017-03-22,326.45,325.0,333.0,320.0,322.35,37166,12107616.5,1362
2017-03-23,322.35,325.8,329.35,322.0,323.35,36392,11832170.95,1118
2017-03-24,323.35,325.4,328.4,317.0,319.8,37502,12106238.5,1169
2017-03-27,319.8,321.5,325.75,318.95,320.2,34872,11221422.95,1307
2017-03-28,320.2,322.05,327.7,318.0,318.85,49140,15844855.25,1572
2017-03-29,318.85,320.55,322.85,313.0,315.05,34253,10873735.9,1026
2017-03-30,315.05,317.95,322.0,315.0,316.7,29633,9446139.65,1283
2017-03-31,316.7,318.65,319.8,310.55,312.65,45317,14223928.8,1081
2017-04-03,312.65,315.65,327.0,314.9,319.1,64501,20702704.45,2490
2017-04-05,319.1,321.25,326.15,317.15,322.85,50562,16308038.5,1657
2017-04-06,322.85,323.0,326.9,321.0,324.0,33972,11014144.65,853
2017-04-07,324.0,324.75,330.0,317.1,318.85,107704,34989553.4,1418
2017-04-10,318.85,319.0,322.0,314.1,315.2,26219,8303733.4,802
2017-04-11,315.2,315.0,344.0,312.3,337.15,228863,75582864.45,5220
2017-04-12,337.15,338.7,338.7,317.5,324.65,108483,35446140.75,3295
2017-04-13,324.65,324.65,326.2,320.0,320.85,25246,8142804.15,711
2017-04-17,320.85,323.45,323.45,317.25,319.85,21455,6864791.7,596
2017-04-18,319.85,321.75,329.95,317.0,318.4,29016,9362603.05,1074
2017-04-19,318.4,318.0,324.0,317.55,318.25,18016,5770989.4,613
2017-04-20,318.25,320.9,326.9,318.0,320.15,24774,7973949.0,898
2017-04-21,320.15,322.95,333.85,319.4,321.0,73184,23875869.7,1986
2017-04-24,321.0,321.0,326.7,318.5,319.8,19859,6391436.85,874
2017-04-25,319.8,320.75,328.0,319.55,321.75,42411,13765388.2,1916
2017-04-26,321.75,323.65,324.5,317.1,319.3,27683,8882756.55,781
2017-04-27,319.3,319.0,320.0,313.0,313.35,39262,12378407.95,881
2017-04-28,313.35,313.5,317.35,312.2,312.35,27148,8523944.35,1018
2017-05-02,312.35,314.4,317.0,302.5,306.5,27532,8519710.7,956
2017-05-03,306.5,306.0,313.7,303.8,305.8,23530,7255863.4,789
2017-05-04,305.8,308.7,309.85,303.2,303.7,22685,6937458.55,632
2017-05-05,303.7,305.2,309.0,299.2,302.4,31210,9470792.1,937
2017-05-08,302.4,302.5,304.8,291.6,292.8,31271,9242539.45,918
2017-05-09,292.8,294.55,294.6,283.0,287.65,45771,13168290.7,1256
2017-05-10,287.65,293.0,326.95,292.3,308.45,527563,166888704.8,12770
2017-05-11,308.45,310.8,319.9,308.3,309.85,137278,43133927.9,3800
2017-05-12,309.85,305.6,310.55,299.1,300.55,41442,12526140.15,1438
2017-05-15,300.55,302.1,307.0,298.5,301.7,27938,8453570.9,951
2017-05-16,301.7,303.5,303.7,295.0,296.4,22510,6743014.65,791
2017-05-17,296.4,296.4,315.6,295.6,303.15,119536,36864518.0,4252
2017-05-18,303.15,300.9,302.05,293.1,294.75,27806,8277196.85,1073
2017-05-19,294.75,297.8,299.95,290.0,291.25,23041,6793989.4,820
2017-05-22,291.25,291.6,295.45,284.05,285.6,22950,6627991.55,931
2017-05-23,285.6,288.7,292.75,272.6,279.45,25647,7134508.55,1162
2017-05-24,279.45,281.25,301.45,275.0,277.2,149403,43490379.05,4751
2017-05-25,277.2,277.0,284.05,268.0,271.6,46169,12694342.0,2024
2017-05-26,271.6,271.9,280.95,266.8,270.8,33356,9122147.0,1461
2017-05-29,270.8,272.05,277.2,267.3,270.75,21615,5890048.35,907
2017-05-30,270.75,270.7,278.5,262.0,271.35,47836,12929070.9,1938
2017-05-31,271.35,272.75,277.95,270.5,272.1,13872,3794293.2,529
2017-06-01,272.1,274.0,279.9,272.0,273.75,21288,5866128.05,911
2017-06-02,273.75,273.9,285.25,272.5,275.7,43417,12124965.75,1586
2017-06-05,275.7,275.95,278.65,271.2,272.1,22278,6123400.2,652
2017-06-06,272.1,274.45,276.0,267.5,269.0,13704,3718196.35,535
2017-06-07,269.0,273.9,273.9,267.1,269.7,13021,3522538.95,468
2017-06-08,269.7,269.0,270.0,266.35,267.95,13890,3723910.15,464
2017-06-09,267.95,267.05,274.0,266.0,267.95,13496,3642965.4,550
2017-06-12,267.95,267.05,271.0,265.3,266.35,8563,2290752.85,408
2017-06-13,266.35,266.7,270.0,259.0,259.95,21736,5740886.4,548
2017-06-14,259.95,261.6,263.95,255.0,256.7,21094,5464332.25,717
2017-06-15,256.7,251.85,256.55,251.8,252.65,16726,4251269.1,555
2017-06-16,252.65,253.0,258.0,253.0,254.35,17430,4452605.1,580
2017-06-19,254.35,256.65,258.1,250.55,251.9,11439,2907184.9,424
2017-06-20,251.9,252.95,290.75,251.05,268.25,527860,146476675.35,13359
2017-06-21,268.25,267.5,275.0,262.35,265.55,109069,29324395.4,3996
2017-06-22,265.55,267.05,271.9,258.0,260.05,45169,12010512.25,1343
2017-06-23,260.05,260.5,261.0,252.3,254.3,26378,6761745.35,1047
2017-06-27,254.3,256.1,257.5,242.5,244.5,25455,6350949.05,1251
2017-06-28,244.5,243.0,249.8,241.0,245.15,31538,7740081.65,1120
2017-06-29,245.15,247.7,251.9,244.15,245.4,18691,4624897.8,583
2017-06-30,245.4,242.25,248.65,241.05,242.3,18372,4487255.9,624
2017-07-03,242.3,240.05,255.7,239.3,254.1,41762,10530851.35,1518
2017-07-04,254.1,254.1,272.5,254.1,262.75,102724,27189930.8,3382
2017-07-05,262.75,264.75,265.45,258.1,261.15,22288,5824339.45,857
2017-07-06,261.15,263.0,268.4,261.0,265.1,23712,6286904.5,985
2017-07-07,265.1,264.65,277.3,258.7,270.75,126051,34031665.25,2803
2017-07-10,270.75,271.6,290.0,268.0,275.2,34525,9488687.6,812
2017-07-11,275.2,276.8,277.0,268.3,269.5,24545,6695438.95,753
2017-07-12,269.5,271.6,271.6,267.0,268.55,9398,2525157.15,341
2017-07-13,268.55,271.0,274.95,260.0,264.5,27415,7348913.0,888
2017-07-14,264.5,267.0,291.9,267.0,273.5,409378,115554213.2,8471
2017-07-17,273.5,275.5,281.8,268.15,276.6,74599,20582511.15,2788
2017-07-18,276.6,277.0,279.9,270.1,271.85,58814,16170358.8,2035
2017-07-19,271.85,274.7,283.0,274.25,279.9,112722,31601076.85,2858
2017-07-20,279.9,268.0,275.0,265.0,266.2,83546,22509621.4,1963
2017-07-21,266.2,270.0,276.0,266.0,267.9,55631,15058826.05,2208
2017-07-24,267.9,268.9,271.7,258.0,261.7,33122,8748563.15,1197
2017-07-25,261.7,264.55,264.55,256.1,258.1,17867,4642795.8,785
2017-07-26,258.1,260.8,263.7,256.75,257.8,23962,6213257.6,684
2017-07-27,257.8,256.4,264.8,250.35,253.65,34547,8902858.55,922
2017-07-28,253.65,255.75,261.7,251.4,252.7,22023,5645239.3,710
2017-07-31,252.7,253.5,260.0,250.15,250.8,23105,5862675.3,700
2017-08-01,250.8,252.0,256.0,246.7,248.9,19284,4831691.95,577
2017-08-02,248.9,250.0,253.95,245.3,246.9,17814,4435391.2,480
2017-08-03,246.9,247.3,247.8,240.5,241.25,22079,5389578.8,596
2017-08-04,241.25,243.1,247.95,240.05,240.7,16398,3979306.6,518
2017-08-07,240.7,241.3,246.4,238.3,242.0,10400,2521567.15,310
2017-08-08,242.0,241.35,243.0,231.55,234.9,21991,5193233.25,855
2017-08-09,234.9,236.9,236.9,224.75,225.9,21012,4794475.55,792
2017-08-10,225.9,224.15,224.15,210.0,212.1,21430,4650643.35,690
2017-08-11,212.1,203.0,218.0,199.05,209.2,90465,19053598.6,1468
2017-08-14,209.2,214.4,226.2,213.95,221.35,25491,5641860.95,1115
2017-08-16,221.35,222.55,225.65,219.0,222.4,14755,3287986.3,647
2017-08-17,222.4,222.55,236.0,222.55,227.65,28214,6509140.6,1041
2017-08-18,227.65,225.15,225.15,218.0,220.05,15715,3470007.0,604
2017-08-21,220.05,220.0,224.9,214.05,216.2,20629,4504658.85,742
2017-08-22,216.2,215.8,218.15,208.0,211.95,17685,3757418.6,631
2017-08-23,211.95,212.6,219.0,211.55,213.85,25409,5467468.95,1173
2017-08-24,213.85,215.15,224.5,214.35,216.35,23337,5081594.55,1433
2017-08-28,216.35,218.5,222.0,213.1,214.6,12029,2612421.95,536
2017-08-29,214.6,210.6,220.0,210.6,216.15,15699,3400285.9,487
2017-08-30,216.15,218.5,220.0,209.1,211.1,35400,7551890.85,673
2017-08-31,211.1,211.65,216.5,210.0,214.2,54763,11733839.5,943
2017-09-01,214.2,218.0,234.7,217.5,222.7,284879,63911694.1,6131
2017-09-04,222.7,223.8,223.8,214.0,216.2,27297,5974917.85,937
2017-09-05,216.2,217.3,227.9,215.05,218.65,55059,12219594.4,1950
2017-09-06,218.65,217.0,219.9,214.6,216.8,46379,10045097.9,912
2017-09-07,216.8,217.05,219.0,211.9,213.45,24795,5354933.5,565
2017-09-08,213.45,214.55,217.0,210.1,211.15,34662,7371939.15,588
2017-09-11,211.15,214.0,220.0,210.0,216.1,47813,10362861.05,1926
2017-09-12,216.1,217.0,226.85,216.1,221.05,112716,25146832.4,2505
2017-09-13,221.05,220.0,231.0,219.95,222.15,90986,20499806.45,2171
2017-09-14,222.15,220.1,230.0,217.65,220.6,25249,5639061.0,779
2017-09-15,220.6,219.95,227.0,215.75,221.3,36937,8172102.15,1192
2017-09-18,221.3,221.5,231.0,221.15,222.55,42580,9611856.45,1336
2017-09-19,222.55,224.0,228.0,222.1,224.1,28420,6387337.85,674
2017-09-20,224.1,220.15,228.0,220.0,220.75,29140,6502820.15,824
2017-09-21,220.75,219.75,222.5,214.25,217.3,20113,4375186.6,589
2017-09-22,217.3,217.0,217.0,211.0,211.75,19295,4112485.1,476
2017-09-25,211.75,212.85,212.85,203.25,205.35,20413,4187392.45,562
2017-09-26,205.35,205.4,208.0,203.0,207.0,17690,3652147.7,417
2017-09-27,207.0,206.55,214.7,201.0,202.65,25460,5247664.7,728
2017-09-28,202.65,204.05,210.75,201.65,203.5,13914,2850868.2,705
2017-09-29,203.5,203.1,208.4,202.0,202.9,15515,3166456.75,419
2017-10-03,202.9,204.25,208.9,204.0,204.35,9568,1967116.2,241
2017-10-04,204.35,204.6,209.4,201.5,203.2,18501,3780069.6,539
2017-10-05,203.2,203.2,218.7,203.2,212.95,71310,15148577.75,1859
2017-10-06,212.95,212.9,223.0,212.9,219.8,89591,19641501.3,2082
2017-10-09,219.8,221.0,224.9,218.0,221.7,47891,10575243.25,915
2017-10-10,221.7,221.7,233.45,219.5,226.75,82633,18814647.55,3020
2017-10-11,226.75,226.75,244.0,226.75,228.75,119533,28220327.0,3097
2017-10-12,228.75,229.85,238.9,229.85,231.4,36866,8597844.9,1082
2017-10-13,231.4,233.0,233.95,228.5,229.55,19659,4540438.8,496
2017-10-16,229.55,229.45,233.9,228.2,230.45,23637,5456672.55,408
2017-10-17,230.45,229.55,232.15,221.3,225.05,16638,3782343.25,519
2017-10-18,225.05,223.3,231.0,221.0,224.5,20067,4525822.1,778
2017-10-19,224.5,226.95,229.05,224.5,228.25,13220,3012385.15,176
2017-10-23,228.25,229.0,229.8,219.55,221.65,18832,4203167.45,594
2017-10-24,221.65,219.5,227.9,219.0,224.95,21978,4928248.95,634
2017-10-25,224.95,225.6,230.8,225.0,226.1,19345,4394309.1,546
2017-10-26,226.1,225.9,239.0,225.9,231.55,51577,12001837.85,1199
2017-10-27,231.55,233.75,248.0,233.65,239.65,116640,28207351.85,2644
2017-10-30,239.65,237.9,237.9,223.15,224.35,67339,15222558.6,1615
2017-10-31,224.35,226.0,226.0,218.5,220.7,25007,5565240.55,731
2017-11-01,220.7,221.3,225.8,217.05,218.5,28401,6297598.85,825
2017-11-02,218.5,220.4,224.0,217.5,218.95,31271,6882885.4,794
2017-11-03,218.95,219.0,223.5,216.95,218.05,19045,4188390.55,702
2017-11-06,218.05,218.05,220.45,216.45,217.5,15174,3313307.15,457
2017-11-07,217.5,218.6,220.75,213.35,214.7,11254,2440928.45,394
2017-11-08,214.7,216.7,216.7,195.4,205.0,28621,5934358.45,900
2017-11-09,205.0,208.7,211.0,206.8,209.5,14909,3120482.05,432
2017-11-10,209.5,210.0,221.7,210.0,216.4,35840,7752478.65,981
2017-11-13,216.4,216.4,224.0,216.4,217.7,17415,3817100.9,543
2017-11-14,217.7,218.5,218.75,212.4,213.75,8753,1883422.35,350
2017-11-15,213.75,212.0,216.0,207.9,208.9,9377,1984122.4,477
2017-11-16,208.9,212.0,214.25,209.65,211.9,9102,1929792.65,468
2017-11-17,211.9,211.9,227.8,211.9,222.3,86288,19203959.5,2129
2017-11-20,222.3,222.25,223.0,209.0,219.95,14242,3123002.1,442
