Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,719.7,720.0,721.0,708.25,714.8,1206555,860954988.6,22541
2017-01-03,714.8,714.95,717.45,707.15,711.75,1381976,985752925.3,20803
2017-01-04,711.75,713.0,713.0,692.5,695.6,4258608,2980999294.8,70201
2017-01-05,695.6,702.85,702.85,696.2,698.95,2180203,1525185955.3,48345
2017-01-06,698.95,698.0,718.5,693.35,716.85,3664687,2588591567.05,45308
2017-01-09,716.85,718.0,724.25,707.1,709.25,1540326,1102083108.55,32211
2017-01-10,709.25,711.1,715.7,710.0,712.65,867005,617901322.75,26496
2017-01-11,712.65,715.0,733.8,708.0,728.4,3577518,2577848086.25,84154
2017-01-12,728.4,732.45,732.45,723.05,727.95,1106785,806301013.35,19428
2017-01-13,727.95,731.5,735.6,724.4,727.75,1006051,734114521.75,19967
2017-01-16,727.75,726.1,736.2,723.0,731.2,741938,541527195.3,16553
2017-01-17,731.2,732.8,735.0,724.3,726.0,681333,496183318.9,22827
2017-01-18,726.0,725.1,741.75,725.1,731.1,1125851,826755823.8,30831
2017-01-19,731.1,731.0,737.0,727.0,728.2,915362,669376057.65,28166
2017-01-20,728.2,732.75,733.15,718.0,723.05,1115048,808664816.25,37264
2017-01-23,723.05,722.5,739.9,722.0,732.75,1457199,1065575656.15,40955
2017-01-24,732.75,737.5,745.0,734.1,743.35,1206679,893711742.0,17448
2017-01-25,743.35,747.5,800.9,745.05,795.2,8772524,6874097846.45,129240
2017-01-27,795.2,798.0,802.1,780.45,785.05,3709367,2928507298.25,89142
2017-01-30,785.05,786.0,790.0,771.1,775.6,2183478,1703738403.3,24641
2017-01-31,775.6,777.0,780.3,763.05,774.15,1400680,1080672932.05,27789
2017-02-01,774.15,777.5,782.95,739.15,777.05,4951867,3784488756.2,94607
2017-02-02,777.05,779.0,780.45,764.45,770.4,2022953,1564285855.15,54709
2017-02-03,770.4,769.5,777.2,760.0,765.3,1562576,1202133817.65,31316
2017-02-06,765.3,770.0,773.75,765.3,766.7,1967556,1512803157.65,53110
2017-02-07,766.7,769.0,784.95,768.5,773.35,2996111,2327792340.25,41285
2017-02-08,773.35,774.4,776.2,762.0,767.6,2607668,2007050494.55,39564
2017-02-09,767.6,769.9,779.5,765.0,769.65,1306279,1007647661.85,27883
2017-02-10,769.65,771.1,786.3,771.1,778.9,1871296,1457687022.7,47519
2017-02-13,778.9,779.8,796.0,779.5,793.15,1804668,1428193562.35,37181
2017-02-14,793.15,793.9,796.35,785.95,790.3,1338969,1058921872.55,28368
2017-02-15,790.3,791.2,795.0,781.75,784.3,1360744,1074495163.35,27997
2017-02-16,784.3,785.0,798.5,780.25,792.5,2256205,1788243307.4,35720
2017-02-17,792.5,805.0,811.0,790.1,796.5,4259173,3402412357.35,61234
2017-02-20,796.5,801.9,805.0,795.0,797.05,847401,677025151.75,34734
2017-02-21,797.05,799.15,800.6,791.1,797.9,632134,502859507.8,16496
2017-02-22,797.9,799.8,804.45,793.75,795.85,1106511,884038488.8,32293
2017-02-23,795.85,798.5,814.4,792.5,810.95,4575547,3693421781.0,62005
2017-02-27,810.95,807.5,812.5,795.55,800.5,2381678,1910517293.1,44534
2017-02-28,800.5,801.9,808.45,798.8,802.1,972189,780236863.25,20354
2017-03-01,802.1,802.1,827.2,802.05,824.15,2968583,2427629212.0,40174
2017-03-02,824.15,827.5,828.7,812.75,816.15,4455373,3661153166.2,43275
2017-03-03,816.15,816.0,817.0,803.0,809.5,1317035,1065455465.2,62620
2017-03-06,809.5,812.9,822.2,811.1,818.95,1439574,1177970472.6,19760
2017-03-07,818.95,820.0,821.0,814.0,817.0,949754,777428038.2,25279
2017-03-08,817.0,823.05,838.95,819.2,824.9,3815129,3158375533.05,62716
2017-03-09,824.9,826.0,827.8,820.0,825.45,1597549,1315863637.35,25223
2017-03-10,825.45,835.05,838.9,826.15,828.9,1352797,1122839241.0,23733
2017-03-14,828.9,843.0,851.45,832.0,836.15,3116342,2608026043.25,55319
2017-03-15,836.15,837.0,848.45,835.15,844.15,1718310,1447814545.85,39274
2017-03-16,844.15,849.2,856.35,849.2,851.4,1261745,1075666091.8,33037
2017-03-17,851.4,852.95,854.45,842.55,848.25,4646494,3940196484.9,51846
2017-03-20,848.25,855.0,862.0,848.0,854.6,1592288,1361145779.45,41814
2017-03-21,854.6,855.0,861.4,850.95,859.55,1458329,1252654383.65,25450
2017-03-22,859.55,853.0,864.9,848.5,862.2,9354327,8059388108.85,45268
2017-03-23,862.2,863.15,873.5,862.05,868.15,1610154,1397520471.85,62123
2017-03-24,868.15,871.0,886.4,863.9,879.35,2280029,1991272845.5,32600
2017-03-27,879.35,879.35,880.0,858.7,871.15,1999306,1734685772.0,57207
2017-03-28,871.15,877.5,879.95,856.0,859.45,3049130,2646935145.1,53692
2017-03-29,859.45,864.1,864.75,852.55,857.6,2483787,2126642392.0,50493
2017-03-30,857.6,862.5,871.95,859.35,865.15,3534385,3059369281.35,82190
2017-03-31,865.15,865.0,880.0,862.05,872.2,2586431,2259116894.2,90040
2017-04-03,872.2,877.0,879.8,871.0,875.95,1365426,1196237489.65,36909
2017-04-05,875.95,880.0,896.6,877.6,889.85,2006328,1780746338.85,55746
2017-04-06,889.85,885.0,897.5,883.7,894.35,1988350,1769648606.7,26845
2017-04-07,894.35,890.0,893.2,870.0,873.1,1612677,1418380354.55,67385
2017-04-10,873.1,877.7,879.9,867.5,877.35,945515,826345436.85,19490
2017-04-11,877.35,872.7,889.0,871.1,881.05,1400544,1233411760.75,31596
2017-04-12,881.05,881.0,883.45,873.6,879.4,1088987,956744422.35,23321
2017-04-13,879.4,879.0,884.0,872.5,879.5,937868,825405400.1,44105
2017-04-17,879.5,885.0,889.75,875.0,887.6,1232806,1091321613.1,35704
2017-04-18,887.6,890.0,892.7,876.6,881.65,1266297,1120572272.75,19091
2017-04-19,881.65,879.1,881.6,867.2,875.6,898264,785137560.35,27501
2017-04-20,875.6,876.6,891.45,876.1,889.15,998075,884634140.4,30023
2017-04-21,889.15,890.0,897.5,878.5,880.4,1260745,1115808174.5,26891
2017-04-24,880.4,878.0,898.45,876.3,895.75,3128325,2781678197.6,52020
2017-04-25,895.75,899.0,904.0,885.1,898.0,2496583,2231762756.5,47563
2017-04-26,898.0,899.7,921.0,895.55,900.35,3611321,3269764733.75,93343
2017-04-27,900.35,907.95,919.35,890.0,916.65,7060437,6415283072.1,103178
2017-04-28,916.65,917.5,919.9,901.0,901.95,1236662,1119191151.8,38229
2017-05-02,901.95,902.05,919.9,901.0,917.9,2570563,2344571096.45,37792
2017-05-03,917.9,920.05,922.0,913.8,916.95,1012552,928900972.5,41098
2017-05-04,916.95,917.25,918.0,900.45,905.45,1503426,1361196098.75,39601
2017-05-05,905.45,908.95,912.0,900.25,908.3,2195801,1995417680.05,46525
2017-05-08,908.3,907.5,910.0,900.0,907.35,1067991,967884938.8,18207
2017-05-09,907.35,910.0,911.35,905.4,906.85,583372,529763226.45,20211
2017-05-10,906.85,911.0,929.65,911.0,927.65,1940601,1792560043.6,32439
2017-05-11,927.65,933.05,940.5,930.55,936.8,2200001,2059338488.7,48680
