Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,7.3,8.1,8.1,7.0,7.5,853,6296.6,10
2017-01-03,7.5,7.45,8.1,7.15,7.4,14851,113614.95,24
2017-01-04,7.4,7.4,7.4,7.05,7.4,3775,27419.1,26
2017-01-05,7.4,7.5,7.7,7.05,7.7,5010,37192.8,28
2017-01-06,7.7,7.35,7.65,7.15,7.65,512,3671.5,8
2017-01-09,7.65,7.4,8.1,7.2,7.5,4060,32013.35,22
2017-01-10,7.5,7.55,7.6,7.55,7.55,505,3819.35,8
2017-01-11,7.55,7.4,8.2,7.15,8.0,43467,324028.55,129
2017-01-12,8.0,7.8,8.4,7.35,8.0,15113,121122.7,42
2017-01-13,8.0,7.6,8.0,7.45,7.95,10589,82610.95,31
2017-01-16,7.95,7.75,8.0,7.1,7.65,81520,602408.45,119
2017-01-17,7.65,7.65,7.9,7.2,7.5,70632,531692.65,84
2017-01-18,7.5,7.5,7.5,7.2,7.25,13507,99658.6,37
2017-01-19,7.25,7.25,7.5,7.0,7.35,67512,488221.2,85
2017-01-20,7.35,7.1,7.45,7.05,7.1,12938,92680.25,48
2017-01-23,7.1,6.9,7.2,6.65,7.15,20800,146399.35,32
2017-01-24,7.15,7.0,7.5,6.9,7.1,17642,124291.95,61
2017-01-25,7.1,7.1,8.0,7.0,7.15,76436,567439.15,158
2017-01-27,7.15,7.05,7.45,7.05,7.4,16320,119071.55,56
2017-01-30,7.4,7.6,7.6,7.15,7.3,12129,87914.3,29
2017-01-31,7.3,7.45,7.5,7.25,7.45,9264,68774.2,24
2017-02-01,7.45,7.45,7.7,7.25,7.5,18219,135430.3,29
2017-02-02,7.5,7.9,7.9,7.4,7.5,9026,68953.5,32
2017-02-03,7.5,7.4,7.75,7.3,7.65,29173,221400.4,83
2017-02-06,7.65,7.4,8.0,7.3,7.85,14896,115959.05,65
2017-02-07,7.85,7.5,9.2,7.5,8.5,52495,431360.05,102
2017-02-08,8.5,8.0,9.15,7.6,8.4,95197,807909.2,210
2017-02-09,8.4,8.0,10.05,7.9,10.05,170127,1665571.15,328
2017-02-10,10.05,10.0,11.35,9.05,10.6,339489,3537110.85,790
2017-02-13,10.6,10.95,10.95,9.7,10.15,120027,1216140.15,117
2017-02-14,10.15,9.95,10.2,9.0,9.65,100732,984526.0,164
2017-02-15,9.65,9.05,9.6,8.8,8.85,15387,139882.8,58
2017-02-16,8.85,8.85,8.95,8.4,8.5,9964,84905.6,32
2017-02-17,8.5,8.8,8.8,8.0,8.45,45203,371961.55,121
2017-02-20,8.45,8.45,8.5,8.1,8.1,11256,93005.8,25
2017-02-21,8.1,8.0,9.7,7.85,9.5,43497,380479.2,97
2017-02-22,9.5,10.3,10.3,8.55,8.9,37830,353203.15,145
2017-02-23,8.9,8.3,9.3,8.3,8.65,17683,149273.85,82
2017-02-27,8.65,8.5,9.5,8.35,9.45,15500,140178.75,74
2017-02-28,9.45,9.35,10.1,8.5,9.1,51010,465880.8,95
2017-03-01,9.1,9.65,9.7,8.85,8.9,20211,180781.4,54
2017-03-02,8.9,8.95,9.5,8.2,8.9,37739,326683.35,110
2017-03-03,8.9,8.5,9.0,8.35,8.55,10828,94608.45,65
2017-03-06,8.55,8.6,8.65,8.1,8.45,6304,53571.55,35
2017-03-07,8.45,8.45,8.65,8.4,8.45,6252,53732.15,19
2017-03-08,8.45,8.45,8.75,8.25,8.25,14338,120145.55,54
2017-03-09,8.25,8.5,8.5,8.05,8.1,6093,49845.85,26
2017-03-10,8.1,8.1,8.5,8.1,8.1,1137,9338.4,20
2017-03-14,8.1,8.15,8.3,8.1,8.15,2895,23649.6,21
2017-03-15,8.15,8.0,8.35,7.85,8.1,7284,58418.3,44
2017-03-16,8.1,8.0,8.4,8.0,8.2,10170,82561.9,44
2017-03-17,8.2,8.1,8.3,8.0,8.0,5220,42053.0,31
2017-03-20,8.0,7.9,8.2,7.65,8.1,171369,1374692.45,71
2017-03-21,8.1,8.0,8.55,7.4,8.35,108984,878863.45,156
2017-03-22,8.35,8.3,9.1,8.0,8.8,79346,694741.0,85
2017-03-23,8.8,9.0,10.55,8.5,10.55,513110,5231344.45,413
2017-03-24,10.55,10.65,11.8,10.65,10.95,288183,3237183.2,917
2017-03-27,10.95,11.6,11.6,10.8,10.95,235344,2590043.25,380
2017-03-28,10.95,11.0,12.2,11.0,11.35,106964,1220290.75,277
2017-03-29,11.35,11.5,12.35,11.3,11.85,228999,2697799.75,532
2017-03-30,11.85,11.3,11.9,11.2,11.35,31633,367040.6,86
2017-03-31,11.35,11.25,12.05,11.25,11.95,90844,1071037.2,134
2017-04-03,11.95,11.8,11.95,11.5,11.75,25951,304025.15,82
2017-04-05,11.75,11.8,12.0,11.3,11.55,66511,775945.9,111
2017-04-06,11.55,11.5,11.85,11.3,11.45,52409,608474.3,124
2017-04-07,11.45,10.5,11.9,10.5,11.15,36806,413649.95,109
2017-04-10,11.15,10.9,11.6,10.9,11.2,62641,708363.75,100
2017-04-11,11.2,11.5,12.0,11.5,11.8,73640,866594.0,134
2017-04-12,11.8,11.3,11.7,11.1,11.3,7140,81292.55,37
2017-04-13,11.3,11.2,11.65,10.65,11.05,26608,293836.4,63
2017-04-17,11.05,11.05,11.25,10.9,11.05,29365,323624.8,55
2017-04-18,11.05,11.9,11.9,10.3,10.5,32263,350855.05,80
2017-04-19,10.5,10.3,10.95,10.3,10.7,6479,68315.5,35
2017-04-20,10.7,11.2,11.2,10.35,10.7,20712,216025.8,47
2017-04-21,10.7,10.7,11.25,10.15,10.15,20602,211920.75,67
2017-04-24,10.15,10.05,10.6,10.0,10.25,5727,58549.65,44
2017-04-25,10.25,10.0,10.5,10.0,10.25,24149,245129.35,108
2017-04-26,10.25,10.3,10.3,9.5,9.8,30691,301183.7,94
2017-04-27,9.8,9.8,10.25,9.55,10.1,8535,85101.5,45
2017-04-28,10.1,9.25,10.1,9.25,9.75,15843,155779.3,66
2017-05-02,9.75,10.35,10.35,9.3,9.9,43030,423327.15,119
2017-05-03,9.9,9.5,10.4,9.5,9.75,21430,208775.2,59
2017-05-04,9.75,9.7,10.0,9.55,10.0,10192,101133.8,33
2017-05-05,10.0,10.0,10.2,9.6,9.95,13303,132556.6,65
2017-05-08,9.95,9.3,9.9,9.3,9.65,4454,42993.7,24
2017-05-09,9.65,9.65,10.25,9.5,9.7,7703,74568.85,56
2017-05-10,9.7,9.5,10.0,9.05,9.9,35938,346557.75,122
2017-05-11,9.9,10.15,10.85,10.0,10.85,57196,611484.3,113
2017-05-12,10.85,11.05,11.8,10.15,10.25,37097,395672.2,89
2017-05-15,10.25,10.3,11.25,10.3,11.1,123326,1361443.0,184
2017-05-16,11.1,11.65,11.65,10.35,10.6,32088,344481.95,115
2017-05-17,10.6,10.55,10.85,10.35,10.35,9081,94580.2,48
2017-05-18,10.35,10.35,11.35,9.4,10.0,77267,813835.75,141
2017-05-19,10.0,10.3,10.3,9.05,9.45,56755,540365.0,196
2017-05-22,9.45,9.55,9.85,9.1,9.25,30376,283719.95,73
2017-05-23,9.25,9.45,9.45,8.6,9.2,24119,216809.25,95
2017-05-24,9.2,9.8,9.8,8.6,9.05,9797,88910.7,48
2017-05-25,9.05,9.25,9.35,8.85,8.85,18741,167617.9,50
2017-05-26,8.85,8.35,9.2,8.35,9.0,40634,355859.7,60
2017-05-29,9.0,8.75,9.0,8.75,9.0,9426,83978.45,24
2017-05-30,9.0,8.8,9.05,8.65,8.7,37122,332883.5,26
2017-05-31,8.7,8.7,9.1,8.7,8.85,10949,96794.3,44
2017-06-01,8.85,8.9,9.45,8.75,8.9,18638,167368.5,46
2017-06-02,8.9,9.2,9.2,8.8,8.8,3353,29798.7,23
2017-06-05,8.8,8.7,9.25,8.65,9.05,2448,22106.6,37
2017-06-06,9.05,9.0,9.0,8.7,8.75,6286,55405.3,31
2017-06-07,8.75,9.0,9.45,8.7,9.35,21855,200073.85,62
2017-06-08,9.35,9.45,9.45,8.95,9.0,4838,43942.5,26
2017-06-09,9.0,9.0,9.3,9.0,9.05,5476,50362.55,18
2017-06-12,9.05,9.35,9.35,9.0,9.0,4549,41542.2,23
2017-06-13,9.0,9.3,9.35,9.05,9.1,8883,82328.6,25
2017-06-14,9.1,9.0,9.1,9.0,9.1,1000,9008.7,7
2017-06-15,9.1,8.85,9.25,8.85,9.0,7171,65455.75,43
2017-06-16,9.0,9.45,9.9,9.1,9.1,9375,88238.25,54
2017-06-19,9.1,9.2,9.35,8.95,9.0,13561,122639.9,52
2017-06-20,9.0,8.95,9.2,8.5,8.9,25071,222169.95,33
2017-06-21,8.9,8.9,8.9,8.6,8.6,16637,145960.5,29
2017-06-22,8.6,8.6,9.1,8.6,8.8,11258,99206.45,34
2017-06-23,8.8,8.6,8.9,8.4,8.5,5690,48958.7,29
2017-06-27,8.5,8.25,9.35,8.25,9.05,47560,427124.85,122
2017-06-28,9.05,9.1,9.3,8.8,8.9,22022,200082.05,57
2017-06-29,8.9,9.1,9.25,8.85,9.05,16108,147018.95,47
2017-06-30,9.05,8.9,10.85,8.9,10.45,92391,980802.55,185
2017-07-03,10.45,10.45,10.5,9.4,10.05,7147,71496.25,63
2017-07-04,10.05,10.2,10.2,9.25,9.95,31620,314106.1,91
2017-07-05,9.95,9.8,9.85,9.55,9.8,11024,106743.55,42
2017-07-06,9.8,9.8,11.75,9.55,11.75,296185,3447028.8,308
2017-07-07,11.75,11.9,12.65,10.45,11.15,127947,1457897.55,431
2017-07-10,11.15,12.8,13.3,11.0,12.75,172704,2153513.6,287
2017-07-11,12.75,13.0,13.0,11.8,12.0,70045,860540.45,259
2017-07-12,12.0,11.9,13.0,11.3,11.9,21854,258256.3,138
2017-07-13,11.9,11.95,12.35,11.65,11.75,22414,265568.65,99
2017-07-14,11.75,11.9,12.0,11.1,11.25,50555,571037.7,140
2017-07-17,11.25,11.0,11.3,10.95,11.15,33907,375559.55,67
2017-07-18,11.15,11.3,12.0,10.75,11.3,22969,261295.8,98
2017-07-19,11.3,11.85,11.85,11.0,11.1,9877,111002.85,46
2017-07-20,11.1,11.5,11.55,10.65,10.95,10551,115632.5,58
2017-07-21,10.95,11.0,11.0,10.65,10.75,17571,190314.75,100
2017-07-24,10.75,10.6,10.75,9.2,10.35,88565,892510.1,276
2017-07-25,10.35,10.4,10.45,9.5,10.1,17252,172208.7,127
2017-07-26,10.1,9.9,10.4,9.4,10.25,13231,132712.65,93
2017-07-27,10.25,10.25,10.5,9.7,9.9,20149,200331.35,100
2017-07-28,9.9,9.8,11.45,9.8,10.7,27113,286657.8,96
2017-07-31,10.7,10.3,12.8,10.2,12.5,312144,3862657.7,738
2017-08-01,12.5,12.8,14.0,12.5,12.85,468401,6144685.15,1092
2017-08-02,12.85,13.1,15.0,11.0,11.3,199463,2480184.7,532
2017-08-03,11.3,12.0,12.0,11.1,11.3,19816,229055.55,83
2017-08-04,11.3,10.7,11.7,10.65,11.45,11199,124614.2,72
2017-08-07,11.45,11.5,11.5,10.5,10.6,36500,395538.0,87
2017-08-08,10.6,10.95,11.0,10.5,10.7,13507,144661.3,63
2017-08-09,10.7,10.55,10.75,10.5,10.7,42684,451590.0,64
2017-08-10,10.7,10.5,10.9,10.2,10.5,66079,696901.6,82
2017-08-11,10.5,10.0,10.6,9.5,10.3,20943,211060.3,78
2017-08-14,10.3,10.75,10.9,9.75,10.9,10663,113061.9,62
2017-08-16,10.9,10.4,10.6,10.3,10.55,3733,39114.45,26
2017-08-17,10.55,10.9,11.0,10.5,10.75,6208,66541.0,29
2017-08-18,10.75,10.8,10.8,10.0,10.2,23055,235687.25,56
2017-08-21,10.2,10.1,10.5,10.1,10.15,3960,40210.1,16
2017-08-22,10.15,10.2,10.55,10.15,10.15,3300,33511.65,22
2017-08-23,10.15,10.2,10.55,10.15,10.25,9208,93762.5,25
2017-08-24,10.25,10.45,11.8,10.4,11.25,26186,287948.4,110
2017-08-28,11.25,11.3,12.0,11.25,11.3,15071,171584.85,75
2017-08-29,11.3,11.35,11.35,10.8,11.1,1610,17783.15,22
2017-08-30,11.1,11.45,11.55,11.0,11.45,16245,185058.8,113
2017-08-31,11.45,11.15,13.45,10.6,12.45,231096,2902106.25,725
2017-09-01,12.45,12.45,14.2,11.65,13.3,255943,3419070.1,683
2017-09-04,13.3,14.05,15.35,12.7,14.1,759738,11089497.6,1394
2017-09-05,14.1,14.2,14.45,12.4,12.95,105748,1406869.85,428
2017-09-06,12.95,12.1,13.5,11.7,12.9,125377,1605210.4,312
2017-09-07,12.9,13.15,14.5,13.0,13.3,278416,3796701.65,499
2017-09-08,13.3,14.0,14.45,13.0,13.25,45062,608347.85,191
2017-09-11,13.25,12.5,14.45,12.5,13.5,122325,1663015.3,313
2017-09-12,13.5,13.5,14.2,13.0,13.15,85238,1160647.0,254
2017-09-13,13.15,13.0,13.55,12.65,12.7,34387,443046.3,183
2017-09-14,12.7,12.9,13.25,12.05,12.25,45542,575121.25,180
2017-09-15,12.25,12.9,13.5,12.25,13.05,39253,510459.0,125
2017-09-18,13.05,13.85,13.85,12.6,13.1,46336,609604.15,216
2017-09-19,13.1,13.3,14.95,12.8,13.6,209366,2940726.05,468
2017-09-20,13.6,13.95,15.5,13.85,14.1,291871,4249145.65,906
2017-09-21,14.1,14.05,14.35,13.3,14.2,66609,918432.05,336
2017-09-22,14.2,14.15,14.15,12.85,12.9,65094,856920.15,243
2017-09-25,12.9,13.8,13.8,12.5,12.9,20001,256974.4,125
2017-09-26,12.9,13.6,13.6,12.6,13.0,19483,248766.6,105
2017-09-27,13.0,13.2,13.8,12.6,12.6,34650,446958.6,163
2017-09-28,12.6,12.6,13.3,12.6,13.05,20835,273809.85,87
2017-09-29,13.05,13.1,13.5,12.95,13.0,28707,376780.4,90
2017-10-03,13.0,13.45,13.7,12.8,13.2,24349,325863.1,95
2017-10-04,13.2,12.9,13.2,12.65,12.75,61642,800264.7,114
2017-10-05,12.75,12.75,13.1,12.65,12.85,38673,496540.75,90
2017-10-06,12.85,12.5,13.1,12.35,12.65,26561,338197.25,100
2017-10-09,12.65,12.35,12.7,12.1,12.2,89380,1107035.8,191
2017-10-10,12.2,12.8,12.8,12.3,12.4,6878,86508.75,23
2017-10-11,12.4,12.4,13.0,12.15,12.25,30239,371082.95,72
2017-10-12,12.25,12.0,12.35,12.0,12.25,9055,110819.4,40
2017-10-13,12.25,12.25,12.4,12.0,12.25,17462,213752.4,72
2017-10-16,12.25,12.0,12.35,11.6,11.8,45588,542980.55,153
2017-10-17,11.8,11.85,12.2,11.75,11.8,12195,146824.45,45
2017-10-18,11.8,12.2,12.75,12.0,12.2,64773,790161.35,157
2017-10-19,12.2,12.3,12.75,12.15,12.5,8745,109674.05,34
2017-10-23,12.5,12.5,12.5,12.05,12.15,24995,303594.05,61
2017-10-24,12.15,12.05,12.15,12.0,12.05,8158,98406.75,43
2017-10-25,12.05,12.05,12.2,11.4,11.95,14480,173680.2,121
2017-10-26,11.95,12.5,13.45,11.75,13.05,85435,1093311.2,310
2017-10-27,13.05,13.05,13.6,13.0,13.4,97086,1292320.7,320
2017-10-30,13.4,13.85,15.9,13.5,14.65,404632,6046887.25,872
2017-10-31,14.65,15.25,15.25,14.7,14.85,92491,1385336.3,371
2017-11-01,14.85,15.1,15.4,14.4,14.5,129399,1904292.25,369
2017-11-02,14.5,15.25,15.25,13.55,13.85,46625,667838.1,249
2017-11-03,13.85,13.85,15.25,13.05,14.45,76853,1119635.95,347
2017-11-06,14.45,15.1,15.1,14.1,14.3,29366,424566.5,136
2017-11-07,14.3,14.1,14.65,13.5,13.55,40605,558981.85,205
2017-11-08,13.55,13.6,14.4,13.5,14.0,33911,476584.95,190
2017-11-09,14.0,14.45,14.45,13.65,13.9,11128,155212.0,109
2017-11-10,13.9,14.4,14.45,13.8,13.9,35165,497438.7,133
2017-11-13,13.9,13.9,14.4,13.75,14.0,49384,694851.85,199
2017-11-14,14.0,14.35,14.35,13.75,13.95,117647,1660454.15,212
2017-11-15,13.95,14.15,14.15,13.75,13.8,33193,458684.55,91
2017-11-16,13.8,13.8,14.1,13.35,13.55,16918,232190.5,106
2017-11-17,13.55,14.0,14.4,13.65,14.25,85567,1219159.2,145
2017-11-20,14.25,14.2,14.4,13.45,13.55,121683,1677536.85,238
2017-11-21,13.55,13.1,13.85,13.1,13.5,36470,495567.95,120
2017-11-22,13.5,13.3,13.7,13.1,13.4,25289,337298.9,110
2017-11-23,13.4,13.65,14.1,13.5,13.55,33326,458875.55,123
2017-11-24,13.55,13.5,14.2,13.4,14.05,60932,842835.65,229
2017-11-27,14.05,14.4,14.4,13.2,13.5,102024,1395856.05,217
2017-11-28,13.5,13.7,15.3,13.7,14.4,334374,4871400.8,553
2017-11-29,14.4,14.4,17.25,13.6,16.2,584572,9663004.4,1172
2017-11-30,16.2,16.2,17.75,15.1,16.45,277222,4638556.25,817
2017-12-01,16.45,16.9,17.5,16.25,16.45,182901,3076109.0,350
2017-12-04,16.45,17.2,17.2,15.2,15.35,55866,885527.65,259
2017-12-05,15.35,15.0,17.1,14.5,15.05,167488,2637349.85,705
2017-12-06,15.05,15.9,16.05,15.0,15.05,66183,1012708.55,213
2017-12-07,15.05,15.0,15.5,15.0,15.1,33549,508445.25,94
2017-12-08,15.1,15.2,17.15,15.15,16.35,326541,5341980.7,740
2017-12-11,16.35,16.8,18.4,16.4,16.95,583357,10227787.3,1196
2017-12-12,16.95,17.15,17.35,16.15,16.65,93032,1571996.95,287
2017-12-13,16.65,17.0,17.3,16.5,16.95,171624,2895642.1,528
2017-12-14,16.95,16.95,17.05,16.3,16.45,20296,336235.4,123
2017-12-15,16.45,17.4,17.7,16.5,17.4,169998,2911906.5,300
2017-12-18,17.4,18.2,18.85,16.0,18.0,228431,4106137.95,581
2017-12-19,18.0,18.5,19.3,18.1,18.5,367400,6818728.65,733
2017-12-20,18.5,18.85,19.95,18.15,19.6,290191,5541431.9,638
2017-12-21,19.6,20.25,20.95,19.5,20.0,327205,6596005.0,813
2017-12-22,20.0,20.9,21.05,20.3,20.8,158874,3296050.15,593
2017-12-26,20.8,21.45,21.45,18.35,19.6,203231,3986914.65,805
2017-12-27,19.6,20.6,20.6,18.75,18.95,186325,3599025.85,562
2017-12-28,18.95,19.6,19.6,18.9,19.2,58717,1124206.0,243
2017-12-29,19.2,19.6,21.45,18.75,20.55,449716,9135414.15,1007
2018-01-01,20.55,21.9,22.05,20.75,21.3,276038,5900888.0,794
2018-01-02,7.5,7.9,7.9,7.35,7.4,2871,21230.35,21
2018-01-03,20.45,21.2,22.6,19.95,21.65,272444,5798753.5,795
2018-01-04,21.65,22.0,23.15,21.3,21.6,232358,5192892.85,796
