Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,28.9,30.45,31.6,30.45,31.1,90458,2789652.0,622
2017-01-03,31.1,31.0,31.0,30.05,30.45,28444,868812.85,322
2017-01-04,30.45,31.9,33.7,31.25,31.95,102137,3277961.9,722
2017-01-05,31.95,31.8,31.95,30.6,30.85,36596,1135301.35,397
2017-01-06,30.85,31.35,31.5,30.65,30.85,32602,1013131.2,365
2017-01-09,30.85,31.9,31.9,30.45,30.9,15271,471235.95,141
2017-01-10,30.9,30.55,31.25,30.55,31.0,8415,260634.15,102
2017-01-11,31.0,30.35,31.4,30.35,30.8,19949,618815.15,152
2017-01-12,30.8,31.2,31.2,30.2,30.3,12177,371857.25,119
2017-01-13,30.3,30.0,31.1,30.0,30.2,7517,227616.25,77
2017-01-16,30.2,30.75,30.75,30.0,30.05,12349,372948.75,60
2017-01-17,30.05,30.7,32.25,30.7,31.3,60709,1920132.3,538
2017-01-18,31.3,31.8,32.0,30.25,30.5,34389,1077158.75,138
2017-01-19,30.5,31.3,31.3,30.05,30.25,10879,329809.3,74
2017-01-20,30.25,30.35,30.6,29.6,29.75,21057,630793.9,106
2017-01-23,29.75,29.8,32.0,29.8,30.45,7133,219213.9,149
2017-01-24,30.45,30.45,31.1,29.7,30.95,32859,1000332.45,264
2017-01-25,30.95,30.5,31.2,30.5,30.9,9229,285591.55,66
2017-01-27,30.9,30.9,32.65,30.7,31.25,90586,2892114.95,510
2017-01-30,31.25,31.7,32.5,31.3,31.7,53712,1706732.45,360
2017-01-31,31.7,32.45,32.45,31.0,31.05,23974,746656.8,117
2017-02-01,31.05,31.65,31.65,30.65,30.95,13226,410200.85,123
2017-02-02,30.95,31.0,31.3,30.8,31.1,7926,246396.55,48
2017-02-03,31.1,31.1,31.6,30.05,30.85,26737,827576.1,380
2017-02-06,30.85,32.8,33.5,31.1,31.95,188508,6097828.95,1323
2017-02-07,31.95,31.35,31.75,28.2,30.3,69604,2118522.6,497
2017-02-08,30.3,30.5,32.5,30.0,30.75,40261,1248642.5,479
2017-02-09,30.75,31.8,31.8,29.65,30.5,21938,673297.75,208
2017-02-10,30.5,30.3,30.5,29.6,29.75,22430,672417.4,237
2017-02-13,29.75,29.5,30.1,29.05,29.55,11086,328128.65,139
2017-02-14,29.55,29.9,30.2,29.0,29.1,11219,329101.7,103
2017-02-15,29.1,29.8,29.8,28.25,28.55,10399,299435.65,209
2017-02-16,28.55,28.7,29.0,28.15,28.5,8695,248484.85,103
2017-02-17,28.5,28.9,28.9,27.65,28.1,17232,486820.25,72
2017-02-20,28.1,28.65,28.85,28.15,28.5,12378,352452.95,108
2017-02-21,28.5,28.8,29.5,28.55,28.85,14189,413422.4,121
2017-02-22,28.85,30.25,32.4,30.15,30.45,168915,5251764.05,1385
2017-02-23,30.45,30.45,30.45,29.2,29.65,25504,756940.8,255
2017-02-27,29.65,30.35,31.5,29.05,30.9,72803,2234753.25,450
2017-02-28,30.9,30.8,33.3,30.7,31.65,292753,9472766.1,1803
2017-03-01,31.65,31.85,31.85,30.2,30.5,33421,1024092.65,364
2017-03-02,30.5,30.1,30.75,29.5,29.65,15156,454596.95,130
2017-03-03,29.65,29.65,30.2,29.5,29.7,8488,252863.75,81
2017-03-06,29.7,29.55,31.0,29.55,30.0,30515,922881.0,267
2017-03-07,30.0,30.45,30.7,29.5,29.65,21722,651314.75,178
2017-03-08,29.65,31.9,31.9,29.05,29.45,9576,282831.5,123
