Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-02-16,103.2,112.0,113.5,110.2,113.5,21319,2415180.95,666
2022-02-17,113.5,124.5,124.85,122.0,124.85,224953,28079830.4,466
2022-02-18,124.85,131.05,131.05,131.05,131.05,37927,4970333.35,77
2022-02-21,131.05,137.6,137.6,137.6,137.6,48636,6692313.6,33
2022-02-22,137.6,144.45,144.45,139.55,144.45,93765,13537880.15,292
2022-02-23,144.45,151.65,151.65,151.65,151.65,7399,1122058.35,21
2022-02-24,151.65,159.2,159.2,152.25,159.2,90596,14366229.75,301
2022-02-25,159.2,165.0,165.0,151.25,151.25,49856,7846644.25,516
2022-02-28,151.25,143.7,143.7,143.7,143.7,3898,560142.6,70
2022-03-02,143.7,136.55,150.85,136.55,143.15,123673,17317581.2,966
2022-03-03,143.15,136.0,146.7,136.0,136.0,38942,5410766.75,573
2022-03-04,136.0,129.2,129.2,129.2,129.2,2421,312793.2,56
2022-03-07,129.2,122.75,122.75,122.75,122.75,978,120049.5,36
2022-03-08,122.75,116.65,116.65,116.65,116.65,2554,297924.1,34
2022-03-09,116.65,110.85,110.85,110.85,110.85,1441,159734.85,67
2022-03-10,110.85,109.05,114.95,105.35,106.6,165492,17964185.4,1102
2022-03-11,106.6,110.5,111.9,103.3,111.9,21897,2418551.65,383
2022-03-14,111.9,116.9,117.45,115.3,117.45,10853,1271920.05,103
2022-03-15,117.45,123.3,123.3,123.3,123.3,6400,789120.0,32
2022-03-16,123.3,129.45,129.45,117.15,127.95,45864,5871019.05,299
2022-03-17,127.95,127.95,129.4,121.6,121.6,24733,3051984.75,317
2022-03-21,121.6,127.6,127.6,115.65,116.1,14405,1722990.35,471
2022-03-22,116.1,112.0,119.0,110.4,112.6,22722,2557664.05,412
2022-03-23,112.6,113.9,116.0,112.15,115.2,9422,1079394.85,296
2022-03-24,115.2,118.95,118.95,111.95,114.15,6945,791636.5,188
2022-03-25,114.15,114.2,115.95,112.2,113.7,4588,520101.3,137
2022-03-28,113.7,113.0,115.55,112.1,112.65,10101,1149626.85,218
2022-03-29,112.65,118.25,118.25,108.25,118.25,14331,1658284.35,221
2022-03-30,118.25,124.15,124.15,124.15,124.15,2674,331977.1,33
2022-03-31,124.15,130.35,130.35,125.25,127.15,23919,3055753.9,956
2022-04-01,127.15,127.2,131.9,125.35,128.45,10817,1379505.3,439
2022-04-04,128.45,131.05,133.5,127.25,127.6,13769,1770610.65,288
2022-04-05,127.6,127.0,127.0,122.0,122.4,9590,1186697.3,278
2022-04-06,122.4,118.1,128.5,118.1,128.5,8416,1072627.75,110
2022-04-07,128.5,135.0,141.35,135.0,141.35,38961,5472760.45,506
2022-04-08,141.35,155.45,155.45,132.1,154.15,50386,7677660.2,1287
2022-04-11,154.15,158.95,158.95,140.15,146.2,25666,3777919.25,925
2022-04-12,146.2,144.3,149.9,137.1,140.05,11665,1649815.45,664
2022-04-13,140.05,147.0,152.8,130.55,138.1,25843,3656414.9,849
2022-04-18,138.1,138.0,143.0,134.85,141.3,8334,1150511.2,371
2022-04-19,141.3,136.0,146.85,136.0,137.3,16373,2308562.4,478
2022-04-20,137.3,137.1,151.0,137.1,151.0,13574,2002567.8,417
