Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-12-22,500.0,437.0,507.9,426.0,493.35,19716936,9377714129.1,302576
2021-12-23,493.35,499.9,512.0,478.0,480.6,2173869,1066546324.65,62470
2021-12-24,480.6,484.0,489.0,466.05,470.45,951656,453540465.95,32553
2021-12-27,470.45,460.1,464.9,444.2,449.95,540067,244860050.4,20141
2021-12-28,449.95,446.25,464.5,446.25,460.25,419620,192026987.2,17505
2021-12-29,460.25,459.0,469.7,450.0,453.95,572715,262488974.5,18959
2021-12-30,453.95,451.0,462.0,450.0,452.15,166176,75584055.35,5612
2021-12-31,452.15,451.0,460.9,451.0,458.2,247933,113470177.8,13188
2022-01-03,458.2,454.5,461.8,450.05,453.6,327782,148780458.6,20139
2022-01-04,453.6,458.7,458.7,434.8,436.6,374329,165829649.8,13799
2022-01-05,436.6,437.25,448.7,428.75,439.85,360297,158575675.2,13445
2022-01-06,439.85,432.1,457.0,431.65,455.2,408705,180999417.25,11836
2022-01-07,455.2,465.0,471.1,456.55,468.25,319032,147891795.95,12180
2022-01-10,468.25,468.0,480.0,458.65,478.25,295438,139096011.55,12924
2022-01-11,478.25,484.75,498.1,478.0,494.55,606349,296815324.45,31138
2022-01-12,494.55,488.3,502.0,484.25,499.0,459370,228100217.35,21089
2022-01-13,499.0,492.2,509.8,488.9,500.95,505248,252975031.85,19419
2022-01-14,500.95,500.9,512.0,492.95,507.95,508691,256849217.5,16751
2022-01-17,507.95,545.0,609.5,545.0,605.0,5552207,3291160351.85,145779
2022-01-18,605.0,621.0,673.0,595.25,605.2,5058331,3175774964.75,177616
2022-01-19,605.2,596.0,621.7,586.0,608.1,887038,534670447.55,35933
2022-01-20,608.1,611.9,627.0,600.0,608.55,865251,531686776.1,30016
2022-01-21,608.55,606.9,619.7,591.0,601.75,384543,233685825.9,13269
2022-01-24,601.75,600.0,609.9,556.5,597.45,441786,256656887.3,17713
2022-01-25,597.45,597.0,625.0,584.0,612.9,319471,195426221.65,18306
