Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-12-30,173.49,174.0,178.0,172.04,176.92,4679,820129.9,126
2021-12-31,176.92,177.0,179.8,175.15,178.82,5338,953867.22,171
2022-01-03,178.82,179.1,181.2,179.1,180.44,9055,1633463.84,134
2022-01-04,180.44,181.0,182.5,180.5,181.55,17123,3110215.54,78
2022-01-05,181.55,183.0,183.0,179.1,181.39,40308,7297306.04,168
2022-01-06,181.39,181.3,181.3,179.0,180.15,12615,2271288.22,115
2022-01-07,180.15,180.1,180.25,178.1,179.35,2880,516894.47,105
2022-01-10,179.35,183.0,183.0,178.0,180.43,1647,296272.2,74
2022-01-11,180.43,180.01,181.5,179.25,181.27,3134,565054.34,73
2022-01-12,181.27,181.0,181.55,178.1,181.24,4789,866665.79,176
2022-01-13,181.24,181.2,183.1,181.2,182.06,3091,562958.72,79
2022-01-14,182.06,182.0,183.5,181.2,182.68,7548,1374442.7,95
2022-01-17,182.68,185.25,185.25,182.5,183.8,2281,418398.95,90
2022-01-18,183.8,186.0,186.0,181.1,181.56,2953,539348.92,136
2022-01-19,181.56,182.0,182.0,179.5,179.9,5107,919057.73,114
2022-01-20,179.9,178.02,180.89,178.02,179.96,1805,324037.93,66
2022-01-21,179.96,181.0,182.0,176.9,177.88,17896,3194664.24,145
2022-01-24,177.88,177.25,177.6,170.16,171.39,46936,8113586.57,364
2022-01-25,171.39,170.01,173.0,169.0,172.91,10342,1775569.7,128
2022-01-27,172.91,172.91,172.91,168.6,169.29,20680,3510166.7,319
2022-01-28,169.29,170.7,173.35,170.0,171.75,14849,2547876.54,110
2022-01-31,171.75,174.7,175.0,171.0,173.2,2074,358504.97,164
2022-02-01,173.2,173.2,177.0,171.0,174.35,2405,417383.85,147
2022-02-02,174.35,175.0,175.5,173.0,175.23,12130,2124865.06,69
2022-02-03,175.23,176.0,177.5,174.4,174.49,1488,260110.87,54
2022-02-04,174.49,175.5,175.5,172.25,174.08,4596,801410.32,86
2022-02-07,174.08,175.0,175.0,172.75,173.07,9757,1686468.98,95
2022-02-08,173.07,172.5,173.5,170.5,171.2,17709,3035412.46,179
2022-02-09,171.2,172.0,172.45,171.25,171.81,11850,2036438.14,27
2022-02-10,171.81,172.0,173.5,172.0,172.85,1581,273514.92,37
2022-02-11,172.85,171.65,171.65,169.02,169.45,23613,3999317.97,187
2022-02-14,169.45,167.0,167.25,164.1,164.98,13455,2231245.33,318
2022-02-15,164.98,166.0,166.75,163.0,165.27,5052,830698.77,188
2022-02-16,165.27,166.0,169.25,165.65,165.65,37682,6259716.71,55
2022-02-17,165.65,166.0,166.0,165.25,165.44,324,53670.3,31
2022-02-18,165.44,165.1,166.25,164.01,165.24,8952,1478480.09,114
2022-02-21,165.24,159.73,165.0,159.73,164.42,3569,584782.91,149
2022-02-22,164.42,160.0,161.5,157.63,160.82,10047,1612847.07,152
2022-02-23,160.82,161.0,163.5,159.5,162.14,4719,766793.59,72
2022-02-24,162.14,162.5,162.5,155.1,155.83,38218,6039787.81,419
2022-02-25,155.83,159.0,161.0,156.25,159.57,4170,667334.4,136
2022-02-28,159.57,162.0,162.0,157.75,161.4,6086,971362.98,227
2022-03-02,161.4,161.8,163.0,160.0,161.89,2046,331229.1,59
2022-03-03,161.89,159.0,163.5,157.8,161.35,1248,202151.65,78
2022-03-04,161.35,164.58,164.58,157.9,158.71,16552,2625795.18,189
2022-03-07,158.71,158.71,173.45,154.0,161.61,10840,1728491.64,185
2022-03-08,161.61,159.0,159.8,156.1,157.78,12924,2024155.96,198
2022-03-09,157.78,158.8,161.4,158.0,159.93,8031,1285713.5,86
2022-03-10,159.93,160.5,166.5,160.4,162.4,25003,4032750.8,132
2022-03-11,162.4,164.5,164.5,161.1,161.37,842,136268.43,26
2022-03-14,161.37,164.0,164.0,161.76,162.19,1610,261134.64,48
2022-03-15,162.19,162.8,162.8,159.87,160.76,3860,621336.8,90
2022-03-16,160.76,165.5,165.5,161.25,162.99,10097,1644119.21,121
2022-03-17,162.99,164.0,166.0,163.0,164.63,5135,841452.77,179
2022-03-21,164.63,167.95,167.95,164.5,165.32,2581,426916.51,104
2022-03-22,165.32,165.32,165.32,163.5,164.92,2835,466074.81,126
2022-03-23,164.92,165.8,168.8,164.5,165.04,718,118830.46,62
2022-03-24,165.04,164.5,166.4,164.3,165.21,5126,848084.34,68
2022-03-25,165.21,165.21,165.5,163.75,164.22,1888,310215.01,89
2022-03-28,164.22,164.22,165.0,162.95,163.74,2022,330401.86,63
2022-03-29,163.74,163.75,164.6,163.75,164.48,4215,692285.75,28
2022-03-30,164.48,170.0,170.0,165.0,166.43,11229,1862417.86,106
2022-03-31,166.43,171.0,171.0,166.49,167.0,3245,542684.96,167
2022-04-01,167.0,167.8,169.5,166.75,167.62,1285,215432.28,50
2022-04-04,167.62,172.5,172.5,167.67,171.16,4314,733346.99,116
2022-04-05,171.16,174.5,174.5,169.0,172.01,7671,1318665.2,125
2022-04-06,172.01,168.6,173.0,168.6,171.54,4537,781374.47,130
2022-04-07,171.54,170.1,172.44,170.1,171.29,4718,809862.51,65
2022-04-08,171.29,171.3,173.0,170.75,172.75,4218,724069.41,86
2022-04-11,172.75,189.0,189.0,170.0,173.7,1278,219732.83,91
2022-04-12,173.7,172.3,173.0,170.35,170.95,727,124487.35,84
2022-04-13,170.95,171.8,173.25,170.8,170.82,517,88632.96,47
2022-04-18,170.82,165.33,176.2,165.33,168.93,3497,593331.13,167
2022-04-19,168.93,169.8,171.0,168.0,169.59,3709,629015.63,67
2022-04-20,169.59,171.0,171.0,167.3,168.13,1589,267136.34,79
2022-04-21,168.13,169.0,169.5,168.0,168.92,3772,637016.0,38
2022-04-22,168.92,168.5,170.25,167.0,169.37,80858,13701602.23,244
2022-04-25,169.37,172.8,172.8,166.25,166.75,1313,218995.62,93
