Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,16.5,15.7,15.7,15.675,15.675,344,5392.25,8
2017-01-03,15.675,14.925,16.45,14.925,16.325,54,882.2,2
2017-01-04,16.325,15.525,17.125,15.525,17.125,11524,191858.2,27
2017-01-05,17.125,17.125,17.975,16.525,17.725,6728,111679.5,37
2017-01-06,17.725,16.875,17.725,16.85,17.2,2192,37533.45,9
2017-01-09,17.2,17.225,17.225,17.225,17.225,100,1722.5,1
2017-01-11,17.225,17.225,17.5,16.525,16.525,2400,41609.45,4
2017-01-12,16.525,16.5,16.5,16.45,16.5,1966,32438.7,8
2017-01-13,16.5,16.5,16.5,16.5,16.5,400,6600.0,2
2017-01-16,16.5,16.5,16.5,16.5,16.5,936,15444.0,1
2017-01-17,16.5,16.5,17.225,16.5,16.5,1004,16568.9,3
2017-01-18,16.5,16.8,16.975,15.675,16.975,2862,47138.85,13
2017-01-19,16.975,16.25,16.975,16.25,16.975,22,358.95,2
2017-01-20,16.975,16.25,17.425,16.25,17.075,150,2440.8,3
2017-01-23,17.075,16.3,16.3,16.3,16.3,1100,17930.0,2
2017-01-24,16.3,16.95,16.95,16.95,16.95,2,33.9,1
2017-01-25,16.95,16.125,17.175,16.125,17.15,1664,26859.2,15
2017-01-27,17.15,16.3,16.3,16.3,16.3,2,32.6,1
2017-01-30,16.3,15.5,17.0,15.5,17.0,212,3586.0,4
2017-01-31,17.0,16.95,16.95,16.95,16.95,300,5085.0,3
2017-02-02,16.95,16.125,16.125,16.125,16.125,34,548.25,5
2017-02-06,16.125,15.5,16.9,15.4,15.425,2964,48263.25,6
2017-02-07,15.425,15.55,16.175,15.55,16.175,304,4739.7,3
2017-02-08,16.175,16.5,16.95,16.5,16.95,2000,33450.0,5
2017-02-09,16.95,16.95,16.95,16.35,16.35,480,8091.6,5
2017-02-10,16.35,17.15,17.15,16.25,17.075,404,6738.45,4
2017-02-13,17.075,17.9,17.9,17.9,17.9,102,1825.8,2
2017-02-14,17.9,17.9,17.9,17.05,17.05,710,12190.5,5
2017-02-15,17.05,17.05,17.875,16.2,16.7,810,13771.05,17
2017-02-16,16.7,17.5,17.5,15.9,17.475,54,931.15,5
2017-02-20,17.475,16.625,16.625,16.625,16.625,458,7614.25,6
2017-02-21,16.625,17.45,17.45,15.875,16.075,1788,30512.55,17
2017-02-22,16.075,16.075,16.875,16.075,16.875,470,7876.85,6
2017-02-23,16.875,17.35,17.35,16.05,16.05,88,1415.0,4
2017-02-27,16.05,16.1,16.85,16.1,16.1,152,2448.7,4
2017-02-28,16.1,16.6,16.6,15.3,16.6,1532,24193.25,19
2017-03-01,16.6,17.425,17.425,15.775,17.25,160,2613.35,7
2017-03-02,17.25,16.5,17.425,16.4,16.4,640,10721.0,6
2017-03-03,16.4,16.4,16.4,15.75,16.4,894,14211.8,6
2017-03-06,16.4,15.6,16.5,15.6,16.5,400,6430.8,4
2017-03-07,16.5,15.675,15.675,15.675,15.675,142,2225.85,1
2017-03-08,15.675,16.45,16.45,16.45,16.45,2,32.9,1
2017-03-09,16.45,16.45,16.45,16.45,16.45,5000,82250.0,2
2017-03-15,16.45,15.65,16.55,15.65,16.55,104,1639.4,3
2017-03-16,16.55,15.725,16.35,15.725,15.725,978,15380.3,12
2017-03-17,15.725,16.5,16.5,14.95,16.3,328,5048.0,7
2017-03-20,16.3,16.3,17.075,16.3,16.7,24,393.55,3
2017-03-21,16.7,16.65,16.65,15.875,16.575,1562,25016.7,7
2017-03-22,16.575,15.75,16.5,15.75,16.5,8,130.5,2
2017-03-23,16.5,17.3,17.3,15.675,16.0,15618,249846.95,8
2017-03-24,16.0,16.7,16.7,16.55,16.55,3366,55707.6,2
2017-03-27,16.55,17.2,17.2,15.725,16.35,12,195.65,5
2017-03-28,16.35,15.55,17.125,15.55,17.125,104,1777.85,3
2017-03-29,17.125,16.925,16.925,16.925,16.925,10,169.25,1
2017-03-30,16.925,17.725,17.725,16.1,16.1,2018,32498.1,9
2017-03-31,16.1,16.9,16.9,15.3,15.35,2352,37837.5,10
2017-04-03,15.35,16.1,16.1,14.6,16.075,3994,60011.4,13
2017-04-05,16.075,16.75,16.75,15.3,16.575,8010,128274.4,18
2017-04-06,16.575,16.875,16.875,15.75,16.6,3082,49515.75,9
2017-04-07,16.6,15.775,16.45,15.775,16.45,2002,31582.9,6
2017-04-10,16.45,15.65,16.2,15.65,16.2,2004,31363.7,8
2017-04-11,16.2,15.4,15.4,15.4,15.4,1360,20944.0,10
2017-04-12,15.4,14.65,16.075,14.65,16.075,7662,118696.8,17
2017-04-13,16.075,16.525,16.525,15.275,15.75,2404,37953.6,8
2017-04-17,15.75,16.45,16.475,15.0,15.475,1230,19926.4,9
2017-04-18,15.475,14.925,16.2,14.825,16.05,9150,139777.0,40
2017-04-19,16.05,16.0,16.0,16.0,16.0,2,32.0,1
2017-04-20,16.0,15.2,15.95,15.2,15.95,1676,25614.7,12
2017-04-21,15.95,15.175,15.975,15.175,15.975,1900,29257.5,5
2017-04-24,15.975,15.2,15.725,15.2,15.225,422,6487.95,3
2017-04-25,15.225,15.5,15.725,14.75,15.625,6666,100545.2,22
2017-04-26,15.625,14.9,15.25,14.85,15.25,3302,49252.0,11
2017-04-27,15.25,15.25,15.325,14.5,14.5,1816,26613.65,6
2017-04-28,14.5,14.975,15.075,14.0,14.925,1410,20813.9,8
2017-05-02,14.925,15.45,15.65,14.925,15.65,29072,450121.35,42
2017-05-03,15.65,15.65,16.375,15.625,16.175,3900,62371.55,16
2017-05-04,16.175,16.0,16.95,15.7,16.75,6116,100385.35,23
2017-05-05,16.75,16.75,17.1,15.925,16.45,3114,51361.8,20
2017-05-08,16.45,17.225,17.225,15.65,17.0,638,10172.2,6
2017-05-09,17.0,16.15,16.95,16.15,16.25,1406,22758.2,11
2017-05-10,16.25,16.9,16.9,15.625,15.625,1290,20276.0,7
2017-05-11,15.625,15.55,16.4,14.85,16.4,3362,50222.7,10
2017-05-12,16.4,15.6,15.875,15.6,15.875,200,3147.5,2
2017-05-15,15.875,15.1,16.5,15.1,16.0,1792,27181.45,13
2017-05-16,16.0,15.3,15.325,15.2,15.2,4316,65918.5,12
2017-05-17,15.2,15.625,15.625,14.575,14.575,12,177.0,2
2017-05-18,14.575,15.3,15.3,14.5,15.3,1054,15330.8,10
2017-05-19,15.3,14.6,15.3,14.6,15.3,420,6146.0,4
2017-05-22,15.3,15.875,15.875,15.325,15.325,4,62.4,2
2017-05-23,15.325,15.2,15.3,14.725,15.25,4402,67097.45,7
2017-05-24,15.25,15.25,16.0,14.5,16.0,2476,38712.9,11
2017-05-25,16.0,16.75,16.75,15.2,15.2,220,3671.85,3
2017-05-26,15.2,15.1,15.925,14.5,15.85,4484,69074.5,12
2017-05-29,15.85,16.0,16.0,15.25,15.25,220,3505.0,3
2017-05-30,15.25,14.5,15.0,14.5,15.0,3002,44031.05,15
2017-05-31,15.0,14.25,15.0,14.25,14.275,816,11934.9,11
2017-06-01,14.275,14.95,14.95,13.75,13.75,1712,23581.15,7
2017-06-02,13.75,13.55,14.425,13.4,13.625,11950,161519.15,52
2017-06-05,13.625,14.0,14.0,13.025,13.325,2478,33835.1,19
2017-06-06,13.325,12.75,13.5,12.75,13.45,1136,14579.3,5
2017-06-07,13.45,14.1,14.1,13.325,13.5,230,3073.1,5
2017-06-08,13.5,13.5,14.075,12.825,13.5,11504,151777.35,14
