Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-11-06,129.2,133.0,135.65,128.0,134.5,209080,27984940.55,873
2023-11-07,134.5,135.65,135.65,127.8,127.8,210215,26964028.5,1956
2023-11-08,127.8,124.0,130.0,121.45,125.0,370078,45881981.85,2292
2023-11-09,125.0,127.65,127.7,119.05,122.0,84168,10402078.8,1038
2023-11-10,122.0,125.9,125.9,119.75,120.85,109387,13377161.6,1234
2023-11-13,124.5,125.0,126.0,121.15,123.25,51344,6375966.4,786
2023-11-15,123.25,123.0,126.95,123.0,124.85,82807,10374719.7,987
2023-11-16,124.85,126.0,126.0,121.6,122.2,84406,10402563.85,874
2023-11-17,122.2,124.65,124.65,116.1,116.7,218952,26025640.75,3109
2023-11-20,116.7,116.7,118.2,110.9,114.75,170065,19397077.15,2320
2023-11-21,114.75,116.95,117.0,112.5,114.2,55951,6455938.25,663
2023-11-22,114.2,114.15,117.0,112.55,113.7,53617,6082109.4,663
2023-11-23,113.7,113.5,114.85,110.85,111.6,85959,9694970.3,1055
2023-11-24,111.6,112.95,113.8,109.35,112.25,92071,10277402.55,963
2023-11-28,112.25,114.0,114.05,110.0,110.95,119849,13394324.7,1100
2023-11-29,110.95,111.1,115.65,110.55,111.25,92418,10408728.9,1102
2023-11-30,111.25,115.45,115.45,112.0,114.3,57610,6544054.95,540
2023-12-01,114.3,114.3,119.95,114.3,116.45,73276,8602882.15,1029
2023-12-04,116.45,120.0,121.5,117.0,117.3,65803,7811248.35,991
2023-12-05,117.3,119.95,119.95,114.7,115.1,52612,6128646.25,686
2023-12-06,115.1,119.75,119.75,111.3,112.2,112821,12733179.15,1165
2023-12-07,112.2,114.5,114.95,108.05,109.35,168192,18468109.8,1697
2023-12-08,109.35,109.0,114.8,109.0,114.8,47419,5378846.85,531
2023-12-11,114.8,120.5,120.5,120.5,120.5,38346,4620693.0,103
2023-12-12,120.5,126.5,126.5,126.5,126.5,55170,6979005.0,104
2023-12-13,126.5,132.8,132.8,132.8,132.8,28192,3743897.6,111
2023-12-14,132.8,139.4,139.4,139.4,139.4,39199,5464340.6,128
2023-12-15,139.4,146.35,146.35,139.9,146.35,881952,127584596.15,5547
2023-12-18,146.35,148.75,153.65,140.3,153.65,382884,58120332.4,1669
2023-12-19,153.65,161.3,161.3,161.3,161.3,29062,4687700.6,90
2023-12-20,161.3,161.3,169.35,155.0,168.55,681941,114466506.75,4199
2023-12-21,168.55,169.55,175.0,160.15,163.8,686165,112466998.6,5614
2023-12-22,163.8,166.95,171.95,166.9,171.8,479940,82372084.45,2357
2023-12-26,171.8,178.85,180.35,175.25,180.35,521180,93744601.85,3149
2023-12-27,180.35,184.0,185.5,171.35,173.15,689023,120353070.65,5136
2023-12-28,173.15,172.8,179.95,168.0,170.55,277028,48448172.1,3024
2023-12-29,170.55,169.05,175.6,162.05,163.8,378497,62924499.0,3759
2024-01-01,163.8,163.95,168.4,163.95,167.65,85105,14185444.65,1452
2024-01-02,167.65,169.55,169.55,163.2,167.2,116074,19372193.7,1267
2024-01-03,167.2,169.1,175.55,164.0,175.55,171571,29698619.05,1432
2024-01-04,175.55,180.9,181.1,172.55,175.45,135186,23824601.45,2038
2024-01-05,175.45,180.95,180.95,172.4,173.6,103623,18155705.35,1762
2024-01-08,173.6,173.0,174.95,166.25,171.8,106931,18195140.25,1726
2024-01-09,171.8,171.8,173.45,168.5,169.3,45654,7782466.85,924
2024-01-10,169.3,171.35,171.35,163.05,166.2,100154,16739162.45,1328
2024-01-11,166.2,170.75,174.0,167.95,170.7,98289,16782593.35,1235
2024-01-12,170.7,169.3,177.9,168.0,171.0,83185,14217840.85,1188
2024-01-15,171.0,173.05,175.45,169.55,170.1,116802,20067735.5,1456
2024-01-16,170.1,171.0,173.45,166.35,167.55,94200,15998976.45,1419
2024-01-17,167.55,169.6,169.6,159.2,163.05,164223,27038543.4,2317
2024-01-18,163.05,164.8,169.9,156.0,169.1,123590,20240472.25,1971
2024-01-19,169.1,174.8,177.55,170.6,177.55,393262,69385024.15,2146
2024-01-23,186.4,195.7,195.7,195.7,195.7,103106,20177844.2,530
2024-01-24,195.7,201.3,202.5,195.7,198.75,249477,49703025.6,4571
2024-01-25,198.75,201.0,208.65,198.35,208.65,233929,48047714.05,2693
2024-01-29,208.65,219.05,219.05,219.05,219.05,51629,11309332.45,153
2024-01-30,219.05,230.0,230.0,230.0,230.0,74818,17208140.0,161
2024-01-31,230.0,240.8,240.8,226.0,229.65,593629,138182730.05,5600
2024-02-01,229.65,232.0,235.0,225.0,230.8,200863,46270429.6,2640
2024-02-02,230.8,233.35,242.3,233.25,242.3,244814,58982326.6,2125
2024-02-05,242.3,254.4,254.4,253.5,254.4,218407,55561170.15,878
2024-02-06,254.4,264.0,264.0,241.7,256.7,349720,87730454.1,5381
2024-02-07,256.7,259.55,269.5,259.55,269.3,484782,129889571.6,4311
2024-02-08,269.3,272.95,274.4,256.0,260.95,272626,71398898.35,3851
2024-02-09,260.95,264.1,264.1,248.0,252.1,149162,37630393.1,2576
2024-02-12,252.1,264.7,264.7,239.5,239.5,239114,59374815.6,2882
2024-02-13,239.5,238.9,238.9,227.55,227.55,100947,23042785.25,923
2024-02-14,227.55,216.2,238.9,216.2,238.9,167271,38263782.6,1707
2024-02-15,238.9,246.7,250.75,240.0,242.45,242456,60167007.9,3092
2024-02-16,242.45,245.4,252.9,237.05,242.95,117662,28633074.2,2547
2024-02-19,242.95,247.95,247.95,231.2,235.0,103221,24521956.95,2476
2024-02-20,235.0,237.95,242.0,233.0,235.05,99887,23685368.9,1642
2024-02-21,235.05,236.4,236.4,223.3,223.95,105956,24156600.75,2196
2024-02-22,223.95,225.8,225.8,212.75,220.25,291878,63263316.3,3227
2024-02-23,220.25,222.9,225.1,209.25,214.3,222483,48251488.75,2915
2024-02-26,214.3,216.65,219.1,203.65,213.35,253705,53505857.85,3775
2024-02-27,213.35,213.35,224.0,206.45,224.0,80408,17813288.3,733
