Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,187.4,188.55,193.2,185.1,191.5,7971,1511124.0,446
2017-01-03,191.5,192.65,193.85,188.15,191.15,11033,2113306.45,295
2017-01-04,191.15,190.0,195.05,189.05,193.2,5882,1134336.5,311
2017-01-05,193.2,193.0,198.5,193.0,195.45,18704,3681087.4,681
2017-01-06,195.45,196.15,197.05,192.35,193.45,9615,1873503.95,286
2017-01-09,193.45,193.5,195.0,188.0,193.8,9333,1789508.9,565
2017-01-10,193.8,195.55,195.6,190.7,192.25,7676,1481171.2,301
2017-01-11,192.25,192.5,197.5,192.5,196.65,31892,6246284.7,765
2017-01-12,196.65,200.2,202.5,194.65,195.9,23596,4671231.2,750
2017-01-13,195.9,197.85,199.0,195.0,196.2,13049,2560780.9,582
2017-01-16,196.2,197.6,199.0,195.55,196.1,15505,3061771.75,579
2017-01-17,196.1,197.85,197.85,194.6,195.1,6602,1294883.75,271
2017-01-18,195.1,196.0,197.0,192.2,193.65,11227,2188635.35,279
2017-01-19,193.65,193.05,197.85,193.0,194.2,17829,3480791.05,522
2017-01-20,194.2,194.0,195.9,190.55,191.6,13902,2692832.9,408
2017-01-23,191.6,192.85,194.95,190.15,190.85,11589,2224106.05,521
2017-01-24,190.85,193.0,193.95,189.4,192.35,23488,4514060.2,316
2017-01-25,192.35,192.25,194.4,190.55,191.6,20713,3986986.35,534
2017-01-27,191.6,193.95,199.5,191.65,193.65,27409,5339252.85,1049
2017-01-30,193.65,193.95,195.55,191.65,194.25,11336,2202752.8,407
2017-01-31,194.25,193.95,195.45,189.3,190.85,13039,2503297.65,379
2017-02-01,190.85,189.35,194.45,189.35,192.05,47572,9144855.8,1072
2017-02-02,192.05,192.0,193.5,190.05,190.85,31369,6017397.3,587
2017-02-03,190.85,192.05,195.0,186.15,192.2,242655,46623907.7,3309
2017-02-06,192.2,199.7,203.85,195.05,202.55,118268,23731334.35,1575
2017-02-07,202.55,202.55,208.5,201.5,207.1,94788,19499529.55,1915
2017-02-08,207.1,208.8,210.0,206.1,208.35,50750,10569570.65,1074
2017-02-09,208.35,209.5,214.0,203.65,205.0,97943,20401031.15,1261
2017-02-10,205.0,207.45,207.5,202.15,204.95,78294,16016052.5,818
2017-02-13,204.95,204.45,205.6,198.85,201.55,32413,6512749.65,661
2017-02-14,201.55,202.8,203.9,198.0,201.45,35531,7131159.8,410
2017-02-15,201.45,199.7,203.5,198.95,201.2,54388,10878421.4,654
2017-02-16,201.2,201.7,207.2,200.55,205.7,126343,25793102.2,1611
2017-02-17,205.7,208.8,208.8,193.2,201.35,70771,14148769.0,1207
2017-02-20,201.35,200.05,203.7,193.35,200.25,35825,7137651.05,908
2017-02-21,200.25,200.0,202.95,199.35,201.8,28409,5704554.35,377
2017-02-22,201.8,201.95,203.25,199.0,199.7,23872,4807570.55,312
2017-02-23,199.7,199.0,201.9,197.5,197.95,25721,5120732.45,648
2017-02-27,197.95,200.75,204.7,195.3,197.05,102432,20483133.05,1818
2017-02-28,197.05,198.3,201.2,196.0,196.8,18330,3621752.4,412
2017-03-01,196.8,197.85,199.75,194.2,195.5,47805,9399767.3,651
2017-03-02,195.5,196.25,204.7,193.25,195.45,131997,26394564.85,1790
2017-03-03,195.45,194.3,199.0,193.3,196.6,12353,2412320.4,358
2017-03-06,196.6,197.8,200.0,197.15,198.05,15781,3133959.7,333
2017-03-07,198.05,199.3,199.95,195.1,195.65,13594,2678689.05,252
2017-03-08,195.65,196.85,196.95,193.5,193.7,13990,2720004.9,285
2017-03-09,193.7,194.8,195.45,192.4,193.3,10183,1967980.3,197
2017-03-10,193.3,193.05,194.5,192.05,193.95,7235,1399781.45,197
2017-03-14,193.95,195.5,197.5,195.0,195.15,12059,2358865.05,253
2017-03-15,195.15,196.9,209.8,193.0,201.85,147599,30175044.05,3068
2017-03-16,201.85,203.5,204.05,199.3,201.1,55446,11219459.4,1262
2017-03-17,201.1,202.3,207.95,200.0,204.55,59076,12067288.8,850
2017-03-20,204.55,210.0,219.2,208.5,211.85,327188,70033347.25,4829
2017-03-21,211.85,212.8,218.55,211.2,212.6,109741,23573904.3,2885
2017-03-22,212.6,211.7,215.7,210.05,211.3,82610,17599769.1,1033
2017-03-23,211.3,212.8,217.3,212.2,213.6,37094,7960918.45,783
2017-03-24,213.6,214.7,214.7,211.2,211.95,22396,4761378.65,281
2017-03-27,211.95,212.1,214.2,210.0,211.5,21192,4482965.9,480
2017-03-28,211.5,211.95,215.0,211.45,211.9,17508,3725510.3,504
2017-03-29,211.9,212.7,215.8,208.85,211.85,53504,11312850.45,757
2017-03-30,211.85,213.0,221.8,212.0,213.8,88709,19266064.05,1921
2017-03-31,213.8,214.5,219.0,213.9,215.6,33179,7164885.0,778
2017-04-03,215.6,215.25,223.5,214.5,220.0,110072,24256221.8,1446
2017-04-05,220.0,220.8,233.95,220.05,224.0,353382,80488585.4,3577
2017-04-06,224.0,224.9,229.55,224.1,225.85,40140,9106324.65,709
2017-04-07,225.85,226.9,232.45,224.0,225.15,92022,21057197.25,1322
2017-04-10,225.15,224.1,231.1,224.0,227.4,49853,11334902.1,1069
2017-04-11,227.4,228.3,234.0,228.3,231.15,62954,14567318.85,1163
2017-04-12,231.15,229.0,231.75,225.0,227.9,31131,7097034.8,858
2017-04-13,227.9,229.45,229.9,218.0,222.4,46290,10430560.05,850
2017-04-17,222.4,222.3,225.7,218.7,222.0,40510,8952557.15,858
2017-04-18,222.0,223.8,226.7,217.8,218.45,27910,6172308.85,690
2017-04-19,218.45,218.8,219.3,216.0,217.4,12095,2632317.6,361
2017-04-20,217.4,219.25,229.05,217.25,227.95,67198,15206996.0,1292
2017-04-21,227.95,227.8,228.3,218.15,219.65,52133,11584769.4,2183
