Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,80.6,80.9,84.0,80.4,83.55,3375645,279568996.75,17056
2017-01-03,83.55,84.6,84.85,83.6,84.0,3254841,273837202.85,19172
2017-01-04,84.0,84.9,87.15,82.65,85.7,5230528,446105826.5,21213
2017-01-05,85.7,86.5,87.3,85.45,86.25,2332497,201107846.4,9734
2017-01-06,86.25,87.0,87.25,82.7,83.2,4003032,336753629.9,21962
2017-01-09,83.2,83.4,83.4,81.6,82.2,2899128,238418223.7,11853
2017-01-10,82.2,82.9,83.85,81.5,82.75,4316640,357829785.6,20498
2017-01-11,82.75,83.5,83.5,82.1,82.9,3422688,283493452.4,10474
2017-01-12,82.9,82.95,84.0,82.45,82.9,3278462,272771215.7,16061
2017-01-13,82.9,83.35,84.65,81.0,83.8,5585333,466318321.7,24128
2017-01-16,83.8,83.6,84.85,83.05,83.8,2778170,233294678.4,18548
2017-01-17,83.8,84.25,84.35,82.15,82.7,2754356,228554555.15,14359
2017-01-18,82.7,82.9,83.7,82.1,82.6,3094086,256513516.75,15182
2017-01-19,82.6,82.7,83.4,81.7,82.05,2793838,229931842.55,13661
2017-01-20,82.05,81.85,82.45,79.35,79.65,2817931,227182547.85,12068
2017-01-23,79.65,79.3,80.35,77.85,78.75,3056278,241675795.45,16119
2017-01-24,78.75,79.05,80.75,79.0,79.9,4011901,320372291.85,18573
2017-01-25,79.9,80.4,81.85,79.25,81.4,9793728,792039323.7,19116
2017-01-27,81.4,82.0,84.4,81.75,84.05,5541878,461639099.95,21030
2017-01-30,84.05,85.75,86.9,84.25,84.8,12677853,1086507888.4,64028
2017-01-31,84.8,84.85,84.95,82.45,83.05,2755838,230118023.35,15636
2017-02-01,83.05,83.4,84.9,82.5,84.55,5166822,433372641.5,20203
2017-02-02,84.55,84.9,86.65,83.05,84.0,5379410,456138282.45,18351
2017-02-03,84.0,84.6,85.9,83.4,85.1,3165746,268286420.9,13507
2017-02-06,85.1,86.0,89.4,85.7,87.65,10992086,965624060.4,41541
2017-02-07,87.65,88.1,88.5,86.0,86.45,3668531,319797043.0,13634
2017-02-08,86.45,86.8,87.55,84.15,87.0,3978419,344489279.75,19225
2017-02-09,87.0,87.8,88.45,85.8,87.4,4493069,393048895.6,21045
2017-02-10,87.4,86.9,87.65,85.2,87.25,5736823,496232017.15,24297
2017-02-13,87.25,87.1,87.65,84.15,85.4,2845795,243724926.8,14261
2017-02-14,85.4,85.75,85.8,83.8,84.3,2225146,188388826.85,15261
2017-02-15,84.3,84.4,84.8,80.3,80.6,4800488,394074606.95,31423
2017-02-16,80.6,81.0,82.45,79.2,82.1,4262457,346401757.2,22744
2017-02-17,82.1,82.75,83.15,81.5,82.35,1834516,151113899.05,9167
2017-02-20,82.35,82.5,84.25,82.2,83.75,3161486,263467275.45,15530
2017-02-21,83.75,84.05,84.25,83.0,83.8,3700802,309208191.75,8332
2017-02-22,83.8,83.8,84.2,82.55,82.95,2406921,200635168.5,11374
2017-02-23,82.95,83.0,83.55,81.1,81.6,2973272,244794646.05,12442
2017-02-27,81.6,81.65,82.3,81.0,81.2,1696754,138399427.3,11197
2017-02-28,81.2,81.7,84.05,81.25,83.8,5135416,427312782.35,20602
2017-03-01,83.8,84.0,84.85,82.5,83.0,2751235,229412243.85,9959
2017-03-02,83.0,83.7,84.0,80.25,80.9,2325354,190813537.75,12398
2017-03-03,80.9,80.5,81.7,78.4,79.65,7101048,561990541.05,40470
2017-03-06,79.65,79.9,80.85,79.7,80.25,1251153,100394017.0,9691
2017-03-07,80.25,80.3,80.8,79.4,79.8,1634182,130765662.9,12632
2017-03-08,79.8,79.8,80.15,77.9,78.3,2762377,217273149.7,15492
2017-03-09,78.3,78.0,80.55,77.45,79.2,3203267,254467515.75,17239
2017-03-10,79.2,79.6,80.1,78.35,78.75,1623990,128908997.1,21089
2017-03-14,78.75,81.0,81.0,79.2,79.45,2647391,211508840.95,11481
2017-03-15,79.45,79.55,81.5,79.0,81.05,3447475,278903809.5,11852
2017-03-16,81.05,81.25,83.0,81.25,82.65,3212200,264400076.5,12382
2017-03-17,82.65,83.2,83.55,81.4,82.4,2467955,203059254.5,10675
2017-03-20,82.4,82.55,84.35,81.8,84.0,6488380,540094747.2,11963
2017-03-21,84.0,84.0,84.0,81.75,82.4,7841305,645437781.55,9806
2017-03-22,82.4,81.35,82.45,81.0,81.55,1592138,130122494.6,8335
2017-03-23,81.55,81.8,82.95,81.3,82.65,2438615,200250570.8,8914
2017-03-24,82.65,82.75,83.1,82.0,82.15,1574372,129824272.45,6836
2017-03-27,82.15,81.9,82.4,80.65,81.15,3291427,267230939.45,5850
2017-03-28,81.15,82.0,82.0,80.6,81.25,3666914,297305310.45,7854
2017-03-29,81.25,81.25,82.3,80.95,81.65,3186026,259737400.55,8368
2017-03-30,81.65,81.75,82.1,80.45,80.8,2246305,182297519.15,8564
2017-03-31,80.8,80.65,82.65,80.65,81.95,3312080,271350932.35,13738
2017-04-03,81.95,82.0,83.9,81.5,83.55,2413656,200114944.4,8326
2017-04-05,83.55,83.95,87.75,83.75,87.15,10811596,934289193.5,37875
2017-04-06,87.15,86.7,88.25,86.2,87.1,4344431,378835789.25,14407
2017-04-07,87.1,87.0,87.65,83.9,84.6,3031424,261038877.25,11464
2017-04-10,84.6,85.0,86.7,84.15,86.05,4337723,372285945.05,15357
2017-04-11,86.05,86.55,89.65,86.0,89.35,5663744,499506132.15,18596
2017-04-12,89.35,89.5,91.4,87.0,88.55,7974063,711973270.1,34163
2017-04-13,88.55,88.0,92.15,87.6,91.3,7893160,715597983.35,47575
2017-04-17,91.3,92.0,95.15,90.6,94.0,11275201,1054029714.55,45246
2017-04-18,94.0,94.8,100.0,91.6,92.0,17733523,1703470624.15,60987
2017-04-19,92.0,92.55,97.9,92.05,96.3,12417677,1184703475.95,71058
2017-04-20,96.3,96.45,98.3,95.5,96.25,7502038,726716286.9,25003
2017-04-21,96.25,97.15,98.5,95.6,96.8,5678945,551151251.3,21437
2017-04-24,96.8,96.95,100.75,96.65,98.9,11040506,1096431547.35,42820
2017-04-25,98.9,99.75,101.5,98.6,99.75,5045589,504078509.65,22839
2017-04-26,99.75,100.05,100.5,94.1,96.6,4455805,434730851.9,16399
2017-04-27,96.6,96.9,97.45,94.45,94.75,2925556,280058180.1,12959
2017-04-28,94.75,94.85,96.75,94.25,95.45,3199512,306097161.9,10932
2017-05-02,95.45,95.5,99.2,94.25,98.85,4496286,437589820.9,16730
