Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,113.9,116.2,121.0,115.0,119.05,113693,13385578.5,982
2017-01-03,119.05,119.1,122.5,119.1,121.1,82964,10054502.35,937
2017-01-04,121.1,121.0,122.35,113.7,117.8,70395,8333070.5,726
2017-01-05,117.8,119.7,123.3,118.5,122.1,146880,17911115.6,1928
2017-01-06,122.1,121.95,121.95,118.1,120.4,49505,5965907.7,680
2017-01-09,120.4,121.5,131.0,120.1,123.5,78347,9711483.8,868
2017-01-10,123.5,123.55,125.0,123.0,123.95,40918,5068778.85,433
2017-01-11,123.95,124.85,127.8,124.1,125.8,68026,8545999.6,686
2017-01-12,125.8,127.1,128.55,122.25,123.95,57562,7223492.05,749
2017-01-13,123.95,125.2,125.3,121.5,122.9,23373,2892036.3,341
2017-01-16,122.9,123.0,123.0,120.6,121.0,28625,3475755.4,472
2017-01-17,121.0,121.95,122.9,120.9,121.15,22297,2713277.7,318
2017-01-18,121.15,121.35,125.55,120.15,124.95,45962,5695613.6,482
2017-01-19,124.95,125.3,126.0,122.0,122.7,35504,4408136.05,417
2017-01-20,122.7,122.5,123.25,120.0,120.35,21673,2637148.75,278
2017-01-23,120.35,120.0,122.0,120.0,120.9,23287,2810099.05,192
2017-01-24,120.9,121.9,124.25,120.7,123.25,41976,5139096.1,408
2017-01-25,123.25,124.5,128.0,122.55,126.35,71112,8972663.3,701
2017-01-27,126.35,127.3,135.0,127.3,130.95,201485,26419091.75,2329
2017-01-30,130.95,130.45,132.0,126.45,126.95,41860,5366710.35,704
2017-01-31,126.95,127.35,130.25,125.0,128.65,38078,4842293.1,514
2017-02-01,128.65,127.0,136.0,126.0,134.85,141167,18670631.0,1386
2017-02-02,134.85,135.95,136.8,131.0,131.95,51581,6893701.6,712
2017-02-03,131.95,133.75,134.0,129.95,130.75,58141,7660201.05,789
2017-02-06,130.75,130.15,138.3,130.0,134.75,191713,25960914.95,2632
2017-02-07,134.75,133.0,143.9,133.0,142.7,328096,46120501.95,3040
2017-02-08,142.7,141.4,147.65,141.4,145.25,168532,24577915.25,1825
2017-02-09,145.25,146.8,147.45,142.1,143.4,67932,9812286.75,902
2017-02-10,143.4,144.45,145.4,140.25,141.05,53387,7580467.55,970
2017-02-13,141.05,142.45,145.0,130.2,132.4,128613,17457553.45,1643
2017-02-14,132.4,145.0,157.25,142.15,152.65,2282863,347960857.4,24229
2017-02-15,152.65,151.85,152.0,143.95,146.25,390527,57662976.9,4844
2017-02-16,146.25,145.5,154.2,145.5,152.75,339073,51579727.1,4210
2017-02-17,152.75,153.2,156.0,149.45,150.95,144858,22124324.95,2122
2017-02-20,150.95,151.6,157.0,147.0,153.6,183933,28225765.8,3180
2017-02-21,153.6,152.5,160.7,150.9,156.3,485497,76415665.35,6053
2017-02-22,156.3,156.9,159.7,154.1,154.95,185669,29075032.5,2880
2017-02-23,154.95,154.85,163.0,153.9,160.8,413984,66273213.7,5626
2017-02-27,160.8,161.45,170.4,158.3,166.15,483098,80683653.5,5791
2017-02-28,166.15,166.55,168.7,156.1,164.8,201382,32982418.05,2975
2017-03-01,164.8,164.2,170.0,163.95,166.05,155414,25975730.4,2238
2017-03-02,166.05,166.25,168.1,160.0,160.75,108091,17747430.2,1747
2017-03-03,160.75,160.65,164.8,160.65,164.2,66513,10808199.25,1171
2017-03-06,164.2,165.0,165.0,160.0,160.35,71765,11638856.9,1550
2017-03-07,160.35,159.9,162.5,156.6,157.1,77587,12330309.55,1469
2017-03-08,157.1,157.1,159.6,154.55,159.05,93447,14671522.85,1700
2017-03-09,159.05,157.95,159.9,155.9,156.65,66569,10471673.5,1195
2017-03-10,156.65,156.95,162.95,156.95,160.15,161832,25972974.5,2050
2017-03-14,160.15,162.45,165.05,160.0,161.0,96570,15660340.6,1031
2017-03-15,161.0,162.05,164.5,161.4,163.6,98544,16088458.35,1513
2017-03-16,163.6,164.05,168.45,164.05,167.05,141986,23726854.05,2231
2017-03-17,167.05,169.5,174.0,168.35,172.85,306611,52496291.9,4672
2017-03-20,172.85,173.5,174.3,169.0,169.95,197030,33816200.45,1967
2017-03-21,169.95,170.45,177.5,170.25,174.5,392504,68430105.6,4600
2017-03-22,174.5,172.7,182.9,170.6,177.8,307693,54684731.95,5333
2017-03-23,177.8,179.0,183.35,178.85,180.75,224001,40648499.55,3724
2017-03-24,180.75,181.0,192.7,181.0,187.35,632562,118654429.2,6903
2017-03-27,187.35,188.5,199.65,188.5,198.3,607148,117723689.45,6804
2017-03-28,198.3,197.9,206.9,197.9,204.9,630671,128124278.7,7303
2017-03-29,204.9,205.0,206.85,196.0,197.7,288898,57472996.15,3912
2017-03-30,197.7,198.0,204.45,191.65,202.05,245891,48944905.8,4780
2017-03-31,202.05,202.0,203.8,198.0,198.75,151234,30355825.3,2348
2017-04-03,198.75,199.2,217.3,198.8,214.55,546368,115013059.95,6837
2017-04-05,214.55,215.0,223.75,214.15,218.65,481127,105626640.8,5683
2017-04-06,218.65,217.85,217.85,212.65,214.3,180810,38787621.8,2369
2017-04-07,214.3,213.0,216.5,209.0,210.15,152477,32423820.85,2351
2017-04-10,210.15,220.0,223.9,215.05,216.55,306221,66788812.15,5240
2017-04-11,216.55,216.0,219.7,214.4,215.4,150566,32630859.1,2093
2017-04-12,215.4,216.85,216.85,205.5,214.1,152332,32228188.25,2616
2017-04-13,214.1,213.5,214.85,207.9,208.85,127383,26894967.6,1973
2017-04-17,208.85,210.0,212.65,204.55,205.5,150651,31225072.2,2202
2017-04-18,205.5,206.05,223.7,206.05,214.1,410680,89457318.15,5937
2017-04-19,214.1,215.0,222.95,211.6,220.6,191496,41689421.75,4287
2017-04-20,220.6,222.25,224.85,217.1,219.5,258003,57229050.65,4785
2017-04-21,219.5,219.5,221.8,213.1,214.55,121407,26260179.55,2028
2017-04-24,214.55,216.7,226.0,214.05,221.6,270979,60163887.5,2943
2017-04-25,221.6,221.0,223.0,220.0,221.7,121993,27020835.15,1613
2017-04-26,221.7,221.9,223.2,215.1,217.9,143181,31551516.25,2118
2017-04-27,217.9,219.5,220.35,215.25,216.5,82855,17989772.15,1986
2017-04-28,216.5,216.5,224.2,215.0,223.15,134258,29677208.35,2058
2017-05-02,223.15,224.0,224.95,217.0,219.6,172957,38214677.9,2425
2017-05-03,219.6,218.1,220.0,215.5,217.05,83291,18149122.7,1428
2017-05-04,217.05,217.15,218.6,214.65,215.3,88150,19059902.55,1292
2017-05-05,215.3,214.65,216.75,210.65,211.65,102427,21892674.95,1496
2017-05-08,211.65,212.0,219.6,212.0,215.2,106436,23057960.0,1931
2017-05-09,215.2,216.3,218.75,213.25,214.1,43273,9320516.5,931
2017-05-10,214.1,214.1,218.0,214.1,215.1,62695,13555988.6,824
2017-05-11,215.1,215.5,217.5,213.5,214.1,38275,8235041.5,649
2017-05-12,214.1,214.0,215.6,208.9,209.8,68282,14430065.0,845
2017-05-15,209.8,217.0,220.9,215.2,219.5,138315,30280701.45,1822
2017-05-16,219.5,220.0,222.2,217.0,221.4,150135,33008515.8,1649
2017-05-17,221.4,222.0,229.4,218.05,226.15,182232,40863575.6,2394
2017-05-18,226.15,224.8,225.5,217.0,218.4,145128,32180574.45,1947
2017-05-19,218.4,220.0,222.15,212.8,213.85,94564,20530382.7,1432
2017-05-22,213.85,215.1,220.0,213.0,215.35,72550,15689614.75,1488
2017-05-23,215.35,215.35,216.55,201.5,209.8,157460,32930091.7,2219
2017-05-24,209.8,209.95,214.0,202.5,203.9,140916,29283243.1,2331
2017-05-25,203.9,204.2,206.0,201.1,203.4,87040,17720834.45,1288
2017-05-26,203.4,203.0,214.0,203.0,211.4,93800,19679265.2,1350
2017-05-29,211.4,207.05,211.0,188.35,192.35,308625,60051246.3,4723
2017-05-30,192.35,197.4,197.4,187.05,195.1,132539,25487314.0,3248
2017-05-31,195.1,199.45,206.25,196.0,203.05,156294,31593171.05,4124
2017-06-01,203.05,202.0,207.85,201.0,203.3,77766,15952178.5,1743
2017-06-02,203.3,203.9,212.0,203.9,210.15,105133,21833475.6,1890
2017-06-05,210.15,209.55,213.65,207.05,211.25,96637,20417244.25,2031
2017-06-06,211.25,211.95,214.2,203.0,206.75,136647,28588781.7,3236
2017-06-07,206.75,207.4,209.0,204.5,206.3,54874,11331553.5,1127
2017-06-08,206.3,206.0,207.5,204.45,206.2,39675,8177778.75,704
2017-06-09,206.2,206.5,211.0,206.5,209.95,50626,10579879.85,715
2017-06-12,209.95,210.95,211.85,207.05,208.05,45034,9380808.75,1017
2017-06-13,208.05,208.6,210.35,201.45,202.35,53665,11067367.0,981
2017-06-14,202.35,202.25,214.2,201.7,211.25,80527,16732736.05,1659
2017-06-15,211.25,210.6,220.7,209.2,218.25,149477,32475324.0,2734
2017-06-16,218.25,218.9,225.0,218.9,222.5,135997,30350750.1,1668
2017-06-19,222.5,224.7,224.8,216.5,218.55,64453,14223018.5,1659
2017-06-20,218.55,218.55,222.85,217.2,218.0,50453,11060050.9,1208
2017-06-21,218.0,216.0,219.55,216.0,218.1,55811,12167572.05,917
2017-06-22,218.1,216.5,219.7,216.5,217.95,101595,22145562.8,1186
2017-06-23,217.95,218.0,218.5,210.05,217.0,82651,17832615.75,2126
2017-06-27,217.0,217.0,220.8,215.25,217.2,161169,34993334.7,2486
2017-06-28,217.2,214.0,218.0,210.7,211.85,75143,16119225.75,1342
2017-06-29,211.85,212.0,217.2,212.0,214.7,50444,10833562.85,828
2017-06-30,214.7,212.5,217.0,212.5,215.95,47796,10286752.65,877
2017-07-03,215.95,216.0,219.6,215.25,217.2,58013,12642135.2,1101
2017-07-04,217.2,216.9,219.5,216.9,218.3,38020,8304844.6,523
2017-07-05,218.3,218.3,222.5,218.3,219.9,52901,11665874.9,819
2017-07-06,219.9,220.0,226.9,218.05,224.25,139786,31274389.15,2788
2017-07-07,224.25,226.6,228.0,218.9,220.7,64821,14418960.4,1305
2017-07-10,220.7,224.35,224.35,214.95,216.15,33180,7187457.95,488
2017-07-11,216.15,216.75,220.0,216.7,218.15,134849,29394586.15,3767
2017-07-12,218.15,217.8,223.0,217.0,220.2,58464,12828161.2,1304
2017-07-13,220.2,221.8,225.0,219.05,220.45,82166,18212533.05,1957
2017-07-14,220.45,220.45,222.55,217.6,218.05,71420,15590112.55,1543
2017-07-17,218.05,217.0,218.6,215.95,216.35,29583,6439458.6,1361
2017-07-18,216.35,216.0,216.95,210.5,213.3,67002,14348071.8,1392
2017-07-19,213.3,212.1,218.0,212.1,213.85,58976,12617743.15,1079
2017-07-20,213.85,213.35,217.45,212.7,216.45,130788,28051262.8,3066
2017-07-21,216.45,215.0,224.5,213.0,223.15,119194,26255418.05,1693
2017-07-24,223.15,223.65,225.8,217.05,218.65,49100,10802563.9,1200
2017-07-25,218.65,218.65,219.7,216.0,216.1,32617,7077789.35,635
2017-07-26,216.1,219.9,219.9,211.45,212.8,43894,9418137.9,503
2017-07-27,212.8,213.0,216.0,211.0,211.5,33455,7131802.5,425
2017-07-28,211.5,210.0,215.15,202.9,205.0,78642,16386871.7,1075
2017-07-31,205.0,205.0,205.6,194.55,195.65,97056,19245934.55,1771
2017-08-01,195.65,201.8,211.6,197.25,209.5,84685,17387438.9,1702
2017-08-02,209.5,212.0,212.0,202.15,204.7,49427,10224188.2,897
2017-08-03,204.7,205.2,209.7,201.0,205.7,90699,18578206.2,1889
2017-08-04,205.7,204.05,206.0,201.9,204.3,32757,6667400.65,452
2017-08-07,204.3,206.0,215.25,204.05,212.55,61464,12939691.7,953
2017-08-08,212.55,213.0,221.0,207.0,209.45,88455,18854979.0,1457
2017-08-09,209.45,209.9,210.8,204.0,205.85,46759,9690450.8,1041
2017-08-10,205.85,207.05,209.0,198.0,199.25,85456,17313458.1,1169
2017-08-11,199.25,191.0,200.9,181.0,196.05,63516,12318834.45,1661
2017-08-14,196.05,199.25,212.0,197.7,209.8,94912,19707418.85,2953
2017-08-16,209.8,218.0,224.15,215.5,221.65,264529,58543497.9,3133
2017-08-17,221.65,223.85,226.5,220.3,221.15,130163,28986979.6,1514
2017-08-18,221.15,220.0,224.0,215.1,223.0,103879,22909752.15,2168
2017-08-21,223.0,223.0,246.7,222.0,235.9,944762,223471740.45,12514
2017-08-22,235.9,239.0,241.0,230.2,232.25,245386,57895809.95,5147
2017-08-23,232.25,234.9,234.9,228.4,230.5,86694,20045730.85,2287
2017-08-24,230.5,229.65,234.0,225.0,232.15,111396,25597267.6,1637
2017-08-28,232.15,233.05,244.0,233.05,240.15,233191,56012145.9,3115
2017-08-29,240.15,243.8,243.8,234.0,235.3,86026,20433884.45,1771
2017-08-30,235.3,241.2,241.2,236.9,237.8,56882,13608471.3,1451
2017-08-31,237.8,238.05,240.75,231.45,233.5,89151,20985484.15,1418
2017-09-01,233.5,233.0,236.0,230.35,231.75,72288,16886029.8,877
2017-09-04,231.75,232.95,234.55,225.0,226.05,82319,18792190.6,1273
2017-09-05,226.05,223.0,243.0,223.0,240.4,217311,51502782.7,2756
2017-09-06,240.4,236.5,240.75,234.1,236.6,79511,18911636.15,2129
2017-09-07,236.6,237.85,241.35,234.1,234.95,50869,12049416.75,1236
2017-09-08,234.95,237.0,240.5,231.65,233.25,74409,17586157.95,1911
2017-09-11,233.25,235.65,238.0,232.2,233.55,40129,9448815.05,770
2017-09-12,233.55,235.85,236.0,232.05,233.7,50163,11756136.7,1214
2017-09-13,233.7,234.0,246.7,233.9,236.2,143279,34472532.0,2693
2017-09-14,236.2,236.2,245.0,236.2,243.55,101563,24564367.55,1465
2017-09-15,243.55,243.65,247.0,237.05,238.4,67661,16287359.3,1453
2017-09-18,238.4,238.3,243.0,231.0,232.25,56539,13346554.8,945
2017-09-19,232.25,233.5,235.95,227.5,230.5,64069,14898087.8,1094
2017-09-20,230.5,232.7,235.0,229.95,231.25,37150,8628923.25,699
2017-09-21,231.25,231.85,232.95,224.0,228.95,57733,13176303.1,828
2017-09-22,228.95,230.0,231.8,224.15,225.65,66538,15121961.85,1652
2017-09-25,225.65,225.05,226.85,207.5,221.75,142619,30956527.1,2107
2017-09-26,221.75,220.8,232.0,212.05,225.5,89167,19718273.5,1560
2017-09-27,225.5,230.0,232.2,210.0,220.4,81761,18265048.55,1485
2017-09-28,220.4,217.5,230.0,212.25,227.55,74422,16594739.25,1413
2017-09-29,227.55,229.4,233.9,222.1,223.75,57482,13169891.05,874
2017-10-03,223.75,225.0,227.0,220.05,222.45,36208,8091841.7,732
2017-10-04,222.45,224.55,227.3,222.0,224.8,40441,9082369.4,696
2017-10-05,224.8,225.5,230.0,221.0,228.35,54014,12215564.05,1060
