Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,8.75,8.35,8.35,8.35,8.35,10,83.5,1
2017-01-03,8.35,7.95,7.95,7.95,7.95,100,795.0,1
2017-01-09,7.95,7.95,8.3,7.6,8.3,177,1375.75,4
2017-01-10,8.3,7.9,7.9,7.9,7.9,120,948.0,6
2017-01-11,7.9,7.55,8.25,7.55,7.55,3164,24868.2,16
2017-01-12,7.55,7.55,7.9,7.2,7.25,908,6784.5,10
2017-01-13,7.25,6.95,6.95,6.95,6.95,81,562.95,1
2017-01-18,6.95,6.95,6.95,6.65,6.65,200,1362.5,3
2017-01-19,6.65,6.65,6.65,6.4,6.4,81,519.15,2
2017-01-20,6.4,6.6,6.6,6.25,6.25,1650,10550.0,32
2017-01-23,6.25,6.5,6.5,6.45,6.45,325,2111.25,3
2017-01-24,6.45,6.6,6.7,6.55,6.7,220,1460.0,4
2017-01-25,6.7,7.0,7.0,6.5,7.0,2303,15862.0,27
2017-01-27,7.0,7.35,7.35,7.3,7.3,500,3650.1,3
2017-01-30,7.3,7.45,7.45,7.45,7.45,540,4023.0,4
2017-01-31,7.45,7.45,7.45,7.45,7.45,150,1117.5,2
2017-02-01,7.45,7.5,7.5,7.5,7.5,100,750.0,1
2017-02-02,7.5,7.5,7.5,7.5,7.5,453,3397.5,4
2017-02-03,7.5,7.5,7.5,7.5,7.5,2250,16875.0,6
2017-02-06,7.5,7.55,7.65,7.5,7.65,1102,8364.0,10
2017-02-08,7.65,7.3,7.3,7.3,7.3,3,21.9,1
2017-02-10,7.3,7.3,7.3,7.3,7.3,200,1460.0,2
2017-02-13,7.3,7.0,7.6,7.0,7.05,87,642.8,3
2017-02-15,7.05,6.95,6.95,6.95,6.95,50,347.5,2
2017-02-17,6.95,6.7,6.7,6.7,6.7,200,1340.0,1
2017-02-20,6.7,7.0,7.0,6.8,7.0,345,2405.0,3
2017-02-21,7.0,7.0,7.35,7.0,7.0,360,2590.0,5
2017-02-22,7.0,7.0,7.05,7.0,7.0,1747,12233.0,8
2017-02-23,7.0,7.15,7.3,7.0,7.3,1202,8603.6,8
2017-02-27,7.3,7.2,7.25,7.15,7.2,985,7100.75,7
2017-02-28,7.2,7.55,7.55,7.55,7.55,300,2265.0,2
2017-03-01,7.55,7.55,7.55,7.4,7.4,706,5302.4,8
2017-03-02,7.4,7.75,7.75,7.5,7.5,400,3075.0,4
2017-03-03,7.5,7.15,7.85,7.15,7.85,700,5355.0,5
2017-03-06,7.85,7.75,7.75,7.65,7.65,630,4849.5,3
2017-03-08,7.65,7.65,7.8,7.55,7.8,685,5222.5,7
2017-03-09,7.8,8.15,8.15,7.45,7.45,3165,23923.8,19
2017-03-10,7.45,7.5,7.55,7.5,7.55,101,762.5,2
2017-03-15,7.55,7.55,7.9,7.55,7.55,702,5305.8,11
2017-03-16,7.55,7.55,7.55,7.5,7.5,3715,27937.5,9
2017-03-17,7.5,7.5,7.8,7.45,7.5,4384,32879.2,15
2017-03-20,7.5,7.6,7.85,7.5,7.5,1396,10640.0,9
2017-03-21,7.5,7.6,7.6,7.5,7.5,500,3770.0,3
2017-03-22,7.5,7.6,7.85,7.15,7.85,802,5940.7,6
2017-03-24,7.85,7.8,7.8,7.5,7.5,700,5370.0,9
2017-03-27,7.5,7.6,7.7,7.15,7.15,900,6695.0,6
