Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,184.3,185.15,189.45,181.05,184.35,9676,1789837.3,415
2017-01-03,184.35,181.1,189.0,181.1,184.5,7332,1353830.55,297
2017-01-04,184.5,183.1,187.9,181.55,186.0,8599,1591742.4,329
2017-01-05,186.0,191.5,195.0,189.1,190.4,38899,7460848.85,792
2017-01-06,190.4,188.0,191.4,185.0,186.1,8150,1526970.9,282
2017-01-09,186.1,185.6,188.4,185.5,187.8,3530,658497.05,103
2017-01-10,187.8,188.45,191.8,186.65,187.35,4081,769731.95,116
2017-01-11,187.35,188.45,193.0,188.0,189.1,6566,1249096.85,198
2017-01-12,189.1,188.7,189.9,183.05,186.25,5126,950975.35,158
2017-01-13,186.25,185.1,185.1,181.2,182.9,3273,598779.3,109
2017-01-16,182.9,185.05,192.8,184.9,187.3,11553,2177605.05,280
2017-01-17,187.3,187.0,194.5,187.0,188.5,37599,7190590.1,1087
2017-01-18,188.5,189.85,192.4,189.0,189.8,8637,1648679.75,411
2017-01-19,189.8,198.0,198.0,188.1,189.45,5586,1066132.2,178
2017-01-20,189.45,189.45,191.0,181.5,185.1,6008,1120942.55,262
2017-01-23,185.1,190.95,190.95,184.0,185.1,8204,1527520.55,252
2017-01-24,185.1,186.0,187.45,183.0,185.4,2856,529380.0,94
2017-01-25,185.4,186.5,188.05,184.15,185.5,1466,272119.35,97
2017-01-27,185.5,185.5,192.0,185.2,186.85,8435,1590319.2,200
2017-01-30,186.85,187.0,190.0,176.15,183.1,7005,1288563.5,272
2017-01-31,183.1,188.55,192.9,182.35,184.05,14853,2781627.85,365
2017-02-01,184.05,185.0,187.0,180.1,182.8,6732,1238546.9,179
2017-02-02,182.8,186.9,186.9,182.05,183.9,2293,421329.3,80
2017-02-03,183.9,186.2,186.2,181.3,182.2,5454,997094.5,182
2017-02-06,182.2,184.75,185.0,181.4,182.65,4316,790680.7,179
2017-02-07,182.65,179.2,182.0,175.0,177.7,13763,2462177.05,472
2017-02-08,177.7,179.9,185.95,178.95,184.05,8276,1514182.9,263
2017-02-09,184.05,181.1,182.95,178.15,178.95,7186,1296089.25,165
2017-02-10,178.95,180.1,184.0,179.1,181.5,5774,1053038.55,159
2017-02-13,181.5,182.0,186.45,174.1,176.8,9233,1654402.95,291
2017-02-14,176.8,175.0,180.85,172.2,178.55,1493,266437.8,86
2017-02-15,178.55,179.95,180.0,174.75,175.95,2590,457234.85,125
2017-02-16,175.95,176.55,185.4,171.0,172.9,14058,2464578.3,363
2017-02-17,172.9,173.0,177.35,173.0,177.0,4111,717936.45,89
2017-02-20,177.0,178.85,178.9,171.7,173.15,5147,897817.65,165
2017-02-21,173.15,173.1,178.95,173.1,175.2,7876,1391893.3,217
