Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-09-03,450.0,990.0,994.55,802.1,839.9,58922092,52267137581.55,1142687
2024-09-04,839.9,816.6,872.65,803.05,841.9,11523876,9785204045.3,288799
2024-09-05,841.9,856.1,1010.25,852.2,1004.8,36818046,34877720512.7,644192
2024-09-06,1004.8,1010.0,1188.9,982.0,1096.05,44767796,49879650282.2,854229
2024-09-09,1096.05,1120.0,1235.0,1105.0,1208.65,28659020,33337761956.9,683776
2024-09-10,1208.65,1240.0,1267.95,1111.9,1173.7,22676122,27097459035.2,473316
2024-09-11,1173.7,1154.2,1167.95,1082.65,1098.1,8804576,9902920429.0,208391
2024-09-12,1098.1,1111.0,1157.7,1085.0,1132.5,8259315,9315137534.3,162498
2024-09-13,1132.5,1142.9,1144.0,1096.45,1112.15,3507316,3915612595.35,84116
2024-09-16,1112.15,1110.0,1124.0,1045.0,1109.85,5561217,6027909126.25,156215
2024-09-17,1109.85,1104.5,1128.7,1082.65,1113.3,3828734,4247453523.85,86137
2024-09-18,1113.3,1122.9,1148.6,1090.0,1134.85,3803064,4271980419.55,98804
2024-09-19,1134.85,1145.0,1157.35,1075.0,1099.1,3699807,4112793207.8,106288
2024-09-20,1099.1,1140.0,1140.0,1100.2,1109.2,1730908,1930361419.2,40579
2024-09-23,1109.2,1116.0,1120.0,1080.0,1090.9,1625670,1780561540.4,46534
2024-09-24,1090.9,1083.9,1087.85,1062.35,1077.1,1541568,1656232540.7,45642
2024-09-25,1077.1,1070.3,1073.0,1024.0,1036.35,2041656,2130961865.05,65308
2024-09-26,1036.35,1029.0,1086.35,1017.0,1049.35,3779481,3983271406.55,97805
2024-09-27,1049.35,1035.1,1077.0,1032.0,1051.65,1876970,1975113365.25,45977
2024-09-30,1051.65,1045.0,1091.0,1012.05,1082.9,4677852,4890062596.55,81868
2024-10-01,1082.9,1080.0,1122.0,1068.15,1109.35,3881983,4272492537.55,85632
2024-10-03,1109.35,1084.0,1093.65,1056.05,1080.45,3090856,3326241767.35,63500
2024-10-04,1080.45,1066.0,1103.9,1030.3,1047.4,2277332,2442350162.8,52833
2024-10-07,1047.4,1045.75,1059.2,977.7,997.2,2917540,2929647769.8,86524
2024-10-08,997.2,990.0,1022.0,973.0,1014.3,2846197,2847261269.45,108305
2024-10-09,1014.3,1030.9,1087.8,1021.35,1079.05,4106614,4362793401.1,128052
2024-10-10,1079.05,1085.0,1119.3,1069.0,1105.7,2442587,2690121958.55,82166
2024-10-11,1105.7,1101.3,1119.0,1090.05,1107.4,1518596,1681383911.7,42507
2024-10-14,1107.4,1120.0,1216.8,1120.0,1133.6,8088647,9440798219.2,190167
2024-10-15,1133.6,1143.0,1166.6,1118.3,1148.25,2089567,2388380202.9,70587
2024-10-16,1148.25,1135.0,1150.95,1125.7,1135.35,1369581,1557201464.0,42068
2024-10-17,1135.35,1144.7,1144.7,1078.8,1084.1,1842194,2031280071.2,55168
2024-10-18,1084.1,1076.0,1111.95,1055.1,1094.65,1676203,1822121634.0,77174
2024-10-21,1094.65,1100.0,1106.0,1035.1,1042.3,1225626,1306872678.6,47973
2024-10-22,1042.3,1048.9,1050.45,991.0,997.65,1319705,1338621603.4,50727
2024-10-23,997.65,1000.0,1034.8,991.75,998.85,1831265,1848520342.2,58334
2024-10-24,998.85,1014.95,1018.5,975.05,978.35,941634,936881507.1,32965
2024-10-25,978.35,985.0,992.45,925.1,945.05,2223957,2107778559.0,78254
2024-10-28,945.05,952.85,982.0,922.85,960.25,2051338,1959807453.7,71294
2024-10-29,960.25,964.85,968.0,945.9,952.75,800779,764260467.25,32585
2024-10-30,952.75,950.0,1019.7,948.15,1001.65,2344186,2342612273.65,89282
2024-10-31,1001.65,1000.4,1034.4,998.05,1021.2,1803848,1833302272.85,62486
2024-11-01,1021.2,1033.8,1090.0,1032.55,1075.95,1301411,1388043904.2,35114
2024-11-04,1075.95,1103.35,1119.65,1045.0,1075.65,3707097,4000434298.6,104520
2024-11-05,1075.65,1073.65,1185.0,1061.35,1168.15,7614525,8706733022.5,221724
2024-11-06,1168.15,1200.0,1245.0,1170.0,1189.1,7807522,9411861155.6,181560
2024-11-07,1189.1,1165.0,1176.95,1085.0,1093.1,3856973,4354288029.3,116766
2024-11-08,1093.1,1101.65,1143.0,1083.05,1127.95,3522594,3932980030.05,96066
2024-11-11,1127.95,1100.0,1100.0,1001.0,1040.6,7238299,7505973501.95,204806
2024-11-12,1040.6,1045.8,1086.3,1024.7,1028.65,3596126,3802775407.4,101518
2024-11-13,1028.65,1029.0,1049.95,975.05,982.7,2890543,2909689555.65,101169
2024-11-14,982.7,990.0,1009.2,957.1,968.95,2200387,2162655698.75,65276
2024-11-18,968.95,985.0,1097.9,969.45,1085.1,6860406,7246581080.85,165939
2024-11-19,1085.1,1064.05,1137.9,1050.0,1093.8,5523677,6080066142.75,154867
2024-11-21,1093.8,1081.0,1123.0,1067.65,1085.45,3480938,3804741635.35,90576
2024-11-22,1085.45,1093.0,1109.9,1050.0,1061.4,2134800,2296261824.15,65469
2024-11-25,1061.4,1087.0,1104.85,1052.2,1095.9,2663046,2883206321.4,73580
2024-11-26,1095.9,1129.0,1137.0,1097.0,1100.85,2939791,3275935624.3,66291
2024-11-27,1100.85,1111.0,1149.0,1093.1,1111.0,2506692,2808126313.3,63180
2024-11-28,1111.0,1102.05,1168.8,1102.05,1137.45,5990868,6829424043.75,137920
2024-11-29,1137.45,1142.75,1242.0,1125.0,1222.95,6446974,7646374246.25,128865
2024-12-02,1222.95,1235.0,1278.0,1182.1,1243.7,7664138,9479137089.45,214678
2024-12-03,1243.7,1246.0,1251.7,1195.0,1214.8,4478213,5443525400.1,111300
2024-12-04,1214.8,1214.0,1296.0,1202.05,1284.6,6995299,8814087098.4,155953
2024-12-05,1284.6,1302.0,1329.0,1259.0,1273.4,6023408,7802963827.3,134318
2024-12-06,1273.4,1272.95,1304.1,1256.05,1263.75,3061584,3910189805.75,73693
2024-12-09,1263.75,1267.6,1325.0,1265.05,1291.6,3827579,4974562510.2,92288
2024-12-10,1291.6,1300.0,1334.85,1251.4,1281.3,4235642,5459387031.6,105056
2024-12-11,1281.3,1290.0,1344.5,1290.0,1329.15,5097261,6737187396.4,115911
2024-12-12,1329.15,1336.1,1348.9,1295.0,1307.35,3193266,4231095462.9,77540
2024-12-13,1307.35,1307.0,1316.75,1264.0,1294.85,3163298,4074779842.7,93975
2024-12-16,1294.85,1299.75,1381.0,1295.75,1373.5,5096000,6896769050.15,124634
2024-12-17,1373.5,1373.0,1388.0,1320.0,1323.95,2517300,3412820608.5,66849
2024-12-18,1323.95,1327.6,1333.3,1278.0,1290.5,2050792,2654800541.75,60755
2024-12-19,1290.5,1259.0,1317.35,1252.1,1295.4,2151769,2786502030.65,61061
2024-12-20,1295.4,1320.9,1355.05,1289.0,1296.4,3591672,4757594357.95,94302
2024-12-23,1296.4,1312.4,1339.0,1284.8,1321.65,1909099,2506019999.65,54271
2024-12-24,1321.65,1322.45,1338.5,1307.7,1320.2,1395348,1844404963.25,43463
2024-12-26,1320.2,1328.8,1335.0,1274.8,1285.95,1910072,2486641046.7,56577
2024-12-27,1285.95,1285.0,1324.8,1281.75,1310.35,1703857,2229692888.4,46337
2024-12-30,1310.35,1310.5,1364.8,1297.5,1334.6,2341595,3134590016.9,76863
2024-12-31,1334.6,1330.0,1360.05,1300.0,1353.1,1810356,2411286825.75,66506
2025-01-01,1353.1,1357.0,1384.0,1325.0,1332.6,1609505,2178685700.6,61319
2025-01-02,1332.6,1331.65,1341.6,1309.7,1327.8,1264813,1673588052.0,48490
2025-01-03,1327.8,1336.0,1379.0,1317.3,1324.7,2433129,3295103587.6,85086
2025-01-06,1324.7,1334.0,1339.0,1263.55,1274.75,1770229,2296937700.65,119828
2025-01-07,1274.75,1280.0,1311.0,1271.25,1305.15,1112019,1439780742.05,48541
2025-01-08,1305.15,1295.0,1304.9,1220.25,1255.65,1908335,2398544139.4,84206
2025-01-09,1255.65,1252.0,1252.0,1201.15,1212.0,1242117,1515453868.2,66400
2025-01-10,1212.0,1200.0,1209.8,1116.0,1127.1,2187068,2521371795.3,123413
2025-01-13,1127.1,1115.0,1170.95,1090.55,1095.9,2321556,2628850193.8,102140
2025-01-14,1095.9,1122.0,1137.3,1086.1,1116.0,1977483,2203318347.7,107495
2025-01-15,1116.0,1166.1,1179.0,1126.65,1147.0,2772232,3193658918.75,106302
2025-01-16,1147.0,1160.0,1183.5,1156.85,1170.45,1200386,1405820324.05,44943
2025-01-17,1170.45,1169.1,1169.1,1134.25,1140.9,655244,751231872.0,35982
2025-01-20,1140.9,1148.0,1199.0,1145.05,1193.95,1358542,1605408345.05,60692
2025-01-21,1193.95,1192.75,1212.0,1170.0,1176.05,1158878,1375662492.85,79465
2025-01-22,1176.05,1180.0,1180.0,1023.1,1038.8,3153329,3357231601.0,153972
2025-01-23,1038.8,1030.0,1056.35,1011.0,1036.45,3033184,3131700231.75,140595
2025-01-24,1036.45,1042.0,1062.2,971.15,999.35,2155689,2173976218.45,94552
2025-01-27,999.35,971.1,991.3,925.8,932.4,2520932,2413099643.05,126585
