Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-11-18,109.0,145.0,161.99,137.35,155.24,273389694,41243123185.98,1563529
2025-11-19,155.24,156.5,161.0,138.54,143.28,160504001,23685253268.0,831932
2025-11-20,143.28,140.76,151.75,121.22,141.93,212737569,28450521932.27,729436
2025-11-21,141.93,143.0,149.59,128.55,134.31,162327758,22842836885.19,583759
2025-11-24,134.31,133.0,135.64,127.05,129.52,56559525,7358168419.77,247335
2025-11-25,129.52,130.0,138.19,129.5,135.59,90283295,12098839593.92,312779
2025-11-26,135.59,136.5,137.7,130.6,131.89,25053449,3335109007.51,96804
2025-11-27,131.89,132.0,133.39,125.0,126.99,18617289,2403999493.12,91001
2025-11-28,126.99,126.99,127.78,123.25,124.89,22042292,2756998211.54,86909
2025-12-01,124.89,125.97,144.2,123.3,134.69,188839751,25662370403.05,640270
2025-12-02,134.69,134.75,138.44,132.6,136.76,56375555,7675934370.14,205037
2025-12-03,136.76,136.21,139.0,130.51,134.94,29666762,3977897757.6,105329
2025-12-04,134.94,136.29,138.88,133.91,135.86,20817682,2836684816.28,80097
2025-12-05,135.86,135.85,137.0,134.52,135.9,10162538,1379520249.44,45269
2025-12-08,135.9,135.39,141.33,134.51,138.44,30171732,4181146774.59,119808
2025-12-09,138.44,142.75,145.6,135.0,137.89,82074266,11548469610.14,323860
2025-12-10,137.89,137.0,137.84,129.37,131.83,17891019,2387192936.39,69882
2025-12-11,131.83,130.11,131.25,128.0,129.92,13329935,1727164336.09,54881
2025-12-12,129.92,130.5,137.16,129.5,135.99,19793538,2646416073.13,71740
2025-12-15,135.99,134.59,137.47,129.5,132.06,17390346,2316697509.31,70211
2025-12-16,132.06,132.2,139.08,132.01,137.4,20588728,2810847443.82,76321
2025-12-17,137.4,135.09,138.5,132.5,133.81,8706574,1180872597.29,41818
2025-12-18,133.81,134.6,135.2,129.47,130.88,7255942,951241754.46,34055
2025-12-19,130.88,132.23,134.81,130.05,132.29,10017807,1328681351.68,46609
2025-12-22,132.29,133.9,139.99,132.83,137.17,15555748,2132371092.48,108931
2025-12-23,137.17,136.49,136.74,133.63,134.51,4638684,624295919.18,22095
2025-12-24,134.51,134.5,134.5,131.92,132.45,4903602,651567765.57,25630
2025-12-26,132.45,133.1,133.75,130.74,131.78,4296717,568120514.85,23498
2025-12-29,131.78,132.0,132.79,129.2,130.79,3904582,510211369.1,27184
2025-12-30,130.79,131.39,131.82,127.88,129.39,4311502,558179746.23,22266
2025-12-31,129.39,129.01,133.5,128.1,132.81,6734740,885770921.4,52347
