Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-08-29,166.0,187.0,188.0,177.65,177.65,1905748,350933652.3,15307
2023-08-30,177.65,168.8,168.8,168.8,168.8,345450,58311960.0,2013
2023-08-31,168.8,164.1,176.8,164.1,166.85,1291997,215950566.6,17327
2023-09-01,166.85,162.55,164.95,160.2,161.1,382825,62009853.25,6137
2023-09-04,161.1,162.65,162.9,157.0,158.0,252434,39925849.45,4550
2023-09-05,158.0,158.0,165.9,155.0,165.9,465461,75537588.75,4710
2023-09-06,165.9,169.25,172.8,166.25,171.0,431036,73210488.8,5041
2023-09-07,171.0,171.7,172.0,165.0,169.2,211994,35658234.1,2883
2023-09-08,169.2,169.95,172.1,168.05,171.3,257871,44042049.3,3473
2023-09-11,171.3,172.25,179.85,172.0,179.85,626700,111891432.4,5329
2023-09-12,179.85,182.8,188.25,166.0,169.6,755485,131594691.7,6495
2023-09-13,169.6,169.95,177.95,165.5,176.2,296944,51202381.3,3200
2023-09-14,176.2,177.0,178.4,164.85,167.9,416683,71700287.35,5113
2023-09-15,167.9,170.0,176.0,166.95,168.4,367073,62690071.15,6985
2023-09-18,168.4,171.85,171.85,167.05,167.75,309635,52507574.9,6217
2023-09-20,167.75,167.05,169.2,164.0,164.75,170966,28353380.35,4474
2023-09-21,164.75,165.2,171.95,164.5,167.95,301211,50722984.05,7678
2023-09-22,167.95,167.65,168.65,163.0,164.6,220935,36514571.15,12683
2023-09-25,164.6,166.0,168.85,163.8,164.7,127714,21185867.8,4466
2023-09-26,164.7,165.95,167.5,163.9,164.45,78857,13003297.8,3315
2023-09-27,164.45,164.45,165.0,162.5,163.35,110823,18103861.3,3002
2023-09-28,163.35,163.2,175.9,163.2,171.05,744669,127945613.75,15827
2023-09-29,171.05,174.65,180.6,172.85,175.0,725895,128815212.5,17009
2023-10-03,175.0,175.0,179.75,171.65,172.5,327401,57395252.05,7601
2023-10-04,172.5,170.9,172.15,167.25,170.3,489704,82884084.1,8594
2023-10-05,170.3,174.95,174.95,168.35,170.4,168592,28751001.8,3256
2023-10-06,170.4,171.0,173.95,169.05,170.05,241597,41431129.75,5152
2023-10-09,170.05,170.0,183.05,167.5,176.05,684551,121087007.1,16825
2023-10-10,176.05,180.0,192.85,178.75,184.7,1819714,341304622.0,33083
2023-10-11,184.7,191.0,194.0,186.2,192.1,1413564,269335386.45,21177
2023-10-12,192.1,194.5,200.85,191.25,193.05,1161913,228635112.15,19252
2023-10-13,193.05,192.85,208.9,190.7,204.5,1272407,255759270.0,25303
2023-10-16,204.5,206.5,213.95,202.8,208.85,856491,179168437.85,16063
2023-10-17,208.85,214.0,214.0,204.5,208.2,718842,149653874.4,11806
2023-10-18,208.2,207.95,215.55,206.0,212.9,924220,195328972.4,13385
2023-10-19,212.9,212.0,229.85,206.5,228.0,1081091,239637785.15,17596
2023-10-20,228.0,228.7,239.35,220.2,221.95,1023688,236230538.2,19824
2023-10-23,221.95,225.0,231.5,206.0,207.1,688931,148421046.9,14539
2023-10-25,207.1,210.8,214.8,199.0,202.45,413695,85461286.45,10194
2023-10-26,202.45,201.65,214.0,191.25,212.1,871273,177098645.95,18767
2023-10-27,212.1,213.05,218.45,209.3,212.45,583532,123740282.3,11762
2023-10-30,212.45,220.0,220.0,209.0,210.85,573707,121804187.2,10913
2023-10-31,210.85,211.25,215.75,206.5,208.15,233239,49319618.3,5544
2023-11-01,208.15,209.4,224.4,209.4,218.75,549975,120508392.3,14314
2023-11-02,218.75,221.8,223.0,216.05,218.15,236422,51952450.15,8996
2023-11-03,218.15,219.8,232.8,214.05,226.15,689142,154178673.6,11468
2023-11-06,226.15,229.4,234.0,223.0,224.85,374443,86011004.5,9771
2023-11-07,224.85,225.6,229.7,218.4,222.0,214529,48329911.7,6297
